,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
88,011780,금호석유,103500,4000,4.0,123963,12555334500,99400,104000,97500,3153406018500,0.17,30467691,8555947.0,28.08,89,2018-01-02
2399,011780,금호석유,103000,-500,-0.5,101127,10421518500,102500,104500,100500,3138172173000,0.16,30467691,8536399.0,28.02,89,2018-01-03
4711,011780,금호석유,104500,1500,1.5,253837,27072197500,105000,110000,103500,3183873709500,0.17,30467691,8537825.0,28.02,90,2018-01-04
7017,011780,금호석유,108500,4000,3.8,136803,14694571500,104500,109000,103000,3305744473500,0.17,30467691,8518118.0,27.96,86,2018-01-05
9331,011780,금호석유,108500,0,0.0,146028,15591907500,108000,109000,103500,3305744473500,0.17,30467691,8484266.0,27.85,88,2018-01-08
11643,011780,금호석유,106500,-2000,-1.8,202816,21493751500,108000,108000,104000,3244809091500,0.17,30467691,8548918.0,28.06,88,2018-01-09
13955,011780,금호석유,107000,500,0.5,173252,18714471500,105500,110000,104500,3260042937000,0.17,30467691,8575516.0,28.15,88,2018-01-10
16267,011780,금호석유,108500,1500,1.4,159353,16818063000,107500,108500,103500,3305744473500,0.17,30467691,8597153.0,28.22,88,2018-01-11
18583,011780,금호석유,103500,-5000,-4.6,342417,34936677000,107000,108000,100000,3153406018500,0.16,30467691,8675914.0,28.48,91,2018-01-12
20901,011780,금호석유,101000,-2500,-2.4,287122,28890452800,103000,103000,99700,3077236791000,0.16,30467691,8786163.0,28.84,96,2018-01-15
23216,011780,금호석유,101000,0,0.0,211072,21360242000,100500,103000,98500,3077236791000,0.16,30467691,8808570.0,28.91,98,2018-01-16
25528,011780,금호석유,101500,500,0.5,114828,11544796600,101000,102000,99000,3092470636500,0.16,30467691,8824656.0,28.96,97,2018-01-17
27843,011780,금호석유,100000,-1500,-1.5,267861,26799385200,101000,101500,99200,3046769100000,0.16,30467691,8828129.0,28.98,99,2018-01-18
30148,011780,금호석유,106500,6500,6.5,214735,22536274500,101000,107000,100500,3244809091500,0.17,30467691,8850322.0,29.05,91,2018-01-19
