,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
90,012450,한화테크윈,44750,1300,3.0,333831,14838573350,43850,44850,43750,2377567500000,0.16,53130000,11619898.0,21.87,91,2017-01-02
2332,012450,한화테크윈,46950,2200,4.9,977418,45639101950,44650,47550,44600,2494453500000,0.16,53130000,11642261.0,21.91,86,2017-01-03
4581,012450,한화테크윈,46700,-250,-0.5,797712,37918582250,47250,48500,46600,2481171000000,0.16,53130000,11868911.0,22.34,88,2017-01-04
6827,012450,한화테크윈,47200,500,1.1,343584,16091480400,47200,47250,46250,2507736000000,0.16,53130000,11917809.0,22.43,87,2017-01-05
9072,012450,한화테크윈,48250,1050,2.2,445549,21293492550,46950,48400,46650,2563522500000,0.17,53130000,12022452.0,22.63,85,2017-01-06
11321,012450,한화테크윈,46950,-1300,-2.7,393611,18628439000,48250,48350,46650,2494453500000,0.16,53130000,11977246.0,22.54,87,2017-01-09
13567,012450,한화테크윈,46400,-550,-1.2,370770,17138238482,46550,46750,45350,2465232000000,0.16,53130000,11965381.0,22.52,86,2017-01-10
15814,012450,한화테크윈,47500,1100,2.4,317594,15031343600,46700,47800,46650,2523675000000,0.16,53130000,12028226.0,22.64,86,2017-01-11
18060,012450,한화테크윈,47500,0,0.0,335679,16064621000,47500,48300,47400,2523675000000,0.16,53130000,12064075.0,22.71,86,2017-01-12
20309,012450,한화테크윈,47150,-350,-0.7,322657,15163675350,47250,47850,46550,2505079500000,0.16,53130000,12068926.0,22.72,89,2017-01-13
22558,012450,한화테크윈,46100,-1050,-2.2,262764,12204745700,47150,47350,46100,2449293000000,0.16,53130000,12016520.0,22.62,91,2017-01-16
24808,012450,한화테크윈,44500,-1600,-3.5,772049,34742397550,45900,45950,44450,2364285000000,0.15,53130000,11756723.0,22.13,93,2017-01-17
27054,012450,한화테크윈,44800,300,0.7,284749,12759324650,44800,45200,44500,2380224000000,0.15,53130000,11810349.0,22.23,93,2017-01-18
29301,012450,한화테크윈,44100,-700,-1.6,310914,13804324250,44500,45150,44050,2343033000000,0.15,53130000,11762299.0,22.14,94,2017-01-19
31548,012450,한화테크윈,43400,-700,-1.6,404126,17492115800,43700,43950,43000,2305842000000,0.15,53130000,11771765.0,22.16,95,2017-01-20
33790,012450,한화테크윈,44050,650,1.5,192357,8482890700,43600,44450,43500,2340376500000,0.15,53130000,11748426.0,22.11,93,2017-01-23
36035,012450,한화테크윈,43100,-950,-2.2,270301,11676375500,43900,44050,43000,2289903000000,0.15,53130000,11671796.0,21.97,94,2017-01-24
38283,012450,한화테크윈,41700,-1400,-3.2,458905,19330061400,43400,43400,41650,2215521000000,0.14,53130000,11587453.0,21.81,97,2017-01-25
40530,012450,한화테크윈,41900,200,0.5,264416,11050566300,41850,42300,41200,2226147000000,0.14,53130000,11559904.0,21.76,98,2017-01-26
42776,012450,한화테크윈,41700,-200,-0.5,295705,12392213800,41750,42300,41300,2215521000000,0.14,53130000,11518807.0,21.68,98,2017-01-31
45019,012450,한화테크윈,43700,2000,4.8,548913,23812088750,41700,43700,41700,2321781000000,0.15,53130000,11583737.0,21.8,95,2017-02-01
47267,012450,한화테크윈,42900,-800,-1.8,346659,14964976600,44250,44250,42750,2279277000000,0.15,53130000,11531338.0,21.7,97,2017-02-02
49516,012450,한화테크윈,41650,-1250,-2.9,536765,22414852750,42950,42950,41500,2212864500000,0.14,53130000,11434656.0,21.52,99,2017-02-03
51763,012450,한화테크윈,42250,600,1.4,329810,13906987950,41800,42350,41800,2244742500000,0.15,53130000,11463047.0,21.58,99,2017-02-06
54009,012450,한화테크윈,42900,650,1.5,324006,13732476550,42050,42950,41350,2279277000000,0.15,53130000,11507582.0,21.66,98,2017-02-07
56259,012450,한화테크윈,41700,-1200,-2.8,316865,13307251850,43000,43050,41700,2215521000000,0.14,53130000,11416517.0,21.49,101,2017-02-08
