,account_nm,thstrm_amount
0,유동자산,575318467890.0
1,현금및현금성자산,171114297200.0
2,단기금융자산,208406870630.0
3,매출채권및기타채권,147994208334.0
4,미수수익,1608464780.0
5,재고자산,41173539280.0
6,선급금,995390029.0
7,선급비용,4025697637.0
8,기타유동자산,
9,비유동자산,1006218511535.0
10,장기금융자산,7000000.0
11,매도가능금융자산,6291806987.0
12,대여금및수취채권,51381313832.0
13,유형자산,462426324215.0
14,무형자산,458876989729.0
15,기타비유동자산,10621811.0
16,순확정급여자산,10912497682.0
17,이연법인세자산,16311957279.0
18,자산총계,1581536979425.0
19,유동부채,292782419691.0
20,매입채무및기타채무,187728536160.0
21,부가세예수금,23103536073.0
22,미지급법인세,24715231480.0
23,선수금,51209891097.0
24,선수수익,79670000.0
25,예수금,5945554881.0
26,비유동부채,80917056860.0
27,장기성 매입채무 및 기타채무,7242981600.0
28,예수보증금,43475348584.0
29,충당부채,5820000000.0
30,기타비유동부채,24378726676.0
31,부채총계,373699476551.0
32,지배기업의 소유지분,1207828465973.0
33,자본금,18999589000.0
34,보통주자본금,18999589000.0
35,주식발행초과금,192913601374.0
36,이익잉여금,1148521528923.0
37,기타자본항목,-152606253324.0
38,비지배지분,9036901.0
39,자본총계,1207837502874.0
40,부채와자본총계,1581536979425.0
41,매출액,1942266128227.0
42,매출원가,1375981177734.0
43,매출총이익,566284950493.0
44,판매비와관리비,363710593472.0
45,영업이익,202574357021.0
46,기타영업외수익,14252274109.0
47,기타영업외비용,28847160445.0
48,금융수익,3489636755.0
49,금융비용,63528387.0
50,법인세비용차감전순이익,191405579053.0
51,법인세비용,48079459171.0
52,계속영업당기순이익,143326119882.0
53,중단영업당기순이익,
54,당기순이익,143326119882.0
55,지배기업 소유주 지분,143327082981.0
56,계속영업이익,143327082981.0
57,중단영업이익,
58,비지배지분,-963099.0
59,계속영업이익,-963099.0
60,중단영업이익,
61,기본주당순이익,4239.0
62,계속영업기본주당이익,4239.0
63,중단영업기본주당이익,
64,희석주당순이익,4239.0
65,계속영업희석주당이익,4239.0
66,중단영업희석주당이익,
67,당기순이익,143326119882.0
68,기타포괄손익,6818814296.0
69,당기손익으로 재분류되지 않는 항목,7036561727.0
70,순확정급여부채(자산)의 재측정요소,7036561727.0
71,후속적으로 당기손익으로 재분류될 수 있는 항목,-217747431.0
72,매도가능금융자산평가손익,45852520.0
73,해외사업환산손익,-263599951.0
74,당기총포괄손익,150144934178.0
75,지배기업 소유주 지분,150145897277.0
76,비지배지분,-963099.0
77,지배기업 소유주 귀속 당기총포괄손익,150145897277.0
78,계속영업 당기포괄손익,150145897277.0
79,중단영업 당기포괄손익,
80,영업활동현금흐름,294205564106.0
81,영업에서 창출된 현금흐름,342998268675.0
82,당기순이익,143326119882.0
83,조정,243391786951.0
84,"영업활동관련 자산,부채의변동",-43719638158.0
85,이자의 수취,2281633684.0
86,이자의 지급,
87,배당금 수익,62676450.0
88,법인세 납부액,51137014703.0
89,투자활동현금흐름,-224714171558.0
90,금융상품의 증감,110081406100.0
91,매도가능금융자산의 취득,300000000.0
92,유형자산의 취득,122132708266.0
93,유형자산의 처분,10147289784.0
94,무형자산의 취득,257097280.0
95,무형자산의 처분,500000000.0
96,대여금및수취채권의 증감,2600249696.0
97,종속기업지분증권의 처분,
98,종속기업지분증권의 취득(비지배지분의 증가),-10000000.0
99,재무활동현금흐름,-42262798750.0
100,단기차입금의 증감,
101,배당금의 지급,42262798750.0
102,종속기업지분증권의 취득,
103,현금흐름의 외화환산차이,-212565208.0
104,현금및현금성자산의 순증가,27016028590.0
105,기초의 현금및현금성자산,144098268610.0
106,기말의 현금및현금성자산,171114297200.0
107,기초자본,1099945367446.0
108,기초자본,
109,기초자본,1099945367446.0
110,기초자본,-152388505893.0
111,기초자본,1040420682965.0
112,기초자본,18999589000.0
113,기초자본,192913601374.0
114,기타장기종업원급여 효과,
115,기타장기종업원급여 효과,
116,기타장기종업원급여 효과,
117,수정후 자본,1099945367446.0
118,수정후 자본,
119,수정후 자본,1099945367446.0
120,수정후 자본,-152388505893.0
121,수정후 자본,1040420682965.0
122,수정후 자본,18999589000.0
123,수정후 자본,192913601374.0
124,당기순이익,143326119882.0
125,당기순이익,-963099.0
126,당기순이익,143327082981.0
127,당기순이익,143327082981.0
128,매도가능금융자산평가손익,45852520.0
129,매도가능금융자산평가손익,45852520.0
130,매도가능금융자산평가손익,45852520.0
131,순확정급여부채(자산)의재측정요소,7036561727.0
132,순확정급여부채(자산)의재측정요소,
133,순확정급여부채(자산)의재측정요소,7036561727.0
134,순확정급여부채(자산)의재측정요소,7036561727.0
135,해외사업환산손익,-263599951.0
136,해외사업환산손익,-263599951.0
137,해외사업환산손익,-263599951.0
138,배당,-42262798750.0
139,배당,
140,배당,-42262798750.0
141,배당,-42262798750.0
142,종속기업지분증권의 취득,10000000.0
143,종속기업지분증권의 취득,10000000.0
144,종속기업지분증권의 취득,
145,종속기업지분증권의 취득,
146,종속기업지분증권의 처분,
147,종속기업지분증권의 처분,
148,기말자본,1207837502874.0
149,기말자본,9036901.0
150,기말자본,1207828465973.0
151,기말자본,-152606253324.0
152,기말자본,1148521528923.0
153,기말자본,18999589000.0
154,기말자본,192913601374.0
