,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
187,014680,한솔케미칼,86700,3400,4.1,91957,7914658700,83300,86800,83300,979293406500,0.06,11295195,1573671.0,13.93,188,2017-01-02
2433,014680,한솔케미칼,86400,-300,-0.4,65533,5624649600,87100,87300,83000,975904848000,0.06,11295195,1569801.0,13.9,187,2017-01-03
4684,014680,한솔케미칼,83200,-3200,-3.7,74194,6223068600,86400,86400,83100,939760224000,0.06,11295195,1586494.0,14.05,191,2017-01-04
6931,014680,한솔케미칼,83100,-100,-0.1,61351,5078173400,83200,84400,82200,938630704500,0.06,11295195,1602105.0,14.18,191,2017-01-05
9178,014680,한솔케미칼,82800,-300,-0.4,28663,2384592000,83100,84200,82500,935242146000,0.06,11295195,1608038.0,14.24,191,2017-01-06
11425,014680,한솔케미칼,81500,-1300,-1.6,48399,3960595900,82900,83000,80900,920558392500,0.06,11295195,1612234.0,14.27,191,2017-01-09
13676,014680,한솔케미칼,79500,-2000,-2.4,58862,4710385100,80800,81100,79100,897968002500,0.06,11295195,1612413.0,14.28,195,2017-01-10
15921,014680,한솔케미칼,79800,300,0.4,50613,4045361900,79200,80900,79200,901356561000,0.06,11295195,1620421.0,14.35,193,2017-01-11
18166,014680,한솔케미칼,80400,600,0.8,86156,6841502000,80200,80500,78400,908133678000,0.06,11295195,1614015.0,14.29,192,2017-01-12
20413,014680,한솔케미칼,80300,-100,-0.1,55873,4453900100,79800,80700,79100,907004158500,0.06,11295195,1616456.0,14.31,193,2017-01-13
22658,014680,한솔케미칼,80300,0,0.0,79963,6346068800,80300,80600,78500,907004158500,0.06,11295195,1609240.0,14.25,191,2017-01-16
24910,014680,한솔케미칼,78900,-1400,-1.7,81831,6474311800,80300,80500,78700,891190885500,0.06,11295195,1607775.0,14.23,195,2017-01-17
27156,014680,한솔케미칼,78100,-800,-1.0,61326,4798984300,78600,79100,77500,882154729500,0.06,11295195,1612872.0,14.28,195,2017-01-18
29400,014680,한솔케미칼,78100,0,0.0,50690,3970200000,78200,79100,77900,882154729500,0.06,11295195,1611303.0,14.27,193,2017-01-19
31648,014680,한솔케미칼,77800,-300,-0.4,67185,5179521700,78100,78100,76300,878766171000,0.06,11295195,1610191.0,14.26,195,2017-01-20
33891,014680,한솔케미칼,77000,-800,-1.0,49081,3771310400,77800,77800,76100,869730015000,0.06,11295195,1624967.0,14.39,194,2017-01-23
36139,014680,한솔케미칼,76500,-500,-0.6,42014,3186293100,77600,77600,75100,864082417500,0.06,11295195,1628004.0,14.41,198,2017-01-24
38384,014680,한솔케미칼,75100,-1400,-1.8,27530,2074235300,76900,76900,75000,848269144500,0.06,11295195,1629801.0,14.43,198,2017-01-25
40629,014680,한솔케미칼,75700,600,0.8,32000,2408426400,75100,76000,74100,855046261500,0.06,11295195,1632410.0,14.45,197,2017-01-26
42877,014680,한솔케미칼,75700,0,0.0,31279,2355473200,75700,77300,74000,855046261500,0.06,11295195,1626829.0,14.4,199,2017-01-31
45125,014680,한솔케미칼,75100,-600,-0.8,46955,3515937200,75700,75800,74300,848269144500,0.05,11295195,1620830.0,14.35,201,2017-02-01
47363,014680,한솔케미칼,77300,2200,2.9,86674,6724685800,75100,78400,74600,873118573500,0.06,11295195,1637943.0,14.5,193,2017-02-02
49612,014680,한솔케미칼,76900,-400,-0.5,77964,6002417500,77400,79200,76000,868600495500,0.06,11295195,1635245.0,14.48,195,2017-02-03
51861,014680,한솔케미칼,77000,100,0.1,31996,2472590700,77800,78100,76300,869730015000,0.06,11295195,1633985.0,14.47,197,2017-02-06
54116,014680,한솔케미칼,74200,-2800,-3.6,66034,4936671800,77900,77900,74000,838103469000,0.05,11295195,1628036.0,14.41,205,2017-02-07
56354,014680,한솔케미칼,76600,2400,3.2,53876,4073740300,74000,76900,73800,865211937000,0.06,11295195,1623645.0,14.37,196,2017-02-08
58604,014680,한솔케미칼,75700,-900,-1.2,60406,4564125900,76400,77400,74400,855046261500,0.06,11295195,1612413.0,14.28,199,2017-02-09
60850,014680,한솔케미칼,76600,900,1.2,41580,3182705300,76000,77400,75900,865211937000,0.06,11295195,1612027.0,14.27,198,2017-02-10
63098,014680,한솔케미칼,76600,0,0.0,22926,1759214000,76800,77200,75600,865211937000,0.06,11295195,1603465.0,14.2,199,2017-02-13
65337,014680,한솔케미칼,79100,2500,3.3,79349,6283550100,77000,80800,76700,893449924500,0.06,11295195,1615827.0,14.31,191,2017-02-14
67584,014680,한솔케미칼,79800,700,0.9,44734,3548021600,80300,80300,77800,901356561000,0.06,11295195,1602477.0,14.19,191,2017-02-15
69831,014680,한솔케미칼,79500,-300,-0.4,42659,3408597800,79300,81000,78900,897968002500,0.06,11295195,1610163.0,14.26,191,2017-02-16
72083,014680,한솔케미칼,78800,-700,-0.9,26443,2093467700,79400,80500,78300,890061366000,0.06,11295195,1613937.0,14.29,196,2017-02-17
74330,014680,한솔케미칼,78500,-300,-0.4,38909,3027658900,78100,78800,76800,886672807500,0.06,11295195,1611731.0,14.27,196,2017-02-20
76579,014680,한솔케미칼,78400,-100,-0.1,31084,2446478000,78400,79800,77800,885543288000,0.06,11295195,1611337.0,14.27,198,2017-02-21
78818,014680,한솔케미칼,79500,1100,1.4,27596,2179380600,78000,79700,77200,897968002500,0.06,11295195,1607967.0,14.24,191,2017-02-22
81066,014680,한솔케미칼,79700,200,0.2,28619,2279266200,79900,80500,78400,900227041500,0.06,11295195,1603471.0,14.2,193,2017-02-23
83321,014680,한솔케미칼,77500,-2200,-2.8,45895,3565641200,80400,80400,76900,875377612500,0.06,11295195,1603726.0,14.2,200,2017-02-24
85571,014680,한솔케미칼,76300,-1200,-1.6,35940,2744035400,78200,78200,75900,861823378500,0.06,11295195,1613693.0,14.29,202,2017-02-27
87819,014680,한솔케미칼,76700,400,0.5,38336,2937474100,76300,77500,75800,866341456500,0.06,11295195,1624703.0,14.38,202,2017-02-28
90068,014680,한솔케미칼,75500,-1200,-1.6,40749,3086663500,77300,77400,75100,852787222500,0.05,11295195,1628501.0,14.42,202,2017-03-02
92317,014680,한솔케미칼,74400,-1100,-1.5,41208,3065021700,75500,76100,73600,840362508000,0.05,11295195,1635435.0,14.48,201,2017-03-03
94568,014680,한솔케미칼,74500,100,0.1,37420,2770749700,74400,75200,73000,841492027500,0.05,11295195,1635011.0,14.48,201,2017-03-06
96819,014680,한솔케미칼,75800,1300,1.7,22687,1714551600,75100,76100,74500,856175781000,0.06,11295195,1636203.0,14.49,201,2017-03-07
99067,014680,한솔케미칼,75600,-200,-0.3,33851,2565337100,75300,76400,74800,853916742000,0.05,11295195,1635501.0,14.48,200,2017-03-08
101315,014680,한솔케미칼,75400,-200,-0.3,37466,2812178400,75000,75800,74300,851657703000,0.05,11295195,1646882.0,14.58,199,2017-03-09
103565,014680,한솔케미칼,75100,-300,-0.4,29814,2245674500,74600,76000,74500,848269144500,0.05,11295195,1647965.0,14.59,200,2017-03-10
105813,014680,한솔케미칼,76200,1100,1.5,37011,2807033800,74800,76700,74500,860693859000,0.05,11295195,1646738.0,14.58,199,2017-03-13
108065,014680,한솔케미칼,73600,-2600,-3.4,52912,3957415300,76200,76800,73300,831326352000,0.05,11295195,1648410.0,14.59,202,2017-03-14
110311,014680,한솔케미칼,75100,1500,2.0,35482,2660759300,74000,75700,73800,848269144500,0.05,11295195,1659281.0,14.69,199,2017-03-15
112561,014680,한솔케미칼,75600,500,0.7,45588,3474848200,74600,76900,74600,853916742000,0.05,11295195,1667317.0,14.76,201,2017-03-16
114807,014680,한솔케미칼,76500,900,1.2,36763,2818333200,75600,77300,75100,864082417500,0.05,11295195,1659283.0,14.69,199,2017-03-17
117059,014680,한솔케미칼,75600,-900,-1.2,18489,1404365500,77000,77000,75300,853916742000,0.05,11295195,1655809.0,14.66,203,2017-03-20
119308,014680,한솔케미칼,75500,-100,-0.1,22048,1671995100,76600,76700,75100,852787222500,0.05,11295195,1666786.0,14.76,203,2017-03-21
121557,014680,한솔케미칼,75400,-100,-0.1,37321,2813177800,76000,76300,74500,851657703000,0.05,11295195,1667051.0,14.76,203,2017-03-22
123807,014680,한솔케미칼,74000,-1400,-1.9,44566,3317734900,75100,75400,73800,835844430000,0.05,11295195,1663773.0,14.73,204,2017-03-23
126059,014680,한솔케미칼,74100,100,0.1,26883,1997851800,74500,74900,73600,836973949500,0.05,11295195,1674206.0,14.82,206,2017-03-24
128309,014680,한솔케미칼,74800,700,0.9,27031,2011782100,74800,75100,74000,844880586000,0.05,11295195,1673506.0,14.82,206,2017-03-27
