,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
139,014820,동원시스템즈,58900,-800,-1.3,18250,1082456200,59700,61000,58700,1418285730600,0.09,24079554,213821.0,0.89,140,2017-01-02
2385,014820,동원시스템즈,58600,-300,-0.5,21074,1232924500,59800,59800,58000,1411061864400,0.09,24079554,215009.0,0.89,139,2017-01-03
4632,014820,동원시스템즈,59600,1000,1.7,22780,1329548900,58200,59900,57800,1435141418400,0.09,24079554,214953.0,0.89,139,2017-01-04
6880,014820,동원시스템즈,58800,-800,-1.3,15022,888034300,59100,59900,58600,1415877775200,0.09,24079554,215333.0,0.89,140,2017-01-05
9128,014820,동원시스템즈,59000,200,0.3,13554,795548400,58800,59300,58400,1420693686000,0.09,24079554,214796.0,0.89,141,2017-01-06
11376,014820,동원시스템즈,57500,-1500,-2.5,17479,1021591100,58400,59500,57400,1384574355000,0.09,24079554,210599.0,0.87,142,2017-01-09
13623,014820,동원시스템즈,57500,0,0.0,14128,805726400,57000,58000,56100,1384574355000,0.09,24079554,209120.0,0.87,142,2017-01-10
15871,014820,동원시스템즈,57100,-400,-0.7,8979,513240100,57000,57700,56700,1374942533400,0.09,24079554,210696.0,0.87,143,2017-01-11
18116,014820,동원시스템즈,58800,1700,3.0,15496,906788800,58500,59300,57800,1415877775200,0.09,24079554,210016.0,0.87,142,2017-01-12
20359,014820,동원시스템즈,61200,2400,4.1,24085,1459312500,59400,61500,58100,1473668704800,0.1,24079554,210458.0,0.87,139,2017-01-13
22606,014820,동원시스템즈,60900,-300,-0.5,13154,796820800,61200,61300,59100,1466444838600,0.1,24079554,206441.0,0.86,139,2017-01-16
24850,014820,동원시스템즈,64600,3700,6.1,49094,3118245700,61500,64800,61100,1555539188400,0.1,24079554,207594.0,0.86,135,2017-01-17
27099,014820,동원시스템즈,64700,100,0.2,18271,1182308300,64800,65000,64000,1557947143800,0.1,24079554,207197.0,0.86,138,2017-01-18
29344,014820,동원시스템즈,64200,-500,-0.8,11457,733440900,64000,64700,63300,1545907366800,0.1,24079554,205224.0,0.85,137,2017-01-19
31589,014820,동원시스템즈,64200,0,0.0,17142,1108556200,63300,65100,63300,1545907366800,0.1,24079554,204195.0,0.85,136,2017-01-20
33831,014820,동원시스템즈,65300,1100,1.7,34578,2270496900,64900,67000,64200,1572394876200,0.1,24079554,203460.0,0.84,134,2017-01-23
36076,014820,동원시스템즈,65200,-100,-0.2,19832,1304517300,64600,66700,64600,1569986920800,0.1,24079554,201650.0,0.84,135,2017-01-24
38320,014820,동원시스템즈,65000,-200,-0.3,10749,701537700,66100,66100,64500,1565171010000,0.1,24079554,204882.0,0.85,134,2017-01-25
40567,014820,동원시스템즈,64000,-1000,-1.5,15100,971507900,64600,65600,63200,1541091456000,0.1,24079554,204312.0,0.85,135,2017-01-26
42812,014820,동원시스템즈,66400,2400,3.8,26608,1759352800,62900,67000,62900,1598882385600,0.1,24079554,208679.0,0.87,134,2017-01-31
45059,014820,동원시스템즈,65600,-800,-1.2,12615,831270000,67100,67200,65100,1579618742400,0.1,24079554,209296.0,0.87,135,2017-02-01
47306,014820,동원시스템즈,63600,-2000,-3.0,17353,1115435900,65100,65800,63500,1531459634400,0.1,24079554,207735.0,0.86,136,2017-02-02
49553,014820,동원시스템즈,64200,600,0.9,9779,628260500,63900,64900,63200,1545907366800,0.1,24079554,209402.0,0.87,136,2017-02-03
51798,014820,동원시스템즈,66300,2100,3.3,19382,1277944900,65000,66700,64200,1596474430200,0.1,24079554,208440.0,0.87,134,2017-02-06
54046,014820,동원시스템즈,65800,-500,-0.8,15016,983431700,66600,66600,64500,1584434653200,0.1,24079554,207626.0,0.86,135,2017-02-07
56294,014820,동원시스템즈,64900,-900,-1.4,13279,865262700,65900,66400,64500,1562763054600,0.1,24079554,206096.0,0.86,136,2017-02-08
58541,014820,동원시스템즈,64100,-800,-1.2,16701,1071600600,64100,65100,63900,1543499411400,0.1,24079554,213268.0,0.89,136,2017-02-09
60784,014820,동원시스템즈,67200,3100,4.8,61455,4097753500,64300,67500,62700,1618146028800,0.1,24079554,214896.0,0.89,132,2017-02-10
63033,014820,동원시스템즈,67400,200,0.3,21146,1439455300,67600,69100,66900,1622961939600,0.1,24079554,215346.0,0.89,134,2017-02-13
65278,014820,동원시스템즈,67800,400,0.6,10142,683981000,67400,68100,66600,1632593761200,0.11,24079554,213850.0,0.89,132,2017-02-14
67526,014820,동원시스템즈,67800,0,0.0,14983,1010826100,66700,68100,66700,1632593761200,0.11,24079554,213289.0,0.89,133,2017-02-15
69777,014820,동원시스템즈,66400,-1400,-2.1,18759,1246670900,67800,68000,66000,1598882385600,0.1,24079554,212594.0,0.88,137,2017-02-16
72022,014820,동원시스템즈,67000,600,0.9,10881,725095600,65500,67100,65500,1613330118000,0.1,24079554,214185.0,0.89,135,2017-02-17
74269,014820,동원시스템즈,66700,-300,-0.4,14587,969899500,67200,67500,65200,1606106251800,0.1,24079554,209389.0,0.87,135,2017-02-20
76517,014820,동원시스템즈,65700,-1000,-1.5,8698,576483000,67800,67800,65700,1582026697800,0.1,24079554,210596.0,0.87,136,2017-02-21
78764,014820,동원시스템즈,65600,-100,-0.2,11310,743541500,66200,66500,65300,1579618742400,0.1,24079554,210987.0,0.88,137,2017-02-22
81009,014820,동원시스템즈,64900,-700,-1.1,10851,708978800,66400,66400,64700,1562763054600,0.1,24079554,211272.0,0.88,136,2017-02-23
83259,014820,동원시스템즈,64300,-600,-0.9,32366,2069603100,65000,65000,62400,1548315322200,0.1,24079554,212685.0,0.88,138,2017-02-24
85507,014820,동원시스템즈,64700,400,0.6,17411,1125874400,63600,65400,63600,1557947143800,0.1,24079554,214368.0,0.89,138,2017-02-27
87755,014820,동원시스템즈,63700,-1000,-1.6,15666,1000461500,65300,65300,63600,1533867589800,0.1,24079554,214444.0,0.89,138,2017-02-28
90006,014820,동원시스템즈,61500,-2200,-3.4,23336,1454482100,63700,65100,61500,1480892571000,0.09,24079554,218243.0,0.91,140,2017-03-02
92256,014820,동원시스템즈,60700,-800,-1.3,17524,1067641100,61800,62600,60200,1461628927800,0.09,24079554,222954.0,0.93,140,2017-03-03
94510,014820,동원시스템즈,58900,-1800,-3.0,24977,1473545700,59700,60700,58300,1418285730600,0.09,24079554,223316.0,0.93,143,2017-03-06
96763,014820,동원시스템즈,59200,300,0.5,15836,931004100,58500,59800,58000,1425509596800,0.09,24079554,224565.0,0.93,145,2017-03-07
99011,014820,동원시스템즈,58900,-300,-0.5,23786,1392371300,58600,59700,58000,1418285730600,0.09,24079554,221012.0,0.92,144,2017-03-08
101261,014820,동원시스템즈,59200,300,0.5,14026,826074700,58900,59500,58200,1425509596800,0.09,24079554,221196.0,0.92,145,2017-03-09
103512,014820,동원시스템즈,58100,-1100,-1.9,19975,1162497500,59000,59400,57700,1399022087400,0.09,24079554,220451.0,0.92,147,2017-03-10
105759,014820,동원시스템즈,59100,1000,1.7,11238,660393400,58500,59300,58100,1423101641400,0.09,24079554,220082.0,0.91,145,2017-03-13
108009,014820,동원시스템즈,58200,-900,-1.5,18366,1078653000,58600,59700,58100,1401430042800,0.09,24079554,218736.0,0.91,146,2017-03-14
110257,014820,동원시스템즈,57600,-600,-1.0,22895,1315107700,58200,58900,56900,1386982310400,0.09,24079554,222446.0,0.92,145,2017-03-15
112506,014820,동원시스템즈,57700,100,0.2,11249,648075700,58000,58400,57300,1389390265800,0.09,24079554,223610.0,0.93,146,2017-03-16
114752,014820,동원시스템즈,58600,900,1.6,11887,687895800,58600,58800,57300,1411061864400,0.09,24079554,223721.0,0.93,144,2017-03-17
117001,014820,동원시스템즈,58500,-100,-0.2,10656,620953300,58500,58700,57700,1408653909000,0.09,24079554,221320.0,0.92,145,2017-03-20
119252,014820,동원시스템즈,57600,-900,-1.5,13942,806603700,57800,58800,57300,1386982310400,0.09,24079554,225229.0,0.94,147,2017-03-21
121503,014820,동원시스템즈,56900,-700,-1.2,36286,2102613800,58000,59800,56600,1370126622600,0.09,24079554,227923.0,0.95,149,2017-03-22
123748,014820,동원시스템즈,58700,1800,3.2,12881,752620200,57400,59000,57200,1413469819800,0.09,24079554,232857.0,0.97,145,2017-03-23
125995,014820,동원시스템즈,62100,3400,5.8,30695,1882892200,59400,62400,58600,1495340303400,0.09,24079554,237239.0,0.99,142,2017-03-24
128244,014820,동원시스템즈,62800,700,1.1,24267,1525943000,62400,63600,61500,1512195991200,0.09,24079554,232016.0,0.96,141,2017-03-27
130497,014820,동원시스템즈,62200,-600,-1.0,9806,611136000,62000,62900,61900,1497748258800,0.09,24079554,233496.0,0.97,143,2017-03-28
132748,014820,동원시스템즈,61100,-1100,-1.8,17274,1056982600,63000,63100,60500,1471260749400,0.09,24079554,233705.0,0.97,143,2017-03-29
135002,014820,동원시스템즈,60400,-700,-1.2,8475,511069200,61800,61800,60000,1454405061600,0.09,24079554,236189.0,0.98,146,2017-03-30
137251,014820,동원시스템즈,61500,1100,1.8,9307,569578300,60800,61600,60500,1480892571000,0.09,24079554,228439.0,0.95,144,2017-03-31
139507,014820,동원시스템즈,60200,-1300,-2.1,10537,636140600,61600,61600,60000,1449589150800,0.09,24079554,227731.0,0.95,148,2017-04-03
141758,014820,동원시스템즈,59500,-700,-1.2,9182,548908900,60200,61000,59400,1432733463000,0.09,24079554,229194.0,0.95,147,2017-04-04
144008,014820,동원시스템즈,59600,100,0.2,6415,385052000,59300,60500,59300,1435141418400,0.09,24079554,230448.0,0.96,145,2017-04-05
146265,014820,동원시스템즈,58800,-800,-1.3,10963,643580000,59200,59600,58000,1415877775200,0.09,24079554,229119.0,0.95,150,2017-04-06
148519,014820,동원시스템즈,58600,-200,-0.3,7149,418415500,59100,59400,58100,1411061864400,0.09,24079554,222648.0,0.92,151,2017-04-07
150771,014820,동원시스템즈,57800,-800,-1.4,10671,618256600,58600,58700,57300,1391798221200,0.09,24079554,222616.0,0.92,149,2017-04-10
153025,014820,동원시스템즈,58300,500,0.9,7913,459425500,57900,59000,57600,1403837998200,0.09,24079554,222178.0,0.92,149,2017-04-11
155284,014820,동원시스템즈,57700,-600,-1.0,11119,640570700,57800,59000,57300,1389390265800,0.09,24079554,216948.0,0.9,152,2017-04-12
157535,014820,동원시스템즈,58600,900,1.6,7383,430334100,57700,58600,57500,1411061864400,0.09,24079554,217718.0,0.9,148,2017-04-13
159792,014820,동원시스템즈,57600,-1000,-1.7,7657,441952700,58000,58200,57500,1386982310400,0.09,24079554,215750.0,0.9,151,2017-04-14
162050,014820,동원시스템즈,57400,-200,-0.4,9320,532974300,57300,57700,56900,1382166399600,0.09,24079554,215327.0,0.89,155,2017-04-17
164302,014820,동원시스템즈,58200,800,1.4,14897,860655500,57600,58600,57300,1401430042800,0.09,24079554,217076.0,0.9,154,2017-04-18
166553,014820,동원시스템즈,57900,-300,-0.5,6545,378262900,57600,58500,57500,1394206176600,0.09,24079554,218708.0,0.91,152,2017-04-19
168805,014820,동원시스템즈,58800,900,1.6,13616,799641900,57800,59200,57600,1415877775200,0.09,24079554,222123.0,0.92,151,2017-04-20
171059,014820,동원시스템즈,59000,200,0.3,7578,447342700,59200,59400,58600,1420693686000,0.09,24079554,221447.0,0.92,152,2017-04-21
173314,014820,동원시스템즈,58000,-1000,-1.7,7840,456008700,58800,58800,57700,1396614132000,0.09,24079554,220634.0,0.92,154,2017-04-24
175570,014820,동원시스템즈,57600,-400,-0.7,10036,579874400,57900,58600,57300,1386982310400,0.08,24079554,217744.0,0.9,156,2017-04-25
177820,014820,동원시스템즈,57900,300,0.5,9731,567468200,57900,59000,57700,1394206176600,0.08,24079554,218665.0,0.91,155,2017-04-26
180070,014820,동원시스템즈,57600,-300,-0.5,10787,619841800,58600,58600,57200,1386982310400,0.08,24079554,216985.0,0.9,154,2017-04-27
182323,014820,동원시스템즈,57500,-100,-0.2,18855,1071292800,57000,57700,56200,1384574355000,0.08,24079554,217130.0,0.9,154,2017-04-28
184578,014820,동원시스템즈,56800,-700,-1.2,11004,626804600,57000,57700,56500,1367718667200,0.08,24079554,216424.0,0.9,155,2017-05-02
186838,014820,동원시스템즈,56600,-200,-0.4,8538,484081300,56100,57100,56100,1362902756400,0.08,24079554,214284.0,0.89,158,2017-05-04
189095,014820,동원시스템즈,56700,100,0.2,29103,1632744800,56200,57000,55700,1365310711800,0.08,24079554,216826.0,0.9,158,2017-05-08
191349,014820,동원시스템즈,57400,700,1.2,48586,2798258900,57200,58700,56500,1382166399600,0.08,24079554,226949.0,0.94,157,2017-05-10
193612,014820,동원시스템즈,57700,300,0.5,20855,1188938400,57400,57900,56600,1389390265800,0.08,24079554,222078.0,0.92,162,2017-05-11
195872,014820,동원시스템즈,56300,-1400,-2.4,24278,1370650000,57300,57600,56200,1355678890200,0.08,24079554,221008.0,0.92,164,2017-05-12
198134,014820,동원시스템즈,55300,-1000,-1.8,15964,885828200,56300,56400,54500,1331599336200,0.08,24079554,220605.0,0.92,166,2017-05-15
200394,014820,동원시스템즈,55700,400,0.7,19106,1054261000,55300,56000,54700,1341231157800,0.08,24079554,219660.0,0.91,166,2017-05-16
202655,014820,동원시스템즈,54900,-800,-1.4,25106,1378120600,55200,56200,54500,1321967514600,0.08,24079554,213732.0,0.89,168,2017-05-17
204907,014820,동원시스템즈,57000,2100,3.8,45142,2556057900,55000,57700,54900,1372534578000,0.08,24079554,221489.0,0.92,161,2017-05-18
207170,014820,동원시스템즈,56200,-800,-1.4,19261,1087729500,57100,57700,55700,1353270934800,0.08,24079554,219755.0,0.91,165,2017-05-19
209430,014820,동원시스템즈,55300,-900,-1.6,14861,822734800,56900,56900,55100,1331599336200,0.08,24079554,216088.0,0.9,166,2017-05-22
211689,014820,동원시스템즈,55400,100,0.2,13402,744730600,55000,56100,54700,1334007291600,0.08,24079554,221001.0,0.92,165,2017-05-23
