,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
4,015760,한국전력,43900,-150,-0.3,745355,32942522550,44200,44600,43850,28182222980300,1.86,641964077,200901131.0,31.29,5,2017-01-02
2251,015760,한국전력,44100,200,0.5,799544,35186502900,43900,44150,43800,28310615795700,1.85,641964077,201066372.0,31.32,5,2017-01-03
4498,015760,한국전력,43900,-200,-0.4,1562907,68697629050,44450,44600,43700,28182222980300,1.84,641964077,201011357.0,31.31,5,2017-01-04
6745,015760,한국전력,44250,350,0.8,809945,35726783950,44100,44300,43800,28406910407250,1.86,641964077,201126399.0,31.33,5,2017-01-05
8992,015760,한국전력,44150,-100,-0.2,1365466,60191346750,44250,44300,43900,28342713999550,1.85,641964077,201176091.0,31.34,5,2017-01-06
11239,015760,한국전력,43150,-1000,-2.3,2211245,95742638100,43950,44050,43050,27700749922550,1.81,641964077,201239731.0,31.35,5,2017-01-09
13486,015760,한국전력,42250,-900,-2.1,2767706,116771117100,42900,42950,41900,27122982253250,1.77,641964077,201312832.0,31.36,5,2017-01-10
15733,015760,한국전력,43200,950,2.2,1853874,79185520120,42250,43200,42250,27732848126400,1.79,641964077,201584485.0,31.4,5,2017-01-11
17979,015760,한국전력,43850,650,1.5,1604990,70417372200,43050,44200,43050,28150124776450,1.81,641964077,201839089.0,31.44,5,2017-01-12
20225,015760,한국전력,44600,750,1.7,1513487,67079101250,43800,44650,43550,28631597834200,1.85,641964077,202352562.0,31.52,5,2017-01-13
22472,015760,한국전력,44400,-200,-0.4,1067529,47220011900,44650,44800,43800,28503205018800,1.85,641964077,202341653.0,31.52,5,2017-01-16
24720,015760,한국전력,44150,-250,-0.6,602148,26553206550,44100,44450,43900,28342713999550,1.84,641964077,202296417.0,31.51,5,2017-01-17
26966,015760,한국전력,43600,-550,-1.2,1260376,54994786095,43950,44050,43400,27989633757200,1.81,641964077,202181244.0,31.49,5,2017-01-18
29212,015760,한국전력,43350,-250,-0.6,1016282,43998441600,43600,43850,43050,27829142737950,1.8,641964077,202384944.0,31.53,5,2017-01-19
31458,015760,한국전력,43250,-100,-0.2,808212,35048800850,43250,43800,43050,27764946330250,1.8,641964077,202469696.0,31.54,5,2017-01-20
33702,015760,한국전력,42900,-350,-0.8,1257676,53995337700,43250,43400,42650,27540258903300,1.79,641964077,202364380.0,31.52,5,2017-01-23
35946,015760,한국전력,43750,850,2.0,1152617,50153866350,42900,43900,42750,28085928368750,1.83,641964077,202416165.0,31.53,5,2017-01-24
38191,015760,한국전력,43600,-150,-0.3,1106661,48244528146,43900,44000,43150,27989633757200,1.82,641964077,202513917.0,31.55,5,2017-01-25
40437,015760,한국전력,43250,-350,-0.8,1045547,45351342600,43600,43600,43150,27764946330250,1.79,641964077,202608720.0,31.56,5,2017-01-26
42683,015760,한국전력,42450,-800,-1.8,1118324,47643294150,42950,43000,42450,27251375068650,1.77,641964077,202153694.0,31.49,5,2017-01-31
44929,015760,한국전력,42450,0,0.0,1223714,52099731008,42550,43000,42450,27251375068650,1.76,641964077,201876137.0,31.45,5,2017-02-01
47175,015760,한국전력,42050,-400,-0.9,1501650,63281614182,42500,42600,42000,26994589437850,1.75,641964077,201859292.0,31.44,5,2017-02-02
49422,015760,한국전력,41950,-100,-0.2,1213364,51111354650,42050,42500,41950,26930393030150,1.75,641964077,201592823.0,31.4,5,2017-02-03
51669,015760,한국전력,41350,-600,-1.4,2368848,98203423900,41900,42600,40050,26545214583950,1.72,641964077,201133208.0,31.33,5,2017-02-06
53916,015760,한국전력,41300,-50,-0.1,1561450,64746129500,40550,41900,40550,26513116380100,1.72,641964077,200791686.0,31.28,5,2017-02-07
56164,015760,한국전력,40600,-700,-1.7,1834378,74641625857,41350,41350,40350,26063741526200,1.7,641964077,200238754.0,31.19,6,2017-02-08
58411,015760,한국전력,40350,-250,-0.6,1340311,54439044950,40700,40950,40350,25903250506950,1.68,641964077,200180073.0,31.18,6,2017-02-09
60657,015760,한국전력,41300,950,2.4,1357216,55877570950,40650,41600,40400,26513116380100,1.72,641964077,200178696.0,31.18,5,2017-02-10
62904,015760,한국전력,41800,500,1.2,925406,38396275600,41550,41800,41050,26834098418600,1.74,641964077,200243854.0,31.19,5,2017-02-13
65151,015760,한국전력,41150,-650,-1.6,1544097,63586117350,41550,41600,41000,26416821768550,1.71,641964077,199893996.0,31.14,5,2017-02-14
67398,015760,한국전력,40900,-250,-0.6,1140620,46724434350,41150,41250,40800,26256330749300,1.69,641964077,199589684.0,31.09,5,2017-02-15
69645,015760,한국전력,40450,-450,-1.1,1429471,57956350550,40900,41000,40350,25967446914650,1.68,641964077,199144903.0,31.02,5,2017-02-16
71892,015760,한국전력,40600,150,0.4,1334587,54322141298,40500,40900,40450,26063741526200,1.68,641964077,199071471.0,31.01,5,2017-02-17
74139,015760,한국전력,43050,2450,6.0,3577876,151715647450,40900,43050,40850,27636553514850,1.78,641964077,199718834.0,31.11,5,2017-02-20
76386,015760,한국전력,43000,-50,-0.1,1931448,83205789050,43350,43400,42600,27604455311000,1.76,641964077,199804943.0,31.12,5,2017-02-21
78632,015760,한국전력,43200,200,0.5,1621272,70318140400,43000,43900,43000,27732848126400,1.77,641964077,199798431.0,31.12,5,2017-02-22
80878,015760,한국전력,43350,150,0.4,1195574,51642231050,43200,43500,42750,27829142737950,1.78,641964077,199778152.0,31.12,5,2017-02-23
83126,015760,한국전력,43550,200,0.5,1601550,69718878000,43350,43800,43050,27957535553350,1.8,641964077,199656508.0,31.1,5,2017-02-24
85374,015760,한국전력,44100,550,1.3,1869271,82560374850,43850,44600,43550,28310615795700,1.83,641964077,199644336.0,31.1,5,2017-02-27
87622,015760,한국전력,43600,-500,-1.1,1625744,70762188400,44050,44100,43200,27989633757200,1.8,641964077,199675919.0,31.1,5,2017-02-28
89871,015760,한국전력,43150,-450,-1.0,1853680,79847851950,43500,43850,42800,27700749922550,1.77,641964077,199597978.0,31.09,5,2017-03-02
92121,015760,한국전력,42950,-200,-0.5,1166862,49900115200,42900,43050,42500,27572357107150,1.79,641964077,199597043.0,31.09,5,2017-03-03
94372,015760,한국전력,42500,-450,-1.0,1144649,48930569850,42750,43200,42500,27283473272500,1.77,641964077,199653419.0,31.1,5,2017-03-06
96623,015760,한국전력,42050,-450,-1.1,1141205,48073766710,42400,42500,41800,26994589437850,1.74,641964077,199440002.0,31.07,5,2017-03-07
98872,015760,한국전력,41550,-500,-1.2,1825575,75561457700,42000,42050,41100,26673607399350,1.72,641964077,199028998.0,31.0,5,2017-03-08
101121,015760,한국전력,41500,-50,-0.1,1297051,54118588950,41600,42300,41500,26641509195500,1.72,641964077,199268543.0,31.04,5,2017-03-09
103370,015760,한국전력,41600,100,0.2,1146879,47564664500,41700,41750,41050,26705705603200,1.71,641964077,199001583.0,31.0,5,2017-03-10
105619,015760,한국전력,42800,1200,2.9,2146114,92160947800,42100,43350,41700,27476062495600,1.75,641964077,199365773.0,31.06,5,2017-03-13
107868,015760,한국전력,42850,50,0.1,1671363,71734419380,43050,43250,42550,27508160699450,1.74,641964077,199559490.0,31.09,5,2017-03-14
110117,015760,한국전력,43200,350,0.8,1716598,74047104550,43050,43500,42950,27732848126400,1.75,641964077,199846284.0,31.13,5,2017-03-15
112365,015760,한국전력,43700,500,1.2,1989711,86802461200,43550,43800,43250,28053830164900,1.76,641964077,199977701.0,31.15,5,2017-03-16
114613,015760,한국전력,44350,650,1.5,4890656,217995489100,43800,45000,43750,28471106814950,1.78,641964077,200851620.0,31.29,5,2017-03-17
116861,015760,한국전력,45600,1250,2.8,3603549,163753089750,44900,45950,44650,29273561911200,1.83,641964077,202045517.0,31.47,5,2017-03-20
119110,015760,한국전력,45900,300,0.7,2993781,136579326490,45800,46100,44800,29466151134300,1.83,641964077,202608098.0,31.56,5,2017-03-21
121359,015760,한국전력,47200,1300,2.8,3816522,178606308350,45750,47450,45600,30300704434400,1.89,641964077,203550328.0,31.71,5,2017-03-22
123608,015760,한국전력,48750,1550,3.3,3832276,185532104250,47600,49000,47500,31295748753750,1.95,641964077,204513989.0,31.86,5,2017-03-23
125858,015760,한국전력,47450,-1300,-2.7,3036174,144890761189,48850,48900,47250,30461195453650,1.9,641964077,204449395.0,31.85,5,2017-03-24
128108,015760,한국전력,47450,0,0.0,1873175,88974876200,47300,48300,46250,30461195453650,1.91,641964077,204382833.0,31.84,5,2017-03-27
130359,015760,한국전력,46700,-750,-1.6,1790280,84314533050,47650,48300,46600,29979722395900,1.87,641964077,204388404.0,31.84,5,2017-03-28
132610,015760,한국전력,46500,-200,-0.4,1694021,78480824650,46650,47100,45900,29851329580500,1.86,641964077,204562671.0,31.87,5,2017-03-29
134861,015760,한국전력,46600,100,0.2,1396017,65092520637,46350,47150,46300,29915525988200,1.86,641964077,204879163.0,31.91,5,2017-03-30
137112,015760,한국전력,46450,-150,-0.3,1399735,65331670800,46650,47100,46100,29819231376650,1.86,641964077,205128499.0,31.95,5,2017-03-31
139364,015760,한국전력,46700,250,0.5,926522,43286107350,46800,47050,46150,29979722395900,1.86,641964077,205370509.0,31.99,5,2017-04-03
141616,015760,한국전력,45700,-1000,-2.1,1473856,67562890400,46600,46650,45600,29337758318900,1.82,641964077,205480071.0,32.01,5,2017-04-04
143868,015760,한국전력,46100,400,0.9,997813,45765318400,46000,46300,45400,29594543949700,1.84,641964077,205609404.0,32.03,5,2017-04-05
146120,015760,한국전력,45650,-450,-1.0,960535,43940895850,46250,46500,45500,29305660115050,1.83,641964077,205581362.0,32.02,5,2017-04-06
148373,015760,한국전력,45050,-600,-1.3,1599830,72029302350,45750,45850,44700,28920481668850,1.8,641964077,205728155.0,32.05,5,2017-04-07
150627,015760,한국전력,44550,-500,-1.1,1383844,61575998700,44700,44750,44350,28599499630350,1.8,641964077,206072101.0,32.1,5,2017-04-10
152881,015760,한국전력,44900,350,0.8,1619753,72016059300,44600,44900,44000,28824187057300,1.82,641964077,206411877.0,32.15,5,2017-04-11
155137,015760,한국전력,44550,-350,-0.8,1654192,73297856640,44850,44900,44100,28599499630350,1.8,641964077,206545245.0,32.17,5,2017-04-12
157392,015760,한국전력,45400,850,1.9,1845419,83379770750,44550,45450,44300,29145169095800,1.82,641964077,206621170.0,32.19,5,2017-04-13
159646,015760,한국전력,44650,-750,-1.6,629408,28137145400,45250,45250,44500,28663696038050,1.8,641964077,206476748.0,32.16,5,2017-04-14
161900,015760,한국전력,44900,250,0.6,723167,32370542640,44750,44900,44350,28824187057300,1.8,641964077,206629441.0,32.19,5,2017-04-17
164153,015760,한국전력,45300,400,0.9,1147697,52185966700,45200,45750,45150,29080972688100,1.81,641964077,206789145.0,32.21,5,2017-04-18
166406,015760,한국전력,44400,-900,-2.0,1339248,59776333900,45200,45300,44400,28503205018800,1.78,641964077,206369557.0,32.15,5,2017-04-19
168659,015760,한국전력,44250,-150,-0.3,1115705,49386979800,44450,44550,44000,28406910407250,1.77,641964077,206295355.0,32.14,5,2017-04-20
170912,015760,한국전력,44150,-100,-0.2,1040769,45878378950,44350,44350,44000,28342713999550,1.76,641964077,206061475.0,32.1,5,2017-04-21
