,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
443,016800,퍼시스,33100,100,0.3,672,22141200,33000,33300,32650,380650000000,0.02,11500000,2957538.0,25.72,444,2018-01-02
2754,016800,퍼시스,33100,0,0.0,1033,34178350,33000,33350,33000,380650000000,0.02,11500000,2958199.0,25.72,444,2018-01-03
5064,016800,퍼시스,33050,-50,-0.2,6859,227276500,33150,33150,32550,380075000000,0.02,11500000,2958181.0,25.72,443,2018-01-04
7382,016800,퍼시스,33050,0,0.0,751,24600450,32800,33050,32500,380075000000,0.02,11500000,2958422.0,25.73,451,2018-01-05
9693,016800,퍼시스,33100,50,0.2,2603,86067450,33100,33250,32600,380650000000,0.02,11500000,2960206.0,25.74,450,2018-01-08
12004,016800,퍼시스,33150,50,0.2,916,30169550,32950,33300,32800,381225000000,0.02,11500000,2960473.0,25.74,449,2018-01-09
14321,016800,퍼시스,33000,-150,-0.4,1419,46949900,32950,33350,32750,379500000000,0.02,11500000,2960934.0,25.75,454,2018-01-10
16637,016800,퍼시스,33050,50,0.2,2262,74934650,32900,33450,32900,380075000000,0.02,11500000,2962338.0,25.76,458,2018-01-11
18948,016800,퍼시스,33300,250,0.8,702,23216900,33050,33450,32900,382950000000,0.02,11500000,2962649.0,25.76,456,2018-01-12
21270,016800,퍼시스,33350,50,0.2,648,21558150,33300,33500,32800,383525000000,0.02,11500000,2962794.0,25.76,465,2018-01-15
23579,016800,퍼시스,33800,450,1.4,2064,69137600,33350,33800,32850,388700000000,0.02,11500000,2964111.0,25.77,461,2018-01-16
25890,016800,퍼시스,33900,100,0.3,1182,39932250,33800,33950,33600,389850000000,0.02,11500000,2964321.0,25.78,459,2018-01-17
28201,016800,퍼시스,34600,700,2.1,2876,98865100,33650,34800,33600,397900000000,0.02,11500000,2965329.0,25.79,457,2018-01-18
30515,016800,퍼시스,34400,-200,-0.6,968,33172050,34500,34750,34000,395600000000,0.02,11500000,2965418.0,25.79,458,2018-01-19
32830,016800,퍼시스,34250,-150,-0.4,585,20036150,34200,34600,34150,393875000000,0.02,11500000,2965638.0,25.79,461,2018-01-22
35147,016800,퍼시스,34350,100,0.3,497,17067900,34250,34600,34000,395025000000,0.02,11500000,2965854.0,25.79,466,2018-01-23
37462,016800,퍼시스,34450,100,0.3,857,29343600,34200,34600,34050,396175000000,0.02,11500000,2965994.0,25.79,469,2018-01-24
39780,016800,퍼시스,34350,-100,-0.3,900,30772050,34050,34550,33750,395025000000,0.02,11500000,2965991.0,25.79,475,2018-01-25
42098,016800,퍼시스,34300,-50,-0.2,430,14681000,34350,34350,33950,394450000000,0.02,11500000,2966120.0,25.79,480,2018-01-26
44409,016800,퍼시스,34300,0,0.0,1032,35014050,34250,34400,33800,394450000000,0.02,11500000,2966223.0,25.79,477,2018-01-29
46717,016800,퍼시스,34400,100,0.3,1446,49665250,34300,34500,34100,395600000000,0.02,11500000,2966691.0,25.8,471,2018-01-30
49027,016800,퍼시스,34600,200,0.6,1018,35015800,34200,34650,34100,397900000000,0.02,11500000,2966899.0,25.8,467,2018-01-31
51339,016800,퍼시스,34700,100,0.3,729,25292650,34600,34800,34300,399050000000,0.02,11500000,2967036.0,25.8,465,2018-02-01
53650,016800,퍼시스,34900,200,0.6,1109,38601650,35000,35000,34650,401350000000,0.02,11500000,2967334.0,25.8,461,2018-02-02
55956,016800,퍼시스,34800,-100,-0.3,1212,41936000,34900,35000,34400,400200000000,0.02,11500000,2967744.0,25.81,452,2018-02-05
58269,016800,퍼시스,34700,-100,-0.3,1045,35987700,34700,34850,34200,399050000000,0.02,11500000,2967910.0,25.81,450,2018-02-06
60576,016800,퍼시스,34700,0,0.0,462,16056400,34550,34950,34450,399050000000,0.02,11500000,2968141.0,25.81,442,2018-02-07
62900,016800,퍼시스,34750,50,0.1,513,17813200,34550,34950,34300,399625000000,0.02,11500000,2968345.0,25.81,452,2018-02-08
65211,016800,퍼시스,34700,-50,-0.1,896,30870650,34350,34850,34200,399050000000,0.02,11500000,2968661.0,25.81,448,2018-02-09
67524,016800,퍼시스,34750,50,0.1,354,12290800,34550,34800,34400,399625000000,0.02,11500000,2968767.0,25.82,446,2018-02-12
69826,016800,퍼시스,35200,450,1.3,1631,56961100,34400,35200,34400,404800000000,0.02,11500000,2969192.0,25.82,432,2018-02-13
72144,016800,퍼시스,35550,350,1.0,2182,77328700,35200,35800,34900,408825000000,0.02,11500000,2969519.0,25.82,434,2018-02-14
74468,016800,퍼시스,35950,400,1.1,4240,152482650,35450,36100,35400,413425000000,0.02,11500000,2968931.0,25.82,443,2018-02-19
76781,016800,퍼시스,35600,-350,-1.0,755,26897350,35650,35900,35450,409400000000,0.02,11500000,2968755.0,25.82,441,2018-02-20
79104,016800,퍼시스,35100,-500,-1.4,523,18362250,35150,35450,35000,403650000000,0.02,11500000,2968611.0,25.81,449,2018-02-21
81426,016800,퍼시스,34500,-600,-1.7,1518,52771450,34850,34950,34400,396750000000,0.02,11500000,2968380.0,25.81,456,2018-02-22
83746,016800,퍼시스,34450,-50,-0.1,840,28854950,34350,35000,34200,396175000000,0.02,11500000,2968198.0,25.81,461,2018-02-23
86061,016800,퍼시스,34250,-200,-0.6,1490,50660900,34300,34300,33800,393875000000,0.02,11500000,2967739.0,25.81,462,2018-02-26
88384,016800,퍼시스,33750,-500,-1.5,1411,47467850,33900,34000,33450,388125000000,0.02,11500000,2967368.0,25.8,471,2018-02-27
90695,016800,퍼시스,33200,-550,-1.6,1350,44816650,33500,34050,33100,381800000000,0.02,11500000,2967069.0,25.8,468,2018-02-28
93001,016800,퍼시스,33550,350,1.0,1236,41482650,33200,33750,33050,385825000000,0.02,11500000,2966639.0,25.8,460,2018-03-02
95306,016800,퍼시스,33550,0,0.0,1136,37800050,33200,33750,33150,385825000000,0.02,11500000,2966384.0,25.79,452,2018-03-05
97626,016800,퍼시스,33800,250,0.8,607,20470450,33400,33950,33250,388700000000,0.02,11500000,2966384.0,25.79,459,2018-03-06
99933,016800,퍼시스,33650,-150,-0.4,119,4004400,33650,34000,33350,386975000000,0.02,11500000,2966384.0,25.79,453,2018-03-07
102264,016800,퍼시스,32600,-1050,-3.1,11744,378099650,33600,34000,31600,374900000000,0.02,11500000,2965084.0,25.78,471,2018-03-08
104581,016800,퍼시스,32650,50,0.2,1058,34476550,32650,32900,32200,375475000000,0.02,11500000,2964983.0,25.78,475,2018-03-09
106898,016800,퍼시스,32850,200,0.6,721,23636250,32650,33000,32650,377775000000,0.02,11500000,2964811.0,25.78,480,2018-03-12
109215,016800,퍼시스,32800,-50,-0.2,291,9560400,32700,33000,32600,377200000000,0.02,11500000,2964811.0,25.78,485,2018-03-13
111528,016800,퍼시스,32700,-100,-0.3,271,8820500,32800,33000,32400,376050000000,0.02,11500000,2964811.0,25.78,487,2018-03-14
113842,016800,퍼시스,32750,50,0.2,179,5828000,32450,32900,32450,376625000000,0.02,11500000,2964811.0,25.78,488,2018-03-15
116160,016800,퍼시스,32400,-350,-1.1,1048,33983000,32600,32900,32200,372600000000,0.02,11500000,2964579.0,25.78,493,2018-03-16
118466,016800,퍼시스,32550,150,0.5,2705,87806950,32400,32750,32300,374325000000,0.02,11500000,2963381.0,25.77,486,2018-03-19
120781,016800,퍼시스,32750,200,0.6,460,14981350,32500,32850,32500,376625000000,0.02,11500000,2963381.0,25.77,488,2018-03-20
123097,016800,퍼시스,32600,-150,-0.5,2272,73676950,32300,32850,32300,374900000000,0.02,11500000,2961188.0,25.75,492,2018-03-21
125405,016800,퍼시스,32600,0,0.0,943,30812950,32500,33000,32500,374900000000,0.02,11500000,2961003.0,25.75,488,2018-03-22
127696,016800,퍼시스,32550,-50,-0.2,970,31472000,32300,32600,32200,374325000000,0.02,11500000,2960526.0,25.74,466,2018-03-23
130025,016800,퍼시스,32250,-300,-0.9,725,23386850,32550,32750,32000,370875000000,0.02,11500000,2960525.0,25.74,482,2018-03-26
132343,016800,퍼시스,32000,-250,-0.8,1823,58541000,32250,32300,32000,368000000000,0.02,11500000,2960537.0,25.74,487,2018-03-27
134654,016800,퍼시스,31850,-150,-0.5,6245,198489950,32200,32600,31500,366275000000,0.02,11500000,2960111.0,25.74,485,2018-03-28
136973,016800,퍼시스,31700,-150,-0.5,339,10751250,31850,32100,31650,364550000000,0.02,11500000,2960112.0,25.74,491,2018-03-29
139297,016800,퍼시스,31400,-300,-1.0,3430,107309300,31300,32100,31000,361100000000,0.02,11500000,2960112.0,25.74,502,2018-03-30
141604,016800,퍼시스,31500,100,0.3,1002,31521350,31500,31700,31400,362250000000,0.02,11500000,2960112.0,25.74,498,2018-04-02
143918,016800,퍼시스,31450,-50,-0.2,202,6320150,31500,31500,31100,361675000000,0.02,11500000,2960113.0,25.74,500,2018-04-03
146227,016800,퍼시스,31450,0,0.0,6428,202510700,31400,31900,31100,361675000000,0.02,11500000,2963963.0,25.77,497,2018-04-04
148542,016800,퍼시스,31300,-150,-0.5,1251,39369800,31700,31700,31150,359950000000,0.02,11500000,2963963.0,25.77,499,2018-04-05
150861,016800,퍼시스,31000,-300,-1.0,2053,63584400,31300,31500,30900,356500000000,0.02,11500000,2963965.0,25.77,505,2018-04-06
153172,016800,퍼시스,31200,200,0.6,1255,38509150,31000,31200,30500,358800000000,0.02,11500000,2963967.0,25.77,502,2018-04-09
155484,016800,퍼시스,31400,200,0.6,286,8902300,31050,31400,30750,361100000000,0.02,11500000,2963967.0,25.77,500,2018-04-10
157802,016800,퍼시스,31350,-50,-0.2,2454,75384300,30900,31400,30500,360525000000,0.02,11500000,2963967.0,25.77,504,2018-04-11
160113,016800,퍼시스,31500,150,0.5,655,20359750,30800,31500,30800,362250000000,0.02,11500000,2964698.0,25.78,501,2018-04-12
162432,016800,퍼시스,31500,0,0.0,4956,153515100,31350,31500,30700,362250000000,0.02,11500000,2965199.0,25.78,506,2018-04-13
164759,016800,퍼시스,30950,-550,-1.8,1202,37217950,31200,31500,30900,355925000000,0.02,11500000,2965199.0,25.78,519,2018-04-16
167065,016800,퍼시스,31450,500,1.6,1402,44060800,31000,31750,31000,361675000000,0.02,11500000,2965474.0,25.79,511,2018-04-17
169385,016800,퍼시스,31400,-50,-0.2,1958,61463800,31150,31650,31150,361100000000,0.02,11500000,2965470.0,25.79,518,2018-04-18
171693,016800,퍼시스,31450,50,0.2,779,24448200,31200,31550,31150,361675000000,0.02,11500000,2965470.0,25.79,514,2018-04-19
174005,016800,퍼시스,31550,100,0.3,1195,37554350,31400,31650,31300,362825000000,0.02,11500000,2965470.0,25.79,514,2018-04-20
176310,016800,퍼시스,31500,-50,-0.2,771,24140800,31550,31650,31200,362250000000,0.02,11500000,2965468.0,25.79,507,2018-04-23
178626,016800,퍼시스,31500,0,0.0,1098,34277650,31250,31700,31100,362250000000,0.02,11500000,2965468.0,25.79,511,2018-04-24
180931,016800,퍼시스,31750,250,0.8,262,8305850,31250,31800,31250,365125000000,0.02,11500000,2965468.0,25.79,504,2018-04-25
183252,016800,퍼시스,31450,-300,-0.9,544,17111950,31550,31850,31250,361675000000,0.02,11500000,2965468.0,25.79,514,2018-04-26
185565,016800,퍼시스,31000,-450,-1.4,2561,79517650,31200,31800,30900,356500000000,0.02,11500000,2965707.0,25.79,516,2018-04-27
187880,016800,퍼시스,30800,-200,-0.6,2346,72673800,31000,31300,30800,354200000000,0.02,11500000,2964776.0,25.78,519,2018-04-30
190192,016800,퍼시스,30800,0,0.0,1698,52224750,30800,31100,30650,354200000000,0.02,11500000,2963834.0,25.77,519,2018-05-02
192505,016800,퍼시스,30550,-250,-0.8,3632,110387000,30800,30900,30150,351325000000,0.02,11500000,2962333.0,25.76,520,2018-05-03
194809,016800,퍼시스,30600,50,0.2,1049,31848100,30600,30600,30200,351900000000,0.02,11500000,2962338.0,25.76,512,2018-05-04
197121,016800,퍼시스,30300,-300,-1.0,1878,56839200,30300,30600,30200,348450000000,0.02,11500000,2961182.0,25.75,513,2018-05-08
199436,016800,퍼시스,30450,150,0.5,1297,39367850,30300,30700,30250,350175000000,0.02,11500000,2959946.0,25.74,516,2018-05-09
201748,016800,퍼시스,30500,50,0.2,1471,44754200,30350,30700,30350,350750000000,0.02,11500000,2958894.0,25.73,517,2018-05-10
204060,016800,퍼시스,30650,150,0.5,1348,41290450,30500,30800,30450,352475000000,0.02,11500000,2958959.0,25.73,518,2018-05-11
206372,016800,퍼시스,30450,-200,-0.6,1697,51664800,30650,30750,30350,350175000000,0.02,11500000,2957614.0,25.72,519,2018-05-14
208685,016800,퍼시스,30150,-300,-1.0,2499,75494550,30450,30500,30050,346725000000,0.02,11500000,2956340.0,25.71,522,2018-05-15
210981,016800,퍼시스,30450,300,1.0,1877,57075350,30200,30700,30200,350175000000,0.02,11500000,2955432.0,25.7,508,2018-05-16
213298,016800,퍼시스,30350,-100,-0.3,1378,41829300,30500,30700,30250,349025000000,0.02,11500000,2954387.0,25.69,514,2018-05-17
215610,016800,퍼시스,30700,350,1.2,548,16754350,30350,30800,30350,353050000000,0.02,11500000,2954387.0,25.69,515,2018-05-18
217921,016800,퍼시스,30750,50,0.2,1966,60070450,30700,30900,30400,353625000000,0.02,11500000,2952888.0,25.68,515,2018-05-21
220233,016800,퍼시스,30550,-200,-0.6,2131,65152850,30650,30800,30450,351325000000,0.02,11500000,2951087.0,25.66,516,2018-05-23
222540,016800,퍼시스,30600,50,0.2,2936,89918150,30400,30800,30400,351900000000,0.02,11500000,2948987.0,25.64,513,2018-05-24
224843,016800,퍼시스,30850,250,0.8,2015,61748950,30500,31200,30500,354775000000,0.02,11500000,2947867.0,25.63,506,2018-05-25
227156,016800,퍼시스,30850,0,0.0,3035,93540100,30800,31000,30600,354775000000,0.02,11500000,2946002.0,25.62,509,2018-05-28
229461,016800,퍼시스,30900,50,0.2,554,17066500,30800,31000,30650,355350000000,0.02,11500000,2946003.0,25.62,504,2018-05-29
231766,016800,퍼시스,30900,0,0.0,2382,73161650,30850,30900,30650,355350000000,0.02,11500000,2944477.0,25.6,498,2018-05-30
