,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
692,020760,일진디스플,7530,-170,-2.2,231685,1744738500,7650,7680,7450,213207733200,0.01,28314440,1344584.0,4.75,693,2018-01-02
3001,020760,일진디스플,7650,120,1.6,278386,2140351700,7540,7830,7470,216605466000,0.01,28314440,1334114.0,4.71,691,2018-01-03
5321,020760,일진디스플,7490,-160,-2.1,143607,1087101690,7770,7770,7470,212075155600,0.01,28314440,1332560.0,4.71,700,2018-01-04
7636,020760,일진디스플,7550,60,0.8,144007,1085602120,7490,7630,7480,213774022000,0.01,28314440,1354504.0,4.78,705,2018-01-05
9958,020760,일진디스플,7300,-250,-3.3,299884,2198347650,7600,7600,7200,206695412000,0.01,28314440,1308681.0,4.62,715,2018-01-08
12261,020760,일진디스플,7450,150,2.0,274306,2036763680,7190,7550,7180,210942578000,0.01,28314440,1390562.0,4.91,706,2018-01-09
14586,020760,일진디스플,7340,-110,-1.5,214478,1571442570,7490,7490,7270,207827989600,0.01,28314440,1362671.0,4.81,719,2018-01-10
16896,020760,일진디스플,7410,70,1.0,178670,1312423860,7390,7470,7250,209810000400,0.01,28314440,1453969.0,5.14,717,2018-01-11
19213,020760,일진디스플,7300,-110,-1.5,449309,3255930290,7430,7500,7110,206695412000,0.01,28314440,1410021.0,4.98,721,2018-01-12
21491,020760,일진디스플,7780,480,6.6,528482,4028564720,7350,7790,7260,220286343200,0.01,28314440,1518269.0,5.36,686,2018-01-15
23811,020760,일진디스플,7770,-10,-0.1,388947,3017123180,7770,7880,7580,220003198800,0.01,28314440,1476126.0,5.21,693,2018-01-16
26129,020760,일진디스플,7800,30,0.4,370506,2877921340,7870,7910,7600,220852632000,0.01,28314440,1391523.0,4.91,698,2018-01-17
28425,020760,일진디스플,8100,300,3.8,556877,4507391530,7830,8190,7800,229346964000,0.01,28314440,1376399.0,4.86,681,2018-01-18
30773,020760,일진디스플,7630,-470,-5.8,626374,4870436280,8100,8150,7560,216039177200,0.01,28314440,1204372.0,4.25,716,2018-01-19
33105,020760,일진디스플,7300,-330,-4.3,471018,3472241360,7610,7650,7270,206695412000,0.01,28314440,1133208.0,4.0,736,2018-01-22
35417,020760,일진디스플,7400,100,1.4,235162,1731073900,7310,7470,7120,209526856000,0.01,28314440,1135866.0,4.01,736,2018-01-23
37730,020760,일진디스플,7500,100,1.4,230295,1741177530,7400,7690,7350,212358300000,0.01,28314440,1149960.0,4.06,737,2018-01-24
40026,020760,일진디스플,7710,210,2.8,241589,1836676740,7490,7710,7450,218304332400,0.01,28314440,1164538.0,4.11,721,2018-01-25
42350,020760,일진디스플,7740,30,0.4,199336,1535150970,7730,7790,7630,219153765600,0.01,28314440,1170338.0,4.13,732,2018-01-26
44666,020760,일진디스플,7750,10,0.1,234033,1809337530,7800,7810,7640,219436910000,0.01,28314440,1176703.0,4.16,734,2018-01-29
46997,020760,일진디스플,7510,-240,-3.1,278002,2114863680,7740,7750,7510,212641444400,0.01,28314440,1187040.0,4.19,751,2018-01-30
49312,020760,일진디스플,7470,-40,-0.5,253533,1907857950,7450,7700,7400,211508866800,0.01,28314440,1206420.0,4.26,752,2018-01-31
51601,020760,일진디스플,7850,380,5.1,409024,3158979760,7470,7860,7430,222268354000,0.01,28314440,1320318.0,4.66,727,2018-02-01
53884,020760,일진디스플,8160,310,4.0,1236385,10038424250,7900,8480,7720,231045830400,0.01,28314440,1427328.0,5.04,695,2018-02-02
56180,020760,일진디스플,8270,110,1.4,1147114,9523513140,8140,8560,7950,234160418800,0.01,28314440,1415467.0,5.0,676,2018-02-05
58504,020760,일진디스플,7900,-370,-4.5,884138,6907744700,7820,8170,7550,223684076000,0.01,28314440,1314761.0,4.64,685,2018-02-06
60839,020760,일진디스플,7470,-430,-5.4,631065,4909266840,8220,8220,7470,211508866800,0.01,28314440,1193883.0,4.22,705,2018-02-07
63166,020760,일진디스플,7450,-20,-0.3,396546,2952454860,7350,7570,7290,210942578000,0.01,28314440,1178767.0,4.16,718,2018-02-08
65505,020760,일진디스플,6970,-480,-6.4,756431,5335244550,7150,7250,6940,197351646800,0.01,28314440,1085748.0,3.83,742,2018-02-09
67822,020760,일진디스플,7000,30,0.4,251792,1770082010,7050,7120,6950,198201080000,0.01,28314440,1059518.0,3.74,744,2018-02-12
70149,020760,일진디스플,6800,-200,-2.9,306688,2119975530,7090,7160,6780,192538192000,0.01,28314440,1046270.0,3.7,755,2018-02-13
72463,020760,일진디스플,6980,180,2.6,172948,1187497520,6770,7000,6730,197634791200,0.01,28314440,1010842.0,3.57,753,2018-02-14
74785,020760,일진디스플,7010,30,0.4,154997,1089106860,7050,7120,6970,198484224400,0.01,28314440,983631.0,3.47,760,2018-02-19
77094,020760,일진디스플,7040,30,0.4,181143,1281922370,7000,7190,6960,199333657600,0.01,28314440,987449.0,3.49,754,2018-02-20
79408,020760,일진디스플,7170,130,1.8,126028,899650080,7080,7190,7050,203014534800,0.01,28314440,992032.0,3.5,753,2018-02-21
81726,020760,일진디스플,7040,-130,-1.8,181926,1285613280,7100,7180,7010,199333657600,0.01,28314440,1000649.0,3.53,756,2018-02-22
84042,020760,일진디스플,7070,30,0.4,131202,923506290,7040,7130,6990,200183090800,0.01,28314440,1005954.0,3.55,757,2018-02-23
86356,020760,일진디스플,7110,40,0.6,138667,986887610,7180,7180,7080,201315668400,0.01,28314440,1012996.0,3.58,757,2018-02-26
88673,020760,일진디스플,7120,10,0.1,107113,763438090,7190,7190,7100,201598812800,0.01,28314440,1019196.0,3.6,760,2018-02-27
90990,020760,일진디스플,6950,-170,-2.4,155452,1085619140,7100,7120,6910,196785358000,0.01,28314440,1006184.0,3.55,763,2018-02-28
93304,020760,일진디스플,6900,-50,-0.7,131971,899271070,6850,6930,6740,195369636000,0.01,28314440,1025069.0,3.62,763,2018-03-02
95670,020760,일진디스플,6300,-600,-8.7,708945,4585061240,6800,6870,6280,178380972000,0.01,28314440,953497.0,3.37,816,2018-03-05
97972,020760,일진디스플,6410,110,1.8,155421,998893830,6340,6480,6340,181495560400,0.01,28314440,1005917.0,3.55,805,2018-03-06
100292,020760,일진디스플,6280,-130,-2.0,203759,1289299710,6400,6450,6260,177814683200,0.01,28314440,1060609.0,3.75,812,2018-03-07
102579,020760,일진디스플,6600,320,5.1,244552,1592609240,6380,6610,6320,186875304000,0.01,28314440,1144029.0,4.04,786,2018-03-08
104891,020760,일진디스플,6730,130,2.0,153687,1034263080,6600,6850,6580,190556181200,0.01,28314440,1170461.0,4.13,785,2018-03-09
107206,020760,일진디스플,6780,50,0.7,130640,887539170,6820,6850,6760,191971903200,0.01,28314440,1193572.0,4.22,788,2018-03-12
109519,020760,일진디스플,6730,-50,-0.7,130128,876904670,6850,6850,6690,190556181200,0.01,28314440,1201532.0,4.24,789,2018-03-13
111824,020760,일진디스플,6880,150,2.2,141309,962311850,6650,6880,6650,194803347200,0.01,28314440,1234265.0,4.36,783,2018-03-14
114134,020760,일진디스플,6960,80,1.2,242683,1685025570,7000,7050,6830,197068502400,0.01,28314440,1207927.0,4.27,780,2018-03-15
116451,020760,일진디스플,6890,-70,-1.0,75230,517280860,6970,6990,6830,195086491600,0.01,28314440,1219966.0,4.31,784,2018-03-16
