,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
38,024110,기업은행,16400,-50,-0.3,612644,10041511850,16450,16450,16300,9183652566000,0.48,559978815,115110085.0,20.56,39,2018-01-02
2348,024110,기업은행,16450,50,0.3,1076056,17623479250,16300,16550,16300,9211651506750,0.48,559978815,115687138.0,20.66,38,2018-01-03
4659,024110,기업은행,16400,-50,-0.3,1095684,17873408200,16550,16550,16150,9183652566000,0.48,559978815,116123222.0,20.74,38,2018-01-04
6968,024110,기업은행,16750,350,2.1,1358388,22595688700,16350,16950,16300,9379645151250,0.49,559978815,117157486.0,20.92,37,2018-01-05
9281,024110,기업은행,16800,50,0.3,1333799,22220480466,16900,16900,16500,9407644092000,0.49,559978815,117615989.0,21.0,38,2018-01-08
11593,024110,기업은행,16800,0,0.0,1348541,22769012050,16900,17200,16700,9407644092000,0.49,559978815,117767864.0,21.03,38,2018-01-09
13906,024110,기업은행,16900,100,0.6,1037103,17565398950,16800,17100,16800,9463641973500,0.49,559978815,118048180.0,21.08,39,2018-01-10
16216,024110,기업은행,17100,200,1.2,1311847,22244572150,17050,17150,16550,9575637736500,0.5,559978815,118298234.0,21.13,37,2018-01-11
18529,024110,기업은행,17100,0,0.0,846803,14512343000,17250,17250,17000,9575637736500,0.49,559978815,118486849.0,21.16,37,2018-01-12
20843,024110,기업은행,16900,-200,-1.2,866394,14727280050,17100,17250,16750,9463641973500,0.49,559978815,118768658.0,21.21,38,2018-01-15
23157,024110,기업은행,16550,-350,-2.1,1455267,24014187900,16800,16850,16400,9267649388250,0.47,559978815,119246215.0,21.29,39,2018-01-16
25468,024110,기업은행,16850,300,1.8,929867,15505044350,16550,16850,16500,9435643032750,0.48,559978815,119809109.0,21.4,37,2018-01-17
27782,024110,기업은행,16500,-350,-2.1,638981,10607151100,16850,16900,16450,9239650447500,0.47,559978815,119849338.0,21.4,38,2018-01-18
30095,024110,기업은행,16700,200,1.2,941571,15577807750,16500,16700,16450,9351646210500,0.48,559978815,120203812.0,21.47,38,2018-01-19
32407,024110,기업은행,16550,-150,-0.9,983081,16207360000,16800,16800,16350,9267649388250,0.48,559978815,120486781.0,21.52,38,2018-01-22
34719,024110,기업은행,17000,450,2.7,1293841,21908113150,16600,17100,16500,9519639855000,0.48,559978815,120709237.0,21.56,38,2018-01-23
37031,024110,기업은행,16900,-100,-0.6,688441,11664101250,16950,17100,16850,9463641973500,0.48,559978815,120646299.0,21.54,38,2018-01-24
39343,024110,기업은행,16650,-250,-1.5,1108469,18514651200,16850,17000,16550,9323647269750,0.47,559978815,120822526.0,21.58,38,2018-01-25
41657,024110,기업은행,16600,-50,-0.3,770149,12758243900,16650,16700,16500,9295648329000,0.46,559978815,120811872.0,21.57,39,2018-01-26
43971,024110,기업은행,16650,50,0.3,812745,13536858350,16650,16800,16550,9323647269750,0.46,559978815,120966558.0,21.6,39,2018-01-29
46285,024110,기업은행,16750,100,0.6,990967,16620064000,16700,16900,16600,9379645151250,0.47,559978815,121319469.0,21.67,39,2018-01-30
48599,024110,기업은행,16650,-100,-0.6,1206296,19906129100,16650,16700,16150,9323647269750,0.47,559978815,121401307.0,21.68,39,2018-01-31
50913,024110,기업은행,16650,0,0.0,608015,10116866500,16650,16750,16450,9323647269750,0.47,559978815,121547234.0,21.71,39,2018-02-01
53227,024110,기업은행,16750,100,0.6,690488,11500099350,16600,16750,16550,9379645151250,0.48,559978815,121700733.0,21.73,38,2018-02-02
55541,024110,기업은행,17100,350,2.1,1503860,25513060550,16650,17200,16600,9575637736500,0.5,559978815,122050858.0,21.8,37,2018-02-05
57858,024110,기업은행,16300,-800,-4.7,1704529,28016395250,16800,16850,16200,9127654684500,0.48,559978815,121570421.0,21.71,39,2018-02-06
60172,024110,기업은행,16200,-100,-0.6,1315804,21461609950,16500,16550,16100,9071656803000,0.49,559978815,121747818.0,21.74,38,2018-02-07
62487,024110,기업은행,15950,-250,-1.5,1321553,21142689100,16100,16200,15800,8931662099250,0.48,559978815,121901388.0,21.77,39,2018-02-08
64801,024110,기업은행,15700,-250,-1.6,1015665,15918640200,15500,16050,15300,8791667395500,0.48,559978815,122181709.0,21.82,38,2018-02-09
67115,024110,기업은행,16450,750,4.8,1044690,16914309050,15800,16500,15800,9211651506750,0.5,559978815,122202146.0,21.82,37,2018-02-12
69431,024110,기업은행,16350,-100,-0.6,874148,14337882750,16600,16600,16250,9155653625250,0.49,559978815,122069601.0,21.8,37,2018-02-13
71748,024110,기업은행,16400,50,0.3,968016,15937651600,16400,16700,16250,9183652566000,0.49,559978815,122280243.0,21.84,38,2018-02-14
74063,024110,기업은행,16800,400,2.4,718168,12048248650,16750,16850,16600,9407644092000,0.49,559978815,122384213.0,21.86,38,2018-02-19
76378,024110,기업은행,16700,-100,-0.6,501901,8393793150,16850,16900,16500,9351646210500,0.5,559978815,122613423.0,21.9,38,2018-02-20
78693,024110,기업은행,16500,-200,-1.2,940505,15536477850,16550,16750,16400,9239650447500,0.49,559978815,122768536.0,21.92,38,2018-02-21
81008,024110,기업은행,16700,200,1.2,653877,10810307750,16500,16700,16350,9351646210500,0.5,559978815,122942464.0,21.95,38,2018-02-22
83323,024110,기업은행,16800,100,0.6,731881,12267481750,16600,16850,16600,9407644092000,0.49,559978815,123165740.0,21.99,38,2018-02-23
85636,024110,기업은행,17050,250,1.5,775705,13167461500,16800,17050,16750,9547638795750,0.5,559978815,123233827.0,22.01,37,2018-02-26
87951,024110,기업은행,17150,100,0.6,1012699,17350934450,17150,17250,17000,9603636677250,0.5,559978815,123786592.0,22.11,38,2018-02-27
90265,024110,기업은행,17200,50,0.3,1090174,18653609850,17150,17200,16800,9631635618000,0.51,559978815,124008904.0,22.15,38,2018-02-28
92579,024110,기업은행,16750,-450,-2.6,762165,12868357050,17200,17200,16700,9379645151250,0.5,559978815,124122682.0,22.17,38,2018-03-02
94892,024110,기업은행,16300,-450,-2.7,781814,12825823700,16650,16800,16200,9127654684500,0.49,559978815,124192989.0,22.18,38,2018-03-05
97205,024110,기업은행,16250,-50,-0.3,780190,12708761200,16400,16550,16150,9099655743750,0.48,559978815,124216456.0,22.18,38,2018-03-06
