,account_nm,thstrm_amount
0,비유동자산,460107502361
1,유형자산,369964582321
2,무형자산,12865840165
3,관계기업투자주식,5906297426
4,장기기타금융자산,65377469095
5,장기기타수취채권,1875489775
6,이연법인세자산,4117823579
7,기타비유동자산,0
8,유동자산,415062554131
9,재고자산,92615395078
10,매출채권,161435279959
11,기타수취채권,7922621392
12,기타금융자산,98785697284
13,기타유동자산,2502012106
14,현금및현금성자산,51801548312
15,자산총계,875170056492
16,지배기업의 소유주에게 귀속되는 자본,675562703332
17,자본금,5207500000
18,자본잉여금,25704895831
19,기타자본,34630580250
20,이익잉여금(결손금),610019727251
21,비지배지분,0
22,자본총계,675562703332
23,비유동부채,44566480060
24,장기차입금,0
25,퇴직급여채무,34394545167
26,충당부채,10171934893
27,유동부채,155040873100
28,단기차입금,2797528383
29,매입채무,97516137801
30,미지급금,42434571598
31,당기법인세부채,6045124004
32,기타유동부채,6247511314
33,부채총계,199607353160
34,자본과부채총계,875170056492
35,매출액,744446391461
36,매출원가,624227233792
37,매출총이익,120219157669
38,판매비와관리비,54074145082
39,영업이익(손실),66145012587
40,기타수익,5591262423
41,기타비용,10251608669
42,금융수익,2933349970
43,금융비용,768646946
44,지분법이익,460036518
45,지분법손실,0
46,법인세비용차감전순이익(손실),64109405883
47,법인세비용,14291318529
48,당기순이익(손실),49818087354
49,기타포괄손익,18626088570
50,후속적으로 손익으로 재분류되지 않는항목,1257559927
51,확정급여제도의 재측정요소,1257559927
52,후속적으로 손익으로 재분류되는 항목,17368528643
53,매도가능금융자산평가손익,21208025177
54,해외사업장환산손익,-3198799560
55,지분법자본변동,-640696974
56,총포괄손익,68444175924
57,기본주당이익(손실),4783
58,영업활동현금흐름,76711750957
59,영업활동에서 창출된 현금흐름,98453473558
60,이자수취(영업),1845008699
61,배당금수취(영업),1162653050
62,법인세납부(환급),24749384350
63,투자활동현금흐름,-75448246170
64,기타금융자산의 감소,63800000000
65,기타수취채권(대여금)의 감소,28063390
66,장기기타금융자산의 감소,360188547
67,유형자산의 처분,2926057312
68,장기대여금및수취채권의 처분,0
69,기타금융자산의 증가,58147294111
70,기타수취채권의 증가,76158860
71,장기기타금융자산의 증가,2625000000
72,장기기타수취채권의 증가,573517800
73,유형자산의 취득,77888127917
74,무형자산의 취득,3252456731
75,재무활동현금흐름,-12119622935
76,단기차입금의 차입,5710064714
77,단기차입금의 상환,10377357737
78,배당금의 지급,7290500000
79,이자의 지급,161829912
80,연결범위의 변동으로 인한 증가,-4649184594
81,외화표시현금및현금성자산의환율변동효과,-513153180
82,현금및현금성자산의순증감,-16018455922
83,기초현금및현금성자산,67820004234
84,기말현금및현금성자산,51801548312
85,기초자본,614409027408
86,기초자본,17262051607
87,기초자본,566234579970
88,기초자본,5207500000
89,기초자본,25704895831
90,당기순이익(손실),49818087354
91,당기순이익(손실),49818087354
92,확정급여제도의재측정요소,1257559927
93,확정급여제도의재측정요소,1257559927
94,매도가능금융자산평가손익,21208025177
95,매도가능금융자산평가손익,21208025177
96,해외사업장환산손익,-3198799560
97,해외사업장환산손익,-3198799560
98,지분법자본변동,-640696974
99,지분법자본변동,-640696974
100,배당금지급,-7290500000
101,배당금지급,-7290500000
102,기말자본,675562703332
103,기말자본,34630580250
104,기말자본,610019727251
105,기말자본,5207500000
106,기말자본,25704895831
