,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
340,025860,남해화학,8400,0,0.0,37681,313536630,8350,8470,8220,417302281200,0.03,49678843,1942891.0,3.91,341,2017-01-02
2588,025860,남해화학,8410,10,0.1,31592,264587910,8410,8430,8320,417799069630,0.03,49678843,1969090.0,3.96,342,2017-01-03
4826,025860,남해화학,8610,200,2.4,75233,642830040,8450,8620,8390,427734838230,0.03,49678843,1987892.0,4.0,333,2017-01-04
7075,025860,남해화학,8610,0,0.0,63234,543304870,8610,8690,8540,427734838230,0.03,49678843,1986186.0,4.0,335,2017-01-05
9312,025860,남해화학,8920,310,3.6,443921,3918053280,8560,8980,8530,443135279560,0.03,49678843,2070785.0,4.17,325,2017-01-06
11563,025860,남해화학,8750,-170,-1.9,172721,1518748900,8900,8920,8690,434689876250,0.03,49678843,2034045.0,4.09,329,2017-01-09
13803,025860,남해화학,8930,180,2.1,141112,1252738780,8790,8940,8760,443632067990,0.03,49678843,2059611.0,4.15,322,2017-01-10
16049,025860,남해화학,8900,-30,-0.3,58918,525325960,8860,8970,8860,442141702700,0.03,49678843,2074108.0,4.18,321,2017-01-11
18295,025860,남해화학,8880,-20,-0.2,52382,463679960,8820,8930,8790,441148125840,0.03,49678843,2097305.0,4.22,321,2017-01-12
20541,025860,남해화학,8910,30,0.3,79309,704310240,8860,8920,8800,442638491130,0.03,49678843,2110827.0,4.25,321,2017-01-13
22794,025860,남해화학,8850,-60,-0.7,66270,589779470,8890,8970,8810,439657760550,0.03,49678843,2069867.0,4.17,327,2017-01-16
25039,025860,남해화학,8880,30,0.3,77305,686955580,8850,8960,8840,441148125840,0.03,49678843,2045972.0,4.12,324,2017-01-17
27289,025860,남해화학,8830,-50,-0.6,68266,606611840,8950,8960,8820,438664183690,0.03,49678843,2053050.0,4.13,328,2017-01-18
29537,025860,남해화학,8720,-110,-1.2,69787,613228570,8870,8910,8720,433199510960,0.03,49678843,2062418.0,4.15,330,2017-01-19
31781,025860,남해화학,8760,40,0.5,46759,409381910,8660,8840,8660,435186664680,0.03,49678843,2081113.0,4.19,328,2017-01-20
34022,025860,남해화학,8820,60,0.7,42387,374486900,8760,8900,8760,438167395260,0.03,49678843,2094712.0,4.22,325,2017-01-23
36266,025860,남해화학,8800,-20,-0.2,35522,311196620,8890,8900,8710,437173818400,0.03,49678843,2099629.0,4.23,325,2017-01-24
38509,025860,남해화학,8690,-110,-1.2,57011,497499000,8800,8850,8690,431709145670,0.03,49678843,2101647.0,4.23,323,2017-01-25
40759,025860,남해화학,8620,-70,-0.8,57619,496155370,8750,8750,8570,428231626660,0.03,49678843,2106688.0,4.24,327,2017-01-26
43001,025860,남해화학,8650,30,0.4,52361,449095800,8610,8650,8490,429721991950,0.03,49678843,2107903.0,4.24,323,2017-01-31
45247,025860,남해화학,8770,120,1.4,43463,379918660,8660,8800,8650,435683453110,0.03,49678843,2116635.0,4.26,323,2017-02-01
47486,025860,남해화학,8900,130,1.5,83183,739594450,8800,8950,8750,442141702700,0.03,49678843,2153100.0,4.33,316,2017-02-02
49735,025860,남해화학,8800,-100,-1.1,58940,521319130,8980,8980,8770,437173818400,0.03,49678843,2145129.0,4.32,318,2017-02-03
51984,025860,남해화학,8760,-40,-0.4,31855,279963840,8790,8860,8740,435186664680,0.03,49678843,2144340.0,4.32,320,2017-02-06
54226,025860,남해화학,8820,60,0.7,31512,277310610,8870,8870,8750,438167395260,0.03,49678843,2141731.0,4.31,315,2017-02-07
56474,025860,남해화학,8820,0,0.0,37552,330213620,8820,8870,8690,438167395260,0.03,49678843,2143909.0,4.32,316,2017-02-08
58718,025860,남해화학,8870,50,0.6,32222,284385090,8770,8880,8770,440651337410,0.03,49678843,2156777.0,4.34,313,2017-02-09
60971,025860,남해화학,8830,-40,-0.4,61432,542667050,8790,8920,8760,438664183690,0.03,49678843,2172098.0,4.37,319,2017-02-10
63220,025860,남해화학,8820,-10,-0.1,22852,201515700,8840,8880,8780,438167395260,0.03,49678843,2174927.0,4.38,321,2017-02-13
65469,025860,남해화학,8780,-40,-0.4,60277,529276560,8890,8890,8740,436180241540,0.03,49678843,2192240.0,4.41,323,2017-02-14
67712,025860,남해화학,9000,220,2.5,170086,1513468720,8780,9000,8710,447109587000,0.03,49678843,2254937.0,4.54,319,2017-02-15
69963,025860,남해화학,8880,-120,-1.3,71435,636899420,9000,9030,8880,441148125840,0.03,49678843,2250851.0,4.53,323,2017-02-16
72210,025860,남해화학,8890,10,0.1,45399,404260900,8960,8960,8850,441644914270,0.03,49678843,2275849.0,4.58,323,2017-02-17
74457,025860,남해화학,8850,-40,-0.4,34150,303148800,8890,8950,8840,439657760550,0.03,49678843,2289089.0,4.61,323,2017-02-20
76697,025860,남해화학,8940,90,1.0,70296,630561250,8900,9000,8870,444128856420,0.03,49678843,2296441.0,4.62,316,2017-02-21
78945,025860,남해화학,8920,-20,-0.2,30084,268658100,8970,9000,8910,443135279560,0.03,49678843,2300134.0,4.63,318,2017-02-22
81190,025860,남해화학,8910,-10,-0.1,34219,304760490,8990,8990,8880,442638491130,0.03,49678843,2308000.0,4.65,317,2017-02-23
83439,025860,남해화학,8900,-10,-0.1,28496,253290470,8880,8960,8840,442141702700,0.03,49678843,2316419.0,4.66,318,2017-02-24
85682,025860,남해화학,8980,80,0.9,33966,304735840,8920,9010,8900,446116010140,0.03,49678843,2320991.0,4.67,313,2017-02-27
87926,025860,남해화학,9080,100,1.1,90876,822848280,8990,9110,8900,451083894440,0.03,49678843,2344400.0,4.72,309,2017-02-28
90174,025860,남해화학,9060,-20,-0.2,76910,696778680,9070,9120,9000,450090317580,0.03,49678843,2348999.0,4.73,308,2017-03-02
92421,025860,남해화학,9060,0,0.0,43994,398960970,9060,9120,9010,450090317580,0.03,49678843,2363431.0,4.76,305,2017-03-03
94673,025860,남해화학,9080,20,0.2,49342,446468810,9060,9100,8990,451083894440,0.03,49678843,2367700.0,4.77,306,2017-03-06
96920,025860,남해화학,9300,220,2.4,131073,1207511010,9100,9320,9040,462013239900,0.03,49678843,2421743.0,4.87,302,2017-03-07
99169,025860,남해화학,9270,-30,-0.3,89933,839508090,9300,9400,9260,460522874610,0.03,49678843,2423910.0,4.88,302,2017-03-08
101421,025860,남해화학,9290,20,0.2,52814,489853220,9210,9330,9210,461516451470,0.03,49678843,2439016.0,4.91,305,2017-03-09
103669,025860,남해화학,9300,10,0.1,66914,623457100,9260,9400,9240,462013239900,0.03,49678843,2434023.0,4.9,304,2017-03-10
105921,025860,남해화학,9250,-50,-0.5,70415,658961420,9400,9440,9250,459529297750,0.03,49678843,2428627.0,4.89,307,2017-03-13
108173,025860,남해화학,9080,-170,-1.8,103191,940433680,9210,9260,9050,451083894440,0.03,49678843,2425617.0,4.88,310,2017-03-14
110420,025860,남해화학,9080,0,0.0,36794,333603440,9080,9130,9000,451083894440,0.03,49678843,2435238.0,4.9,308,2017-03-15
112668,025860,남해화학,9220,140,1.5,40520,372276910,9080,9230,9080,458038932460,0.03,49678843,2449368.0,4.93,308,2017-03-16
114919,025860,남해화학,9180,-40,-0.4,21408,197048960,9150,9260,9130,456051778740,0.03,49678843,2453058.0,4.94,311,2017-03-17
117166,025860,남해화학,9160,-20,-0.2,56647,515080070,9180,9200,9050,455058201880,0.03,49678843,2462587.0,4.96,310,2017-03-20
119410,025860,남해화학,9260,100,1.1,29809,276022700,9160,9300,9160,460026086180,0.03,49678843,2470952.0,4.97,305,2017-03-21
121659,025860,남해화학,9250,-10,-0.1,48223,444575760,9300,9320,9180,459529297750,0.03,49678843,2474567.0,4.98,305,2017-03-22
123910,025860,남해화학,9250,0,0.0,27141,251511660,9260,9300,9190,459529297750,0.03,49678843,2448728.0,4.93,307,2017-03-23
126162,025860,남해화학,9330,80,0.9,39372,366364820,9300,9340,9250,463503605190,0.03,49678843,2450643.0,4.93,309,2017-03-24
