,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
91,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,92,2017-01-02
2339,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-03
4587,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,94,2017-01-04
6834,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,94,2017-01-05
9081,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,94,2017-01-06
11327,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-09
13574,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-10
15821,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-11
18067,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-12
20313,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,93,2017-01-13
22561,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,94,2017-01-16
24809,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,94,2017-01-17
27056,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,16796261.0,14.7,95,2017-01-18
29302,037620,미래에셋증권,20500,0,0.0,0,0,0,0,0,2342860355500,0.15,114285871,,,95,2017-01-19
