,account_nm,thstrm_amount
0,유동자산,6651301609437.0
1,현금및현금성자산,205795485057.0
2,단기금융상품,82504070440.0
3,당기손익인식금융자산,31376907892.0
4,단기만기보유금융자산,26720000.0
5,유동성매도가능금융자산,
6,매출채권및기타채권,442748537763.0
7,미청구공사,4089029793881.0
8,유동성확정계약자산,5592983228.0
9,유동성통화선도자산,70138370308.0
10,재고자산,743358870769.0
11,당기법인세자산,1487456427.0
12,기타유동자산,936155007441.0
13,매각예정자산,43087406231.0
14,비유동자산,4795451113301.0
15,장기금융상품,414023831130.0
16,장기당기손익인식금융자산,
17,만기보유금융자산,304610000.0
18,매도가능금융자산,52084966516.0
19,관계기업및공동기업투자,15955920059.0
20,장기매출채권및기타채권,183238184026.0
21,확정계약자산,314000412.0
22,통화선도자산,67636944212.0
23,유형자산,4003428004728.0
24,투자부동산,7913729383.0
25,무형자산,37313899343.0
26,이연법인세자산,1352727925.0
27,기타비유동자산,11884295567.0
28,자산총계,11446752722738.0
29,유동부채,6143041665624.0
30,단기차입금,2046502822157.0
31,당기손익인식금융부채,42724196306.0
32,매입채무및기타채무,1072984368486.0
33,유동성장기사채,
34,유동성장기차입금,460882288074.0
35,유동성금융보증부채,
36,유동성충당부채,
37,유동성확정계약부채,28019960248.0
38,유동성통화선도부채,10022800459.0
39,초과청구공사,2354606951314.0
40,당기법인세부채,563199471.0
41,기타유동부채,107781777401.0
42,매각예정부채,18953301708.0
43,비유동부채,2313049732370.0
44,사채,530661338311.0
45,장기차입금,673611377297.0
46,장기당기손익인식금융부채,
47,장기매입채무및기타채무,136144957498.0
48,순확정급여부채및기타장기종업원급여부채,160540204781.0
49,충당부채,693822402219.0
50,금융보증부채,1471808308.0
51,확정계약부채,65507285176.0
52,통화선도부채,263202198.0
53,이연법인세부채,51004472225.0
54,기타비유동부채,22684357.0
55,부채총계,8456091397994.0
56,지배기업 소유주지분,3393421150280.0
57,자본금,538281440000.0
58,기타불입자본,368803021423.0
59,신종자본증권,2284775000000.0
60,기타자본구성요소,293725092058.0
61,결손금,-92163403201.0
62,비지배지분,-402759825536.0
63,자본총계,2990661324744.0
64,부채와자본총계,11446752722738.0
65,매출액,11101818030373.0
66,매출원가,9557731174695.0
67,매출총이익(손실),1544086855678.0
68,판매비,178813980973.0
69,관리비,591315605483.0
70,경상연구개발비,40953549069.0
71,영업이익(손실),733003720153.0
72,금융수익,1449883749985.0
73,금융비용,46549729936.0
74,관계기업및공동기업투자손익,-167257789758.0
75,환율변동이익,654346402666.0
76,환율변동손실,720701213952.0
77,기타영업외수익,829717227561.0
78,기타영업외비용,1543396948470.0
79,법인세비용차감전순이익(손실),1189045418249.0
80,법인세비용(수익),543287055681.0
81,계속영업이익(손실),645758362568.0
82,중단영업이익(손실),
83,당기순이익(손실),645758362568.0
84,지배기업의 소유주,621492030973.0
85,비지배지분,24266331595.0
86,기본주당순이익(손실),7141.0
87,희석주당순이익(손실),4995.0
88,당기순이익(손실),645758362568.0
89,기타포괄손익,-88388444118.0
90,순확정급여제도재측정요소,-3147744644.0
91,유형자산재평가잉여금,-81951928474.0
92,해외사업환산손익,-3913146574.0
93,매도가능금융자산평가손익,645546227.0
94,현금흐름위험회피파생상품평가손익,
95,(부의)지분법자본변동,-21170653.0
96,지배기업의 소유주,527132664791.0
97,비지배지분,30237253659.0
98,영업활동으로 인한 현금흐름,-1019899304099.0
99,영업에서 창출된 현금흐름,-888202095334.0
100,당기순이익(손실),645758362568.0
101,조정,1453994949107.0
102,순운전자본변동,-2987955407009.0
103,배당금 수취,1173969202.0
104,이자의 수취,24833797900.0
105,이자의 지급,-164144882374.0
106,법인세 환급(납부),6439906507.0
107,투자활동으로 인한 현금흐름,22724019673.0
108,투자활동으로 인한 현금유입액,364043629944.0
109,정부보조금의 수령,3728399557.0
110,단기금융상품의 감소,33123920366.0
111,장기금융상품의 감소,
112,단기대여금의 회수,29121372454.0
113,만기보유금융자산의 처분,7230000.0
114,매도가능금융자산의 처분,1785455557.0
115,장기대여금의 회수,9328573182.0
116,유형자산의 처분,25553508190.0
117,무형자산의 처분,580000000.0
118,매각예정비유동자산의처분,258353128385.0
119,기타투자자산의 처분,550966734.0
120,장기당기손익인식금융자산의 처분,
121,투자부동산의 처분,785207767.0
122,관계기업및공동지배기업투자주식의 처분,1125867752.0
123,연결범위 변동으로 인한 현금의 변동,
124,투자활동으로 인한 현금유출액,341319610271.0
125,정부보조금의 상환,706482436.0
126,단기금융상품의 증가,17012053259.0
127,장기금융상품의 증가,108530271700.0
128,만기보유금융자산의 취득,3030000.0
129,매도가능금융자산의 취득,403870000.0
130,관계기업및공동기업투자주식의 취득,
131,장단기대여금의 대여,28187094637.0
132,유형자산의 취득,108830659795.0
133,투자부동산의 취득,
134,무형자산의 취득,7594138918.0
135,연결범위의 변동으로인한 현금의 변동,69941203526.0
136,기타투자자산의 취득,110806000.0
137,재무활동으로 인한 현금흐름,987889078421.0
138,재무활동으로 인한 현금유입액,1709648178463.0
139,단기사채의 발행,
140,단기차입금의 차입,1647918997982.0
141,사채의 발행,
142,장기차입금의 차입,61715953194.0
143,자기주식의 처분,
144,유상증자,
145,주식발행비의 환입,13227287.0
146,재무활동으로 인한 현금유출액,721759100042.0
147,단기사채의 상환,
148,단기차입금의 상환,583988867348.0
149,유동성장기차입금의 상환,112797093439.0
