,account_nm,thstrm_amount
0,유동자산,11205581000000.0
1,현금및현금성자산,2249341000000.0
2,매출채권,4448669000000.0
3,기타수취채권,770776000000.0
4,선급법인세,932000000.0
5,기타유동금융자산,
6,기타유동자산,376814000000.0
7,재고자산,3352454000000.0
8,매각예정자산,6595000000.0
9,비유동자산,13835640000000.0
10,기타장기수취채권,126429000000.0
11,기타비유동금융자산,23782000000.0
12,관계기업 및 공동기업투자자산,264096000000.0
13,이연법인세자산,281506000000.0
14,유형자산,11211482000000.0
15,무형자산,1823155000000.0
16,투자부동산,1027000000.0
17,기타비유동자산,104163000000.0
18,자산총계,25041221000000.0
19,유동부채,6644689000000.0
20,매입채무,2014779000000.0
21,기타지급채무,1847222000000.0
22,차입금,1451324000000.0
23,유동성충당부채,62940000000.0
24,미지급법인세,414110000000.0
25,기타유동부채,854283000000.0
26,매각예정부채,31000000.0
27,비유동부채,2057955000000.0
28,기타장기지급채무,8646000000.0
29,차입금,1593625000000.0
30,비유동성충당부채,163476000000.0
31,순확정급여부채,180681000000.0
32,이연법인세부채,42627000000.0
33,기타비유동부채,68900000000.0
34,부채총계,8702644000000.0
35,지배기업의 소유주지분,16168527000000.0
36,자본금,391406000000.0
37,자본잉여금,2274386000000.0
38,기타자본항목,-362676000000.0
39,기타포괄손익누계액,-173839000000.0
40,이익잉여금,14039250000000.0
41,비지배지분,170050000000.0
42,자본총계,16338577000000.0
43,부채와 자본총계,25041221000000.0
44,매출,25698014000000.0
45,매출원가,20134488000000.0
46,매출총이익,5563526000000.0
47,판매비와관리비,2635069000000.0
48,영업이익 (손실),2928457000000.0
49,금융수익,240434000000.0
50,금융비용,319835000000.0
51,지분법손익,6620000000.0
52,기타영업외수익,478262000000.0
53,기타영업외비용,770043000000.0
54,법인세비용차감전순이익,2563895000000.0
55,법인세비용,541922000000.0
56,당기순이익(손실),2021973000000.0
57,지배기업의 소유주지분,1945280000000.0
58,비지배지분,76693000000.0
59,보통주 기본 및 희석주당이익 (단위: 원),25367000000.0
60,우선주 기본 및 희석주당이익 (단위: 원),25605000000.0
61,당기순이익(손실),2021973000000.0
62,기타포괄손익,-146077000000.0
63,당기손익으로 재분류되지 않는항목,-16000000.0
64,순확정급여부채의 재측정요소,-700000000.0
65,관계기업 순확정급여부채의 재측정요소에 대한 지분,301000000.0
66,기타포괄손익 법인세효과,383000000.0
