,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
159,064350,현대로템,18850,100,0.5,65357,1230525850,18750,19050,18700,1602250000000,0.08,85000000,23850232.0,28.06,160,2018-01-02
2470,064350,현대로템,18850,0,0.0,90513,1705774600,18700,19000,18700,1602250000000,0.08,85000000,23864397.0,28.08,160,2018-01-03
4782,064350,현대로템,19000,150,0.8,117514,2245598300,19000,19350,18800,1615000000000,0.09,85000000,23890232.0,28.11,161,2018-01-04
7088,064350,현대로템,19250,250,1.3,104010,2005177900,19000,19500,19000,1636250000000,0.09,85000000,23891761.0,28.11,157,2018-01-05
9403,064350,현대로템,18950,-300,-1.6,100982,1925553350,19450,19500,18750,1610750000000,0.08,85000000,23894742.0,28.11,160,2018-01-08
11716,064350,현대로템,18700,-250,-1.3,82589,1545060200,18950,18950,18650,1589500000000,0.08,85000000,23893489.0,28.11,161,2018-01-09
14028,064350,현대로템,18900,200,1.1,93980,1776603200,18700,19050,18700,1606500000000,0.08,85000000,23979430.0,28.21,161,2018-01-10
16341,064350,현대로템,18700,-200,-1.1,95130,1786087900,18900,19050,18650,1589500000000,0.08,85000000,23993585.0,28.23,162,2018-01-11
18656,064350,현대로템,17150,-1550,-8.3,4165872,71131802500,17400,17600,16950,1457750000000,0.08,85000000,22915313.0,26.96,164,2018-01-12
20973,064350,현대로템,16950,-200,-1.2,374420,6368829700,17300,17300,16900,1440750000000,0.07,85000000,22788193.0,26.81,168,2018-01-15
23289,064350,현대로템,16900,-50,-0.3,317355,5380247850,17000,17150,16800,1436500000000,0.07,85000000,22735811.0,26.75,171,2018-01-16
25605,064350,현대로템,16800,-100,-0.6,297614,4995742700,16850,16950,16700,1428000000000,0.07,85000000,22636657.0,26.63,174,2018-01-17
27916,064350,현대로템,17050,250,1.5,239077,4061022450,16800,17200,16800,1449250000000,0.07,85000000,22581609.0,26.57,172,2018-01-18
