,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
466,079980,휴비스,10500,400,4.0,191526,1982258400,10200,10550,10000,362250000000,0.02,34500000,1806638.0,5.24,467,2018-01-02
2774,079980,휴비스,10650,150,1.4,378752,4101713650,10600,11150,10450,367425000000,0.02,34500000,1839630.0,5.33,464,2018-01-03
5075,079980,휴비스,10700,50,0.5,148406,1579777700,10700,10800,10450,369150000000,0.02,34500000,1814206.0,5.26,454,2018-01-04
7403,079980,휴비스,10550,-150,-1.4,227891,2387106550,10750,10800,10250,363975000000,0.02,34500000,1799131.0,5.21,472,2018-01-05
9719,079980,휴비스,10400,-150,-1.4,190338,1984244300,10450,10650,10300,358800000000,0.02,34500000,1827732.0,5.3,476,2018-01-08
12030,079980,휴비스,10250,-150,-1.4,142998,1490341050,10450,10800,10200,353625000000,0.02,34500000,1835955.0,5.32,475,2018-01-09
14333,079980,휴비스,10650,400,3.9,211904,2240732750,10250,10750,10200,367425000000,0.02,34500000,1891779.0,5.48,466,2018-01-10
16608,079980,휴비스,11800,1150,10.8,877747,10097451650,10650,11900,10650,407100000000,0.02,34500000,1963464.0,5.69,429,2018-01-11
18930,079980,휴비스,11500,-300,-2.5,445438,5130836900,11800,11850,11250,396750000000,0.02,34500000,1967630.0,5.7,438,2018-01-12
21247,079980,휴비스,11500,0,0.0,185410,2112785450,11500,11650,11250,396750000000,0.02,34500000,1978258.0,5.73,442,2018-01-15
23585,079980,휴비스,11200,-300,-2.6,170006,1927438700,11500,11700,11200,386400000000,0.02,34500000,1944907.0,5.64,467,2018-01-16
25896,079980,휴비스,11150,-50,-0.4,191702,2146615450,11450,11500,10950,384675000000,0.02,34500000,1926089.0,5.58,465,2018-01-17
28195,079980,휴비스,11700,550,4.9,238907,2750520100,11150,11750,11150,403650000000,0.02,34500000,1880386.0,5.45,451,2018-01-18
30513,079980,휴비스,11550,-150,-1.3,184847,2123424950,11650,11750,11300,398475000000,0.02,34500000,1852650.0,5.37,456,2018-01-19
32842,079980,휴비스,11200,-350,-3.0,150609,1705355450,11550,11650,11100,386400000000,0.02,34500000,1854463.0,5.38,473,2018-01-22
35148,079980,휴비스,11450,250,2.2,119780,1356959750,11300,11500,11100,395025000000,0.02,34500000,1866733.0,5.41,467,2018-01-23
37448,079980,휴비스,11700,250,2.2,432012,4985724550,11500,11850,11000,403650000000,0.02,34500000,1875957.0,5.44,455,2018-01-24
39743,079980,휴비스,12450,750,6.4,895270,11002982050,11800,12600,11750,429525000000,0.02,34500000,1961793.0,5.69,438,2018-01-25
42079,079980,휴비스,11900,-550,-4.4,367744,4452671950,12500,12500,11900,410550000000,0.02,34500000,1890755.0,5.48,461,2018-01-26
44402,079980,휴비스,11700,-200,-1.7,218993,2597376550,11950,12100,11650,403650000000,0.02,34500000,1946260.0,5.64,470,2018-01-29
46700,079980,휴비스,12000,300,2.6,224565,2676858600,11800,12050,11750,414000000000,0.02,34500000,1966295.0,5.7,454,2018-01-30
49013,079980,휴비스,11900,-100,-0.8,145216,1723597800,11850,12000,11700,410550000000,0.02,34500000,1983789.0,5.75,453,2018-01-31
51340,079980,휴비스,11550,-350,-2.9,142167,1658719200,11950,12050,11500,398475000000,0.02,34500000,2014411.0,5.84,466,2018-02-01
53654,079980,휴비스,11550,0,0.0,135004,1559339000,11600,11850,11300,398475000000,0.02,34500000,2020122.0,5.86,465,2018-02-02
55981,079980,휴비스,10800,-750,-6.5,222525,2436651950,11250,11400,10650,372600000000,0.02,34500000,2065690.0,5.99,477,2018-02-05
58288,079980,휴비스,11000,200,1.8,232670,2494938800,10400,11050,10300,379500000000,0.02,34500000,2118003.0,6.14,469,2018-02-06
60599,079980,휴비스,10850,-150,-1.4,109245,1226825400,11100,11500,10850,374325000000,0.02,34500000,2122415.0,6.15,465,2018-02-07
62912,079980,휴비스,11250,400,3.7,75772,844136050,10900,11350,10850,388125000000,0.02,34500000,2130143.0,6.17,464,2018-02-08
65227,079980,휴비스,11000,-250,-2.2,57903,637010150,10950,11200,10900,379500000000,0.02,34500000,2122853.0,6.15,464,2018-02-09
67532,079980,휴비스,11400,400,3.6,97133,1100761800,11050,11450,11000,393300000000,0.02,34500000,2140188.0,6.2,454,2018-02-12
69854,079980,휴비스,11000,-400,-3.5,115088,1280912350,11400,11550,10850,379500000000,0.02,34500000,2142061.0,6.21,460,2018-02-13
72171,079980,휴비스,11050,50,0.4,146970,1589231200,11000,11050,10650,381225000000,0.02,34500000,2196651.0,6.37,461,2018-02-14
74487,079980,휴비스,11400,350,3.2,177614,2019681050,11200,11850,11100,393300000000,0.02,34500000,2218413.0,6.43,462,2018-02-19
76813,079980,휴비스,10900,-500,-4.4,143552,1586814900,11300,11400,10800,376050000000,0.02,34500000,2234618.0,6.48,473,2018-02-20
79131,079980,휴비스,10950,50,0.5,125746,1378158800,10900,11250,10800,377775000000,0.02,34500000,2289798.0,6.64,476,2018-02-21
81455,079980,휴비스,10800,-150,-1.4,93291,1009930000,10950,11100,10700,372600000000,0.02,34500000,2314318.0,6.71,485,2018-02-22
83770,079980,휴비스,10900,100,0.9,107564,1163311700,10850,10950,10750,376050000000,0.02,34500000,2356909.0,6.83,485,2018-02-23
86073,079980,휴비스,11200,300,2.8,181767,2038938600,11000,11350,11000,386400000000,0.02,34500000,2428897.0,7.04,474,2018-02-26
88383,079980,휴비스,11250,50,0.4,133081,1484652250,11300,11350,11000,388125000000,0.02,34500000,2470313.0,7.16,470,2018-02-27
90683,079980,휴비스,11250,0,0.0,155472,1767608600,11200,11550,11050,388125000000,0.02,34500000,2515558.0,7.29,456,2018-02-28
92981,079980,휴비스,11650,400,3.6,305382,3492465400,11100,11650,11050,401925000000,0.02,34500000,2671257.0,7.74,440,2018-03-02
95303,079980,휴비스,11250,-400,-3.4,119140,1363535150,11700,11700,11250,388125000000,0.02,34500000,2668820.0,7.74,449,2018-03-05
97619,079980,휴비스,11350,100,0.9,95890,1096395850,11600,11600,11300,391575000000,0.02,34500000,2686866.0,7.79,452,2018-03-06
99922,079980,휴비스,11450,100,0.9,120349,1367991050,11450,11600,11200,395025000000,0.02,34500000,2724777.0,7.9,442,2018-03-07
102250,079980,휴비스,11100,-350,-3.1,129728,1447448950,11500,11550,10950,382950000000,0.02,34500000,2712266.0,7.86,457,2018-03-08
104567,079980,휴비스,11250,150,1.4,190226,2118100700,11100,11350,11000,388125000000,0.02,34500000,2785037.0,8.07,461,2018-03-09
106884,079980,휴비스,11300,50,0.4,124811,1414675350,11300,11500,11200,389850000000,0.02,34500000,2836695.0,8.22,466,2018-03-12
109207,079980,휴비스,11100,-200,-1.8,109939,1231216750,11350,11450,11000,382950000000,0.02,34500000,2845465.0,8.25,477,2018-03-13
111525,079980,휴비스,11000,-100,-0.9,146640,1617833600,11100,11200,10900,379500000000,0.02,34500000,2898519.0,8.4,484,2018-03-14
113829,079980,휴비스,11200,200,1.8,109766,1209972550,10950,11250,10850,386400000000,0.02,34500000,2944988.0,8.54,475,2018-03-15
116153,079980,휴비스,10950,-250,-2.2,172682,1902893300,11250,11300,10850,377775000000,0.02,34500000,2992388.0,8.67,486,2018-03-16
118470,079980,휴비스,10750,-200,-1.8,223551,2380688400,10950,11050,10450,370875000000,0.02,34500000,3059918.0,8.87,490,2018-03-19
120782,079980,휴비스,10900,150,1.4,145084,1564714450,10700,10950,10600,376050000000,0.02,34500000,3098390.0,8.98,489,2018-03-20
123088,079980,휴비스,11050,150,1.4,63478,695337900,11000,11050,10800,381225000000,0.02,34500000,3100583.0,8.99,483,2018-03-21
125376,079980,휴비스,11500,450,4.1,217547,2483452800,11100,11600,11050,396750000000,0.02,34500000,3167153.0,9.18,459,2018-03-22
127691,079980,휴비스,10950,-550,-4.8,301628,3421769200,11300,11650,10950,377775000000,0.02,34500000,3196229.0,9.26,461,2018-03-23
130018,079980,휴비스,10850,-100,-0.9,134698,1451139350,10950,11050,10650,374325000000,0.02,34500000,3209605.0,9.3,475,2018-03-26
132326,079980,휴비스,11000,150,1.4,138384,1521175000,11050,11150,10800,379500000000,0.02,34500000,3228407.0,9.36,470,2018-03-27
134640,079980,휴비스,10950,-50,-0.4,62352,678775350,10950,11000,10800,377775000000,0.02,34500000,3230823.0,9.36,471,2018-03-28
136961,079980,휴비스,10900,-50,-0.5,76184,826515900,10950,11000,10700,376050000000,0.02,34500000,3239660.0,9.39,479,2018-03-29
139260,079980,휴비스,11350,450,4.1,126260,1411482950,11000,11350,10950,391575000000,0.02,34500000,3275089.0,9.49,465,2018-03-30
141560,079980,휴비스,11450,100,0.9,176520,2034771750,11450,11700,11350,395025000000,0.02,34500000,3275078.0,9.49,454,2018-04-02
143883,079980,휴비스,11300,-150,-1.3,98791,1117002650,11350,11550,11150,389850000000,0.02,34500000,3287411.0,9.53,465,2018-04-03
146212,079980,휴비스,10800,-500,-4.4,143859,1574242850,11300,11300,10700,372600000000,0.02,34500000,3278486.0,9.5,482,2018-04-04
148517,079980,휴비스,10950,150,1.4,38631,421744850,10900,11000,10800,377775000000,0.02,34500000,3283808.0,9.52,474,2018-04-05
150826,079980,휴비스,10950,0,0.0,58096,632120100,10950,10950,10800,377775000000,0.02,34500000,3295820.0,9.55,470,2018-04-06
153128,079980,휴비스,11300,350,3.2,134165,1502706150,10800,11350,10800,389850000000,0.02,34500000,3319364.0,9.62,458,2018-04-09
155431,079980,휴비스,11700,400,3.5,213368,2447506600,11350,11700,11150,403650000000,0.02,34500000,3359313.0,9.74,447,2018-04-10
157760,079980,휴비스,11400,-300,-2.6,157678,1800725300,11700,11700,11300,393300000000,0.02,34500000,3331289.0,9.66,462,2018-04-11
160074,079980,휴비스,11400,0,0.0,97699,1110065650,11400,11600,11200,393300000000,0.02,34500000,3338599.0,9.68,462,2018-04-12
162407,079980,휴비스,11200,-200,-1.8,83604,943550450,11400,11400,11100,386400000000,0.02,34500000,3343462.0,9.69,481,2018-04-13
164731,079980,휴비스,10950,-250,-2.2,167188,1840157500,11200,11250,10850,377775000000,0.02,34500000,3345638.0,9.7,491,2018-04-16
167028,079980,휴비스,11350,400,3.6,139615,1576263850,11000,11450,11000,391575000000,0.02,34500000,3388141.0,9.82,474,2018-04-17
169345,079980,휴비스,11300,-50,-0.4,96722,1093263800,11350,11450,11200,389850000000,0.02,34500000,3399664.0,9.85,478,2018-04-18
171651,079980,휴비스,11500,200,1.8,223193,2578698150,11350,11750,11200,396750000000,0.02,34500000,3425774.0,9.93,472,2018-04-19
173932,079980,휴비스,12200,700,6.1,514382,6177827200,11400,12300,11400,420900000000,0.02,34500000,3518848.0,10.2,441,2018-04-20
176212,079980,휴비스,13200,1000,8.2,1312692,17039377900,12700,13350,12500,455400000000,0.02,34500000,3594381.0,10.42,409,2018-04-23
178511,079980,휴비스,13550,350,2.6,831261,11161798850,13200,13800,12900,467475000000,0.02,34500000,3745637.0,10.86,396,2018-04-24
180817,079980,휴비스,13650,100,0.7,384683,5169587950,13400,13650,13200,470925000000,0.02,34500000,3859735.0,11.19,390,2018-04-25
183146,079980,휴비스,13150,-500,-3.7,427132,5688454900,13650,13700,13000,453675000000,0.02,34500000,3868574.0,11.21,408,2018-04-26
185455,079980,휴비스,13300,150,1.1,291083,3798860450,13150,13350,12750,458850000000,0.02,34500000,3931159.0,11.39,406,2018-04-27
187763,079980,휴비스,13500,200,1.5,369229,4990774450,13050,13800,13000,465750000000,0.02,34500000,3953216.0,11.46,402,2018-04-30
190071,079980,휴비스,13550,50,0.4,217966,2908358250,13450,13550,13150,467475000000,0.02,34500000,3961633.0,11.48,398,2018-05-02
192394,079980,휴비스,13000,-550,-4.1,219777,2906641800,13550,13550,13000,448500000000,0.02,34500000,3941600.0,11.42,409,2018-05-03
194701,079980,휴비스,13150,150,1.2,161524,2133410900,13050,13500,12750,453675000000,0.02,34500000,3977174.0,11.53,404,2018-05-04
197026,079980,휴비스,12500,-650,-4.9,299869,3832433650,13100,13350,12500,431250000000,0.02,34500000,4021830.0,11.66,418,2018-05-08
199342,079980,휴비스,12500,0,0.0,231291,2870226400,12600,12750,12200,431250000000,0.02,34500000,4090050.0,11.86,422,2018-05-09
201656,079980,휴비스,12400,-100,-0.8,180173,2227245700,12450,12650,12100,427800000000,0.02,34500000,4104443.0,11.9,425,2018-05-10
203949,079980,휴비스,13050,650,5.2,273215,3505953250,12500,13050,12400,450225000000,0.02,34500000,4075661.0,11.81,407,2018-05-11
206334,079980,휴비스,11100,-1950,-14.9,1451598,16650114400,13000,13050,10850,382950000000,0.02,34500000,4009047.0,11.62,481,2018-05-14
208668,079980,휴비스,10400,-700,-6.3,1124451,11857885400,11150,11150,10250,358800000000,0.02,34500000,4036646.0,11.7,505,2018-05-15
210980,079980,휴비스,10200,-200,-1.9,685139,6974539450,10350,10400,10000,351900000000,0.02,34500000,3886712.0,11.27,507,2018-05-16
213304,079980,휴비스,9960,-240,-2.4,534784,5369240330,10300,10300,9950,343620000000,0.02,34500000,3764803.0,10.91,520,2018-05-17
215608,079980,휴비스,10300,340,3.4,468486,4729641680,9930,10300,9910,355350000000,0.02,34500000,3758971.0,10.9,513,2018-05-18
217925,079980,휴비스,10100,-200,-1.9,247976,2506964200,10200,10300,10000,348450000000,0.02,34500000,3695733.0,10.71,519,2018-05-21
220230,079980,휴비스,10250,150,1.5,774243,7814136050,10150,10800,9820,353625000000,0.02,34500000,3572037.0,10.35,513,2018-05-23
222546,079980,휴비스,10000,-250,-2.4,406355,4079185700,10250,10350,9910,345000000000,0.02,34500000,3490307.0,10.12,519,2018-05-24
224873,079980,휴비스,9490,-510,-5.1,681514,6573583780,9850,9970,9420,327405000000,0.02,34500000,3466523.0,10.05,536,2018-05-25
227180,079980,휴비스,9720,230,2.4,346335,3369033430,9540,9900,9520,335340000000,0.02,34500000,3493185.0,10.13,533,2018-05-28
229481,079980,휴비스,9820,100,1.0,270265,2669432390,9880,9980,9810,338790000000,0.02,34500000,3459475.0,10.03,524,2018-05-29
231789,079980,휴비스,9790,-30,-0.3,380458,3737556700,9840,9910,9730,337755000000,0.02,34500000,3339931.0,9.68,521,2018-05-30
234100,079980,휴비스,9810,20,0.2,244613,2401988810,9880,10000,9750,338445000000,0.02,34500000,3252086.0,9.43,521,2018-05-31
236411,079980,휴비스,9820,10,0.1,211586,2064228810,9790,9940,9560,338790000000,0.02,34500000,3233457.0,9.37,521,2018-06-01
238733,079980,휴비스,9740,-80,-0.8,214843,2106811900,9820,9950,9680,336030000000,0.02,34500000,3172565.0,9.2,531,2018-06-04
241050,079980,휴비스,9640,-100,-1.0,178540,1722716100,9780,9820,9600,332580000000,0.02,34500000,3135163.0,9.09,536,2018-06-05
243369,079980,휴비스,9560,-80,-0.8,245626,2353661950,9640,9680,9420,329820000000,0.02,34500000,3066375.0,8.89,544,2018-06-07
245681,079980,휴비스,9430,-130,-1.4,275584,2611604740,9600,9640,9420,325335000000,0.02,34500000,3000862.0,8.7,544,2018-06-08
247991,079980,휴비스,9430,0,0.0,295523,2786583900,9420,9530,9380,325335000000,0.02,34500000,2981963.0,8.64,541,2018-06-11
250308,079980,휴비스,9430,0,0.0,293997,2771570560,9460,9500,9360,325335000000,0.02,34500000,2985777.0,8.65,545,2018-06-12
252612,079980,휴비스,9360,-70,-0.7,315319,2942473220,9500,9500,9160,322920000000,0.02,34500000,2961698.0,8.58,535,2018-06-14
254919,079980,휴비스,9520,160,1.7,240186,2257884690,9350,9520,9300,328440000000,0.02,34500000,3002357.0,8.7,528,2018-06-15
257237,079980,휴비스,9140,-380,-4.0,199814,1838652490,9330,9460,9090,315330000000,0.02,34500000,2953414.0,8.56,532,2018-06-18
259547,079980,휴비스,9030,-110,-1.2,238397,2202565070,9150,9390,9030,311535000000,0.02,34500000,2908982.0,8.43,528,2018-06-19
261860,079980,휴비스,9130,100,1.1,214694,1959755650,8960,9250,8960,314985000000,0.02,34500000,2933548.0,8.5,527,2018-06-20
264182,079980,휴비스,8820,-310,-3.4,282870,2529657950,9210,9270,8740,304290000000,0.02,34500000,2874498.0,8.33,535,2018-06-21
266495,079980,휴비스,8890,70,0.8,208847,1845289120,8800,8970,8650,306705000000,0.02,34500000,2844416.0,8.24,534,2018-06-22
268803,079980,휴비스,9090,200,2.2,117416,1048503450,8930,9100,8790,313605000000,0.02,34500000,2831088.0,8.21,528,2018-06-25
271122,079980,휴비스,8960,-130,-1.4,177739,1577993200,9030,9030,8760,309120000000,0.02,34500000,2762114.0,8.01,532,2018-06-26
273448,079980,휴비스,8810,-150,-1.7,155611,1377837540,8980,9060,8800,303945000000,0.02,34500000,2718830.0,7.88,542,2018-06-27
275762,079980,휴비스,8780,-30,-0.3,93006,814201420,8760,8910,8610,302910000000,0.02,34500000,2723526.0,7.89,539,2018-06-28
278077,079980,휴비스,8890,110,1.2,131006,1139821100,8790,8890,8600,306705000000,0.02,34500000,2722527.0,7.89,537,2018-06-29
