,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
843,084870,TBH글로벌,7880,20,0.2,29148,229444070,7870,7990,7830,164351733720,0.01,20856819,1844613.0,8.84,844,2018-01-02
3139,084870,TBH글로벌,8050,170,2.2,72920,582684340,7880,8110,7800,167897392950,0.01,20856819,1830702.0,8.78,829,2018-01-03
5464,084870,TBH글로벌,7900,-150,-1.9,65478,521477410,8080,8090,7830,164768870100,0.01,20856819,1804330.0,8.65,843,2018-01-04
7773,084870,TBH글로벌,8020,120,1.5,37944,303290840,7990,8070,7900,167271688380,0.01,20856819,1798212.0,8.62,842,2018-01-05
10091,084870,TBH글로벌,7990,-30,-0.4,93871,741014670,8020,8080,7710,166645983810,0.01,20856819,1770535.0,8.49,848,2018-01-08
12403,084870,TBH글로벌,7920,-70,-0.9,57944,461522620,7990,8070,7870,165186006480,0.01,20856819,1751013.0,8.4,848,2018-01-09
14726,084870,TBH글로벌,7940,20,0.2,53144,421267970,8060,8070,7820,165603142860,0.01,20856819,1741829.0,8.35,859,2018-01-10
17039,084870,TBH글로벌,7950,10,0.1,51729,410114570,7940,8030,7850,165811711050,0.01,20856819,1741489.0,8.35,860,2018-01-11
19359,084870,TBH글로벌,7840,-110,-1.4,75265,590825610,8050,8050,7780,163517460960,0.01,20856819,1729095.0,8.29,867,2018-01-12
21709,084870,TBH글로벌,7410,-430,-5.5,196226,1476232670,7800,7840,7390,154549028790,0.01,20856819,1660728.0,7.96,904,2018-01-15
24022,084870,TBH글로벌,7490,80,1.1,195684,1436172220,7380,7530,7210,156217574310,0.01,20856819,1582949.0,7.59,904,2018-01-16
26341,084870,TBH글로벌,7470,-20,-0.3,99048,736418890,7510,7540,7350,155800437930,0.01,20856819,1539816.0,7.38,910,2018-01-17
28655,084870,TBH글로벌,7570,100,1.3,74260,559070210,7510,7630,7410,157886119830,0.01,20856819,1536247.0,7.37,911,2018-01-18
30967,084870,TBH글로벌,7680,110,1.4,72759,556143170,7540,7720,7530,160180369920,0.01,20856819,1525925.0,7.32,910,2018-01-19
33258,084870,TBH글로벌,7850,170,2.2,143008,1117326740,7720,7960,7620,163726029150,0.01,20856819,1511925.0,7.25,889,2018-01-22
35582,084870,TBH글로벌,7870,20,0.2,53900,420854290,7840,7890,7720,164143165530,0.01,20856819,1522716.0,7.3,901,2018-01-23
