,account_nm,thstrm_amount
0,유동자산,3871966204696.0
1,현금및현금성자산,529287226523.0
2,기타유동금융자산,482849533809.0
3,매출채권,1988538567001.0
4,기타수취채권,96796354167.0
5,재고자산,660684205327.0
6,충당자산,29191368150.0
7,기타유동자산,84618949719.0
8,비유동자산,4313697507178.0
9,기타비유동수취채권,18450369146.0
10,기타비유동금융자산,6139754053.0
11,매도가능금융자산,259058852927.0
12,공동기업및관계기업투자,465626032649.0
13,유형자산,3356035427333.0
14,무형자산,71626484770.0
15,충당자산,123101355987.0
16,이연법인세자산,9486608171.0
17,기타비유동자산,4172622142.0
18,자산총계,8185663711874.0
19,유동부채,2539445554201.0
20,매입채무,1059779802767.0
21,기타지급채무,296523756082.0
22,단기차입금,863471983721.0
23,기타유동금융부채,44408804322.0
24,당기법인세부채,92116314551.0
25,충당부채,43824099751.0
26,기타유동부채,139320793007.0
27,비유동부채,1656700943650.0
28,장기차입금,707880273393.0
29,기타비유동금융부채,612966321413.0
30,이연법인세부채,199083174821.0
31,퇴직급여부채,2013941388.0
32,충당부채,131105966196.0
33,기타비유동부채,3651266439.0
34,부채총계,4196146497851.0
35,지배기업소유주지분,3989288880085.0
36,자본금,18750000000.0
37,자본잉여금,153618863259.0
38,기타포괄손익누계액,14097785404.0
39,이익잉여금,3803749560195.0
40,기타자본구성요소,-927328773.0
41,비지배지분,228333938.0
42,비지배지분,228333938.0
43,자본총계,3989517214023.0
44,부채 및 자본의 총계,8185663711874.0
45,매출액,16358289275041.0
46,매출원가,15226229589037.0
47,매출총이익,1132059686004.0
48,판매비와관리비,404989187530.0
49,영업이익,727070498474.0
50,금융수익,21494685301.0
51,기타수익,544360249838.0
52,금융원가,63234711889.0
53,기타비용,385180785797.0
54,지분법이익,44831146436.0
55,법인세비용차감전순이익,889341082363.0
56,법인세비용,208887238548.0
57,당기순이익,680453843815.0
58,지배기업의 소유주,680499174959.0
59,비지배지분,-45331144.0
60,지배기업의 소유주에 대한 기본및희석주당이익,18147.0
61,당기순이익,680453843815.0
62,후속적으로 당기손익으로 재분류되는 항목,-60271072694.0
63,매도가능금융자산평가손익,-12548961251.0
64,지분법자본변동,1517551769.0
65,해외사업환산이익,-49239663212.0
66,당기손익으로 재분류되지 않는항목,4388328776.0
67,지분법이익잉여금,1486215096.0
68,확정급여제도의 재측정요소,1286947233.0
69,기타,1615166447.0
70,기타포괄손익 계,-55882743918.0
71,총포괄이익,624571099897.0
72,지배기업의 소유주,624595143364.0
73,비지배지분,-24043467.0
74,당기순이익,680453843815.0
75,비현금조정,230925263526.0
76,운전자본 조정,-125182331730.0
77,이자의 수취,18496999066.0
78,이자의 지급,62592492018.0
79,배당금의 수취,19653637446.0
80,법인세의 납부,155221487343.0
81,영업활동으로 인한 순현금흐름,606533432762.0
82,기타유동금융자산의 감소(증가),5834278924.0
83,기타비유동금융자산의 감소(증가),14717705203.0
84,기타장기수취채권의 증가(감소),2979835339.0
85,관계기업투자주식의 취득,1339680000.0
86,관계기업투자주식의 처분,2724847978.0
87,유형자산의 처분,11312998802.0
88,유형자산의 취득,367476861968.0
89,무형자산의 취득,5458919483.0
90,종속기업의 취득,-2240461516.0
91,투자활동으로 인한 순현금흐름,-344905927399.0
92,기타유동금융부채의 감소,-30356033558.0
93,기타비유동금융부채의 감소,
94,단기차입금의 감소,157313081065.0
95,유동성장기차입금의 상환,-193884519644.0
96,장기차입금의 증가,196313824000.0
97,배당금의 지급,112500000000.0
98,정부보조금의 수령,
99,재무활동으로 인한 순현금흐름,-297739810267.0
100,현금및현금성자산의 감소,-36112304904.0
101,현금및현금성자산의 환율변동효과,-29793197235.0
102,기초 현금및현금성자산,595192728662.0
103,기말 현금및현금성자산,529287226523.0
104,기초자본,3477446129579.0
105,기초자본,-927328773.0
106,기초자본,74390145775.0
107,기초자본,252392858.0
108,기초자본,3231362056460.0
109,기초자본,18750000000.0
110,기초자본,153618863259.0
111,기초자본,3477193736721.0
112,당기순이익,680453843815.0
113,당기순이익,-45331144.0
114,당기순이익,680499174959.0
115,당기순이익,680499174959.0
116,매도가능금융자산,-12548961251.0
117,매도가능금융자산,-12548961251.0
118,매도가능금융자산,-12548961251.0
119,확정급여제도의 재측정요소,1286947233.0
120,확정급여제도의 재측정요소,1286947233.0
121,확정급여제도의 재측정요소,1286947233.0
122,지분법자본변동,1517551769.0
123,지분법자본변동,1517551769.0
124,지분법자본변동,1517551769.0
125,지분법이익잉여금,1486215096.0
126,지분법이익잉여금,1486215096.0
127,지분법이익잉여금,1486215096.0
128,해외사업환산손익,-49239663212.0
129,해외사업환산손익,-49260950889.0
130,해외사업환산손익,21287677.0
131,해외사업환산손익,-49260950889.0
132,기타,1615166447.0
133,기타,1615166447.0
134,기타,1615166447.0
135,합계,624571099897.0
136,합계,-60292360371.0
137,합계,-24043467.0
138,합계,684887503735.0
139,합계,624595143364.0
140,연차배당,-112500000000.0
141,연차배당,-112500000000.0
142,연차배당,-112500000000.0
143,연결범위변동:,-15453.0
144,연결범위변동:,-15453.0
145,기말자본,3989517214023.0
146,기말자본,-927328773.0
147,기말자본,14097785404.0
148,기말자본,228333938.0
149,기말자본,3803749560195.0
150,기말자본,18750000000.0
151,기말자본,153618863259.0
152,기말자본,3989288880085.0
