,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
233,093050,LF,31400,100,0.3,57235,1786656650,31250,31650,30900,918136000000,0.05,29240000,10972837.0,37.53,234,2018-01-02
2543,093050,LF,31700,300,1.0,95041,3005836600,31100,32100,31100,926908000000,0.05,29240000,10977315.0,37.54,233,2018-01-03
4856,093050,LF,30500,-1200,-3.8,90024,2793981850,31950,31950,30450,891820000000,0.05,29240000,10981338.0,37.56,235,2018-01-04
7166,093050,LF,31300,800,2.6,117476,3643523060,30600,31350,30500,915212000000,0.05,29240000,11017539.0,37.68,235,2018-01-05
9466,093050,LF,32900,1600,5.1,94190,3091099550,31650,33250,31450,961996000000,0.05,29240000,11028758.0,37.72,223,2018-01-08
11777,093050,LF,33600,700,2.1,101285,3379775050,33450,33700,32900,982464000000,0.05,29240000,11027406.0,37.71,222,2018-01-09
14081,093050,LF,36300,2700,8.0,217424,7813400500,33950,36550,33750,1061412000000,0.06,29240000,11048538.0,37.79,214,2018-01-10
16398,093050,LF,35200,-1100,-3.0,80556,2856291600,36300,36300,35050,1029248000000,0.05,29240000,11044019.0,37.77,219,2018-01-11
18715,093050,LF,34300,-900,-2.6,103076,3602609725,35100,35650,34100,1002932000000,0.05,29240000,11055916.0,37.81,223,2018-01-12
21031,093050,LF,33950,-350,-1.0,45864,1574047900,34450,34850,33900,992698000000,0.05,29240000,11061927.0,37.83,226,2018-01-15
23342,093050,LF,34550,600,1.8,66216,2298129150,33950,35000,33800,1010242000000,0.05,29240000,11043922.0,37.77,224,2018-01-16
25657,093050,LF,34000,-550,-1.6,50307,1710234700,34200,34500,33600,994160000000,0.05,29240000,11048135.0,37.78,226,2018-01-17
27974,093050,LF,33100,-900,-2.6,47547,1582182150,33800,34300,33050,967844000000,0.05,29240000,11061983.0,37.83,230,2018-01-18
30286,093050,LF,32950,-150,-0.4,30897,1030927900,32800,33900,32800,963458000000,0.05,29240000,11066238.0,37.85,229,2018-01-19
32598,093050,LF,33350,400,1.2,36756,1220676750,33350,33550,32900,975154000000,0.05,29240000,11073271.0,37.87,229,2018-01-22
34913,093050,LF,33250,-100,-0.3,48927,1626136800,33200,33750,32900,972230000000,0.05,29240000,11083764.0,37.91,232,2018-01-23
37224,093050,LF,34000,750,2.3,53146,1793353650,33250,34050,33000,994160000000,0.05,29240000,11082071.0,37.9,231,2018-01-24
39540,093050,LF,33750,-250,-0.7,55474,1867907600,33500,34000,33050,986850000000,0.05,29240000,11073291.0,37.87,235,2018-01-25
41853,093050,LF,34650,900,2.7,56798,1968725500,33750,35000,33750,1013166000000,0.05,29240000,11071315.0,37.86,235,2018-01-26
44164,093050,LF,34900,250,0.7,83030,2896190400,34500,35100,34050,1020476000000,0.05,29240000,11045593.0,37.78,232,2018-01-29
46479,093050,LF,34100,-800,-2.3,46339,1586024600,34900,35000,33750,997084000000,0.05,29240000,11038014.0,37.75,233,2018-01-30
48793,093050,LF,34250,150,0.4,82564,2798862300,34100,34500,31550,1001470000000,0.05,29240000,11025708.0,37.71,233,2018-01-31
51110,093050,LF,33650,-600,-1.8,43091,1452428650,33800,34300,33400,983926000000,0.05,29240000,11033487.0,37.73,236,2018-02-01
53429,093050,LF,32500,-1150,-3.4,51934,1703197050,33350,33800,32400,950300000000,0.05,29240000,11049022.0,37.79,240,2018-02-02
55739,093050,LF,31700,-800,-2.5,39130,1254982650,32950,32950,31500,926908000000,0.05,29240000,11060185.0,37.83,235,2018-02-05
58058,093050,LF,31500,-200,-0.6,78944,2455364250,31200,32250,30600,921060000000,0.05,29240000,11087793.0,37.92,239,2018-02-06
60374,093050,LF,30250,-1250,-4.0,56658,1759962800,31350,32100,30150,884510000000,0.05,29240000,11093991.0,37.94,240,2018-02-07
62690,093050,LF,30400,150,0.5,69584,2125316100,30300,31500,30100,888896000000,0.05,29240000,11104190.0,37.98,242,2018-02-08
65003,093050,LF,31050,650,2.1,94052,2897836600,29500,31450,29500,907902000000,0.05,29240000,11084839.0,37.91,240,2018-02-09
67320,093050,LF,30850,-200,-0.6,60397,1863863350,31050,31350,30250,902054000000,0.05,29240000,11078842.0,37.89,242,2018-02-12
69636,093050,LF,30250,-600,-1.9,54027,1642637250,30500,31100,29950,884510000000,0.05,29240000,11091938.0,37.93,242,2018-02-13
71956,093050,LF,29750,-500,-1.6,118960,3475701900,30000,30550,28550,869890000000,0.05,29240000,11135456.0,38.08,246,2018-02-14
74278,093050,LF,29100,-650,-2.2,62146,1826200750,30000,30350,29000,850884000000,0.04,29240000,11156599.0,38.16,253,2018-02-19
76589,093050,LF,28700,-400,-1.4,68851,1989438200,29100,29400,28650,839188000000,0.04,29240000,11183841.0,38.25,249,2018-02-20
78906,093050,LF,28800,100,0.4,57281,1655022850,28950,29200,28650,842112000000,0.04,29240000,11208523.0,38.33,251,2018-02-21
81219,093050,LF,29100,300,1.0,58953,1701465150,28650,29100,28500,850884000000,0.05,29240000,11228363.0,38.4,249,2018-02-22
83534,093050,LF,29700,600,2.1,111392,3274970572,29200,29750,28850,868428000000,0.05,29240000,11253456.0,38.49,249,2018-02-23
85846,093050,LF,30000,300,1.0,51456,1529130150,29700,30000,29450,877200000000,0.05,29240000,11262183.0,38.52,247,2018-02-26
88159,093050,LF,29900,-100,-0.3,75859,2253344500,29750,30250,29200,874276000000,0.05,29240000,11263641.0,38.52,246,2018-02-27
90474,093050,LF,29150,-750,-2.5,52889,1549283550,29550,29900,28850,852346000000,0.05,29240000,11279219.0,38.57,247,2018-02-28
92788,093050,LF,29400,250,0.9,63672,1851729500,28800,29500,28500,859656000000,0.05,29240000,11295171.0,38.63,247,2018-03-02
95104,093050,LF,28350,-1050,-3.6,45530,1306436250,29250,29350,28200,828954000000,0.04,29240000,11279569.0,38.58,250,2018-03-05
97421,093050,LF,28200,-150,-0.5,44565,1262212800,28350,29000,28100,824568000000,0.04,29240000,11277949.0,38.57,254,2018-03-06
