,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
54,097950,CJ제일제당,359000,1500,0.4,23782,8577265000,359000,363000,355000,4725121382000,0.31,13161898,3171029.0,24.09,55,2017-01-02
2301,097950,CJ제일제당,351500,-7500,-2.1,48616,17138601000,359000,359000,351000,4626407147000,0.3,13161898,3165862.0,24.05,55,2017-01-03
4548,097950,CJ제일제당,350500,-1000,-0.3,42540,14960039500,351500,353500,350500,4613245249000,0.3,13161898,3171908.0,24.1,55,2017-01-04
6795,097950,CJ제일제당,360000,9500,2.7,62213,22325530000,353000,362000,351500,4738283280000,0.31,13161898,3170506.0,24.09,55,2017-01-05
9041,097950,CJ제일제당,361000,1000,0.3,24623,8883439500,360000,363500,358500,4751445178000,0.31,13161898,3170595.0,24.09,54,2017-01-06
11288,097950,CJ제일제당,357000,-4000,-1.1,21570,7687657500,359500,360000,354500,4698797586000,0.31,13161898,3170372.0,24.09,54,2017-01-09
13535,097950,CJ제일제당,352500,-4500,-1.3,30336,10690190000,354000,356000,350500,4639569045000,0.3,13161898,3170874.0,24.09,54,2017-01-10
15783,097950,CJ제일제당,351500,-1000,-0.3,46269,16263889500,352000,355000,350000,4626407147000,0.3,13161898,3180631.0,24.17,55,2017-01-11
18028,097950,CJ제일제당,357500,6000,1.7,36379,12957298498,355000,359000,353500,4705378535000,0.3,13161898,3186643.0,24.21,54,2017-01-12
20274,097950,CJ제일제당,360500,3000,0.8,36442,13160251500,356000,364500,355500,4744864229000,0.31,13161898,3182940.0,24.18,54,2017-01-13
22521,097950,CJ제일제당,356500,-4000,-1.1,27325,9752551500,360000,360500,355000,4692216637000,0.31,13161898,3187739.0,24.22,54,2017-01-16
24770,097950,CJ제일제당,351000,-5500,-1.5,40554,14275725500,356000,357000,351000,4619826198000,0.3,13161898,3175653.0,24.13,55,2017-01-17
27016,097950,CJ제일제당,358000,7000,2.0,33098,11833955000,352000,359500,352000,4711959484000,0.31,13161898,3181167.0,24.17,55,2017-01-18
29262,097950,CJ제일제당,354000,-4000,-1.1,26308,9317521500,356000,359000,353000,4659311892000,0.3,13161898,3189780.0,24.23,55,2017-01-19
31509,097950,CJ제일제당,355000,1000,0.3,20703,7388911000,355000,360500,354000,4672473790000,0.3,13161898,3190779.0,24.24,56,2017-01-20
