,account_nm,thstrm_amount
0,유동자산,19141707000000
1,현금및현금성자산,2369739000000
2,유동금융자산,1958357000000
3,매출채권및기타채권,7928972000000
4,재고자산,6002086000000
5,당기법인세자산,100590000000
6,유동비금융자산,753992000000
7,매각예정자산,27971000000
8,비유동자산,162647208000000
9,비유동금융자산,2038913000000
10,장기매출채권및기타채권,1754797000000
11,유형자산,150882414000000
12,투자부동산,284714000000
13,영업권,2582000000
14,영업권 이외의 무형자산,1187121000000
15,관계기업투자지분,3837421000000
16,공동기업투자지분,1493275000000
17,이연법인세자산,919153000000
18,비유동비금융자산,246818000000
19,자산총계,181788915000000
20,유동부채,23424281000000
21,매입채무및기타채무,5999521000000
22,유동금융부채,9194552000000
23,당기법인세부채,508402000000
24,유동비금융부채,5584308000000
25,유동충당부채,2137498000000
26,비유동부채,85399993000000
27,장기매입채무및기타채무,3223480000000
28,비유동금융부채,45980899000000
29,비유동비금융부채,8072434000000
30,종업원급여채무,1483069000000
31,이연법인세부채,10415397000000
32,비유동충당부채,16224714000000
33,부채총계,108824274000000
34,지배기업의 소유주에게 귀속되는 자본,71681445000000
35,납입자본,4053578000000
36,자본금,3209820000000
37,주식발행초과금,843758000000
38,이익잉여금(결손금),53370558000000
39,이익준비금,1604910000000
40,임의적립금,34833844000000
41,미처분이익잉여금(미처리결손금),16931804000000
42,기타자본구성요소,14257309000000
43,기타자본잉여금,1233793000000
44,기타포괄손익누계액,-271457000000
45,기타자본,13294973000000
46,비지배지분,1283196000000
47,자본총계,72964641000000
48,자본과부채총계,181788915000000
49,수익(매출액),59814862000000
50,재화의 판매로 인한 매출액,55772548000000
51,용역의 제공으로 인한 매출액,351157000000
52,건설계약으로 인한 매출액,3212184000000
53,공사부담금수익,478973000000
54,매출원가,52098855000000
55,재화의 판매로 인한 매출원가,48454036000000
56,용역의 제공으로 인한 매출원가,597423000000
57,건설계약으로 인한 매출원가,3047396000000
58,매출총이익,7716007000000
59,판매비와관리비,2762855000000
60,영업이익(손실),4953152000000
61,기타수익,390145000000
62,기타비용,180055000000
63,기타이익(손실),156627000000
64,금융수익,1530618000000
65,금융원가,3127952000000
66,"관계기업,공동기업,종속기업 관련이익(손실)",-108317000000
67,관계기업 및 공동기업 투자지분 평가이익,241537000000
68,관계기업 및 공동기업 투자지분 처분이익,609000000
69,종속기업 투자지분 처분이익,0
70,관계기업 및 공동기업 투자지분 평가손실,-323225000000
71,관계기업 및 공동기업 투자지분 처분손실,0
72,관계기업 및 공동기업 투자지분 손상차손,-27238000000
73,법인세비용차감전순이익(손실),3614218000000
74,법인세비용,2172824000000
75,당기순이익(손실),1441394000000
76,기타포괄손익,-94716000000
77,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,180404000000
78,확정급여제도의 재측정요소,170337000000
79,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,10067000000
80,후속적으로 당기손익으로 재분류되는 기타포괄손익,-275120000000
81,매도가능금융자산평가손익,7098000000
82,현금흐름위험회피 파생상품평가손익,-20868000000
83,해외사업환산손익,134196000000
84,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,-154694000000
85,총포괄손익,1346678000000
86,지배기업의 소유주에게 귀속되는 당기순이익(손실),1298720000000
87,비지배지분에 귀속되는 당기순이익(손실),142674000000
88,지배기업의 소유주에게 귀속되는 포괄이익,1230194000000
89,비지배지분에 귀속되는 포괄이익,116484000000
90,기본주당이익(손실),2023
91,희석주당이익(손실),2023
92,영업활동현금흐름,11249894000000
93,당기순이익(손실),1441394000000
94,당기순이익조정을 위한 가감,16492940000000
95,법인세비용,2172824000000
96,감가상각비,9660039000000
97,무형자산상각비,113672000000
98,퇴직급여,391360000000
99,대손상각비,126326000000
100,이자비용,1789552000000
101,금융자산처분손실,2343000000
102,유형자산처분손실,70514000000
103,유형자산폐기손실,424091000000
104,유형자산손상차손,51067000000
105,무형자산손상차손,20000000
106,무형자산처분손실,183000000
107,충당부채전입액,1690120000000
108,외화환산손익,-902878000000
109,파생상품손익,1043628000000
110,관계기업 및 공동기업 투자지분 평가손익,81688000000
111,금융자산처분이익,1130000000
112,유형자산처분이익,48316000000
113,무형자산처분이익,564000000
114,관계기업 및 공동기업 투자지분 처분이익,609000000
115,관계기업 및 공동기업 투자지분 처분손실,0
116,종속기업 투자지분 처분이익,0
117,관계기업 및 공동기업 투자지분 손상차손,27238000000
118,이자수익,206143000000
119,배당금수익,-11477000000
120,매도가능금융자산손상차손,2713000000
121,기타,16679000000
122,영업활동으로인한자산ㆍ부채의변동,-2683657000000
123,매출채권의 감소(증가),-218328000000
124,미수금의 감소(증가),-31807000000
125,미수수익의 감소(증가),577838000000
126,기타채권의 감소(증가),-1271000000
127,기타유동자산의 감소(증가),37576000000
128,재고자산의 감소(증가),-1373438000000
129,기타의비유동자산의 증가,-46079000000
130,매입채무의 증가(감소),342126000000
131,미지급금의 증가(감소),-214704000000
132,미지급비용의 증가(감소),-715305000000
133,기타채무의 증가(감소),292000000
134,기타유동부채의 증가(감소),-126323000000
135,기타비유동부채의 증가(감소),763958000000
136,관계기업및공동기업투자지분의 감소,106983000000
137,충당부채의 증가(감소),-1390606000000
138,퇴직금의 지급,-69489000000
139,사외적립자산의 납입,-325080000000
140,배당금수취,10590000000
141,이자지급,1886303000000
142,이자수취,173226000000
143,법인세납부,2298296000000
144,투자활동현금흐름,-12606699000000
145,관계기업 및 공동기업투자지분의 처분,10542000000
146,관계기업 및 공동기업투자지분의 취득,206753000000
147,유형자산의 처분,85801000000
148,유형자산의 취득,12535958000000
149,무형자산의 처분,1072000000
150,무형자산의 취득,143887000000
151,금융자산의 처분,5296680000000
152,금융자산의 취득,4786717000000
153,대여금의 증가,218698000000
154,대여금의 감소,120967000000
155,보증금의 증가,397078000000
156,보증금의 감소,110383000000
157,정부보조금 등의 수령,55533000000
158,정부보조금 등의 사용,0
159,연결범위의 변동으로 인한 순현금유출입액,0
160,기타투자활동으로 인한 순현금유출입액,1414000000
161,재무활동현금흐름,745594000000
162,단기차입금의 순차입(상환),370328000000
163,사채 및 장기차입금의 차입,10098067000000
164,사채 및 장기차입금의 상환,8198882000000
165,금융리스 부채의 상환,122919000000
166,파생상품의 순정산,33434000000
167,연결자본거래로 인한 순현금유입액,23582000000
168,신종자본증권 상환으로 인한 현금유출액,-99750000000
169,신종자본증권 배당지급액,-15856000000
170,배당금지급,1340387000000
171,기타재무활동으로 인한 순현금유출액,-2023000000
172,환율변동효과 반영전 현금및현금성자산의 순증감,-611211000000
173,현금및현금성자산에 대한 환율변동효과,-70403000000
174,현금및현금성자산의순증가(감소),-681614000000
175,기초현금및현금성자산,3051353000000
176,기말현금및현금성자산,2369739000000
177,기초자본,73050545000000
178,기초자본,1326852000000
179,기초자본,71723693000000
180,기초자본,14496244000000
181,기초자본,4053578000000
182,기초자본,53173871000000
183,당기순이익(손실),1441394000000
184,당기순이익(손실),142674000000
185,당기순이익(손실),1298720000000
186,당기순이익(손실),0
187,당기순이익(손실),0
188,당기순이익(손실),1298720000000
189,확정급여제도의 재측정요소,170337000000
190,확정급여제도의 재측정요소,11346000000
191,확정급여제도의 재측정요소,158991000000
192,확정급여제도의 재측정요소,0
193,확정급여제도의 재측정요소,0
194,확정급여제도의 재측정요소,158991000000
195,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,10067000000
196,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,2000000
197,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,10065000000
198,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,0
199,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,0
200,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,10065000000
201,매도가능금융자산평가손익,-7098000000
202,매도가능금융자산평가손익,4000000
203,매도가능금융자산평가손익,-7102000000
204,매도가능금융자산평가손익,-7102000000
205,매도가능금융자산평가손익,0
206,매도가능금융자산평가손익,0
207,현금흐름위험회피 파생상품평가손익,20868000000
208,현금흐름위험회피 파생상품평가손익,1254000000
209,현금흐름위험회피 파생상품평가손익,19614000000
210,현금흐름위험회피 파생상품평가손익,19614000000
211,현금흐름위험회피 파생상품평가손익,0
212,현금흐름위험회피 파생상품평가손익,0
213,해외사업장환산손익,-134196000000
214,해외사업장환산손익,-39093000000
215,해외사업장환산손익,-95103000000
216,해외사업장환산손익,-95103000000
217,해외사업장환산손익,0
218,해외사업장환산손익,0
219,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,-154694000000
220,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,297000000
221,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,-154991000000
222,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,-154991000000
223,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,0
224,지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,0
225,배당금지급,1341341000000
226,배당금지급,70252000000
227,배당금지급,1271089000000
228,배당금지급,0
229,배당금지급,0
230,배당금지급,1271089000000
231,유상증자 등,17003000000
232,유상증자 등,18381000000
233,유상증자 등,-1378000000
234,유상증자 등,-1378000000
235,유상증자 등,0
236,유상증자 등,0
237,유상증자 외 연결실체내의 변동,0
238,유상증자 외 연결실체내의 변동,0
239,유상증자 외 연결실체내의 변동,0
240,유상증자 외 연결실체내의 변동,0
241,유상증자 외 연결실체내의 변동,0
242,유상증자 외 연결실체내의 변동,0
243,연결실체의 변동,7337000000
244,연결실체의 변동,7337000000
245,연결실체의 변동,0
246,연결실체의 변동,0
247,연결실체의 변동,0
248,연결실체의 변동,0
249,신종자본증권 배당,-15856000000
250,신종자본증권 배당,-15856000000
251,신종자본증권 배당,0
252,신종자본증권 배당,0
253,신종자본증권 배당,0
254,신종자본증권 배당,0
255,신종자본증권 상환,-99750000000
256,신종자본증권 상환,-99750000000
257,신종자본증권 상환,0
258,신종자본증권 상환,0
259,신종자본증권 상환,0
260,신종자본증권 상환,0
261,기타거래,25000000
262,기타거래,0
263,기타거래,25000000
264,기타거래,25000000
265,기타거래,0
266,기타거래,0
267,기말자본,72964641000000
268,기말자본,1283196000000
269,기말자본,71681445000000
270,기말자본,14257309000000
271,기말자본,4053578000000
