,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
13,105560,KB금융,42600,-200,-0.5,345769,14774714750,42800,43050,42250,17811551476200,1.18,418111537,263528800.0,63.03,14,2017-01-02
2258,105560,KB금융,43700,1100,2.6,956685,40990064950,42600,43750,42000,18271474166900,1.2,418111537,263738258.0,63.08,12,2017-01-03
4505,105560,KB금융,44150,450,1.0,831295,36625085850,43900,44400,43450,18459624358550,1.21,418111537,264136333.0,63.17,12,2017-01-04
6754,105560,KB금융,42800,-1350,-3.1,1128957,48576715100,44200,44200,42550,17895173783600,1.17,418111537,264163976.0,63.18,14,2017-01-05
9000,105560,KB금융,42650,-150,-0.4,1338299,57070104650,43000,43000,42300,17832457053050,1.16,418111537,264214344.0,63.19,13,2017-01-06
11247,105560,KB금융,42400,-250,-0.6,795293,33706343450,42650,42700,42150,17727929168800,1.16,418111537,264559696.0,63.27,13,2017-01-09
13494,105560,KB금융,43250,850,2.0,1093427,47085448150,43000,43400,42650,18083323975250,1.18,418111537,264869512.0,63.35,13,2017-01-10
15742,105560,KB금융,43350,100,0.2,912080,39593582250,42700,43700,42700,18125135128950,1.17,418111537,265023306.0,63.39,14,2017-01-11
17988,105560,KB금융,44100,750,1.7,1011997,44391596600,43600,44100,43350,18438718781700,1.19,418111537,265186737.0,63.42,14,2017-01-12
20235,105560,KB금융,43850,-250,-0.6,861598,37883786250,43500,44300,43400,18334190897450,1.18,418111537,265210300.0,63.43,15,2017-01-13
22479,105560,KB금융,45150,1300,3.0,1474423,66300234700,44100,45250,43950,18877735895550,1.23,418111537,265630592.0,63.53,12,2017-01-16
24728,105560,KB금융,45850,700,1.6,1222286,55998179350,45300,46100,45100,19170413971450,1.24,418111537,265948503.0,63.61,13,2017-01-17
26974,105560,KB금융,45800,-50,-0.1,611897,27943553500,45400,46000,45100,19149508394600,1.24,418111537,265954803.0,63.61,13,2017-01-18
29220,105560,KB금융,45550,-250,-0.6,467486,21387500050,45400,46200,45400,19044980510350,1.23,418111537,266023275.0,63.62,13,2017-01-19
