,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
215,115390,락앤락,14500,0,0.0,154794,2237288150,14450,14600,14150,797500000000,0.05,55000000,3769173.0,6.85,216,2017-01-02
2465,115390,락앤락,14200,-300,-2.1,207920,2962629000,14550,14550,14050,781000000000,0.05,55000000,3736200.0,6.79,219,2017-01-03
4716,115390,락앤락,14050,-150,-1.1,150059,2112460950,14200,14250,13950,772750000000,0.05,55000000,3742449.0,6.8,223,2017-01-04
6960,115390,락앤락,14450,400,2.8,305755,4424808500,14100,14650,14100,794750000000,0.05,55000000,3741851.0,6.8,220,2017-01-05
9209,115390,락앤락,14300,-150,-1.0,139075,1996614500,14600,14600,14250,786500000000,0.05,55000000,3738273.0,6.8,222,2017-01-06
11453,115390,락앤락,14300,0,0.0,253745,3590112000,14300,14400,13900,786500000000,0.05,55000000,3770015.0,6.85,219,2017-01-09
13701,115390,락앤락,14100,-200,-1.4,105876,1492469750,14150,14300,14000,775500000000,0.05,55000000,3755352.0,6.83,220,2017-01-10
15949,115390,락앤락,13950,-150,-1.1,146215,2038993350,14250,14250,13850,767250000000,0.05,55000000,3765841.0,6.85,221,2017-01-11
18194,115390,락앤락,13900,-50,-0.4,142001,1976106700,13850,14150,13800,764500000000,0.05,55000000,3806488.0,6.92,220,2017-01-12
20439,115390,락앤락,14200,300,2.2,127940,1799883300,14000,14200,13900,781000000000,0.05,55000000,3839577.0,6.98,219,2017-01-13
22692,115390,락앤락,13700,-500,-3.5,250469,3446006550,14200,14200,13550,753500000000,0.05,55000000,3748494.0,6.82,225,2017-01-16
24938,115390,락앤락,13800,100,0.7,113906,1560426500,13600,13800,13600,759000000000,0.05,55000000,3722485.0,6.77,223,2017-01-17
27183,115390,락앤락,13950,150,1.1,180294,2493663550,13750,14050,13500,767250000000,0.05,55000000,3712245.0,6.75,222,2017-01-18
