,account_nm,thstrm_amount
0,유동자산,2094598958700.0
1,현금및현금성자산,77006921426.0
2,단기금융상품,90759105335.0
3,매출채권 및 기타유동채권,968589693044.0
4,유동매도가능금융자산,2905027834.0
5,재고자산,799155544561.0
6,당기법인세자산,74971034246.0
7,기타유동자산,81211632254.0
8,비유동자산,3567349681215.0
9,장기금융상품,6706640807.0
10,장기매출채권 및 기타비유동채권,45898790798.0
11,비유동매도가능금융자산,353901934037.0
12,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",448222573614.0
13,유형자산,2444298365678.0
14,투자부동산,63353143214.0
15,영업권 이외의 무형자산,177197556917.0
16,이연법인세자산,12448223261.0
17,기타비유동자산,15322452889.0
18,자산총계,5661948639915.0
19,유동부채,2126148761464.0
20,매입채무 및 기타유동채무,774114509559.0
21,단기차입금및사채,1216978195455.0
22,기타유동부채,109289216613.0
23,당기법인세부채,25766839837.0
24,비유동부채,1213352396062.0
25,장기매입채무 및 기타비유동채무,118573946553.0
26,장기차입금및사채,885253002800.0
27,퇴직급여부채,52006321332.0
28,이연법인세부채,140347688999.0
29,기타비유동부채,16939528225.0
30,기타비유동금융부채,231908153.0
31,부채총계,3339501157526.0
32,지배기업의 소유주에게 귀속되는 자본,2183300782354.0
33,자본금,142097940000.0
34,자본잉여금,929581779225.0
35,신종자본증권,102453100000.0
36,이익잉여금(결손금),975511586146.0
37,기타자본구성요소,33656376983.0
38,비지배지분,139146700035.0
39,자본총계,2322447482389.0
40,자본과부채총계,5661948639915.0
41,수익(매출액),4607039925823.0
42,매출원가,3426332696356.0
43,매출총이익,1180707229467.0
44,판매비와관리비,982730172678.0
45,영업이익(손실),197977056789.0
46,기타이익,144270761101.0
47,기타손실,158004542416.0
48,금융수익,8504155973.0
49,금융원가,65207230446.0
50,관계기업및공동지배기업투자손익,50654098297.0
51,관계기업및공동지배기업투자처분손익,1057724327.0
52,종속기업투자처분이익,0.0
53,법인세비용차감전순이익(손실),179252023625.0
54,법인세비용,56516213908.0
55,당기순이익(손실),122735809717.0
56,기타포괄손익,86388907704.0
57,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-2363174202.0
58,확정급여제도의 재측정손익(세후기타포괄손익),-2350367923.0
59,지분법이익잉여금,-12806279.0
60,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),88752081906.0
61,매도가능금융자산평가손익(세후기타포괄손익),106161508398.0
62,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-752222486.0
63,파생상품평가손익,8244215337.0
64,해외사업장환산외환차이(세후기타포괄손익),-24901419343.0
65,총포괄손익,209124717421.0
66,지배기업의 소유주에게 귀속되는 당기순이익(손실),135069711991.0
67,비지배지분에 귀속되는 당기순이익(손실),-12333902274.0
68,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",218707764715.0
69,"총 포괄손익, 비지배지분",-9583047294.0
70,보통주기본주당순이익,4830.0
71,우선주기본주당순이익,4817.0
72,보통주희석주당순이익,4731.0
73,우선주희석주당순이익,4817.0
74,영업활동현금흐름,276642580260.0
75,당기순이익(손실),122735809717.0
76,당기순이익조정을 위한 가감,313070013031.0
77,재고자산평가손실,4766254632.0
78,퇴직급여,35242864791.0
79,장기종업원급여,793208506.0
80,대손상각비,-1786079243.0
81,감가상각비,191309591466.0
82,무형자산상각비,9677421070.0
83,유형자산손상차손,9406095374.0
84,무형자산손상차손,8149302319.0
85,무형자산처분손실,351977129.0
86,외화환산손실,18584417681.0
87,유형자산처분손실,11546202132.0
88,투자부동산처분손실,3000.0
89,기타 현금의 유출 없는 비용등,-2556559453.0
90,매각예정비유동자산처분손실,2822644175.0
91,종속기업/관계기업/공동기업투자처분손실,44261683.0
92,종속기업/관계기업/공동기업투자처분이익,1101832702.0
93,관계기업/공동기업투자손익,-50654098297.0
94,금융비용,63022994436.0
95,파생금융자산평가손실,18259893442.0
96,재고자산평가손실환입,2450311930.0
97,외화환산이익,40553532888.0
98,유형자산처분이익,5723379369.0
99,투자부동산처분이익,1038125014.0
100,무형자산처분이익,
101,유형자산손상차손환입,373573520.0
102,무형자산손상차손환입,
103,금융수익,-8301166312.0
104,매도가능금융자산처분이익,-202989661.0
105,매도가능금융자산처분손실,804887463.0
106,매도가능금융자산손상차손,1379348504.0
107,파생금융자산평가이익,4810952407.0
108,기타충당부채의 환입,54967884.0
109,법인세비용,56516213908.0
110,영업활동으로인한자산ㆍ부채의변동,-144517905193.0
111,매출채권 및 기타채권의 감소(증가),-33593326732.0
112,재고자산의 감소(증가),-32441382837.0
113,기타자산의감소(증가),-20430407502.0
114,매입채무의 증가(감소),33947902823.0
115,기타채무의증가(감소),-25681521126.0
116,기타부채의증가(감소),-3766614686.0
117,퇴직금의지급,-19124791441.0
118,기타장기종업원급여의지급,-549537691.0
119,관계사로부터의퇴직금전입,1591536281.0
120,퇴직연금운용자산의감소(증가),-44478264882.0
121,국민연금전환금의감소(증가),8502600.0
122,법인세납부(환급),14645337295.0
123,투자활동현금흐름,-498747749566.0
124,이자수취,4287044493.0
125,배당금수취,10846525876.0
126,단기대여금의감소,13980329922.0
127,장기대여금의감소,271348964.0
128,단기금융상품의 처분,45259168113.0
129,장기금융상품의 처분,6550500000.0
130,매도가능금융자산의 처분,9620650531.0
131,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 처분",14177469322.0
132,유형자산의 처분,8221643026.0
133,무형자산의 처분,1064473233.0
134,투자부동산의 처분,5061236400.0
135,기타금융자산의 처분,2334282817.0
136,단기금융상품의 취득,78129805866.0
137,장기금융상품의 취득,9898400000.0
138,단기대여금의증가,-12449266600.0
139,장기대여금의증가,-1965762826.0
140,매도가능금융자산의 취득,11973341698.0
141,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득",23500498974.0
142,유형자산의 취득,454836973658.0
143,투자부동산의 취득,
144,무형자산의 취득,7461136969.0
145,기타금융자산의 취득,15377507324.0
146,현금의기타유입(유출),-4829728348.0
147,재무활동현금흐름,157592193768.0
