,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
52,139480,이마트,180500,-2500,-1.4,72116,13140859040,184000,188500,179500,5031585329500,0.33,27875819,13441589.0,48.22,53,2017-01-02
2299,139480,이마트,179500,-1000,-0.6,75322,13669998500,180000,185500,179000,5003709510500,0.33,27875819,13458262.0,48.28,53,2017-01-03
4544,139480,이마트,179000,-500,-0.3,66213,11852332500,181500,181500,177500,4989771601000,0.33,27875819,13476132.0,48.34,51,2017-01-04
6790,139480,이마트,186500,7500,4.2,90211,16528753500,179000,186500,179000,5198840243500,0.34,27875819,13484213.0,48.37,50,2017-01-05
9037,139480,이마트,185500,-1000,-0.5,60552,11255139000,186000,187500,182500,5170964424500,0.34,27875819,13478202.0,48.35,50,2017-01-06
11284,139480,이마트,180000,-5500,-3.0,69357,12580693500,184000,185000,180000,5017647420000,0.33,27875819,13460806.0,48.29,50,2017-01-09
13530,139480,이마트,183000,3000,1.7,79656,14522878500,179500,183500,178500,5101274877000,0.33,27875819,13441442.0,48.22,49,2017-01-10
15777,139480,이마트,186500,3500,1.9,101671,18871449500,183000,187000,182500,5198840243500,0.34,27875819,13422495.0,48.15,49,2017-01-11
18023,139480,이마트,190500,4000,2.1,61806,11690268500,186500,191500,186500,5310343519500,0.34,27875819,13425110.0,48.16,49,2017-01-12
20270,139480,이마트,190500,0,0.0,109423,20895821500,190500,193000,189000,5310343519500,0.34,27875819,13429115.0,48.17,50,2017-01-13
22516,139480,이마트,191500,1000,0.5,47615,9066309000,190000,192000,187500,5338219338500,0.35,27875819,13428400.0,48.17,49,2017-01-16
24765,139480,이마트,191500,0,0.0,37096,7071082500,191500,192000,189000,5338219338500,0.35,27875819,13426079.0,48.16,50,2017-01-17
27010,139480,이마트,194500,3000,1.6,63883,12419164500,190500,196000,189500,5421846795500,0.35,27875819,13437123.0,48.2,49,2017-01-18
29256,139480,이마트,193500,-1000,-0.5,80266,15576203000,193500,196000,192000,5393970976500,0.35,27875819,13448770.0,48.25,49,2017-01-19
31502,139480,이마트,196500,3000,1.6,111137,21719744360,194500,197500,192000,5477598433500,0.36,27875819,13453853.0,48.26,49,2017-01-20
33745,139480,이마트,197500,1000,0.5,55678,11013368000,194000,199500,194000,5505474252500,0.36,27875819,13463458.0,48.3,48,2017-01-23
35989,139480,이마트,193500,-4000,-2.0,89109,17235871762,196500,197000,192000,5393970976500,0.35,27875819,13457778.0,48.28,48,2017-01-24
38234,139480,이마트,190000,-3500,-1.8,74648,14183123000,193000,194500,188000,5296405610000,0.34,27875819,13453293.0,48.26,48,2017-01-25
40479,139480,이마트,199500,9500,5.0,244775,48756999750,195500,202000,195500,5561225890500,0.36,27875819,13453027.0,48.26,47,2017-01-26
42725,139480,이마트,203000,3500,1.8,156215,31873223500,200000,206500,199000,5658791257000,0.37,27875819,13462445.0,48.29,47,2017-01-31
44971,139480,이마트,203500,500,0.2,80934,16355734500,203000,204500,200000,5672729166500,0.37,27875819,13489254.0,48.39,47,2017-02-01
47216,139480,이마트,205000,1500,0.7,87971,17992415555,200000,206500,200000,5714542895000,0.37,27875819,13508511.0,48.46,46,2017-02-02
49463,139480,이마트,204000,-1000,-0.5,74295,15041864000,206000,206500,200500,5686667076000,0.37,27875819,13508875.0,48.46,46,2017-02-03
