,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
177,145990,삼양사,103000,-2000,-1.9,12710,1323785500,105500,105500,102500,1059849709000,0.07,10289803,464062.0,4.51,178,2017-01-02
2423,145990,삼양사,103000,0,0.0,19532,2007088000,103000,104000,101500,1059849709000,0.07,10289803,465776.0,4.53,177,2017-01-03
4670,145990,삼양사,104500,1500,1.5,15211,1589190500,103000,106000,102500,1075284413500,0.07,10289803,464670.0,4.52,177,2017-01-04
6916,145990,삼양사,104000,-500,-0.5,16860,1738477000,104000,104500,101500,1070139512000,0.07,10289803,462170.0,4.49,176,2017-01-05
9163,145990,삼양사,104000,0,0.0,11943,1243654000,104000,105500,103000,1070139512000,0.07,10289803,463951.0,4.51,176,2017-01-06
11410,145990,삼양사,105500,1500,1.4,32270,3350745000,104000,107000,100500,1085574216500,0.07,10289803,460488.0,4.48,176,2017-01-09
13656,145990,삼양사,105000,-500,-0.5,27176,2884239500,105500,108000,103500,1080429315000,0.07,10289803,459018.0,4.46,175,2017-01-10
15904,145990,삼양사,103000,-2000,-1.9,23832,2469513500,104000,106000,102000,1059849709000,0.07,10289803,456443.0,4.44,176,2017-01-11
18149,145990,삼양사,104000,1000,1.0,16874,1737009500,103500,104000,102000,1070139512000,0.07,10289803,457437.0,4.45,175,2017-01-12
20397,145990,삼양사,102500,-1500,-1.4,16980,1743458000,104000,104000,102000,1054704807500,0.07,10289803,456101.0,4.43,177,2017-01-13
22643,145990,삼양사,101000,-1500,-1.5,21410,2166494000,102500,103500,100500,1039270103000,0.07,10289803,459107.0,4.46,176,2017-01-16
24889,145990,삼양사,100500,-500,-0.5,10514,1059602000,101000,102000,100000,1034125201500,0.07,10289803,460752.0,4.48,174,2017-01-17
27137,145990,삼양사,101000,500,0.5,17120,1713107700,100000,101000,99100,1039270103000,0.07,10289803,464476.0,4.51,176,2017-01-18
29383,145990,삼양사,99600,-1400,-1.4,15203,1519311600,100000,101000,99600,1024864378800,0.07,10289803,463715.0,4.51,176,2017-01-19
31627,145990,삼양사,98400,-1200,-1.2,15173,1500010800,99600,100500,98300,1012516615200,0.07,10289803,463962.0,4.51,174,2017-01-20
33872,145990,삼양사,97000,-1400,-1.4,17778,1734924300,98900,98900,97000,998110891000,0.06,10289803,468101.0,4.55,175,2017-01-23
36115,145990,삼양사,97800,800,0.8,27734,2669805900,97100,97800,94900,1006342733400,0.07,10289803,474282.0,4.61,174,2017-01-24
38364,145990,삼양사,94700,-3100,-3.2,33738,3219668300,97800,98300,94700,974444344100,0.06,10289803,472591.0,4.59,178,2017-01-25
40611,145990,삼양사,95300,600,0.6,13144,1251264100,94700,96000,94100,980618225900,0.06,10289803,475200.0,4.62,179,2017-01-26
42855,145990,삼양사,95800,500,0.5,9339,893082800,95400,96300,94900,985763127400,0.06,10289803,478685.0,4.65,177,2017-01-31
45100,145990,삼양사,95800,0,0.0,8482,811922900,96700,96700,95300,985763127400,0.06,10289803,477543.0,4.64,176,2017-02-01
47347,145990,삼양사,94300,-1500,-1.6,20012,1901644800,95300,95800,94300,970328422900,0.06,10289803,474490.0,4.61,177,2017-02-02
49596,145990,삼양사,93200,-1100,-1.2,13890,1299203800,95000,95000,93100,959009639600,0.06,10289803,477038.0,4.64,179,2017-02-03
51839,145990,삼양사,97600,4400,4.7,21639,2101114400,94000,98000,93500,1004284772800,0.06,10289803,478603.0,4.65,175,2017-02-06
54086,145990,삼양사,97300,-300,-0.3,10421,1015515400,98500,98900,96600,1001197831900,0.06,10289803,477091.0,4.64,175,2017-02-07
56335,145990,삼양사,96200,-1100,-1.1,9178,880188100,97000,97000,95300,989879048600,0.06,10289803,474500.0,4.61,177,2017-02-08
58583,145990,삼양사,96500,300,0.3,9081,877452900,96200,97800,95900,992965989500,0.06,10289803,472329.0,4.59,178,2017-02-09
60830,145990,삼양사,98000,1500,1.6,16439,1604030000,97400,98300,96500,1008400694000,0.07,10289803,471385.0,4.58,178,2017-02-10
63077,145990,삼양사,96800,-1200,-1.2,27769,2713208000,99000,100000,96600,996052930400,0.06,10289803,470683.0,4.57,178,2017-02-13
65326,145990,삼양사,95100,-1700,-1.8,20607,1969079300,96800,97100,95100,978560265300,0.06,10289803,473120.0,4.6,180,2017-02-14
67574,145990,삼양사,95700,600,0.6,15186,1449130700,95500,96000,94900,984734147100,0.06,10289803,478407.0,4.65,181,2017-02-15
69821,145990,삼양사,94600,-1100,-1.2,18358,1741355000,95700,96200,94400,973415363800,0.06,10289803,480373.0,4.67,181,2017-02-16
72068,145990,삼양사,94500,-100,-0.1,12687,1203244100,95500,95600,94000,972386383500,0.06,10289803,483941.0,4.7,181,2017-02-17
74318,145990,삼양사,94400,-100,-0.1,7778,733236300,94600,94900,94000,971357403200,0.06,10289803,484698.0,4.71,184,2017-02-20
76562,145990,삼양사,96300,1900,2.0,16682,1612960500,94800,97600,94600,990908028900,0.06,10289803,488390.0,4.75,181,2017-02-21
78812,145990,삼양사,95300,-1000,-1.0,9107,871114700,97300,97400,95200,980618225900,0.06,10289803,486872.0,4.73,185,2017-02-22
81057,145990,삼양사,94900,-400,-0.4,9129,870175000,96000,96000,94900,976502304700,0.06,10289803,487488.0,4.74,184,2017-02-23
83302,145990,삼양사,97100,2200,2.3,20672,2002046700,95900,97600,95000,999139871300,0.06,10289803,490136.0,4.76,181,2017-02-24
85550,145990,삼양사,98400,1300,1.3,15703,1546838800,97800,99000,97600,1012516615200,0.07,10289803,489311.0,4.76,181,2017-02-27
87798,145990,삼양사,97900,-500,-0.5,12332,1210904300,99000,99000,97000,1007371713700,0.06,10289803,485018.0,4.71,181,2017-02-28
90047,145990,삼양사,97200,-700,-0.7,15706,1527333300,98300,98400,96600,1000168851600,0.06,10289803,482140.0,4.69,181,2017-03-02
92295,145990,삼양사,97800,600,0.6,15776,1551824300,97200,98800,97000,1006342733400,0.07,10289803,483314.0,4.7,179,2017-03-03
94547,145990,삼양사,96600,-1200,-1.2,15224,1470343700,98100,98200,94300,993994969800,0.06,10289803,480047.0,4.67,180,2017-03-06
96797,145990,삼양사,98600,2000,2.1,22717,2242423700,97800,99500,96600,1014574575800,0.07,10289803,486491.0,4.73,179,2017-03-07
99048,145990,삼양사,98200,-400,-0.4,11706,1151516900,98600,99000,97400,1010458654600,0.06,10289803,485499.0,4.72,181,2017-03-08
101295,145990,삼양사,99000,800,0.8,13544,1339886200,98000,99500,97300,1018690497000,0.07,10289803,487292.0,4.74,179,2017-03-09
103546,145990,삼양사,98300,-700,-0.7,10117,997341700,99100,99400,97800,1011487634900,0.06,10289803,486170.0,4.72,181,2017-03-10
105794,145990,삼양사,97100,-1200,-1.2,20874,2025892500,98300,98600,96400,999139871300,0.06,10289803,483219.0,4.7,180,2017-03-13
108047,145990,삼양사,95000,-2100,-2.2,35201,3356795600,97000,97100,94600,977531285000,0.06,10289803,479657.0,4.66,184,2017-03-14
110296,145990,삼양사,93900,-1100,-1.2,23524,2216201600,95000,95700,93500,966212501700,0.06,10289803,482087.0,4.69,184,2017-03-15
112545,145990,삼양사,94200,300,0.3,11154,1054604600,94300,95400,93900,969299442600,0.06,10289803,483815.0,4.7,185,2017-03-16
114792,145990,삼양사,95700,1500,1.6,22553,2161543500,94000,96700,94000,984734147100,0.06,10289803,489677.0,4.76,184,2017-03-17
117039,145990,삼양사,95900,200,0.2,15068,1433546500,95800,96000,94200,986792107700,0.06,10289803,491089.0,4.77,183,2017-03-20
119290,145990,삼양사,94200,-1700,-1.8,18182,1720337400,96100,96100,94200,969299442600,0.06,10289803,490373.0,4.77,185,2017-03-21
121540,145990,삼양사,94200,0,0.0,9737,918889800,94100,95100,94100,969299442600,0.06,10289803,491929.0,4.78,186,2017-03-22
123791,145990,삼양사,93800,-400,-0.4,13351,1255855800,94400,95000,93800,965183521400,0.06,10289803,493210.0,4.79,188,2017-03-23
126040,145990,삼양사,95100,1300,1.4,14732,1400460100,93900,95700,93800,978560265300,0.06,10289803,497070.0,4.83,187,2017-03-24
128291,145990,삼양사,95700,600,0.6,12963,1243524700,95200,96400,94700,984734147100,0.06,10289803,497679.0,4.84,188,2017-03-27
130540,145990,삼양사,96300,600,0.6,14888,1433072300,95000,96600,95000,990908028900,0.06,10289803,498084.0,4.84,186,2017-03-28
132792,145990,삼양사,96700,400,0.4,12291,1186930600,95500,97200,95500,995023950100,0.06,10289803,497134.0,4.83,187,2017-03-29
135044,145990,삼양사,96600,-100,-0.1,7388,714563100,97300,97300,96200,993994969800,0.06,10289803,497504.0,4.83,188,2017-03-30
137295,145990,삼양사,97100,500,0.5,7868,761559000,96600,97100,96200,999139871300,0.06,10289803,501961.0,4.88,188,2017-03-31
139546,145990,삼양사,99400,2300,2.4,25882,2544605800,97100,99900,96400,1022806418200,0.06,10289803,500712.0,4.87,187,2017-04-03
