,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
189,185750,종근당,101000,-3500,-3.4,62225,6324231500,104500,105000,100500,950314050000,0.06,9409050,483214.0,5.14,190,2017-01-02
2436,185750,종근당,99600,-1400,-1.4,100248,9994736400,101500,103000,98800,937141380000,0.06,9409050,491686.0,5.23,190,2017-01-03
4682,185750,종근당,101000,1400,1.4,81634,8205381000,100500,102000,99800,950314050000,0.06,9409050,504555.0,5.36,189,2017-01-04
6925,185750,종근당,104500,3500,3.5,82499,8561217500,101500,105000,101000,983245725000,0.06,9409050,523095.0,5.56,185,2017-01-05
9173,185750,종근당,103500,-1000,-1.0,44864,4643130000,105500,105500,102000,973836675000,0.06,9409050,507498.0,5.39,186,2017-01-06
11422,185750,종근당,100000,-3500,-3.4,50703,5107102000,103500,103500,100000,940905000000,0.06,9409050,490057.0,5.21,188,2017-01-09
13665,185750,종근당,102000,2000,2.0,47035,4779580000,101500,103000,100000,959723100000,0.06,9409050,487723.0,5.18,184,2017-01-10
15912,185750,종근당,101000,-1000,-1.0,47852,4843434000,102000,102500,100500,950314050000,0.06,9409050,483443.0,5.14,184,2017-01-11
18161,185750,종근당,98400,-2600,-2.6,95969,9480449100,100500,100500,98100,925850520000,0.06,9409050,462671.0,4.92,187,2017-01-12
20404,185750,종근당,101000,2600,2.6,65717,6618830800,99000,102500,98700,950314050000,0.06,9409050,469093.0,4.99,184,2017-01-13
22650,185750,종근당,102500,1500,1.5,52904,5416803000,102000,103000,101000,964427625000,0.06,9409050,486193.0,5.17,183,2017-01-16
24895,185750,종근당,103000,500,0.5,37603,3867655000,102500,103500,102000,969132150000,0.06,9409050,489463.0,5.2,180,2017-01-17
27144,185750,종근당,102500,-500,-0.5,29800,3070271000,102000,103500,102000,964427625000,0.06,9409050,485992.0,5.17,183,2017-01-18
29390,185750,종근당,102500,0,0.0,33701,3467485000,103500,104000,102500,964427625000,0.06,9409050,475069.0,5.05,183,2017-01-19
31632,185750,종근당,104000,1500,1.5,52888,5487051000,102000,105000,101500,978541200000,0.06,9409050,474422.0,5.04,179,2017-01-20
33878,185750,종근당,100000,-4000,-3.8,49537,5014144500,104000,104500,100000,940905000000,0.06,9409050,462887.0,4.92,181,2017-01-23
36122,185750,종근당,99400,-600,-0.6,34108,3383161800,100000,100000,98500,935259570000,0.06,9409050,456175.0,4.85,181,2017-01-24
38368,185750,종근당,98400,-1000,-1.0,42080,4140084400,99800,100500,97300,925850520000,0.06,9409050,442371.0,4.7,182,2017-01-25
40613,185750,종근당,97800,-600,-0.6,26559,2603590600,98600,99300,97100,920205090000,0.06,9409050,439781.0,4.67,181,2017-01-26
42858,185750,종근당,98000,200,0.2,26292,2574489600,97800,99200,97300,922086900000,0.06,9409050,439767.0,4.67,180,2017-01-31
45103,185750,종근당,100500,2500,2.6,43693,4363026300,98400,101500,98400,945609525000,0.06,9409050,436375.0,4.64,179,2017-02-01
47350,185750,종근당,99500,-1000,-1.0,29970,2988745800,100000,100500,99000,936200475000,0.06,9409050,438173.0,4.66,180,2017-02-02
49597,185750,종근당,101000,1500,1.5,55919,5598928800,99900,102000,98400,950314050000,0.06,9409050,428522.0,4.55,180,2017-02-03
51841,185750,종근당,104000,3000,3.0,106640,11058414500,102000,105000,100000,978541200000,0.06,9409050,451954.0,4.8,177,2017-02-06
54088,185750,종근당,105000,1000,1.0,74514,7875755500,104500,107000,103500,987950250000,0.06,9409050,467059.0,4.96,177,2017-02-07
56334,185750,종근당,105500,500,0.5,57377,6041107500,104500,106500,103000,992654775000,0.06,9409050,476175.0,5.06,176,2017-02-08
58585,185750,종근당,103000,-2500,-2.4,31496,3261410500,105500,106000,102500,969132150000,0.06,9409050,478008.0,5.08,180,2017-02-09
60835,185750,종근당,102000,-1000,-1.0,49597,5076976000,104000,104500,101000,959723100000,0.06,9409050,475276.0,5.05,183,2017-02-10
63081,185750,종근당,103000,1000,1.0,39041,4008841500,103000,104500,101000,969132150000,0.06,9409050,480995.0,5.11,182,2017-02-13
65328,185750,종근당,101500,-1500,-1.5,42483,4306465000,104000,104000,100500,955018575000,0.06,9409050,476274.0,5.06,182,2017-02-14
67571,185750,종근당,106500,5000,4.9,91326,9565190000,101500,106500,101000,1002063825000,0.06,9409050,496349.0,5.28,178,2017-02-15
69818,185750,종근당,106000,-500,-0.5,56056,5946951000,106500,107000,104500,997359300000,0.06,9409050,493608.0,5.25,178,2017-02-16
72064,185750,종근당,111500,5500,5.2,216724,23829664000,105000,113500,105000,1049109075000,0.07,9409050,498703.0,5.3,177,2017-02-17
74311,185750,종근당,108000,-3500,-3.1,82517,8976200500,111500,111500,107000,1016177400000,0.07,9409050,479184.0,5.09,177,2017-02-20
76560,185750,종근당,107500,-500,-0.5,76816,8270763500,108000,110000,106000,1011472875000,0.06,9409050,477263.0,5.07,179,2017-02-21
78804,185750,종근당,108500,1000,0.9,65520,7129265000,108000,110500,106500,1020881925000,0.07,9409050,480860.0,5.11,177,2017-02-22
81049,185750,종근당,111500,3000,2.8,66403,7366085000,109000,112000,108500,1049109075000,0.07,9409050,489233.0,5.2,176,2017-02-23
83297,185750,종근당,114000,2500,2.2,104809,11853294500,112000,114500,110500,1072631700000,0.07,9409050,511972.0,5.44,176,2017-02-24
85545,185750,종근당,112500,-1500,-1.3,57584,6522366000,114500,115500,112000,1058518125000,0.07,9409050,504943.0,5.37,176,2017-02-27
87794,185750,종근당,109500,-3000,-2.7,66628,7344107000,113000,114000,109000,1030290975000,0.07,9409050,486475.0,5.17,177,2017-02-28
90044,185750,종근당,108000,-1500,-1.4,41753,4540734000,110500,111000,108000,1016177400000,0.07,9409050,478778.0,5.09,178,2017-03-02
92294,185750,종근당,107000,-1000,-0.9,40944,4386770500,108000,109500,105500,1006768350000,0.07,9409050,479244.0,5.09,178,2017-03-03
94544,185750,종근당,110000,3000,2.8,101636,11159967000,107000,111500,105000,1034995500000,0.07,9409050,487676.0,5.18,177,2017-03-06
96796,185750,종근당,109500,-500,-0.4,31232,3402079500,110000,110500,107500,1030290975000,0.07,9409050,472902.0,5.03,178,2017-03-07
99047,185750,종근당,107500,-2000,-1.8,37715,4080013500,109000,111000,107000,1011472875000,0.07,9409050,462740.0,4.92,180,2017-03-08
101296,185750,종근당,107000,-500,-0.5,40244,4327510000,107500,108500,106500,1006768350000,0.06,9409050,471450.0,5.01,180,2017-03-09
103543,185750,종근당,109500,2500,2.3,54787,5935571500,107000,110000,106000,1030290975000,0.07,9409050,475223.0,5.05,178,2017-03-10
105792,185750,종근당,109000,-500,-0.5,18738,2047803500,109500,110500,108500,1025586450000,0.07,9409050,469379.0,4.99,178,2017-03-13
108044,185750,종근당,106000,-3000,-2.8,67475,7175773500,108500,109000,105000,997359300000,0.06,9409050,472203.0,5.02,181,2017-03-14
110297,185750,종근당,102500,-3500,-3.3,89745,9260071500,106500,107000,102000,964427625000,0.06,9409050,476547.0,5.06,185,2017-03-15
112544,185750,종근당,104000,1500,1.5,47864,4964741000,103500,104500,102500,978541200000,0.06,9409050,487661.0,5.18,184,2017-03-16
114794,185750,종근당,103500,-500,-0.5,42581,4403155500,103000,104500,102500,973836675000,0.06,9409050,499634.0,5.31,186,2017-03-17
117044,185750,종근당,102000,-1500,-1.4,59031,5967174500,103500,103500,100000,959723100000,0.06,9409050,502298.0,5.34,188,2017-03-20
119289,185750,종근당,103500,1500,1.5,37246,3828320500,102500,104000,102000,973836675000,0.06,9409050,510367.0,5.42,184,2017-03-21
121536,185750,종근당,104500,1000,1.0,36655,3827416500,102500,105500,102500,983245725000,0.06,9409050,518940.0,5.52,182,2017-03-22
123788,185750,종근당,103500,-1000,-1.0,22406,2327078000,106000,106000,103000,973836675000,0.06,9409050,514653.0,5.47,185,2017-03-23
126036,185750,종근당,108000,4500,4.4,65256,6953328500,104500,108500,104000,1016177400000,0.06,9409050,539746.0,5.74,183,2017-03-24
128283,185750,종근당,110000,2000,1.8,116771,12968888000,107500,112500,107500,1034995500000,0.06,9409050,564448.0,6.0,180,2017-03-27
130535,185750,종근당,110000,0,0.0,36635,4022203500,111000,111500,108000,1034995500000,0.06,9409050,564802.0,6.0,181,2017-03-28
132788,185750,종근당,110500,500,0.4,53265,5846056000,109500,111500,107500,1039700025000,0.06,9409050,568501.0,6.04,183,2017-03-29
135040,185750,종근당,109000,-1500,-1.4,25304,2772336000,110000,111000,108500,1025586450000,0.06,9409050,564574.0,6.0,184,2017-03-30
137290,185750,종근당,110500,1500,1.4,45575,5063062000,109500,113000,109500,1039700025000,0.06,9409050,570641.0,6.06,183,2017-03-31
139537,185750,종근당,116000,5500,5.0,158954,18178867500,112500,116000,111500,1091449800000,0.07,9409050,629986.0,6.7,178,2017-04-03
141788,185750,종근당,116000,0,0.0,78592,9127554500,116500,117000,115000,1091449800000,0.07,9409050,626076.0,6.65,177,2017-04-04
144042,185750,종근당,115500,-500,-0.4,60960,7088691500,117000,117500,114500,1086745275000,0.07,9409050,624331.0,6.64,179,2017-04-05
146295,185750,종근당,116000,500,0.4,37795,4341360000,116000,116000,113500,1091449800000,0.07,9409050,627281.0,6.67,180,2017-04-06
148547,185750,종근당,115500,-500,-0.4,79420,9318827500,117000,119500,115000,1086745275000,0.07,9409050,635737.0,6.76,179,2017-04-07
150799,185750,종근당,116000,500,0.4,60226,6982244000,115500,118000,112500,1091449800000,0.07,9409050,649379.0,6.9,177,2017-04-10
153054,185750,종근당,116500,500,0.4,37185,4311495000,115500,117500,114000,1096154325000,0.07,9409050,649380.0,6.9,178,2017-04-11
155307,185750,종근당,115500,-1000,-0.9,29572,3395414000,117500,117500,113500,1086745275000,0.07,9409050,646344.0,6.87,175,2017-04-12
157562,185750,종근당,118000,2500,2.2,40605,4763389500,115500,118500,114500,1110267900000,0.07,9409050,659882.0,7.01,175,2017-04-13
159817,185750,종근당,115000,-3000,-2.5,42769,5002557000,117000,119500,115000,1082040750000,0.07,9409050,646581.0,6.87,176,2017-04-14
