,account_nm,thstrm_amount
0,유동자산,6366648560495.0
1,현금및현금성자산,2134502269006.0
2,단기금융상품,372598214324.0
3,매출채권및기타채권,1808822122734.0
4,미청구공사,
5,계약자산,727583730678.0
6,당기법인세자산,10825012049.0
7,재고자산,998864024596.0
8,매도가능금융자산,
9,당기손익-공정가치 측정금융자산,12508592544.0
10,기타포괄손익-공정가치측정금융자산,593014400.0
11,파생상품자산,950719032.0
12,기타유동자산,272506117779.0
13,매각예정비유동자산,26894743353.0
14,비유동자산,6467068171071.0
15,장기금융상품,24260948595.0
16,장기매출채권및기타채권,1286390477476.0
17,관계기업및공동기업주식,1147359508746.0
18,매도가능금융자산,
19,당기손익-공정가치측정금융자산,214977212844.0
20,기타포괄손익-공정가치측정금융자산,52913209125.0
21,유형자산,2070162249991.0
22,투자부동산,1149537069277.0
23,무형자산,51707208330.0
24,파생상품자산,31661745.0
25,이연법인세자산,435259225483.0
26,기타비유동자산,34469399459.0
27,자산총계,12833716731566.0
28,유동부채,4530043097731.0
29,매입채무 및 기타채무,1650573484350.0
30,초과청구공사,
31,계약부채,1346288152862.0
32,단기차입금및유동성장기부채,813782755661.0
33,당기법인세부채,126971727233.0
34,기타충당부채,370926317292.0
35,금융보증부채,25985987578.0
36,하자보수충당부채,23166756590.0
37,파생상품부채,1287407087.0
38,기타유동부채,171060509078.0
39,비유동부채,2253429532203.0
40,장기매입채무및기타채무,54168947318.0
41,차입금및사채,1845592988246.0
42,순확정급여부채,31200200521.0
43,하자보수충당부채,151482988194.0
44,기타충당부채,38304671587.0
45,금융보증부채,3843355361.0
46,파생상품부채,
47,이연법인세부채,112391788129.0
48,기타비유동부채,16444592847.0
49,부채총계,6783472629934.0
50,지배기업 소유주지분,5390033587387.0
51,자본금,218500000000.0
52,기타불입자본,538858177086.0
53,이익잉여금,4792991457618.0
54,기타포괄손익누계액,-160316047317.0
55,비지배지분,660210514245.0
56,자본총계,6050244101632.0
57,부채및자본총계,12833716731566.0
58,매출액,10984485292300.0
59,매출원가,9564323684890.0
60,매출총이익,1420161607410.0
61,판매비및관리비,574803461695.0
62,영업이익,845358145715.0
63,기타수익,103239470253.0
64,기타비용,278071603473.0
65,금융수익,112355688538.0
66,금융비용,148668542454.0
67,지분법투자손익,260227539688.0
68,법인세비용차감전순이익,894440698267.0
69,법인세비용,216351924323.0
70,당기순이익,678088773944.0
71,지배기업 소유주지분,646382676429.0
72,비지배지분,31706097515.0
73,보통주 기본 및 희석 주당이익,16741.0
74,우선주 기본 및 희석 주당이익,16791.0
75,당기순이익,678088773944.0
76,기타포괄손익,-66613311847.0
77,후속적으로 당기손익으로 재분류되지 않는 항목,-44269919386.0
78,기타포괄손익-공정가치측정 지분상품 평가손익,-34104907072.0
79,지분법이익잉여금,-394293050.0
80,확정급여제도 재측정요소,-23157719056.0
81,당기손익으로 재분류되지 않는 항목의 법인세,-13386999792.0
82,후속적으로 당기손익으로 재분류될 수 있는 항목,-22343392461.0
83,매도가능금융자산평가손익,
84,기타포괄손익-공정가치측정 채무상품 평가손익,354053538.0
85,해외사업환산손익,-4469439991.0
86,지분법자본변동,-748987904.0
87,부의지분법자본변동,-18284551038.0
88,당기손익으로 재분류될 수 있는 항목의 법인세,-805532934.0
89,당기총포괄손익,611475462097.0
90,지배기업 소유주지분,584713376279.0
91,비지배지분,26762085818.0
92,영업활동으로 인한 현금흐름,1104521754686.0
93,당기순이익,678088773944.0
94,조정,595710911163.0
95,순운전자본의 변동,-332813859052.0
96,이자의 수취,37225016384.0
97,이자의 지급,121728536357.0
98,배당금의 수취,483628545537.0
99,법인세의 납부,235589096933.0
100,투자활동으로 인한 현금흐름,-380818178008.0
101,단기금융상품의 감소,279268132659.0
102,단기대여금의 감소,214882406783.0
103,장기금융상품의 감소,200000000.0
104,장기대여금의 감소,152375242893.0
105,관계기업주식의 처분,18370500304.0
106,매도가능금융자산의 처분,
107,기타포괄손익-공정가치측정 금융자산의 처분,37428681974.0
108,당기손익-공정가치측정 금융자산의 처분,53353516228.0
109,토지의 처분,2297350000.0
110,구축물의 처분,1651000.0
111,기계장치의 처분,933539351.0
112,차량운반구의 처분,1256175520.0
113,기타유형자산의 처분,791284446.0
114,정부보조금의 수령,199684314.0
115,투자부동산의 처분,4168811819.0
116,무형자산의 처분,6914545455.0
117,매각예정자산의 처분,46913021431.0
118,단기금융상품의 증가,507680745345.0
119,단기대여금의 증가,117878028106.0
120,장기금융상품의 증가,12447475153.0
121,장기대여금의 증가,182308460340.0
122,종속기업주식의 취득,2910580371.0
123,관계기업주식의 취득,83784134212.0
124,매도가능금융자산의 취득,
125,기타포괄손익-공정가치측정 금융자산의 취득,7577105000.0
126,당기손익-공정가치측정 금융자산의 취득,107104130700.0
127,토지의 취득,186661096.0
128,건물의 취득,1711287797.0
129,구축물의 취득,3492525593.0
130,기계장치의 취득,35093475280.0
131,차량운반구의 취득,305189342.0
132,기타유형자산의 취득,21598012946.0
133,건설중인자산의 취득,86150810619.0
134,정부보조금의 반환,
135,투자부동산의 취득,24533811340.0
136,무형자산의 취득,8060957371.0
137,지배력 획득으로 인한 순현금유입,2958940564.0
138,지배력 상실에 따른 순현금유출,308272138.0
139,재무활동으로 인한 현금흐름,-525617963278.0
140,단기차입금의 차입,1613885820674.0
141,장기차입금의 차입,747686264667.0
142,사채의 발행,379664260000.0
143,종속기업 유상증자,17706222900.0
144,종속기업주식의 일부 처분,
145,단기차입금의 상환,1636552276252.0
146,유동성장기부채의 상환,974730420204.0
147,장기차입금의 상환,583689474701.0
148,사채의 상환,40560000000.0
149,사채발행비용,1007160000.0
150,배당금의 지급,48021200362.0
151,종속기업주식의 취득,
152,현금및현금성자산의 증가(감소),198085613400.0
153,기초의 현금및현금성자산,1931774710250.0
154,외화표시 현금및현금성자산의 환율변동효과,4641945356.0
155,기말의 현금및현금성자산,2134502269006.0
156,기초자본,5694306459019.0
157,기초자본,630054200846.0
158,기초자본,5064252258173.0
159,기초자본,539196723987.0
160,기초자본,-252876194.0
161,기초자본,98343692390.0
162,기초자본,296043884319.0
163,기초자본,145062023472.0
164,기초자본,-92113373037.0
165,기초자본,4398668907223.0
166,기초자본,218500000000.0
167,회계정책의 변경 효과,-248531551103.0
168,회계정책의 변경 효과,-5285614527.0
169,회계정책의 변경 효과,-243245936576.0
170,회계정책의 변경 효과,-22838426138.0
171,회계정책의 변경 효과,-220407510438.0
172,연차배당,48021200362.0
173,연차배당,9231200362.0
174,연차배당,38790000000.0
175,연차배당,38790000000.0
176,당기순이익,678088773944.0
177,당기순이익,31706097515.0
178,당기순이익,646382676429.0
179,당기순이익,646382676429.0
180,매도가능금융자산평가손익,
181,매도가능금융자산평가손익,
182,매도가능금융자산평가손익,
183,매도가능금융자산평가손익,
184,기타포괄손익-공정가치측정 지분상품 평가손익,-26666892381.0
185,기타포괄손익-공정가치측정 지분상품 평가손익,-26666892381.0
186,기타포괄손익-공정가치측정 지분상품 평가손익,-26666892381.0
187,기타포괄손익-공정가치측정 채무상품 평가손익,261059487.0
188,기타포괄손익-공정가치측정 채무상품 평가손익,6831090.0
189,기타포괄손익-공정가치측정 채무상품 평가손익,254228397.0
190,기타포괄손익-공정가치측정 채무상품 평가손익,254228397.0
191,해외사업환산손익,-4469439991.0
192,해외사업환산손익,-159006083.0
193,해외사업환산손익,-4310433908.0
194,해외사업환산손익,-4310433908.0
195,지분법자본변동,-560837147.0
196,지분법자본변동,-560837147.0
197,지분법자본변동,-560837147.0
198,부의지분법자본변동,17574174810.0
199,부의지분법자본변동,3493861707.0
200,부의지분법자본변동,14080313103.0
201,부의지분법자본변동,14080313103.0
202,지분법이익잉여금,-394293050.0
203,지분법이익잉여금,-118287915.0
204,지분법이익잉여금,-276005135.0
205,지분법이익잉여금,-276005135.0
206,확정급여제도의 재측정요소,-17208733955.0
207,확정급여제도의 재측정요소,-1179687082.0
208,확정급여제도의 재측정요소,-16029046873.0
209,확정급여제도의 재측정요소,-16029046873.0
210,미반영 지분법이익잉여금 실현 등,
211,미반영 지분법이익잉여금 실현 등,
212,미반영 지분법이익잉여금 실현 등,
213,연결대상범위의 변동,
214,연결대상범위의 변동,
215,연결대상범위의 변동,
216,연결대상범위의 변동,
217,연결대상범위의 변동,
218,연결대상범위의 변동,
219,종속기업지분변동으로 인한 증감,18913207070.0
220,종속기업지분변동으로 인한 증감,17911042470.0
221,종속기업지분변동으로 인한 증감,1002164600.0
222,종속기업지분변동으로 인한 증감,1002164600.0
223,종속기업지분변동으로 인한 증감,1002164600.0
224,기타포괄손익-공정가치측정지분상품 처분,22101724911.0
225,기타포괄손익-공정가치측정지분상품 처분,22101724911.0
226,기타포괄손익-공정가치측정지분상품 처분,-1340711501.0
227,기타포괄손익-공정가치측정지분상품 처분,-1340711501.0
228,기타포괄손익-공정가치측정지분상품 처분,23442436412.0
229,자본증감합계,604469193716.0
230,자본증감합계,35441927926.0
231,자본증감합계,569027265790.0
232,자본증감합계,-338546901.0
233,자본증감합계,-338546901.0
234,자본증감합계,-45364248142.0
235,자본증감합계,614730060833.0
236,기말자본,6050244101632.0
237,기말자본,660210514245.0
238,기말자본,5390033587387.0
239,기말자본,538858177086.0
240,기말자본,-591423095.0
241,기말자본,98343692390.0
242,기말자본,296043884319.0
243,기말자본,145062023472.0
244,기말자본,-160316047317.0
245,기말자본,4792991457618.0
246,기말자본,218500000000.0
