,account_nm,thstrm_amount
0,유동자산,54890857911.0
1,현금및현금성자산,33648523874.0
2,매출채권및기타채권,10742928569.0
3,금융자산,4491422000.0
4,재고자산,5516872509.0
5,기타유동자산,491110959.0
6,비유동자산,210577416470.0
7,장기매출채권및기타채권,670095895.0
8,비유동금융자산,6423728318.0
9,유형자산,49512048010.0
10,투자부동산,40111897357.0
11,무형자산,1243778579.0
12,관계기업투자주식,111941899609.0
13,이연법인세자산,673968702.0
14,자산총계,265468274381.0
15,유동부채,81670940127.0
16,매입채무및기타채무,13073433069.0
17,금융부채,67339969664.0
18,당기법인세부채,257387026.0
19,기타유동부채,1000150368.0
20,비유동부채,18851323180.0
21,비유동금융부채,43120000.0
22,충당부채,637274886.0
23,퇴직급여부채,7498982316.0
24,이연법인세부채,10671945978.0
25,부채총계,100522263307.0
26,지배기업소유주지분,163744781185.0
27,자본금,10490296000.0
28,기타불입자본,77290848542.0
29,재평가잉여금,42169505697.0
30,기타포괄손익누계액,1229843264.0
31,이익잉여금,32564287682.0
32,비지배지분,1201229889.0
33,자본총계,164946011074.0
34,자본과부채총계,265468274381.0
35,영업수익,47050030688.0
36,영업비용,47031134659.0
37,매출원가,27036070138.0
38,판매비와관리비,19748399095.0
39,연구개발비,246665426.0
40,관계기업투자수익(손실),-693403223.0
41,영업이익,-674507194.0
42,기타수익,43692742.0
43,기타비용,342492863.0
44,금융수익,316909687.0
45,금융비용,2287486727.0
46,법인세비용차감전순이익,-2943884355.0
47,법인세비용,887998219.0
48,계속영업이익(손실),-3831882574.0
49,중단영업이익(손실),
50,당기순이익,-3831882574.0
51,기타포괄손익,-842131177.0
52,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-676527626.0
53,확정급여제도의 재측정손익(세후기타포괄손익),-25630414.0
54,지분법이익잉여금변동,-836873916.0
55,매도가능금융자산평가손익,185976704.0
56,당기손익으로 재분류되는 세후기타포괄손익,-165603551.0
57,매도가능금융자산평가손익,
58,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-165603551.0
59,총포괄손익,-4674013751.0
60,지배기업의 소유주에게 귀속되는 당기순이익(손실),-3719365094.0
61,비지배지분에 귀속되는 당기순이익(손실),-112517480.0
62,지배기업소유주지분,-4553995171.0
63,비지배지분,-120018580.0
64,기본및희석주당순이익,-363.0
65,영업활동현금흐름,6233383834.0
66,당기순이익,-3831882574.0
67,조정,8793126953.0
68,영업활동으로인한자산부채의변동,1936705267.0
69,이자의수취,297646931.0
70,이자의지급,2292335944.0
71,배당금수익,2109057050.0
72,법인세부담액,778933849.0
73,투자활동현금흐름,-6288225678.0
74,단기금융상품의 감소,1900000000.0
75,단기대여금의감소,2200004620.0
76,장기금융상품의 감소,
77,보증금의 감소,22828000.0
78,유형자산의 처분,43740302.0
79,무형자산의 처분,
80,매도가능금융자산의 처분,240000000.0
81,단기금융상품의 증가,4000000000.0
82,단기대여금의 증가,2000008420.0
83,장기금융상품의 증가,
84,보증금의 증가,114357000.0
85,유형자산의 취득,3141212662.0
86,무형자산의 취득,57595518.0
87,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득",1381625000.0
88,재무활동현금흐름,-754724200.0
89,단기차입금의차입,1360000000.0
90,장기차입금의차입,
91,단기차입금의상환,
92,유동성장기차입금의상환,21560000.0
93,배당금지급,2093164200.0
94,자기주식의 취득,
95,분할로 인한 감소,
96,현금및현금성자산의증가(감소),-809566044.0
97,기초현금및현금성자산,34458089918.0
98,외화표시현금및현금성자산환율변동효과,
99,기말현금및현금성자산,33648523874.0
100,기초자본,174057247405.0
101,기초자본,1404974224.0
102,기초자본,172652273181.0
103,기초자본,77190722787.0
104,기초자본,1152596758.0
105,기초자본,41649151939.0
106,기초자본,10490296000.0
107,기초자본,42169505697.0
108,회계정책변경에 따른 증가(감소),-2404458380.0
109,회계정책변경에 따른 증가(감소),-2404458380.0
110,회계정책변경에 따른 증가(감소),56873353.0
111,회계정책변경에 따른 증가(감소),-2461331733.0
112,당기순이익,-3831882574.0
113,당기순이익,-112517480.0
114,당기순이익,-3719365094.0
115,당기순이익,-3719365094.0
116,순확정급여부채의 재측정요소,-25630414.0
117,순확정급여부채의 재측정요소,-7501100.0
118,순확정급여부채의 재측정요소,-18129314.0
119,순확정급여부채의 재측정요소,-18129314.0
120,관계기업 기타포괄이익에 대한 지분,-1002477467.0
121,관계기업 기타포괄이익에 대한 지분,-1002477467.0
122,관계기업 기타포괄이익에 대한 지분,-165603551.0
123,관계기업 기타포괄이익에 대한 지분,-836873916.0
124,매도가능금융자산,185976704.0
125,매도가능금융자산,185976704.0
126,매도가능금융자산,185976704.0
127,유상증자,
128,유상증자,
129,유상증자,
130,유상증자,
131,현금배당,2072764200.0
132,현금배당,23600000.0
133,현금배당,2049164200.0
134,현금배당,2049164200.0
135,자기주식 처분(취득),
136,자기주식 처분(취득),
137,자기주식 처분(취득),
138,감자차손의 보전,
139,감자차손의 보전,
140,관계기업투자주식 취득 변동,
141,관계기업투자주식 취득 변동,
142,종속기업주식의 처분,40000000.0
143,종속기업주식의 처분,-60125755.0
144,종속기업주식의 처분,100125755.0
145,종속기업주식의 처분,100125755.0
146,분할로 인한 변동,
147,분할로 인한 변동,
148,분할로 인한 변동,
149,분할로 인한 변동,
150,기말자본,164946011074.0
151,기말자본,1201229889.0
152,기말자본,163744781185.0
153,기말자본,77290848542.0
154,기말자본,1229843264.0
155,기말자본,32564287682.0
156,기말자본,10490296000.0
157,기말자본,42169505697.0
