,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
897,000230,일동홀딩스,12800,-350,-2.7,5064,65617050,13200,13200,12800,134275788800,0.01,10490296,200321.0,1.91,898.0,2019-01-02
3278,000230,일동홀딩스,12700,-100,-0.8,13843,174308750,12800,13000,12250,133226759200,0.01,10490296,200792.0,1.91,900.0,2019-01-03
5653,000230,일동홀딩스,12800,100,0.8,5624,70604600,12700,12850,12400,134275788800,0.01,10490296,200719.0,1.91,896.0,2019-01-04
8041,000230,일동홀딩스,12850,50,0.4,1106,14170550,12900,12900,12750,134800303600,0.01,10490296,200713.0,1.91,905.0,2019-01-07
10465,000230,일동홀딩스,12300,-550,-4.3,30125,371940550,12700,12850,12050,129030640800,0.01,10490296,201265.0,1.92,950.0,2019-01-08
12847,000230,일동홀딩스,12350,50,0.4,5004,61795150,12250,12450,12250,129555155600,0.01,10490296,201030.0,1.92,953.0,2019-01-09
15220,000230,일동홀딩스,12450,100,0.8,3431,42454750,12350,12450,12350,130604185200,0.01,10490296,200920.0,1.92,947.0,2019-01-10
17624,000230,일동홀딩스,12350,-100,-0.8,2967,36664700,12450,12500,12250,129555155600,0.01,10490296,200838.0,1.91,972.0,2019-01-11
20015,000230,일동홀딩스,12250,-100,-0.8,3480,42775700,12450,12450,12200,128506126000,0.01,10490296,210481.0,2.01,984.0,2019-01-14
22385,000230,일동홀딩스,12400,150,1.2,4476,55067650,12350,12400,12200,130079670400,0.01,10490296,210557.0,2.01,975.0,2019-01-15
24770,000230,일동홀딩스,12450,50,0.4,809,10041850,12400,12450,12350,130604185200,0.01,10490296,210443.0,2.01,981.0,2019-01-16
27158,000230,일동홀딩스,12300,-150,-1.2,7359,90378150,12500,12500,12200,129030640800,0.01,10490296,210215.0,2.0,990.0,2019-01-17
29547,000230,일동홀딩스,12350,50,0.4,2124,26051100,12300,12350,12250,129555155600,0.01,10490296,210110.0,2.0,1000.0,2019-01-18
31931,000230,일동홀딩스,12300,-50,-0.4,5821,71395000,12250,12400,12200,129030640800,0.01,10490296,209986.0,2.0,1005.0,2019-01-21
34315,000230,일동홀딩스,12300,0,0.0,1172,14449550,12200,12400,12200,129030640800,0.01,10490296,209933.0,2.0,1010.0,2019-01-22
36687,000230,일동홀딩스,12400,100,0.8,3112,38527050,12350,12450,12300,130079670400,0.01,10490296,209996.0,2.0,1003.0,2019-01-23
39074,000230,일동홀딩스,12350,-50,-0.4,17085,209652150,12400,12450,12200,129555155600,0.01,10490296,210191.0,2.0,1011.0,2019-01-24
41470,000230,일동홀딩스,12300,-50,-0.4,4061,50078800,12350,12450,12250,129030640800,0.01,10490296,210083.0,2.0,1028.0,2019-01-25
43843,000230,일동홀딩스,12350,50,0.4,2904,35574300,12350,12400,12200,129555155600,0.01,10490296,209995.0,2.0,1021.0,2019-01-28
46222,000230,일동홀딩스,12300,-50,-0.4,4493,55111900,12350,12350,12200,129030640800,0.01,10490296,210113.0,2.0,1020.0,2019-01-29
48598,000230,일동홀딩스,12350,50,0.4,4802,59242650,12300,12400,12300,129555155600,0.01,10490296,210003.0,2.0,1017.0,2019-01-30
50977,000230,일동홀딩스,12400,50,0.4,3652,45193250,12400,12450,12300,130079670400,0.01,10490296,209887.0,2.0,1016.0,2019-01-31
53364,000230,일동홀딩스,12400,0,0.0,2285,28253700,12400,12450,12300,130079670400,0.01,10490296,209780.0,2.0,1023.0,2019-02-01
55753,000230,일동홀딩스,12450,50,0.4,3218,39829450,12500,12500,12300,130604185200,0.01,10490296,209707.0,2.0,1031.0,2019-02-07
58131,000230,일동홀딩스,12500,50,0.4,2650,33186650,12450,12700,12350,131128700000,0.01,10490296,209620.0,2.0,1028.0,2019-02-08
60503,000230,일동홀딩스,12600,100,0.8,7388,92950800,12400,12700,12400,132177729600,0.01,10490296,209507.0,2.0,1019.0,2019-02-11
62870,000230,일동홀딩스,12850,250,2.0,3447,43943550,12750,12850,12600,134800303600,0.01,10490296,210927.0,2.01,1004.0,2019-02-12
65265,000230,일동홀딩스,12800,-50,-0.4,5417,70045850,12850,13200,12750,134275788800,0.01,10490296,210098.0,2.0,1017.0,2019-02-13
67651,000230,일동홀딩스,12750,-50,-0.4,5441,69109700,12800,13050,12500,133751274000,0.01,10490296,210022.0,2.0,1021.0,2019-02-14
70042,000230,일동홀딩스,12600,-150,-1.2,5079,64040950,12800,12850,12550,132177729600,0.01,10490296,210055.0,2.0,1030.0,2019-02-15
72434,000230,일동홀딩스,12550,-50,-0.4,4794,60290150,12600,12650,12500,131653214800,0.01,10490296,209962.0,2.0,1040.0,2019-02-18
74804,000230,일동홀딩스,12800,0,0.0,1818,23155650,12750,12800,12650,134275788800,0.01,10490296,210077.0,2.0,1028.0,2019-02-20
