,account_nm,thstrm_amount
0,유동자산,19711791000000.0
1,현금및현금성자산,2292659000000.0
2,단기금융상품,4668305000000.0
3,단기매도가능금융자산,
4,기타유동금융자산,1627041000000.0
5,매출채권,2049248000000.0
6,미수금,1423002000000.0
7,선급금,99228000000.0
8,당기법인세자산,247414000000.0
9,재고자산,7233947000000.0
10,기타유동자산,70947000000.0
11,비유동자산,32074814000000.0
12,장기금융상품,82863000000.0
13,장기매도가능금융자산,
14,기타비유동금융자산,770841000000.0
15,장기성매출채권,2364000000.0
16,"종속기업, 공동기업 및 관계기업투자",13348454000000.0
17,유형자산,14803300000000.0
18,투자부동산,25262000000.0
19,무형자산,2510391000000.0
20,이연법인세자산,501791000000.0
21,보증금,
22,기타비유동자산,29548000000.0
23,자산총계,51786605000000.0
24,유동부채,14834739000000.0
25,매입채무,6244942000000.0
26,단기차입금,1366649000000.0
27,미지급금,2297229000000.0
28,선수금,543992000000.0
29,미지급비용,1959511000000.0
30,당기법인세부채,49928000000.0
31,유동성장기부채,904989000000.0
32,충당부채,1367425000000.0
33,기타유동부채,100074000000.0
34,비유동부채,9708402000000.0
35,사채,3098975000000.0
36,장기차입금,1311185000000.0
37,장기선수금,92345000000.0
38,순확정급여부채,65749000000.0
39,장기종업원급여충당부채,282727000000.0
40,장기충당부채,3459058000000.0
41,이연법인세부채,1115264000000.0
42,기타비유동부채,283099000000.0
43,부채총계,24543141000000.0
44,지배기업 소유주지분,27243464000000.0
45,보통주자본금,2139317000000.0
46,주식발행초과금,1560650000000.0
47,이익잉여금,24711681000000.0
48,기타포괄손익누계액,-1107110000000.0
49,기타자본항목,-61074000000.0
50,자본총계,27243464000000.0
51,부채와자본총계,51786605000000.0
52,매출액,54169813000000.0
53,매출원가,46177283000000.0
54,매출총이익,7992530000000.0
55,판매비와관리비,6835055000000.0
56,판매비,3904977000000.0
57,관리비,2930078000000.0
58,영업이익,1157475000000.0
59,공동기업 및 관계기업투자손익,616829000000.0
60,금융손익,-63405000000.0
61,금융수익,253691000000.0
62,금융비용,317096000000.0
63,기타손익,-242255000000.0
64,기타수익,311205000000.0
65,기타비용,553460000000.0
66,법인세비용차감전순이익,1468644000000.0
67,법인세비용,312701000000.0
68,당기순이익,1155943000000.0
69,지배기업소유주지분순이익,1155943000000.0
70,기본주당이익(손실),2883.0
71,당기순이익,1155943000000.0
72,기타포괄손익,-452911000000.0
73,확정급여제도의 재측정요소,-124527000000.0
74,관계기업의 재측정요소,-88667000000.0
75,기타포괄손익-공정가치측정금융자산평가손익,-72405000000.0
76,매도가능금융자산평가손익,
77,파생상품평가손익,-22753000000.0
78,지분법자본변동,-6951000000.0
79,부의지분법자본변동,-121409000000.0
80,해외사업환산손익,-16199000000.0
81,매각예정비유동자산 재분류,
82,총포괄이익,703032000000.0
83,지배기업소유주지분,703032000000.0
84,영업활동현금흐름,4470764000000.0
85,영업에서 창출된 현금흐름,4858208000000.0
86,이자의 수취,203714000000.0
87,이자의 지급,153476000000.0
88,배당금의 수취,119169000000.0
89,법인세 부담액,556851000000.0
90,투자활동현금흐름,-1155444000000.0
91,투자활동으로 인한 현금유입,1938320000000.0
92,단기금융상품의 순증감,629982000000.0
93,매도가능증권의 처분,
94,기타유동금융자산의 감소,1226697000000.0
95,유형자산의 처분,78935000000.0
96,무형자산의 처분,2706000000.0
