,account_nm,thstrm_amount
0,Ⅰ.유동자산,291703042803.0
1,현금및현금성자산,107493898785.0
2,매출채권,90392273448.0
3,기타유동금융자산,7363073206.0
4,유동성만기보유금융자산,0.0
5,유동파생금융상품,0.0
6,재고자산,81362121604.0
7,기타유동자산,4827360745.0
8,당기법인세자산,264315015.0
9,Ⅱ.비유동자산,950229738836.0
10,기타금융자산,8728798484.0
11,매도가능금융자산,0.0
12,만기보유금융자산,0.0
13,당기손익공정가치측정금융자산,16393413433.0
14,기타포괄손익공정가치측정금융자산,13319694996.0
15,기타자산,237980770.0
16,지분법적용투자주식,483947646130.0
17,유형자산,347029577224.0
18,무형자산,48120415297.0
19,투자부동산,21871735399.0
20,이연법인세자산,10580477103.0
21,자산총계,1241932781639.0
22,Ⅰ.유동부채,319898815307.0
23,매입채무,25239575950.0
24,기타유동금융부채,48065363890.0
25,차입금,220199865900.0
26,유동충당부채,6057953338.0
27,기타유동부채,17213428363.0
28,당기법인세부채,3122627866.0
29,Ⅱ.비유동부채,186270964921.0
30,기타비유동금융부채,276000000.0
31,차입금,150673475228.0
32,종업원급여부채,15218816739.0
33,기타비유동부채,
34,이연법인세부채,20102672954.0
35,부채총계,506169780228.0
36,Ⅰ.지배기업의 소유주 지분,734194188398.0
37,자본금,30691470000.0
38,주식발행초과금,285853203929.0
39,자본조정,-197914366287.0
40,기타자본구성요소,137564726081.0
41,이익잉여금,477999154675.0
42,Ⅱ.비지배지분,1568813013.0
43,자본총계,735763001411.0
44,부채 및 자본총계,1241932781639.0
45,Ⅰ.영업수익,707495924243.0
46,제품 및 상품,453503552852.0
47,운송 및 배송,193099257605.0
48,용역 및 브랜드사용료,30109592209.0
49,건설형계약수익,28638034426.0
50,기타수익,2145487151.0
51,Ⅱ.영업비용,656947152446.0
52,제품 및 상품원가,238394383782.0
53,운송 및 배송원가,197278133288.0
54,용역 및 브랜드사용료,8805828855.0
55,건설형계약원가,26373936590.0
56,기타원가,957737272.0
57,급여,60198837502.0
58,퇴직급여,6132147231.0
59,복리후생비,10150728436.0
60,기타판매비와일반관리비,86477862977.0
61,경상연구개발비,22177556513.0
62,Ⅲ.영업이익,50548771797.0
63,기타수익,2590777499.0
64,기타비용,201675756166.0
65,금융수익,4058509120.0
66,금융비용,16926622561.0
67,지분법손익(손실),-11717280028.0
68,IV.법인세비용차감전순이익(손실),-173121600339.0
69,법인세비용(수익),-9232095582.0
70,당기순이익,-163889504757.0
71,확정급여제도의 재측정요소,-6674809646.0
72,지분법이익잉여금변동,-2269267596.0
73,기타포괄손익공정가치측정금융자산평가손익,1408323677.0
74,매도가능금융자산평가손익,0.0
75,해외사업환산손익,6976463.0
76,지분법자본변동,-1480303025.0
77,기타포괄손익 합계,-9009080127.0
78,Ⅶ.총포괄손익,-172898584884.0
79,지배기업 소유주지분,-163977361481.0
80,비지배지분,87856724.0
81,당기순이익(손실),-163889504757.0
82,지배기업 소유주지분,-172972348753.0
83,비지배지분,73763869.0
84,총포괄손익,-172898584884.0
85,기본주당이익(손실),-26714.0
86,희석주당이익(손실),-26714.0
87,Ⅰ.영업활동으로 인한 현금흐름,58321851922.0
88,1.당기순이익(손실),-163889504757.0
89,2.손익조정항목,250224049546.0
90,3.자산ㆍ부채의증감,-26722466319.0
91,4.배당금의수취,5060683625.0
92,5.법인세의 납부,6350910173.0
93,Ⅱ.투자활동으로 인한 현금흐름,-75065355844.0
94,1.투자활동으로 인한 현금유입액,18428447081.0
95,이자의 수취,2241578721.0
96,단기금융상품의 감소,12745960000.0
97,종업원단기채권의 감소,
98,단기대여금의 감소,507575060.0
99,만기보유금융자산의 처분,
100,매도가능금융자산의 처분,
101,공동기업투자의 처분,
102,유형자산의 처분,815973860.0
103,무형자산의 처분,30000000.0
104,투자부동산의 처분,125453545.0
105,장기금융상품의 감소,82421323.0
106,상각후 원가측정 금융자산의 처분,158290000.0
107,보증금의 감소,1721194572.0
108,2.투자활동으로 인한 현금유출액,-93493802925.0
109,단기금융상품의 증가,14495960000.0
110,단기대여금의 증가,1824253714.0
111,장기금융상품의 취득,60000000.0
112,당기손익공정가치측정금융자산의 증가,1313163283.0
113,만기보유금융자산의 취득,
114,매도가능금융자산의 취득,
115,기타포괄손익공정가치측정지분상품의 취득,2000012864.0
116,상각후 원가측정 금융자산의 취득,-9310000.0
117,유형자산의 취득,25124616715.0
118,무형자산의 취득,6948342556.0
119,관계기업투자의 취득,4337491089.0
120,공동기업투자의 취득,15300000000.0
121,보증금의 증가,2093776406.0
122,연결범위 변동으로 인한 현금의 유출,-19986876298.0
123,영업 양수,
124,Ⅲ.재무활동으로 인한 현금흐름,-56066837287.0
125,1.재무활동으로 인한 현금유입액,60990490373.0
126,단기차입금의 차입,40940233373.0
127,장기차입금의 차입,20000000000.0
128,신주인수권부사채의 발행,
129,신주의 발행,257000.0
130,임대보증금의 증가,50000000.0
131,자기주식의 처분,
132,2.재무활동으로 인한 현금유출액,-117057327660.0
133,이자의 지급,11862815524.0
134,배당금의 지급,6138228000.0
135,단기차입금의 상환,93041777464.0
136,유동성장기차입금의 상환,6014506672.0
137,장기차입금의 상환,
138,유동성임대보증금의 감소,
139,Ⅳ.현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ),-72810341209.0
140,Ⅴ.기초의 현금및현금성자산,179487937294.0
141,Ⅵ.현금및현금성자산의 환율변동으로 인한효과,816302700.0
142,Ⅶ.기말의 현금및현금성자산,107493898785.0
143,기초자본,914248452777.0
144,기초자본,1495049144.0
145,기초자본,912753403633.0
146,기초자본,146190907533.0
147,기초자본,647940713458.0
148,기초자본,30691140000.0
149,기초자본,-197914366287.0
150,기초자본,285845008929.0
151,회계정책의 변경,542950299.0
152,회계정책의 변경,0.0
153,회계정책의 변경,542950299.0
154,회계정책의 변경,-5378389688.0
155,회계정책의 변경,5921339987.0
156,재작성 당기초,914791403076.0
