,account_nm,thstrm_amount
0,유동자산,13720522000000
1,현금및현금성자산,2944541000000
2,매도가능금융자산,0
3,당기손익-공정가치측정금융자산(유동),15000000
4,기타포괄손익-공정가치측정금융자산(유동),156000000
5,매출채권및기타채권,4244879000000
6,기타금융자산,711140000000
7,기타유동자산,1844018000000
8,당기법인세자산,15431000000
9,재고자산,3879808000000
10,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,80534000000
11,비유동자산,17460847000000
12,매도가능금융자산,0
13,당기손익-공정가치측정금융자산(비유동),155203000000
14,기타포괄손익-공정가치측정금융자산(비유동),23669000000
15,매출채권및기타채권,93866000000
16,기타금융자산,211341000000
17,종속기업및관계기업투자,2102268000000
18,투자부동산,814188000000
19,유형자산,11480140000000
20,무형자산,2059497000000
21,기타비유동자산,154906000000
22,이연법인세자산,365769000000
23,금융업자산,138367208000000
24,현금및현금성자산,2114197000000
25,예치금,0
26,당기손익-공정가치측정금융자산,20164936000000
27,기타포괄손익-공정가치측정금융자산,23457239000000
28,상각후원가측정금융자산,60480040000000
29,당기손익인식금융자산,0
30,매도가능금융자산,0
31,만기보유금융자산,0
32,관계기업투자및조인트벤처투자,153432000000
33,대출채권및기타채권,0
34,유형자산,1681989000000
35,투자부동산,2404677000000
36,무형자산,317169000000
37,파생상품자산,493277000000
38,당기법인세자산,13728000000
39,이연법인세자산,251653000000
40,기타금융자산,2056028000000
41,기타자산,3368153000000
42,특별계정자산,21410690000000
43,자  산  총  계,169548577000000
44,유동부채,14870001000000
45,매입채무및기타채무,3005321000000
46,차입금및사채,7062482000000
47,기타금융부채,786101000000
48,기타유동부채,3459705000000
49,유동충당부채,364124000000
50,당기법인세부채,185279000000
51,매각예정 처분자산집단 부채,6989000000
52,비유동부채,10643231000000
53,매입채무및기타채무,164078000000
54,차입금및사채,5799913000000
55,기타금융부채,326550000000
56,기타비유동비금융부채,1278849000000
57,순확정급여부채,1554394000000
58,비유동충당부채,279589000000
59,이연법인세부채,1239858000000
60,금융업부채,127082310000000
61,예수부채,1151598000000
62,보험계약부채,94572120000000
63,계약자지분조정,172509000000
64,당기법인세부채,294262000000
65,이연법인세부채,213749000000
66,파생상품부채,565918000000
67,순확정급여부채,173403000000
68,충당부채,58802000000
69,기타금융부채,7684399000000
70,기타부채,160541000000
71,특별계정부채,22035009000000
72,부  채  총  계,152595542000000
73,지배기업의 소유주에게 귀속되는 자본,4185385000000
74,자본금,489550000000
75,자본잉여금,496385000000
76,자본조정,23339000000
77,기타포괄손익누계액,-484146000000
78,이익잉여금(결손금),3660257000000
79,비지배지분,12767650000000
80,자본총계,16953035000000
81,자본과부채총계,169548577000000
82,매출액,48740153000000
83,비금융업,23517759000000
84,금융업,25348457000000
85,당기손익조정액(Overlay Adjustment),-126063000000
86,매출원가,44479231000000
87,비금융업,20205466000000
88,금융업,24781743000000
89,당기손익조정액(Overlay Adjustment),-507978000000
90,매출총이익,4260922000000
91,판매비와관리비,2454774000000
92,영업이익(손실),1806148000000
93,기타수익,842142000000
94,기타비용,1425396000000
95,금융수익,75194000000
96,금융비용,419079000000
97,지분법 손익,420831000000
98,법인세비용차감전순이익,1299840000000
99,법인세비용(수익),500500000000
100,계속영업이익(손실),799340000000
101,중단영업이익(손실),0
102,당기순이익(손실),799340000000
103,지배기업의 소유주에게 귀속되는 당기순이익(손실),468400000000
104,비지배지분에 귀속되는 당기순이익(손실),330940000000
105,기타포괄손익,-373427000000
106,당기손익으로 재분류될 수 있는 항목,-163231000000
107,매도가능금융자산평가손익,0
108,기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),25017000000
109,만기보유금융자산평가손익,0
110,관계기업에 대한 지분법자본변동,9967000000
111,현금흐름위험회피손익(세후기타포괄손익),6340000000
112,해외사업장환산외환차이(세후기타포괄손익),-10921000000
113,특별계정기타포괄손익,35293000000
114,당기손익조정액(Overlay Adjustment),-228927000000
115,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-210196000000
116,확정급여제도의 재측정손익(세후기타포괄손익),-66485000000
117,기타포괄손익-공정가치측정지분상품평가손익,-144576000000
118,당기손익 공정가치측정지정금융부채평가손익 (신용위험변동),865000000
119,총포괄손익,425913000000
120,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",264895000000
121,"총 포괄손익, 비지배지분",161018000000
122,보통주당순이익,6541
123,우선주당순이익,6591
124,영업활동현금흐름,2749201000000
125,영업에서 창출된 현금흐름,-148872000000
126,금융업 이자 및 배당금 수취,3448972000000
127,금융업 이자지급,-100031000000
128,법인세의 납부,450868000000
129,투자활동현금흐름,-2632220000000
130,유형자산의 취득,1530513000000
131,유형자산의 처분,201956000000
132,무형자산의 취득,262690000000
133,무형자산의 처분,28275000000
134,투자부동산의 취득,20684000000
135,투자부동산의 처분,37187000000
136,종속기업 및 관계기업의 취득,166909000000
137,관계기업에 대한 투자자산의 처분,21247000000
138,당기손익-공정가치측정금융자산의 취득,5374655000000
139,당기손익-공정가치측정금융자산의 처분,3586205000000
140,기타포괄-공정가치측정금융자산의 취득,6369566000000
141,기타포괄-공정가치측정금융자산의 처분,7955795000000
142,유가증권의 취득,1880366000000
143,유가증권의 처분,122395000000
144,만기보유금융자산의 증감,0
145,매도가능금융자산의 증감,0
146,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,111431000000
147,기타금융자산의 증감,-560775000000
148,이자수취,77908000000
149,배당금수취,499869000000
150,연결범위 변동 등으로 인한 현금의증감,-224594000000
151,현금의기타유입(유출),-5286000000
152,재무활동현금흐름,1991313000000
153,차입금및사채의 증가,5829985000000
154,차입금및사채의 상환,4375137000000
155,비지배지분의 증감,-88771000000
156,신종자본증권 발행,1249456000000
157,신종자본증권 배당,-53906000000
158,기타금융부채의 증감,-44350000000
159,이자지급,469688000000
160,배당금지급,56276000000
161,주식의 발행,0
162,현금및현금성자산의순증가(감소),2108294000000
163,기초현금및현금성자산,2894554000000
164,외화환산으로 인한 현금의변동,55890000000
165,기말현금및현금성자산,5058738000000
166,기초자본,15964746000000
167,기초자본,11423454000000
168,기초자본,4541292000000
169,기초자본,101197000000
170,기초자본,3365096000000
171,기초자본,489550000000
172,기초자본,547154000000
173,기초자본,38295000000
174,회계정책변경에 따른 증가(감소),-999940000000
175,회계정책변경에 따른 증가(감소),-464566000000
176,회계정책변경에 따른 증가(감소),-535374000000
177,회계정책변경에 따른 증가(감소),-414726000000
178,회계정책변경에 따른 증가(감소),-120648000000
179,회계정책변경에 따른 증가(감소),0
180,회계정책변경에 따른 증가(감소),0
181,회계정책변경에 따른 증가(감소),0
182,당기순이익(손실),799340000000
183,당기순이익(손실),330940000000
184,당기순이익(손실),468400000000
185,당기순이익(손실),0
186,당기순이익(손실),468400000000
187,당기순이익(손실),0
188,당기순이익(손실),0
189,당기순이익(손실),0
190,매도가능금융자산평가손익,0
191,매도가능금융자산평가손익,0
192,매도가능금융자산평가손익,0
193,매도가능금융자산평가손익,0
194,매도가능금융자산평가손익,0
195,매도가능금융자산평가손익,0
196,매도가능금융자산평가손익,0
197,매도가능금융자산평가손익,0
198,만기보유금융자산평가손익,0
199,만기보유금융자산평가손익,0
200,만기보유금융자산평가손익,0
201,만기보유금융자산평가손익,0
202,만기보유금융자산평가손익,0
203,만기보유금융자산평가손익,0
204,만기보유금융자산평가손익,0
