,account_nm,thstrm_amount
0,유동자산,2164161131742.0
1,현금및현금성자산,343098604832.0
2,금융기관예치금,40653029496.0
3,매출채권,802797389540.0
4,기타수취채권,30296105747.0
5,기타금융자산,20674494905.0
6,재고자산,879409329814.0
7,계약자산,5002177995.0
8,당기법인세자산,3077219350.0
9,기타자산,39152780063.0
10,매각예정비유동자산,9700000000.0
11,비유동자산,3556361024804.0
12,금융기관예치금,7381263187.0
13,매출채권,
14,기타수취채권,24095102209.0
15,기타금융자산,17644228955.0
16,유형자산,3396461809559.0
17,무형자산,75971463903.0
18,투자부동산,1342580686.0
19,관계기업투자,24884454005.0
20,이연법인세자산,3639667284.0
21,기타자산,4940455016.0
22,자산총계,5730222156546.0
23,유동부채,3229128368130.0
24,매입채무,594800210081.0
25,계약부채,785091349.0
26,차입금,2315659609606.0
27,당기법인세부채,1621101949.0
28,기타지급채무,257896626608.0
29,충당부채,3536393508.0
30,기타부채,50659158290.0
31,기타금융부채,4170176739.0
32,매각예정비유동부채,
33,비유동부채,468851865231.0
34,차입금,371192333098.0
35,순확정급여부채,37251037838.0
36,이연법인세부채,35040124267.0
37,기타지급채무,439305130.0
38,충당부채,76080554.0
39,기타부채,12017058742.0
40,기타금융부채,12835925602.0
41,부채총계,3697980233361.0
42,지배기업의 소유주지분,1925674763732.0
43,납입자본,690953196364.0
44,자본금,589228035000.0
45,주식발행초과금,101725161364.0
46,이익잉여금,483842222481.0
47,기타포괄손익누계액,-92786485136.0
48,기타자본구성요소,843665830023.0
49,매각예정 관련 기타포괄손익누계액,
50,비지배지분,106567159453.0
51,자본총계,2032241923185.0
52,자본 및 부채 총계,5730222156546.0
53,매출액,5964930870893.0
54,매출원가,5483287279723.0
55,매출총이익,481643591170.0
56,판매비와관리비,336682487446.0
57,영업이익,144961103724.0
58,기타수익,49537251187.0
59,기타비용,215044002745.0
60,금융수익,36009277114.0
61,금융비용,178311622465.0
62,관계기업투자 이익(손실),-164150535993.0
63,법인세비용차감전순이익(손실),-326998529178.0
64,법인세비용(수익),-22516877005.0
65,계속영업당기순이익,-304481652173.0
66,중단영업이익(손실),
67,당기순이익(손실),-304481652173.0
68,지배기업의 소유주지분,-297854692268.0
69,계속영업이익(손실),-297854692268.0
70,중단영업손실,
71,비지배지분,-6626959905.0
72,계속영업이익(손실),-6626959905.0
73,중단영업이익,
74,계속영업 기본주당손익,-3157.0
75,중단영업 기본주당손익,
76,계속영업 희석주당손익,-3157.0
77,중단영업 희석주당손익,
78,당기순이익(손실),-304481652173.0
79,세후기타포괄이익(손실),-33179948846.0
80,기타포괄손익-공정가치 지분상품 평가손익,327542722.0
81,재평가잉여금,
82,순확정급여부채의 재측정요소,-28671957252.0
83,관계기업의 순확정급여부채의 재측정요소에 대한 지분,-34231474.0
84,매도가능금융자산,
85,해외사업장환산외환차이,6138381214.0
86,현금흐름위험회피 파생상품평가손익,
87,관계기업투자의 기타포괄손익에 대한 지분,-10939684056.0
88,세후 총포괄이익(손실),-337661601019.0
89,지배기업의 소유주지분,-330052741698.0
90,비지배지분,-7608859321.0
91,계속영업 총포괄이익,
92,중단영업 총포괄손실,
93,영업활동으로 인한 현금흐름,229429860386.0
94,영업으로부터 창출된 현금,352601615778.0
95,이자의 수취,2977850792.0
96,이자의 지급,121341722060.0
