,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
215,001430,세아베스틸,29050,0,0.0,35599,1035566550,29100,29350,28550,1041794556950,0.05,35862119,4237225.0,11.82,216,2018-01-02
2517,001430,세아베스틸,30550,1500,5.2,143152,4352907300,28750,31000,28750,1095587735450,0.06,35862119,4252783.0,11.86,207,2018-01-03
4824,001430,세아베스틸,31000,450,1.5,113173,3555202750,30900,31750,30650,1111725689000,0.06,35862119,4274346.0,11.92,203,2018-01-04
7138,001430,세아베스틸,30850,-150,-0.5,48054,1486044450,31500,31500,30500,1106346371150,0.06,35862119,4263832.0,11.89,207,2018-01-05
9447,001430,세아베스틸,31050,200,0.6,63024,1939722450,30850,31250,30000,1113518794950,0.06,35862119,4259932.0,11.88,204,2018-01-08
11758,001430,세아베스틸,30850,-200,-0.6,46860,1442417650,31050,31100,30350,1106346371150,0.06,35862119,4259654.0,11.88,203,2018-01-09
14074,001430,세아베스틸,30850,0,0.0,51490,1599593600,30650,31450,30450,1106346371150,0.06,35862119,4255902.0,11.87,207,2018-01-10
16387,001430,세아베스틸,30550,-300,-1.0,57804,1776628700,31100,31400,30300,1095587735450,0.06,35862119,4245648.0,11.84,208,2018-01-11
18699,001430,세아베스틸,30600,50,0.2,37532,1159574700,30500,31150,30500,1097380841400,0.06,35862119,4246545.0,11.84,207,2018-01-12
21010,001430,세아베스틸,30900,300,1.0,64816,2014590300,30900,31250,30450,1108139477100,0.06,35862119,4217014.0,11.76,205,2018-01-15
23327,001430,세아베스틸,30150,-750,-2.4,68838,2077931650,30750,30900,29800,1081242887850,0.06,35862119,4209453.0,11.74,209,2018-01-16
25641,001430,세아베스틸,30050,-100,-0.3,32623,976910650,30150,30200,29800,1077656675950,0.06,35862119,4207947.0,11.73,210,2018-01-17
27957,001430,세아베스틸,29600,-450,-1.5,48773,1453441900,30000,30350,29600,1061518722400,0.05,35862119,4207301.0,11.73,213,2018-01-18
30266,001430,세아베스틸,30400,800,2.7,63325,1901740650,29600,30400,29300,1090208417600,0.06,35862119,4228106.0,11.79,209,2018-01-19
32579,001430,세아베스틸,30300,-100,-0.3,41429,1249904000,30500,30650,29700,1086622205700,0.06,35862119,4218535.0,11.76,210,2018-01-22
34892,001430,세아베스틸,30450,150,0.5,49731,1529553050,30150,31200,30150,1092001523550,0.06,35862119,4223564.0,11.78,211,2018-01-23
37202,001430,세아베스틸,31100,650,2.1,46370,1433627300,30400,31150,30400,1115311900900,0.06,35862119,4231510.0,11.8,209,2018-01-24
39515,001430,세아베스틸,31500,400,1.3,67042,2103527400,31000,31600,31000,1129656748500,0.06,35862119,4242991.0,11.83,210,2018-01-25
