,account_nm,thstrm_amount
0,유동자산,904929355999.0
1,현금및현금성자산,166489103533.0
2,단기금융상품,20875205778.0
3,매출채권,253528448488.0
4,미수금,13607998405.0
5,미수수익,286867163.0
6,선급금,15550043462.0
7,선급비용,10664713779.0
8,당기손익공정가치측정금융자산,89376785864.0
9,매도가능금융자산,
10,기타유동금융자산,728282370.0
11,재고자산,322021660919.0
12,당기법인세자산,8244655147.0
13,기타유동자산,3555591091.0
14,매각예정자산,
15,비유동자산,1294065451293.0
16,장기금융상품,86264785.0
17,당기손익공정가치측정 금융자산,14676009294.0
18,기타포괄손익공정가치측정금융자산,11574143687.0
19,매도가능금융자산,
20,관계기업투자주식,47542396915.0
21,공동기업투자주식,9008050375.0
22,유형자산,956206154573.0
23,무형자산,131699352962.0
24,투자부동산,60568547181.0
25,기타비유동금융자산,18965965011.0
26,이연법인세자산,22360975821.0
27,기타비유동자산,21377590689.0
28,자산총계,2198994807292.0
29,유동부채,738465719867.0
30,매입채무,120610334981.0
31,미지급금,114994169228.0
32,단기차입금,227806085122.0
33,당기법인세부채,24226744657.0
34,선수금,9285511615.0
35,예수금,7158263613.0
36,미지급비용,24697678362.0
37,충당부채,4971434407.0
38,당기손익공정가치측정금융부채,81137070.0
39,유동성장기부채,79650650697.0
40,유동성사채,109989686424.0
41,기타유동금융부채,4023067625.0
42,기타유동부채,10970956066.0
43,매각예정부채,
44,비유동부채,531813928554.0
45,장기미지급금,296718785.0
46,장기차입금,88208961791.0
47,사채,289544541326.0
48,순확정급여부채,139724650366.0
49,이연법인세부채,6579769393.0
50,당기손익공정가치측정금융부채,14933202.0
51,기타비유동금융부채,5410086749.0
52,기타비유동부채,2034266942.0
53,부채총계,1270279648421.0
54,지배기업의 소유지분,915058181073.0
55,납입자본,36018248000.0
56,주식발행초과금,73467953000.0
57,이익잉여금,650974109604.0
58,기타자본항목,154597870469.0
59,비지배지분,13656977798.0
60,자본총계,928715158871.0
61,부채와자본총계,2198994807292.0
62,매출액,2956761915895.0
63,매출원가,2191806550948.0
64,매출총이익,764955364947.0
65,판매비와관리비,644793600548.0
66,영업이익,120161764399.0
67,기타수익,63939333487.0
68,기타비용,39626718706.0
69,금융수익,10165418140.0
70,금융비용,37055621242.0
71,관계기업 및 공동기업에 대한 지분법손익,1497049667.0
72,법인세비용차감전순이익,119081225745.0
73,법인세비용,53682753446.0
74,당기순이익,65398472299.0
75,지배주주지분,64877342907.0
76,비지배지분,521129392.0
77,기타포괄손익,-3101590337.0
78,후속적으로 당기손익으로 재분류될 수 있는 항목,-2920436204.0
79,해외사업장환산외환차이(세후기타포괄손익),-2452724810.0
80,매도가능금융자산평가손익,
81,지분법자본변동,-467711394.0
82,후속적으로 당기손익으로 재분류되지 않는 항목,-181154133.0
83,순확정급여부채의 재측정요소,-30947243.0
84,지분법이익잉여금변동,45408054.0
85,기타포괄손익공정가치측정금융자산 평가손익,-195614944.0
86,당기총포괄이익,62296881962.0
87,지배주주지분,62115115476.0
88,비지배지분,181766486.0
89,보통주기본주당순이익,1801.0
90,2. 제1우선주주당순이익,1811.0
91,영업활동으로 인한 현금흐름,121562419165.0
92,영업으로부터 창출된 현금흐름,172185368891.0
93,이자의 수취,3941752435.0
94,이자의 지급,22486737834.0
95,배당금 수취,755508275.0
96,법인세 납부액,32833472602.0
97,투자활동으로 인한 현금흐름,-23368368265.0
98,단기금융상품의 증가,50115090778.0
99,단기금융상품의 감소,57934320000.0
100,장기금융상품의 증가,879776005.0
101,장기금융상품의 감소,850351250.0
102,매각예정자산의 처분,
103,당기손익공정가치측정금융자산의 증가,-95336280529.0
104,당기손익공정가치측정금융자산의 감소,180434117028.0
105,매도가능금융자산의 증가,
106,매도가능금융자산의 감소,
107,관계기업투자주식의 증가,1800000000.0
108,유형자산의 증가,145590785594.0
109,유형자산의 감소,1482796016.0
110,무형자산의 증가,3405641579.0
111,무형자산의 감소,246000000.0
112,투자부동산의 증가,726333643.0
113,투자부동산의 감소,
114,기타금융자산의 증가,5901127174.0
115,기타금융자산의 감소,6425032743.0
116,사업양도로 인한 현금흐름,-33014050000.0
117,종속기업등의취득(보유현금차감후),
118,종속기업등의처분(보유현금차감후),
119,영업양수,
120,재무활동현금흐름,-75168646834.0
121,단기차입금의 증감,24547267338.0
122,장기차입금의 증가,19400010000.0
123,장기차입금의 감소,
124,유동성장기부채의 감소,1064403330.0
125,사채의 증가,
126,유동성사채의 감소,100000000000.0
127,기타금융부채의 증가,3416100200.0
128,기타금융부채의 감소,3444794812.0
129,연결실체내 자본거래,
130,배당금의 지급,18022826230.0
131,현금및현금성자산의 증감,23025404066.0
132,환율변동효과,-4414239769.0
133,기초현금및현금성자산,147877939236.0
134,기말현금및현금성자산,166489103533.0
135,기초자본,884441103139.0
136,기초자본,13475211312.0
137,기초자본,870965891827.0
138,기초자본,164843932712.0
139,기초자본,596635758115.0
140,기초자본,36018248000.0
141,기초자본,73467953000.0
142,회계정책변경에 따른 증가(감소),-7427729096.0
143,회계정책변경에 따른 증가(감소),7427729096.0
144,당기순이익,65398472299.0
145,당기순이익,521129392.0
146,당기순이익,64877342907.0
147,당기순이익,64877342907.0
148,매도가능금융자산의 평가,
149,매도가능금융자산의 평가,
150,매도가능금융자산의 평가,
151,해외사업환산손익,-2452724810.0
152,해외사업환산손익,-297718001.0
153,해외사업환산손익,-2155006809.0
154,해외사업환산손익,-2155006809.0
155,지분법자본변동및지분법이익잉여금,-422303340.0
156,지분법자본변동및지분법이익잉여금,-422303340.0
157,지분법자본변동및지분법이익잉여금,-467711394.0
158,지분법자본변동및지분법이익잉여금,45408054.0
159,순확정급여부채의 재측정요소,-30947243.0
160,순확정급여부채의 재측정요소,-41644905.0
161,순확정급여부채의 재측정요소,10697662.0
162,순확정급여부채의 재측정요소,10697662.0
163,기타포괄손익공정가치측정금융자산 평가손익,-195614944.0
164,기타포괄손익공정가치측정금융자산 평가손익,-195614944.0
165,기타포괄손익공정가치측정금융자산 평가손익,-195614944.0
166,총포괄이익,62296881962.0
167,총포괄이익,181766486.0
168,총포괄이익,62115115476.0
169,총포괄이익,-2818333147.0
170,총포괄이익,64933448623.0
171,연차배당,-18022826230.0
172,연차배당,-18022826230.0
173,연차배당,-18022826230.0
174,연결실체내자본거래,
175,연결실체내자본거래,
176,연결실체내자본거래,
177,연결실체내자본거래,
178,연결대상범위의 변동,
179,연결대상범위의 변동,
180,기타거래,
181,기타거래,
182,기말자본,928715158871.0
183,기말자본,13656977798.0
184,기말자본,915058181073.0
185,기말자본,154597870469.0
186,기말자본,650974109604.0
187,기말자본,36018248000.0
188,기말자본,73467953000.0
