,account_nm,thstrm_amount
0,유동자산,983543921695.0
1,현금및현금성자산,137729972577.0
2,기타수취채권,40599475431.0
3,매출채권,362859387924.0
4,기타금융자산,112730740807.0
5,기타유동자산,25999157617.0
6,재고자산,303625187339.0
7,비유동자산,2258741347787.0
8,매도가능금융자산,
9,기타포괄손익-공정가치 금융자산,33024289460.0
10,기타금융자산,11415494163.0
11,기타수취채권,22003894207.0
12,종속 및 공동기업투자,
13,유형자산,2128605404030.0
14,영업권,3944157120.0
15,영업권 이외의 무형자산,13715034578.0
16,투자부동산,2209615357.0
17,기타비유동자산,593752750.0
18,이연법인세자산,43229706122.0
19,자산총계,3242285269482.0
20,유동부채,634950409157.0
21,매입채무,134975118698.0
22,기타지급채무,137021500054.0
23,차입금,285876433781.0
24,기타금융부채,4737390643.0
25,당기법인세부채,26960816624.0
26,기타유동부채,45379149357.0
27,비유동부채,1179150186051.0
28,차입금,909134591513.0
29,기타금융부채,6643098536.0
30,기타지급채무,2829940000.0
31,확정급여채무,243322784501.0
32,충당부채,6444901477.0
33,기타비유동부채,10774870024.0
34,부채총계,1814100595208.0
35,지배기업의 소유주에게 귀속되는 자본,1424764970294.0
36,자본금,54083938500.0
37,주식발행초과금,42163732797.0
38,이익잉여금,1291366984847.0
39,기타포괄손익누계액,14897665654.0
40,기타자본항목,22252648496.0
41,비지배지분,3419703980.0
42,자본총계,1428184674274.0
43,자본과부채총계,3242285269482.0
44,매출액,1983976385355.0
45,매출원가,1422203420310.0
46,매출총이익,561772965045.0
47,물류원가,38156761634.0
48,판매비와관리비,341175695205.0
49,영업이익(손실),182440508206.0
50,기타수익,5719549678.0
51,기타비용,9410537932.0
52,금융수익,55897773933.0
53,금융비용,86047581674.0
54,법인세비용차감전순이익(손실),148599712211.0
55,법인세비용,45056400929.0
56,계속영업이익(손실),103543311282.0
57,당기순이익(손실),103543311282.0
58,지배지분순이익,103558968264.0
59,비지배지분순이익,-15656982.0
60,기타포괄손익,-3993638180.0
61,매도가능금융자산평가손익,
62,해외사업환산손익,1381632888.0
63,지분법자본변동,991387378.0
64,기타포괄손익-공정가치 채무상품 평가손실,-721616035.0
65,퇴직급여채무의 재측정요소,-5580980179.0
