,account_nm,thstrm_amount
0,비유동자산,441667833914
1,유형자산,366956795434
2,무형자산,12120103412
3,관계기업투자주식,4681428123
4,장기기타금융자산,46841976793
5,장기기타수취채권,3277252151
6,이연법인세자산,7790278001
7,기타비유동자산,0
8,유동자산,418866908902
9,재고자산,95176829451
10,기타금융자산,104283081287
11,매출채권 및 기타유동채권,182408132931
12,매출채권,172843169991
13,기타수취채권,9564962940
14,기타유동자산,5106936654
15,현금및현금성자산,31891928579
16,자산총계,860534742816
17,지배기업의 소유주에게 귀속되는 자본,690898912696
18,자본금,5207500000
19,자본잉여금,25704895831
20,기타자본,7988112855
21,이익잉여금,651998404010
22,비지배지분,0
23,자본총계,690898912696
24,비유동부채,39460675483
25,퇴직급여부채,36183211454
26,충당부채,3277464029
27,유동부채,130175154637
28,매입채무 및 기타유동채무,116956386272
29,단기차입금,3075424232
30,매입채무,72471252110
31,미지급금,41409709930
32,당기법인세부채,5936857978
33,기타유동부채,7281910387
34,부채총계,169635830120
35,자본과부채총계,860534742816
36,매출액,746382908961
37,매출원가,645934004992
38,매출총이익,100448903969
39,판매비와관리비,54251072719
40,영업이익,46197831250
41,기타수익,6444693962
42,기타비용,5218143593
43,금융수익,3209175833
44,금융비용,181445715
45,지분법이익,340607513
46,지분법손실,0
47,법인세비용차감전순이익,50792719250
48,법인세비용,11188210375
49,당기순이익(손실),39604508875
50,기타포괄손익,-16977799511
51,후속적으로 당기손익으로 재분류되지 않는항목,-15393095028
52,확정급여제도의 재측정요소,-1612553610
53,기타포괄손익-공정가지측정 금융자산 평가손익,-13780541418
54,후속적으로 손익으로 재분류되는 항목,-1584704483
55,해외사업장환산외환차이(세후기타포괄손익),-60231671
56,매도가능금융자산평가손익,0
57,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-1524472812
58,총포괄손익,22626709364
59,지배기업 소유주 지분,39604508875
60,비지배지분,0
61,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",22626709364
62,"총 포괄손익, 비지배지분",0
63,기본주당이익,3803
64,영업활동현금흐름,52999034234
65,영업활동에서 창출된 현금흐름,59885011119
66,이자의 수취,1920660329
67,배당금의 수취,1255185250
68,법인세의 납부,10061822464
69,투자활동현금흐름,-65209461166
70,기타금융자산의 감소,89257914814
71,장기기타금융자산의 감소,1275734896
72,장기기타수취채권의 감소,289923404
73,대여금및수취채권의 처분,57722010
74,유형자산의 처분,1649406476
75,기타금융자산의 증가,91157435474
76,대여금및수취채권의 취득,31891240
77,장기기타금융자산의 증가,4520355759
78,장기기타수취채권의 증가,1691685780
79,유형자산의 취득,58793012667
80,기타자산의 취득,0
81,무형자산의 취득,1545781846
82,종속기업에 대한 투자자산의 취득,0
83,재무활동현금흐름,-7194049866
84,단기차입금의 증가,11548936357
85,단기차입금의 상환,11271040508
86,배당금지급,7290500000
87,이자지급,181445715
88,연결범위의 변동으로 인한 증가,0
89,외화표시현금및현금성자산의 환율변동효과,-505142935
90,현금및현금성자산의순증감,-19909619733
91,기초현금및현금성자산,51801548312
92,기말현금및현금성자산,31891928579
93,기초자본,675562703332
94,기초자본,675562703332
95,기초자본,34630580250
96,기초자본,610019727251
97,기초자본,5207500000
98,기초자본,25704895831
99,회계정책변경에 따른 증가(감소),-11277221494
100,회계정책변경에 따른 증가(감소),11277221494
101,당기순이익,39604508875
102,당기순이익,39604508875
103,당기순이익,39604508875
104,확정급여제도의 재측정요소,-1612553610
105,확정급여제도의 재측정요소,-1612553610
106,확정급여제도의 재측정요소,-1612553610
107,매도가능금융자산평가손익,-13780541418
108,매도가능금융자산평가손익,-13780541418
109,매도가능금융자산평가손익,-13780541418
110,해외사업장환산손익,-60231671
111,해외사업장환산손익,-60231671
112,해외사업장환산손익,-60231671
113,지분법자본변동,-1524472812
114,지분법자본변동,-1524472812
115,지분법자본변동,-1524472812
116,총포괄손익 합계,22626709364
117,총포괄손익 합계,22626709364
118,총포괄손익 합계,-15365245901
119,총포괄손익 합계,37991955265
120,배당금의 지급,-7290500000
121,배당금의 지급,-7290500000
122,배당금의 지급,-7290500000
123,자본에 직접 인식된 거래 합계,-7290500000
124,자본에 직접 인식된 거래 합계,-7290500000
125,자본에 직접 인식된 거래 합계,-7290500000
126,기말자본,690898912696
127,기말자본,690898912696
128,기말자본,7988112855
129,기말자본,651998404010
130,기말자본,5207500000
131,기말자본,25704895831
