,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
161,003000,부광약품,24800,0,0.0,416784,10510365300,25300,26000,24350,1211983018400,0.08,48870283,3314684.0,6.78,162.0,2019-01-02
2542,003000,부광약품,23850,-950,-3.8,343068,8320898100,24700,25200,23800,1165556249550,0.08,48870283,3384071.0,6.92,164.0,2019-01-03
4921,003000,부광약품,24500,650,2.7,341909,8235767600,23650,24700,23550,1197321933500,0.08,48870283,3452733.0,7.07,164.0,2019-01-04
7304,003000,부광약품,23950,-550,-2.2,306190,7434361200,24550,25100,23600,1170443277850,0.07,48870283,3457891.0,7.08,168.0,2019-01-07
9682,003000,부광약품,23850,-100,-0.4,274037,6590622000,24200,24500,23650,1165556249550,0.07,48870283,3522964.0,7.21,167.0,2019-01-08
12062,003000,부광약품,24150,300,1.3,226361,5460608100,23800,24350,23700,1180217334450,0.07,48870283,3545120.0,7.25,168.0,2019-01-09
14446,003000,부광약품,23450,-700,-2.9,254455,6009138800,24150,24350,23300,1146008136350,0.07,48870283,3549355.0,7.26,173.0,2019-01-10
16828,003000,부광약품,23450,0,0.0,183556,4294491600,23500,23750,23050,1146008136350,0.07,48870283,3588045.0,7.34,176.0,2019-01-11
19207,003000,부광약품,23200,-250,-1.1,233104,5401113200,23300,23450,23000,1133790565600,0.07,48870283,3666366.0,7.5,176.0,2019-01-14
21584,003000,부광약품,23350,150,0.6,367846,8709541700,23250,24500,23200,1141121108050,0.07,48870283,3617979.0,7.4,174.0,2019-01-15
23964,003000,부광약품,23250,-100,-0.4,216335,4982512350,23350,23450,22550,1136234079750,0.07,48870283,3637774.0,7.44,175.0,2019-01-16
26342,003000,부광약품,22900,-350,-1.5,147073,3381288500,23100,23300,22850,1119129480700,0.07,48870283,3634719.0,7.44,174.0,2019-01-17
28722,003000,부광약품,23150,250,1.1,115814,2667096700,22900,23300,22700,1131347051450,0.07,48870283,3648022.0,7.46,175.0,2019-01-18
31103,003000,부광약품,22800,-350,-1.5,140276,3197862850,23300,23300,22600,1114242452400,0.07,48870283,3639635.0,7.45,177.0,2019-01-21
33482,003000,부광약품,22950,150,0.7,102454,2346952000,22950,23200,22700,1121572994850,0.07,48870283,3650872.0,7.47,177.0,2019-01-22
35862,003000,부광약품,22800,-150,-0.6,149068,3409668400,22650,23050,22650,1114242452400,0.07,48870283,3648566.0,7.47,178.0,2019-01-23
38242,003000,부광약품,22800,0,0.0,154292,3508416800,22700,23000,22500,1114242452400,0.07,48870283,3662405.0,7.49,179.0,2019-01-24
