,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
433,003300,한일홀딩스,54700,2600,5.0,6890,368586800,52100,54700,51900,327972666800,0.02,5995844,508127.0,8.47,434.0,2019-01-02
2805,003300,한일홀딩스,54500,-200,-0.4,5211,286123800,55500,56000,53200,326773498000,0.02,5995844,499273.0,8.33,427.0,2019-01-03
5185,003300,한일홀딩스,56300,1800,3.3,8583,477335800,54300,57000,53200,337566017200,0.02,5995844,498359.0,8.31,428.0,2019-01-04
7553,003300,한일홀딩스,58500,2200,3.9,7522,436066300,58000,59000,56400,350756874000,0.02,5995844,498303.0,8.31,417.0,2019-01-07
9925,003300,한일홀딩스,59200,700,1.2,8153,484456500,58700,60100,57200,354953964800,0.02,5995844,498278.0,8.31,410.0,2019-01-08
12313,003300,한일홀딩스,59500,300,0.5,6319,383656200,58100,61600,58100,356752718000,0.02,5995844,500806.0,8.35,419.0,2019-01-09
14692,003300,한일홀딩스,58400,-1100,-1.8,3189,187762300,59200,61200,58400,350157289600,0.02,5995844,500432.0,8.35,419.0,2019-01-10
17080,003300,한일홀딩스,57900,-500,-0.9,4182,243776700,57500,60000,56900,347159367600,0.02,5995844,500986.0,8.36,428.0,2019-01-11
19450,003300,한일홀딩스,59400,1500,2.6,5404,320965000,57300,60500,57300,356153133600,0.02,5995844,499838.0,8.34,419.0,2019-01-14
21833,003300,한일홀딩스,59000,-400,-0.7,9924,602618400,59600,62000,59000,353754796000,0.02,5995844,502482.0,8.38,423.0,2019-01-15
24214,003300,한일홀딩스,59000,0,0.0,7764,465552300,61500,61500,58900,353754796000,0.02,5995844,503050.0,8.39,425.0,2019-01-16
26589,003300,한일홀딩스,59300,300,0.5,4242,251683300,59100,60600,58800,355553549200,0.02,5995844,503464.0,8.4,421.0,2019-01-17
28983,003300,한일홀딩스,58400,-900,-1.5,5411,317609100,61400,61400,58100,350157289600,0.02,5995844,503811.0,8.4,436.0,2019-01-18
31363,003300,한일홀딩스,57500,-900,-1.5,3853,223391000,58400,59400,57400,344761030000,0.02,5995844,505097.0,8.42,437.0,2019-01-21
33746,003300,한일홀딩스,56500,-1000,-1.7,4328,246800900,57000,58600,56100,338765186000,0.02,5995844,506321.0,8.44,441.0,2019-01-22
36125,003300,한일홀딩스,57300,800,1.4,3883,222620900,57300,57800,56700,343561861200,0.02,5995844,506340.0,8.44,441.0,2019-01-23
38511,003300,한일홀딩스,56500,-800,-1.4,6417,365901300,56400,58100,56400,338765186000,0.02,5995844,507203.0,8.46,448.0,2019-01-24
40882,003300,한일홀딩스,58000,1500,2.6,6547,378428800,56000,58500,55800,347758952000,0.02,5995844,508285.0,8.48,440.0,2019-01-25
43256,003300,한일홀딩스,58900,900,1.6,4749,277623600,57300,58900,57300,353155211600,0.02,5995844,507737.0,8.47,434.0,2019-01-28
45650,003300,한일홀딩스,56900,-2000,-3.4,5934,339789200,58900,59300,56700,341163523600,0.02,5995844,505015.0,8.42,448.0,2019-01-29
48020,003300,한일홀딩스,58200,1300,2.3,6296,367282000,57400,59800,56900,348958120800,0.02,5995844,505307.0,8.43,439.0,2019-01-30
50404,003300,한일홀딩스,58000,-200,-0.3,7400,429183100,58500,58600,57000,347758952000,0.02,5995844,503652.0,8.4,443.0,2019-01-31
52773,003300,한일홀딩스,59100,1100,1.9,8200,482256100,58200,59500,58000,354354380400,0.02,5995844,503404.0,8.4,432.0,2019-02-01
55126,003300,한일홀딩스,66500,7400,12.5,54005,3500655300,59700,76700,58500,398723626000,0.02,5995844,505330.0,8.43,404.0,2019-02-07
57523,003300,한일홀딩스,63800,-2700,-4.1,14312,927348900,67000,67000,63800,382534847200,0.02,5995844,504655.0,8.42,420.0,2019-02-08
59901,003300,한일홀딩스,64900,1100,1.7,14180,915697200,63800,66000,63000,389130275600,0.02,5995844,503349.0,8.39,417.0,2019-02-11
62297,003300,한일홀딩스,61500,-3400,-5.2,12373,774003100,64700,65000,61500,368744406000,0.02,5995844,501171.0,8.36,431.0,2019-02-12
64682,003300,한일홀딩스,61500,0,0.0,7548,462444000,61200,62500,60500,368744406000,0.02,5995844,499787.0,8.34,434.0,2019-02-13
67057,003300,한일홀딩스,63900,2400,3.9,10682,665278600,63500,63900,60700,383134431600,0.02,5995844,500000.0,8.34,427.0,2019-02-14
69443,003300,한일홀딩스,61800,-2100,-3.3,6338,393428600,63500,63900,61100,370543159200,0.02,5995844,497546.0,8.3,431.0,2019-02-15
71827,003300,한일홀딩스,62500,700,1.1,3874,241719600,62500,63400,61800,374740250000,0.02,5995844,497888.0,8.3,433.0,2019-02-18
74208,003300,한일홀딩스,62700,-800,-1.3,7406,466714200,63800,64300,62500,375939418800,0.02,5995844,498727.0,8.32,432.0,2019-02-20
76594,003300,한일홀딩스,62100,-600,-1.0,4024,249559400,62100,62500,61600,372341912400,0.02,5995844,496506.0,8.28,436.0,2019-02-21
78976,003300,한일홀딩스,61400,-700,-1.1,3961,244481100,62100,62400,61200,368144821600,0.02,5995844,496277.0,8.28,436.0,2019-02-22
81359,003300,한일홀딩스,62000,600,1.0,4980,308648000,61500,63000,61100,371742328000,0.02,5995844,496477.0,8.28,437.0,2019-02-25
83740,003300,한일홀딩스,61700,-300,-0.5,5451,337287500,61400,62700,61300,369943574800,0.02,5995844,496213.0,8.28,436.0,2019-02-26
86124,003300,한일홀딩스,61600,-100,-0.2,6815,417964800,61800,62300,60800,369343990400,0.02,5995844,495656.0,8.27,438.0,2019-02-27
88504,003300,한일홀딩스,59700,-1900,-3.1,12427,754316800,61600,62700,59700,357951886800,0.02,5995844,492407.0,8.21,437.0,2019-02-28
90898,003300,한일홀딩스,59200,-500,-0.8,11591,691042800,61000,61000,58600,354953964800,0.02,5995844,491311.0,8.19,450.0,2019-03-04
93287,003300,한일홀딩스,57900,-1300,-2.2,9852,572039100,58700,59200,57500,347159367600,0.02,5995844,492602.0,8.22,459.0,2019-03-05
95671,003300,한일홀딩스,56700,-1200,-2.1,7440,425745000,58300,58300,56600,339964354800,0.02,5995844,492984.0,8.22,462.0,2019-03-06
98075,003300,한일홀딩스,53500,-3200,-5.6,22548,1224568600,56200,56500,52700,320777654000,0.02,5995844,488049.0,8.14,485.0,2019-03-07
100448,003300,한일홀딩스,54000,500,0.9,8402,452822800,53200,55300,52600,323775576000,0.02,5995844,486757.0,8.12,477.0,2019-03-08
