,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
277,003620,쌍용차,5180,60,1.2,149225,775341740,5130,5230,5130,714577871280,0.04,137949396,106388927.0,77.12,278,2018-01-02
2589,003620,쌍용차,5180,0,0.0,189436,981300650,5180,5220,5130,714577871280,0.04,137949396,106341308.0,77.09,279,2018-01-03
4896,003620,쌍용차,5200,20,0.4,191372,997099440,5200,5270,5150,717336859200,0.04,137949396,106401049.0,77.13,275,2018-01-04
7207,003620,쌍용차,5210,10,0.2,79525,413300140,5200,5230,5160,718716353160,0.04,137949396,106405068.0,77.13,276,2018-01-05
9519,003620,쌍용차,5160,-50,-1.0,143277,742172670,5210,5220,5150,711818883360,0.04,137949396,106416767.0,77.14,276,2018-01-08
11829,003620,쌍용차,5300,140,2.7,181792,952310470,5150,5300,5130,731131798800,0.04,137949396,106442098.0,77.16,274,2018-01-09
14135,003620,쌍용차,5490,190,3.6,705327,3841556440,5350,5510,5280,757342184040,0.04,137949396,106469290.0,77.18,268,2018-01-10
16448,003620,쌍용차,5460,-30,-0.6,345349,1904455930,5500,5590,5430,753203702160,0.04,137949396,106473651.0,77.18,269,2018-01-11
18765,003620,쌍용차,5330,-130,-2.4,266248,1437685870,5460,5520,5320,735270280680,0.04,137949396,106484777.0,77.19,273,2018-01-12
21080,003620,쌍용차,5370,40,0.8,249256,1339500510,5390,5460,5280,740788256520,0.04,137949396,106511985.0,77.21,275,2018-01-15
23396,003620,쌍용차,5380,10,0.2,203897,1096048850,5390,5430,5310,742167750480,0.04,137949396,106519104.0,77.22,278,2018-01-16
25706,003620,쌍용차,5400,20,0.4,150822,802803610,5340,5400,5270,744926738400,0.04,137949396,106520560.0,77.22,275,2018-01-17
28024,003620,쌍용차,5300,-100,-1.8,231981,1231703230,5390,5410,5270,731131798800,0.04,137949396,106515646.0,77.21,280,2018-01-18
30334,003620,쌍용차,5330,30,0.6,243328,1296367060,5300,5350,5280,735270280680,0.04,137949396,106605927.0,77.28,277,2018-01-19
32639,003620,쌍용차,5620,290,5.4,964278,5411502020,5400,5770,5380,775275605520,0.04,137949396,106613418.0,77.28,270,2018-01-22
34956,003620,쌍용차,5610,-10,-0.2,501396,2806689460,5640,5730,5520,773896111560,0.04,137949396,106634491.0,77.3,275,2018-01-23
37260,003620,쌍용차,5900,290,5.2,770236,4470556880,5660,5910,5630,813901436400,0.04,137949396,106813247.0,77.43,267,2018-01-24
39571,003620,쌍용차,5940,40,0.7,679118,4059240580,5930,6060,5890,819419412240,0.04,137949396,106809401.0,77.43,266,2018-01-25
41885,003620,쌍용차,5980,40,0.7,417884,2504236380,5950,6070,5820,824937388080,0.04,137949396,106742055.0,77.38,267,2018-01-26
44201,003620,쌍용차,5990,10,0.2,468995,2826472740,6000,6160,5960,826316882040,0.04,137949396,106719889.0,77.36,269,2018-01-29
46517,003620,쌍용차,5830,-160,-2.7,366132,2165096360,6010,6060,5810,804244978680,0.04,137949396,106741839.0,77.38,271,2018-01-30
48829,003620,쌍용차,5880,50,0.9,459561,2655537410,5810,5930,5640,811142448480,0.04,137949396,106803311.0,77.42,269,2018-01-31
51143,003620,쌍용차,5860,-20,-0.3,234747,1378141120,5900,5940,5810,808383460560,0.04,137949396,106806465.0,77.42,269,2018-02-01
53454,003620,쌍용차,5920,60,1.0,210714,1242130860,5890,5950,5850,816660424320,0.04,137949396,106824203.0,77.44,265,2018-02-02
55769,003620,쌍용차,5710,-210,-3.6,272165,1573340850,5860,5900,5690,787691051160,0.04,137949396,106835966.0,77.45,265,2018-02-05
58085,003620,쌍용차,5650,-60,-1.0,370715,2065213600,5550,5670,5520,779414087400,0.04,137949396,106879180.0,77.48,266,2018-02-06
60400,003620,쌍용차,5580,-70,-1.2,198655,1121166010,5730,5740,5550,769757629680,0.04,137949396,106832734.0,77.44,266,2018-02-07
62716,003620,쌍용차,5620,40,0.7,179654,1006159880,5570,5680,5510,775275605520,0.04,137949396,106813197.0,77.43,268,2018-02-08
65022,003620,쌍용차,5870,250,4.4,538939,3082893610,5520,5880,5430,809762954520,0.04,137949396,106800728.0,77.42,259,2018-02-09
67341,003620,쌍용차,5730,-140,-2.4,391662,2245361550,5930,5940,5660,790450039080,0.04,137949396,106581422.0,77.26,263,2018-02-12
69654,003620,쌍용차,5690,-40,-0.7,223309,1281724790,5700,5820,5680,784932063240,0.04,137949396,106531259.0,77.22,260,2018-02-13
71973,003620,쌍용차,5650,-40,-0.7,212967,1197847720,5690,5740,5580,779414087400,0.04,137949396,106485424.0,77.19,263,2018-02-14
74291,003620,쌍용차,5770,120,2.1,148941,851972250,5700,5770,5660,795968014920,0.04,137949396,106510468.0,77.21,266,2018-02-19
76609,003620,쌍용차,5670,-100,-1.7,119541,678601790,5770,5780,5620,782173075320,0.04,137949396,106495875.0,77.2,269,2018-02-20
78924,003620,쌍용차,5670,0,0.0,151292,858720200,5700,5700,5650,782173075320,0.04,137949396,106497404.0,77.2,269,2018-02-21
81236,003620,쌍용차,5600,-70,-1.2,127042,710005830,5630,5660,5560,772516617600,0.04,137949396,106480150.0,77.19,266,2018-02-22
83554,003620,쌍용차,5570,-30,-0.5,132894,740428530,5610,5620,5540,768378135720,0.04,137949396,106469843.0,77.18,269,2018-02-23
85873,003620,쌍용차,5500,-70,-1.3,150954,835024480,5580,5620,5490,758721678000,0.04,137949396,106483299.0,77.19,274,2018-02-26
88183,003620,쌍용차,5540,40,0.7,142946,788985120,5490,5600,5440,764239653840,0.04,137949396,106475737.0,77.18,270,2018-02-27
90501,003620,쌍용차,5410,-130,-2.4,233498,1273986220,5500,5570,5380,746306232360,0.04,137949396,106499539.0,77.2,274,2018-02-28
92823,003620,쌍용차,5230,-180,-3.3,269810,1421400260,5380,5460,5180,721475341080,0.04,137949396,106460113.0,77.17,282,2018-03-02
95137,003620,쌍용차,5130,-100,-1.9,218661,1126982950,5200,5270,5110,707680401480,0.04,137949396,106377723.0,77.11,283,2018-03-05
97451,003620,쌍용차,5130,0,0.0,142328,734709890,5100,5210,5100,707680401480,0.04,137949396,106407625.0,77.14,284,2018-03-06
99764,003620,쌍용차,5040,-90,-1.8,271736,1377643980,5130,5180,5030,695264955840,0.04,137949396,106355268.0,77.1,284,2018-03-07
102079,003620,쌍용차,5110,70,1.4,159930,811416230,5010,5110,5010,704921413560,0.04,137949396,106327867.0,77.08,286,2018-03-08
104391,003620,쌍용차,5190,80,1.6,236279,1220366470,5060,5220,5060,715957365240,0.04,137949396,106317869.0,77.07,285,2018-03-09
106701,003620,쌍용차,5180,-10,-0.2,201060,1036307530,5200,5220,5110,714577871280,0.04,137949396,106321557.0,77.07,283,2018-03-12
109015,003620,쌍용차,5140,-40,-0.8,138188,713114330,5180,5200,5130,709059895440,0.04,137949396,106303493.0,77.06,285,2018-03-13
111327,003620,쌍용차,5070,-70,-1.4,216205,1098675240,5130,5140,5060,699403437720,0.04,137949396,106252882.0,77.02,286,2018-03-14
