,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
413,003850,보령제약,47850,-150,-0.3,120247,5773481400,49300,49300,47150,422994000000,0.02,8840000,401186.0,4.54,414,2018-01-02
2730,003850,보령제약,47000,-850,-1.8,97542,4581898600,47700,47800,46400,415480000000,0.02,8840000,392069.0,4.44,420,2018-01-03
5027,003850,보령제약,47850,850,1.8,185739,9004476900,47000,49350,47000,422994000000,0.02,8840000,369310.0,4.18,406,2018-01-04
7342,003850,보령제약,48900,1050,2.2,96619,4658957050,47500,49100,46700,432276000000,0.02,8840000,342790.0,3.88,411,2018-01-05
9653,003850,보령제약,48600,-300,-0.6,59799,2886408050,49100,49100,47450,429624000000,0.02,8840000,328436.0,3.72,410,2018-01-08
11973,003850,보령제약,47050,-1550,-3.2,73715,3503917500,47950,48800,46550,415922000000,0.02,8840000,327630.0,3.71,418,2018-01-09
14285,003850,보령제약,47450,400,0.8,88260,4140737100,47000,47950,46150,419458000000,0.02,8840000,335486.0,3.8,418,2018-01-10
16592,003850,보령제약,48650,1200,2.5,106411,5149852150,47300,49300,47100,430066000000,0.02,8840000,361698.0,4.09,413,2018-01-11
18897,003850,보령제약,49500,850,1.8,214382,10755521000,49700,51700,48750,437580000000,0.02,8840000,342828.0,3.88,405,2018-01-12
21199,003850,보령제약,51400,1900,3.8,205189,10542449150,49950,52300,49950,454376000000,0.02,8840000,335111.0,3.79,394,2018-01-15
23529,003850,보령제약,50500,-900,-1.8,90310,4560451800,51200,51400,49550,446420000000,0.02,8840000,320645.0,3.63,411,2018-01-16
25850,003850,보령제약,50000,-500,-1.0,96480,4818994050,50800,51000,49050,442000000000,0.02,8840000,300528.0,3.4,419,2018-01-17
28140,003850,보령제약,53500,3500,7.0,221733,11648102300,50100,54000,49500,472940000000,0.02,8840000,308295.0,3.49,396,2018-01-18
30450,003850,보령제약,54300,800,1.5,218054,11898227600,54000,55900,53300,480012000000,0.02,8840000,300906.0,3.4,393,2018-01-19
32750,003850,보령제약,55700,1400,2.6,142744,7781164300,54600,55700,52900,492388000000,0.03,8840000,289624.0,3.28,381,2018-01-22
35071,003850,보령제약,54700,-1000,-1.8,111729,6096185000,55600,55700,53500,483548000000,0.02,8840000,276730.0,3.13,390,2018-01-23
37367,003850,보령제약,57600,2900,5.3,204048,11565086500,55000,58000,54900,509184000000,0.03,8840000,304007.0,3.44,374,2018-01-24
39682,003850,보령제약,57200,-400,-0.7,61816,3554751900,57400,58200,56700,505648000000,0.03,8840000,324043.0,3.67,377,2018-01-25
41984,003850,보령제약,59900,2700,4.7,284189,17176363100,57200,63300,57100,529516000000,0.03,8840000,359214.0,4.06,366,2018-01-26
44301,003850,보령제약,59900,0,0.0,104612,6191475800,60500,61100,58200,529516000000,0.03,8840000,344936.0,3.9,369,2018-01-29
46619,003850,보령제약,58500,-1400,-2.3,95073,5597408500,59000,59800,58000,517140000000,0.03,8840000,338030.0,3.82,373,2018-01-30
48937,003850,보령제약,56800,-1700,-2.9,149285,8487883500,57300,58100,55700,502112000000,0.03,8840000,363888.0,4.12,377,2018-01-31
51257,003850,보령제약,56500,-300,-0.5,164664,9465901200,56400,59300,56000,499460000000,0.02,8840000,375047.0,4.24,383,2018-02-01
53567,003850,보령제약,56100,-400,-0.7,121134,6742596600,56400,57600,54500,495924000000,0.03,8840000,388472.0,4.39,378,2018-02-02
55901,003850,보령제약,52000,-4100,-7.3,126941,6848943100,54600,55900,51800,459680000000,0.02,8840000,403763.0,4.57,397,2018-02-05
