,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
44,004020,현대제철,44000,-1250,-2.8,265680,11833743950,45250,45750,43750,5871614540000,0.38,133445785,33922545.0,25.42,45.0,2019-01-02
2423,004020,현대제철,44350,350,0.8,154048,6837476050,44000,45000,43750,5918320564750,0.38,133445785,34000648.0,25.48,45.0,2019-01-03
4802,004020,현대제철,45050,700,1.6,238765,10683658600,44050,45350,43800,6011732614250,0.39,133445785,34023402.0,25.5,45.0,2019-01-04
7181,004020,현대제철,46300,1250,2.8,401647,18751989050,46000,47300,45800,6178539845500,0.39,133445785,34062773.0,25.53,45.0,2019-01-07
9560,004020,현대제철,45700,-600,-1.3,198981,9161493650,46500,46750,45500,6098472374500,0.39,133445785,34071316.0,25.53,45.0,2019-01-08
11938,004020,현대제철,49300,3600,7.9,742736,35822543900,46100,49300,46050,6578877200500,0.41,133445785,34178006.0,25.61,44.0,2019-01-09
14317,004020,현대제철,48900,-400,-0.8,336973,16456969950,48600,49300,47900,6525498886500,0.41,133445785,34182263.0,25.62,44.0,2019-01-10
16697,004020,현대제철,48950,50,0.1,240287,11735015000,48600,49350,48200,6532171175750,0.41,133445785,34186494.0,25.62,45.0,2019-01-11
19076,004020,현대제철,49250,300,0.6,271345,13370185900,48600,49800,48600,6572204911250,0.41,133445785,34210528.0,25.64,45.0,2019-01-14
21454,004020,현대제철,50900,1650,3.4,456718,23075019400,49300,51200,49050,6792390456500,0.42,133445785,34263717.0,25.68,44.0,2019-01-15
23833,004020,현대제철,51500,600,1.2,305473,15633751200,50600,51600,50400,6872457927500,0.42,133445785,34283449.0,25.69,44.0,2019-01-16
26211,004020,현대제철,50900,-600,-1.2,336943,17089987200,51400,51700,50200,6792390456500,0.42,133445785,34357959.0,25.75,43.0,2019-01-17
28593,004020,현대제철,50400,-500,-1.0,326296,16456502550,51000,51500,49850,6725667564000,0.41,133445785,34386966.0,25.77,46.0,2019-01-18
30969,004020,현대제철,51700,1300,2.6,463689,23911955100,51500,52200,51000,6899147084500,0.42,133445785,34332329.0,25.73,43.0,2019-01-21
33349,004020,현대제철,51200,-500,-1.0,287613,14749192600,51800,51900,50700,6832424192000,0.42,133445785,34319201.0,25.72,44.0,2019-01-22
35728,004020,현대제철,51400,200,0.4,254577,13040520700,50700,51600,50200,6859113349000,0.42,133445785,34322132.0,25.72,44.0,2019-01-23
38108,004020,현대제철,50900,-500,-1.0,286869,14632446100,50900,51500,50700,6792390456500,0.41,133445785,34433225.0,25.8,45.0,2019-01-24
40487,004020,현대제철,50900,0,0.0,482587,24723754200,50600,52000,50500,6792390456500,0.4,133445785,34571525.0,25.91,45.0,2019-01-25
42867,004020,현대제철,50300,-600,-1.2,577215,29111870400,50200,50900,50000,6712322985500,0.4,133445785,34808935.0,26.08,45.0,2019-01-28
45246,004020,현대제철,50500,200,0.4,449685,22432278850,50100,50600,49200,6739012142500,0.4,133445785,34843531.0,26.11,44.0,2019-01-29
47625,004020,현대제철,51300,800,1.6,484869,24735904700,51200,51500,50400,6845768770500,0.4,133445785,34699267.0,26.0,44.0,2019-01-30
50005,004020,현대제철,51200,-100,-0.2,341607,17458212300,52000,52200,50500,6832424192000,0.4,133445785,34707377.0,26.01,44.0,2019-01-31
52385,004020,현대제철,51000,-200,-0.4,246492,12611555600,51200,51600,50800,6805735035000,0.4,133445785,34754695.0,26.04,44.0,2019-02-01
54766,004020,현대제철,51300,300,0.6,264327,13587231800,51500,51700,51000,6845768770500,0.4,133445785,34742214.0,26.03,44.0,2019-02-07
57149,004020,현대제철,49800,-1500,-2.9,358916,17952927950,50800,51000,49700,6645600093000,0.39,133445785,34726144.0,26.02,46.0,2019-02-08
59529,004020,현대제철,49400,-400,-0.8,297381,14681389900,49800,50200,48950,6592221779000,0.39,133445785,34789822.0,26.07,45.0,2019-02-11
61910,004020,현대제철,50100,700,1.4,250213,12525899150,49500,50500,48600,6685633828500,0.39,133445785,34850955.0,26.12,44.0,2019-02-12
64293,004020,현대제철,50600,500,1.0,251288,12687432400,50600,50700,50100,6752356721000,0.39,133445785,34953496.0,26.19,45.0,2019-02-13
66674,004020,현대제철,50500,-100,-0.2,357535,17844183750,50000,50500,49450,6739012142500,0.39,133445785,34981187.0,26.21,44.0,2019-02-14
69056,004020,현대제철,49300,-1200,-2.4,276319,13649088900,50000,50200,49150,6578877200500,0.39,133445785,34977572.0,26.21,44.0,2019-02-15
71438,004020,현대제철,49900,600,1.2,209191,10428021800,49450,50300,49450,6658944671500,0.39,133445785,35039770.0,26.26,44.0,2019-02-18
73820,004020,현대제철,50900,900,1.8,340110,17255477300,50000,51100,50000,6792390456500,0.39,133445785,35225585.0,26.4,44.0,2019-02-20
76201,004020,현대제철,50800,-100,-0.2,225423,11386897300,50500,50900,50200,6779045878000,0.39,133445785,35298352.0,26.45,43.0,2019-02-21
78584,004020,현대제철,51200,400,0.8,181766,9238354400,50800,51200,50300,6832424192000,0.39,133445785,35330340.0,26.48,44.0,2019-02-22
80965,004020,현대제철,50900,-300,-0.6,226514,11567261900,51400,51700,50800,6792390456500,0.39,133445785,35295983.0,26.45,43.0,2019-02-25
83347,004020,현대제철,51300,400,0.8,160938,8234544300,50900,51500,50600,6845768770500,0.4,133445785,35320388.0,26.47,43.0,2019-02-26
85730,004020,현대제철,51000,-300,-0.6,287810,14587438900,51500,51500,50300,6805735035000,0.39,133445785,35326996.0,26.47,44.0,2019-02-27
88110,004020,현대제철,49850,-1150,-2.2,444527,22507328400,51200,51500,49850,6652272382250,0.39,133445785,35426091.0,26.55,43.0,2019-02-28
90491,004020,현대제철,49650,-200,-0.4,403917,20177165400,49850,50600,49400,6625583225250,0.39,133445785,35517431.0,26.62,43.0,2019-03-04
92874,004020,현대제철,47400,-2250,-4.5,621315,29772415300,49650,49650,46900,6325330209000,0.37,133445785,35534876.0,26.63,46.0,2019-03-05
95255,004020,현대제철,47600,200,0.4,271001,12893545300,47650,48100,47300,6352019366000,0.37,133445785,35632985.0,26.7,46.0,2019-03-06
97636,004020,현대제철,47100,-500,-1.0,294266,13861489200,47850,47850,46750,6285296473500,0.37,133445785,35688316.0,26.74,46.0,2019-03-07
100017,004020,현대제철,46050,-1050,-2.2,246020,11392455250,46800,46800,46050,6145178399250,0.37,133445785,35699839.0,26.75,46.0,2019-03-08
102398,004020,현대제철,46000,-50,-0.1,256970,11729187150,45700,46300,45400,6138506110000,0.37,133445785,35718706.0,26.77,46.0,2019-03-11
104779,004020,현대제철,46400,400,0.9,172000,7989159450,46400,46800,46150,6191884424000,0.37,133445785,35763257.0,26.8,46.0,2019-03-12
107160,004020,현대제철,46600,200,0.4,202598,9396961450,46400,46950,46050,6218573581000,0.37,133445785,35791965.0,26.82,46.0,2019-03-13
109540,004020,현대제철,46600,0,0.0,270305,12617224250,47400,47400,46450,6218573581000,0.37,133445785,35880056.0,26.89,45.0,2019-03-14
111922,004020,현대제철,46750,150,0.3,561670,26402848250,46500,47700,46400,6238590448750,0.37,133445785,35858366.0,26.87,45.0,2019-03-15
114306,004020,현대제철,46950,200,0.4,171274,8029661800,47000,47250,46400,6265279605750,0.37,133445785,35874810.0,26.88,46.0,2019-03-18
116689,004020,현대제철,46900,-50,-0.1,205149,9593387250,46950,47150,46550,6258607316500,0.37,133445785,35884780.0,26.89,46.0,2019-03-19
119072,004020,현대제철,46900,0,0.0,179228,8381342650,46800,47150,46550,6258607316500,0.37,133445785,35872445.0,26.88,46.0,2019-03-20
121455,004020,현대제철,46000,-900,-1.9,316777,14736671300,47100,47600,45850,6138506110000,0.36,133445785,35866978.0,26.88,46.0,2019-03-21
123839,004020,현대제철,45650,-350,-0.8,251869,11564252950,46000,46500,45500,6091800085250,0.36,133445785,35931044.0,26.93,46.0,2019-03-22
126224,004020,현대제철,44800,-850,-1.9,217121,9782164550,45500,45550,44800,5978371168000,0.36,133445785,35963008.0,26.95,46.0,2019-03-25
128609,004020,현대제철,44500,-300,-0.7,245064,10971483650,44800,45300,44250,5938337432500,0.35,133445785,35923016.0,26.92,46.0,2019-03-26
130994,004020,현대제철,44650,150,0.3,139411,6210591900,44650,44900,44200,5958354300250,0.36,133445785,35923943.0,26.92,46.0,2019-03-27
