,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
104,004170,신세계,248000,-8000,-3.1,72595,18069162500,257500,258000,246000,2441604888000,0.16,9845181,2650319.0,26.92,105.0,2019-01-02
2485,004170,신세계,241000,-7000,-2.8,82097,19986667500,250000,250500,240000,2372688621000,0.15,9845181,2655319.0,26.97,107.0,2019-01-03
4865,004170,신세계,239500,-1500,-0.6,132087,31135190000,240000,241500,231000,2357920849500,0.15,9845181,2692503.0,27.35,108.0,2019-01-04
7244,004170,신세계,240500,1000,0.4,73638,17737401500,242000,247500,237000,2367766030500,0.15,9845181,2711543.0,27.54,108.0,2019-01-07
9623,004170,신세계,236500,-4000,-1.7,55662,13184315000,240500,242000,235000,2328385306500,0.15,9845181,2709453.0,27.52,108.0,2019-01-08
12003,004170,신세계,240500,4000,1.7,63764,15275717500,237000,242500,236500,2367766030500,0.15,9845181,2720583.0,27.63,109.0,2019-01-09
14381,004170,신세계,241000,500,0.2,66739,16215865000,241000,246500,240000,2372688621000,0.15,9845181,2736875.0,27.8,108.0,2019-01-10
16759,004170,신세계,245000,4000,1.7,58913,14380393500,242500,246000,239500,2412069345000,0.15,9845181,2742939.0,27.86,107.0,2019-01-11
19135,004170,신세계,253500,8500,3.5,123417,31442404000,246500,258000,245500,2495753383500,0.16,9845181,2772152.0,28.16,104.0,2019-01-14
21513,004170,신세계,256000,2500,1.0,106953,27584047500,255000,263500,251000,2520366336000,0.16,9845181,2767940.0,28.11,103.0,2019-01-15
23897,004170,신세계,250000,-6000,-2.3,64034,16070528500,256000,256000,249000,2461295250000,0.15,9845181,2753955.0,27.97,108.0,2019-01-16
26276,004170,신세계,242000,-8000,-3.2,94486,23072036552,250500,251500,241500,2382533802000,0.15,9845181,2750726.0,27.94,108.0,2019-01-17
28654,004170,신세계,250500,8500,3.5,62464,15493304000,243500,250500,243500,2466217840500,0.15,9845181,2754814.0,27.98,107.0,2019-01-18
31033,004170,신세계,249000,-1500,-0.6,80876,20343272500,253500,256500,247500,2451450069000,0.15,9845181,2732576.0,27.76,107.0,2019-01-21
33411,004170,신세계,252000,3000,1.2,86611,21995695000,249500,258500,249500,2480985612000,0.15,9845181,2746709.0,27.9,106.0,2019-01-22
35785,004170,신세계,265000,13000,5.2,242494,64108124000,253000,269500,252500,2608972965000,0.16,9845181,2713225.0,27.56,101.0,2019-01-23
38164,004170,신세계,265500,500,0.2,94368,24979848500,268000,268500,262000,2613895555500,0.16,9845181,2701149.0,27.44,101.0,2019-01-24
40542,004170,신세계,273500,8000,3.0,138678,37915333000,265000,276500,263500,2692657003500,0.16,9845181,2699162.0,27.42,100.0,2019-01-25
42921,004170,신세계,274500,1000,0.4,129048,35209878633,277000,277000,266000,2702502184500,0.16,9845181,2728935.0,27.72,99.0,2019-01-28
45302,004170,신세계,274000,-500,-0.2,60247,16318608000,273000,274000,267000,2697579594000,0.16,9845181,2737574.0,27.81,100.0,2019-01-29
47682,004170,신세계,266000,-8000,-2.9,89413,23841884000,274500,274500,264500,2618818146000,0.15,9845181,2736800.0,27.8,101.0,2019-01-30
50063,004170,신세계,264500,-1500,-0.6,70594,18609465000,268000,269500,259500,2604050374500,0.15,9845181,2741955.0,27.85,102.0,2019-01-31
52442,004170,신세계,272000,7500,2.8,86510,23440557000,266000,273500,266000,2677889232000,0.16,9845181,2778349.0,28.22,101.0,2019-02-01
54823,004170,신세계,265500,-6500,-2.4,66397,17665543500,274000,274000,264000,2613895555500,0.15,9845181,2769862.0,28.13,101.0,2019-02-07
57207,004170,신세계,257000,-8500,-3.2,83443,21536780000,264000,265500,255000,2530211517000,0.15,9845181,2762922.0,28.06,104.0,2019-02-08
59590,004170,신세계,251500,-5500,-2.1,81632,20499012500,257500,257500,249000,2476063021500,0.15,9845181,2752576.0,27.96,106.0,2019-02-11
61972,004170,신세계,256500,5000,2.0,57147,14508743500,251500,256500,251000,2525288926500,0.15,9845181,2740736.0,27.84,106.0,2019-02-12
64355,004170,신세계,254500,-2000,-0.8,49911,12683408000,257000,257000,252500,2505598564500,0.15,9845181,2724534.0,27.67,107.0,2019-02-13
66737,004170,신세계,255000,500,0.2,40153,10232932500,255000,257000,252500,2510521155000,0.15,9845181,2722966.0,27.66,107.0,2019-02-14
69115,004170,신세계,266000,11000,4.3,106004,27801119000,256000,267000,254000,2618818146000,0.15,9845181,2740883.0,27.84,103.0,2019-02-15
71497,004170,신세계,270000,4000,1.5,82116,22170121500,268000,273000,267500,2658198870000,0.15,9845181,2743492.0,27.87,103.0,2019-02-18
73876,004170,신세계,284000,13000,4.8,168878,47595258500,274000,285500,273500,2796031404000,0.16,9845181,2775162.0,28.19,100.0,2019-02-20
76259,004170,신세계,283500,-500,-0.2,78547,22395511500,286000,288500,282000,2791108813500,0.16,9845181,2788079.0,28.32,101.0,2019-02-21
78640,004170,신세계,285000,1500,0.5,43856,12376769000,283000,288000,278000,2805876585000,0.16,9845181,2790813.0,28.35,100.0,2019-02-22
81020,004170,신세계,290000,5000,1.8,60938,17552526500,287500,293000,280000,2855102490000,0.16,9845181,2779433.0,28.23,98.0,2019-02-25
83401,004170,신세계,293000,3000,1.0,69846,20439141500,290000,295000,287500,2884638033000,0.17,9845181,2778549.0,28.22,97.0,2019-02-26
85785,004170,신세계,293000,0,0.0,59928,17293092000,293000,293500,285000,2884638033000,0.17,9845181,2770660.0,28.14,99.0,2019-02-27
88166,004170,신세계,285500,-7500,-2.6,73656,21321403500,291500,294000,283500,2810799175500,0.16,9845181,2766186.0,28.1,99.0,2019-02-28
90547,004170,신세계,288500,3000,1.0,55131,15951278500,285500,295500,285500,2840334718500,0.17,9845181,2764501.0,28.08,99.0,2019-03-04
92927,004170,신세계,290000,1500,0.5,49590,14271237000,286500,291000,284000,2855102490000,0.17,9845181,2765599.0,28.09,99.0,2019-03-05
95308,004170,신세계,283000,-7000,-2.4,49638,14083149000,289000,290000,281500,2786186223000,0.16,9845181,2769396.0,28.13,99.0,2019-03-06
97689,004170,신세계,283500,500,0.2,58653,16647993000,284000,289000,279500,2791108813500,0.17,9845181,2777551.0,28.21,99.0,2019-03-07
100068,004170,신세계,289000,5500,1.9,123083,36163530500,286500,299500,285500,2845257309000,0.17,9845181,2769867.0,28.13,97.0,2019-03-08
