,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
322,004490,세방전지,35500,-450,-1.2,7882,280178300,35600,36150,35000,497000000000,0.03,14000000,5071076.0,36.22,323.0,2019-01-02
2696,004490,세방전지,35550,50,0.1,10055,358279800,35300,36050,35150,497700000000,0.03,14000000,5074030.0,36.24,318.0,2019-01-03
5076,004490,세방전지,35600,50,0.1,14392,518378000,36250,36500,35150,498400000000,0.03,14000000,5074867.0,36.25,319.0,2019-01-04
7452,004490,세방전지,36050,450,1.3,11073,403520600,35650,37000,35550,504700000000,0.03,14000000,5075895.0,36.26,316.0,2019-01-07
9828,004490,세방전지,36450,400,1.1,8277,304107100,36050,37050,36050,510300000000,0.03,14000000,5074606.0,36.25,313.0,2019-01-08
12211,004490,세방전지,36850,400,1.1,15577,582305350,36300,38000,36250,515900000000,0.03,14000000,5074808.0,36.25,317.0,2019-01-09
14593,004490,세방전지,36500,-350,-1.0,16197,593262300,36550,37100,36300,511000000000,0.03,14000000,5074700.0,36.25,320.0,2019-01-10
16972,004490,세방전지,36300,-200,-0.6,14827,539242200,36150,36800,36000,508200000000,0.03,14000000,5078345.0,36.27,320.0,2019-01-11
19353,004490,세방전지,35500,-800,-2.2,19120,685084250,36150,36550,35500,497000000000,0.03,14000000,5075546.0,36.25,322.0,2019-01-14
21736,004490,세방전지,35250,-250,-0.7,22444,804646100,35700,36450,35250,493500000000,0.03,14000000,5078921.0,36.28,326.0,2019-01-15
24121,004490,세방전지,35200,-50,-0.1,18264,646990400,35300,36050,35150,492800000000,0.03,14000000,5082557.0,36.3,332.0,2019-01-16
26489,004490,세방전지,36300,1100,3.1,21154,756480250,35200,36600,35100,508200000000,0.03,14000000,5085887.0,36.33,321.0,2019-01-17
28867,004490,세방전지,37200,900,2.5,10581,390199950,36300,37400,36300,520800000000,0.03,14000000,5086076.0,36.33,320.0,2019-01-18
31244,004490,세방전지,37200,0,0.0,11127,413827100,37200,37700,36600,520800000000,0.03,14000000,5088889.0,36.35,318.0,2019-01-21
