,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
566,004700,조광피혁,35450,1000,2.9,2001,70438600,34800,35550,34800,235711942100,0.02,6649138,32663.0,0.49,567.0,2019-01-02
2927,004700,조광피혁,36050,600,1.7,2658,95674800,35550,36250,35500,239701424900,0.02,6649138,32662.0,0.49,549.0,2019-01-03
5305,004700,조광피혁,36550,500,1.4,1399,50963350,35400,36600,35400,243025993900,0.02,6649138,32661.0,0.49,548.0,2019-01-04
7686,004700,조광피혁,36600,50,0.1,739,26917500,36600,36600,36200,243358450800,0.02,6649138,32661.0,0.49,550.0,2019-01-07
10070,004700,조광피혁,36650,50,0.1,478,17337300,36250,36700,36150,243690907700,0.02,6649138,32661.0,0.49,555.0,2019-01-08
12462,004700,조광피혁,36300,-350,-1.0,1479,53647900,36300,36650,36000,241363709400,0.02,6649138,32661.0,0.49,568.0,2019-01-09
14843,004700,조광피혁,36300,0,0.0,262,9543150,36250,36700,36250,241363709400,0.02,6649138,32661.0,0.49,570.0,2019-01-10
17220,004700,조광피혁,36350,50,0.1,548,19925100,36550,36550,36300,241696166300,0.02,6649138,32661.0,0.49,568.0,2019-01-11
19609,004700,조광피혁,35900,-450,-1.2,344,12345300,35850,36400,35800,238704054200,0.01,6649138,32803.0,0.49,578.0,2019-01-14
21980,004700,조광피혁,36900,1000,2.8,2281,84002250,35900,37450,35900,245353192200,0.02,6649138,32803.0,0.49,570.0,2019-01-15
24364,004700,조광피혁,36600,-300,-0.8,512,18874450,36900,37100,36600,243358450800,0.01,6649138,32803.0,0.49,575.0,2019-01-16
26732,004700,조광피혁,37200,600,1.6,3748,139739200,37000,37700,36700,247347933600,0.02,6649138,32803.0,0.49,564.0,2019-01-17
29123,004700,조광피혁,37200,0,0.0,871,32505550,36950,37400,36700,247347933600,0.02,6649138,32803.0,0.49,576.0,2019-01-18
31509,004700,조광피혁,37200,0,0.0,2010,75023650,37550,37550,37050,247347933600,0.02,6649138,32803.0,0.49,583.0,2019-01-21
33890,004700,조광피혁,37000,-200,-0.5,482,17989850,37500,37500,37000,246018106000,0.02,6649138,32803.0,0.49,585.0,2019-01-22
36272,004700,조광피혁,37000,0,0.0,243,9069400,38000,38200,36750,246018106000,0.01,6649138,32803.0,0.49,588.0,2019-01-23
38646,004700,조광피혁,37500,500,1.4,1124,42103600,37550,37600,36950,249342675000,0.02,6649138,32564.0,0.49,583.0,2019-01-24
41032,004700,조광피혁,37200,-300,-0.8,362,13496950,37800,37950,37050,247347933600,0.01,6649138,32564.0,0.49,590.0,2019-01-25
43418,004700,조광피혁,36600,-600,-1.6,3426,127274300,37600,37600,36100,243358450800,0.01,6649138,32564.0,0.49,596.0,2019-01-28
45795,004700,조광피혁,36900,300,0.8,6156,225514950,36950,37350,36150,245353192200,0.01,6649138,32566.0,0.49,593.0,2019-01-29
48174,004700,조광피혁,36900,0,0.0,7177,264839400,36900,37550,36650,245353192200,0.01,6649138,32566.0,0.49,593.0,2019-01-30
50553,004700,조광피혁,36900,0,0.0,7811,288909850,37000,37900,36650,245353192200,0.01,6649138,32566.0,0.49,592.0,2019-01-31
52928,004700,조광피혁,37150,250,0.7,5800,214239150,36900,37500,36900,247015476700,0.01,6649138,32566.0,0.49,587.0,2019-02-01
55312,004700,조광피혁,37450,300,0.8,940,35021950,37600,37850,37150,249010218100,0.01,6649138,32566.0,0.49,590.0,2019-02-07
57692,004700,조광피혁,37450,0,0.0,1437,53642000,37450,37750,37150,249010218100,0.01,6649138,32566.0,0.49,589.0,2019-02-08
60069,004700,조광피혁,37450,0,0.0,1589,59438500,37500,37550,37200,249010218100,0.01,6649138,32566.0,0.49,585.0,2019-02-11
62462,004700,조광피혁,37150,-300,-0.8,1346,50270300,37500,37600,37150,247015476700,0.01,6649138,32566.0,0.49,596.0,2019-02-12
64846,004700,조광피혁,37500,350,0.9,1154,43207400,37150,37800,37050,249342675000,0.01,6649138,32566.0,0.49,598.0,2019-02-13
67232,004700,조광피혁,37550,50,0.1,2266,84963850,37700,37750,37300,249675131900,0.01,6649138,32566.0,0.49,602.0,2019-02-14
69610,004700,조광피혁,37600,50,0.1,1410,53136200,37550,37900,37500,250007588800,0.01,6649138,32566.0,0.49,598.0,2019-02-15
72009,004700,조광피혁,36950,-650,-1.7,2850,106529050,37600,38000,36950,245685649100,0.01,6649138,32567.0,0.49,615.0,2019-02-18
74391,004700,조광피혁,37150,0,0.0,1408,52578700,37600,37700,37100,247015476700,0.01,6649138,32572.0,0.49,615.0,2019-02-20
76779,004700,조광피혁,36600,-550,-1.5,1517,55719200,37200,37200,36500,243358450800,0.01,6649138,32867.0,0.49,621.0,2019-02-21
79147,004700,조광피혁,37150,550,1.5,3100,113857950,36700,37300,36600,247015476700,0.01,6649138,32867.0,0.49,607.0,2019-02-22
81532,004700,조광피혁,37200,50,0.1,1362,50744300,37150,37450,36650,247347933600,0.01,6649138,32867.0,0.49,610.0,2019-02-25
83918,004700,조광피혁,36550,-650,-1.8,4392,161655650,36900,37500,36500,243025993900,0.01,6649138,33515.0,0.5,614.0,2019-02-26
86301,004700,조광피혁,36500,-50,-0.1,5929,216695500,36550,36700,36500,242693537000,0.01,6649138,34193.0,0.51,615.0,2019-02-27
88674,004700,조광피혁,36600,100,0.3,5637,205769350,36500,36650,36400,243358450800,0.01,6649138,34193.0,0.51,607.0,2019-02-28
91057,004700,조광피혁,37350,750,2.0,1434,53189250,36650,37400,36650,248345304300,0.01,6649138,34074.0,0.51,609.0,2019-03-04
93432,004700,조광피혁,37450,100,0.3,443,16577900,37350,37900,36800,249010218100,0.01,6649138,34074.0,0.51,604.0,2019-03-05
95827,004700,조광피혁,36750,-700,-1.9,3011,111255550,37450,37550,36750,244355821500,0.01,6649138,34194.0,0.51,618.0,2019-03-06
