,account_nm,thstrm_amount
0,유동자산,340161798607
1,현금및현금성자산,6344759943
2,매출채권및기타채권,197011155568
3,재고자산,132572749858
4,당기법인세자산,0
5,기타금융자산,207641730
6,기타유동자산,4025491508
7,비유동자산,412104730912
8,매도가능금융자산,0
9,기타포괄손익-공정가치측정금융자산,1143188497
10,상각후원가측정금융자산,16667125
11,이연법인세자산,8538455675
12,유형자산,323315852717
13,투자부동산,27629410797
14,무형자산,14652488264
15,기타금융자산,36808667837
16,자산총계,752266529519
17,유동부채,407678726688
18,매입채무및기타채무,217584137857
19,단기차입금,117516843942
20,유동성장기부채,42000000000
21,당기법인세부채,5715517912
22,기타금융부채,7388337217
23,기타유동부채,17473889760
24,비유동부채,30636423468
25,장기차입금,22900000000
26,순확정급여부채,6720473879
27,이연법인세부채,0
28,기타비유동부채,1015949589
29,부채총계,438315150156
30,지배기업의 소유주에게 귀속되는 자본,314071281166
31,자본금,43145045000
32,기타불입자본,-25020426537
33,기타자본구성요소,-69203193
34,이익잉여금,296015865896
35,비지배지분,-119901803
36,자본총계,313951379363
37,자본과부채총계,752266529519
38,수익(매출액),2200883745006
39,매출원가,1844426728280
40,매출총이익,356457016726
41,판매비,242772511327
42,관리비,53764326016
43,영업이익(손실),59920179383
44,금융수익,819513178
45,금융원가,5025850840
46,기타수익,7250875762
47,기타비용,8672249810
48,기타차익및차손,-1214586313
49,법인세비용차감전순이익(손실),53077881360
50,법인세비용,10908669461
51,계속영업이익(손실),42169211899
52,중단영업이익(손실),0
53,당기순이익(손실),42169211899
54,지배기업의 소유주에게 귀속되는 당기순이익(손실),42139244000
55,비지배지분에 귀속되는 당기순이익(손실),29967899
56,기본주당이익(손실),5199
57,당기순이익(손실),42169211899
58,기타포괄손익,-1685474698
59,확정급여제도의 재측정손익,-1678308112
60,기타포괄손익-공정가치측정지분상품평가손익,-56131
61,매도가능금융자산평가손익,0
62,해외사업장환산외환차이,-7110455
63,총포괄손익,40483737201
64,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",40453769302
65,"총 포괄손익, 비지배지분",29967899
66,영업활동현금흐름,68342779444
67,당기순이익(손실),42169211899
68,당기순이익조정을 위한 가감,74538931098
69,재고자산평가손실,0
70,재고자산감모손실,169539669
71,퇴직급여,11631303570
72,감가상각비,34384174227
73,무형자산상각비,1860442231
74,임차료,96558147
75,대손상각비,790149349
76,반품폐기손실,9806074760
77,이자비용,5000700840
78,외화환산손실,376153901
79,기타의 대손상각비,4919233
80,유형자산처분손실,737307814
81,무형자산처분손실,126000
82,파생금융자산평가손실,0
83,법인세비용,10908669461
84,재고자산평가손실환입,90216461
85,이자수익,515506028
86,배당금수익,7150
87,파생금융자산평가이익,214250000
88,외화환산이익,315935812
89,유형자산처분이익,39106450
90,기타의 대손충당금환입,52166203
91,영업활동으로인한자산ㆍ부채의변동,-31171478586
92,매출채권의 감소(증가),-5408196215
93,미수금의 감소(증가),-1537936286
94,선급금의 감소(증가),1436776313
95,선급비용의 감소(증가),855574135
96,부가세대급금의 감소(증가),0
97,재고자산의 감소(증가),-37602678643
98,파생상품자산의 감소(증가),87400000
99,매입채무의 증가(감소),3384121777
100,미지급금의 증가(감소),798803565
101,미지급비용의 증가(감소),11073893993
102,선수금의 증가(감소),1263773128
103,선수수익의 증가(감소),-3492499
104,예수금의 증가(감소),168964537
105,부가세예수금의 증가(감소),2137208863
106,예수보증금의 증가(감소),1763704439
107,기타충당부채의 증가(감소),28864167
108,장기종업원급여부채의 증가(감소),1015949589
109,퇴직금의 지급,-7053748137
110,퇴직금의 승계액,1676197544
111,사외적립자산의 감소(증가),-5256658856
112,이자수취,437533213
113,이자지급,5033629406
114,배당금수취,7150
115,법인세납부,12597795924
116,투자활동현금흐름,-43743343279
117,단기금융상품의 처분,0
118,장기금융상품의 처분,1000000
119,장기대여금의 감소,85000000
120,건물의 처분,30026794
121,구축물의 처분,6000
122,기계장치의 처분,400282093
123,차량운반구의 처분,5205000
124,공기구비품의 처분,890778187
125,산업재산권의처분,0
126,시설이용권의 처분,202000
127,기타무형자산의 처분,173905973
128,보증금의 감소,318551504
129,정부보조금의 수취,420546000
130,단기금융상품의 취득,0
131,장기금융상품의 취득,0
132,토지의 취득,658503452
133,건물의 취득,2740865898
134,구축물의 취득,3468019300
135,기계장치의 취득,8700886337
136,차량운반구의 취득,4545314
137,공기구비품의 취득,12718153113
138,연구장비의 취득,41778305
139,건설중인자산의 취득,13096623206
140,산업재산권의 취득,182778351
141,임차권리금의 취득,120000000
142,시설이용권의 취득,334636320
143,기타무형자산의 취득,1641146521
144,단기대여금의 증가,25000000
145,보증금의 증가,2335910713
146,재무활동현금흐름,-36437259966
147,단기차입금의 증가,117516843942
148,장기차입금의 증가,0
149,단기차입금의 상환,128820000000
150,유동성장기부채의 상환,20000000000
151,장기차입금의 상환,0
152,자기주식의 취득,0
153,배당금지급,5134103908
154,현금및현금성자산의순증가(감소),-11837823801
155,기초현금및현금성자산,17866775621
156,현금및현금성자산의 환율변동효과,315808123
157,기말현금및현금성자산,6344759943
158,기초자본,280023819375
159,기초자본,-149869702
160,기초자본,280173689077
161,기초자본,-25020426537
162,기초자본,18733911784
163,기초자본,-50431626620
164,기초자본,6677288299
165,기초자본,-62036607
166,기초자본,262111107221
167,기초자본,43145045000
168,회계정책변경에 따른 증가(감소),-1422073305
169,회계정책변경에 따른 증가(감소),0
170,회계정책변경에 따른 증가(감소),-1422073305
171,회계정책변경에 따른 증가(감소),0
172,회계정책변경에 따른 증가(감소),0
173,회계정책변경에 따른 증가(감소),0
174,회계정책변경에 따른 증가(감소),0
175,회계정책변경에 따른 증가(감소),0
176,회계정책변경에 따른 증가(감소),-1422073305
177,회계정책변경에 따른 증가(감소),0
178,수정후재작성된 금액,278601746070
179,수정후재작성된 금액,-149869702
180,수정후재작성된 금액,278751615772
181,수정후재작성된 금액,-25020426537
182,수정후재작성된 금액,18733911784
183,수정후재작성된 금액,-50431626620
184,수정후재작성된 금액,6677288299
185,수정후재작성된 금액,-62036607
186,수정후재작성된 금액,260689033916
187,수정후재작성된 금액,43145045000
188,배당금지급,-5134103908
189,배당금지급,0
190,배당금지급,-5134103908
191,배당금지급,0
192,배당금지급,0
193,배당금지급,0
194,배당금지급,0
195,배당금지급,0
196,배당금지급,-5134103908
197,배당금지급,0
198,자기주식의취득,0
199,자기주식의취득,0
200,자기주식의취득,0
201,자기주식의취득,0
202,자기주식의취득,0
203,자기주식의취득,0
204,자기주식의취득,0
205,자기주식의취득,0
206,자기주식의취득,0
207,자기주식의취득,0
208,당기순이익(손실),42169211899
209,당기순이익(손실),29967899
210,당기순이익(손실),42139244000
211,당기순이익(손실),0
212,당기순이익(손실),0
213,당기순이익(손실),0
214,당기순이익(손실),0
215,당기순이익(손실),0
216,당기순이익(손실),42139244000
217,당기순이익(손실),0
218,순확정급여부채의재측정요소,-1678308112
219,순확정급여부채의재측정요소,0
220,순확정급여부채의재측정요소,-1678308112
221,순확정급여부채의재측정요소,0
222,순확정급여부채의재측정요소,0
223,순확정급여부채의재측정요소,0
224,순확정급여부채의재측정요소,0
225,순확정급여부채의재측정요소,0
226,순확정급여부채의재측정요소,-1678308112
227,순확정급여부채의재측정요소,0
228,매도가능금융자산평가손익,0
229,매도가능금융자산평가손익,0
230,매도가능금융자산평가손익,0
231,매도가능금융자산평가손익,0
232,매도가능금융자산평가손익,0
233,매도가능금융자산평가손익,0
234,매도가능금융자산평가손익,0
235,매도가능금융자산평가손익,0
236,매도가능금융자산평가손익,0
237,매도가능금융자산평가손익,0
238,기타포괄손익-공정가치측정지분상품평가손익,-56131
239,기타포괄손익-공정가치측정지분상품평가손익,0
240,기타포괄손익-공정가치측정지분상품평가손익,-56131
241,기타포괄손익-공정가치측정지분상품평가손익,0
242,기타포괄손익-공정가치측정지분상품평가손익,0
243,기타포괄손익-공정가치측정지분상품평가손익,0
244,기타포괄손익-공정가치측정지분상품평가손익,0
245,기타포괄손익-공정가치측정지분상품평가손익,-56131
246,기타포괄손익-공정가치측정지분상품평가손익,0
247,기타포괄손익-공정가치측정지분상품평가손익,0
248,해외사업환산손익,-7110455
249,해외사업환산손익,0
250,해외사업환산손익,-7110455
251,해외사업환산손익,0
252,해외사업환산손익,0
253,해외사업환산손익,0
254,해외사업환산손익,0
255,해외사업환산손익,-7110455
256,해외사업환산손익,0
257,해외사업환산손익,0
258,기말자본,313951379363
259,기말자본,-119901803
260,기말자본,314071281166
261,기말자본,-25020426537
262,기말자본,18733911784
263,기말자본,-50431626620
264,기말자본,6677288299
265,기말자본,-69203193
266,기말자본,296015865896
267,기말자본,43145045000
