,account_nm,thstrm_amount
0,유동자산,280982585754.0
1,현금및현금성자산,36894374188.0
2,단기금융상품,1175000000.0
3,매출채권 및 기타유동채권,164299892093.0
4,기타유동비금융자산,4715806620.0
5,재고자산,73247300431.0
6,당기법인세자산,650212422.0
7,비유동자산,1005522009782.0
8,장기금융상품,639000000.0
9,매도가능금융자산,
10,기타포괄손익-공정가치 측정 금융자산,3040311257.0
11,관계기업및공동지배기업 투자자산,23349927724.0
12,기타비유동채권,13434796813.0
13,유형자산,698051535569.0
14,무형자산,28852710599.0
15,영업권,222895114594.0
16,투자부동산,10658574900.0
17,기타비유동비금융자산,499477586.0
18,이연법인세자산,4100560740.0
19,자산총계,1286504595536.0
20,유동부채,445804862390.0
21,매입채무 및 기타유동채무,185085641039.0
22,단기차입금,139808234894.0
23,유동성장기차입금,5135190000.0
24,유동성사채,79918845577.0
25,기타유동비금융부채,10583320439.0
26,미지급법인세,5786573311.0
27,유동충당부채,19487057130.0
28,비유동부채,347006314821.0
29,기타비유동채무,2731680277.0
30,장기차입금,64912750000.0
31,사채,169431969211.0
32,확정급여부채,77196512210.0
33,기타비유동비금융부채,7922226285.0
34,이연법인세부채,24811176838.0
35,부채총계,792811177211.0
36,지배기업의 소유주에게 귀속되는 자본,289502861004.0
37,자본금,7724036500.0
38,자본잉여금,103901920837.0
39,자기주식,2000083950.0
40,기타자본구성요소,-65214365003.0
41,기타포괄손익누계액,-590266379.0
42,이익잉여금(결손금),245681618999.0
43,비지배지분,204190557321.0
44,자본총계,493693418325.0
45,자본과부채총계,1286504595536.0
46,영업수익(매출액),1092084363826.0
47,매출원가,723003243006.0
48,매출총이익,369081120820.0
49,판매비와관리비,317416049526.0
50,대손상각비,10120116955.0
51,영업이익(손실),41544954339.0
52,기타이익,3121390571.0
53,기타손실,12548578604.0
54,기타의대손상각비환입(기타의대손상각비),612800.0
55,금융수익-유효이자율법으로 측정하는 금융수익,148189066.0
56,금융수익-기타금융수익,11960.0
57,금융원가,14806612901.0
58,관계기업및공동기업 당기순손익에 대한 지분,-184026219.0
59,분배자산집단처분이익,
60,법인세비용차감전순이익(손실),17274715412.0
61,법인세비용,6455135946.0
62,당기순이익(손실),10819579466.0
63,기타포괄손익,-789395754.0
64,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-780198909.0
65,확정급여제도의 재측정손익(세후기타포괄손익),-92920577.0
66,기타포괄손익-공정가치측정금융자산평가손익,-687278332.0
67,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-9196845.0
68,매도가능금융자산평가손익(세후기타포괄손익),
69,해외사업장순투자의 위험회피손익(세후기타포괄손익),-9196845.0
70,총포괄손익,10030183712.0
71,지배기업의 소유주에게 귀속되는 당기순이익(손실),4701501086.0
72,비지배지분에 귀속되는 당기순이익(손실),6118078380.0
73,지배기업의 소유주에게 귀속되는 지분,3932177386.0
74,비지배지분,6098006326.0
75,보통주 기본주당이익(손실),310.0
76,우선주 기본주당이익(손실),315.0
77,영업활동현금흐름,81092622124.0
78,당기순이익(손실),10819579466.0
79,당기순이익조정을 위한 가감,101452305503.0
80,급여(자기주식 우리사주조합출연),
81,퇴직급여,18861801636.0
82,감가상각비,37551626027.0
83,임대자산감가상각비,73407413.0
84,무형자산상각비,6613298054.0
85,대손상각비,10120116955.0
86,기타의 대손상각비,612800.0
87,외화환산손실,38142716.0
88,재고자산평가손실,597576919.0
89,유형자산처분손실,48624282.0
90,투자부동산처분손실,
91,매도가능증권처분손실,
92,종속기업/관계기업/공동기업투자처분손실,
93,종속기업/관계기업/공동기업투자손상차손,2342103105.0
94,영업권손상차손,2200000000.0
95,무형자산손상차손,2291425110.0
96,지분법이익,-184026219.0
97,이자비용,14806612901.0
98,법인세비용,6455135946.0
99,이자수익,148189066.0
100,배당금수익,-11960.0
101,외화환산이익,169388706.0
102,유형자산처분이익,414614848.0
103,무형자산처분이익,
104,염가매수차익,
105,분배자산집단처분이익,
106,매도가능금융자산처분이익,
107,영업활동으로인한자산ㆍ부채의변동,-22995017141.0
108,재고자산의 감소(증가),4823906155.0
109,매출채권의 감소(증가),27279259781.0
