,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
74,005940,NH투자증권,12350,-700,-5.4,1139552,14208024200,13100,13150,12250,3475399754450,0.22,281408887,39217009.0,13.94,75.0,2019-01-02
2454,005940,NH투자증권,12100,-250,-2.0,918010,11204798500,12350,12550,12050,3405047532700,0.22,281408887,39589114.0,14.07,76.0,2019-01-03
4834,005940,NH투자증권,12200,100,0.8,990591,11957853650,12000,12250,11950,3433188421400,0.22,281408887,39779729.0,14.14,77.0,2019-01-04
7208,005940,NH투자증권,12750,550,4.5,1271676,16278933800,12500,13000,12500,3587963309250,0.23,281408887,39601136.0,14.07,72.0,2019-01-07
9587,005940,NH투자증권,12500,-250,-2.0,733212,9189474800,12750,12850,12400,3517611087500,0.22,281408887,39700358.0,14.11,72.0,2019-01-08
11964,005940,NH투자증권,12900,400,3.2,1381182,17581934850,12600,13050,12550,3630174642300,0.23,281408887,39593711.0,14.07,70.0,2019-01-09
14345,005940,NH투자증권,12850,-50,-0.4,454681,5826235850,12800,12950,12650,3616104197950,0.23,281408887,39554259.0,14.06,72.0,2019-01-10
16724,005940,NH투자증권,12700,-150,-1.2,663651,8452902050,12900,12950,12650,3573892864900,0.22,281408887,39477275.0,14.03,72.0,2019-01-11
19102,005940,NH투자증권,12650,-50,-0.4,527426,6647023050,12700,12700,12500,3559822420550,0.22,281408887,39634640.0,14.08,71.0,2019-01-14
21480,005940,NH투자증권,13350,700,5.5,1425182,18816675250,12650,13450,12650,3756808641450,0.23,281408887,39771002.0,14.13,70.0,2019-01-15
23859,005940,NH투자증권,13550,200,1.5,1198671,16330868000,13250,13800,13250,3813090418850,0.23,281408887,39911054.0,14.18,70.0,2019-01-16
26238,005940,NH투자증권,13500,-50,-0.4,675191,9140399800,13700,13750,13400,3799019974500,0.23,281408887,40021322.0,14.22,70.0,2019-01-17
28617,005940,NH투자증권,13700,200,1.5,566173,7734755900,13650,13750,13450,3855301751900,0.23,281408887,40101719.0,14.25,70.0,2019-01-18
30995,005940,NH투자증권,13700,0,0.0,402335,5522115550,13850,13900,13600,3855301751900,0.23,281408887,40113194.0,14.25,69.0,2019-01-21
33375,005940,NH투자증권,13550,-150,-1.1,480017,6488220300,13700,13800,13350,3813090418850,0.23,281408887,40164535.0,14.27,70.0,2019-01-22
35754,005940,NH투자증권,13450,-100,-0.7,642472,8657418100,13550,13650,13350,3784949530150,0.23,281408887,40146378.0,14.27,70.0,2019-01-23
38131,005940,NH투자증권,13800,350,2.6,1171514,16022868200,13650,13850,13450,3883442640600,0.23,281408887,40216349.0,14.29,68.0,2019-01-24
40511,005940,NH투자증권,13800,0,0.0,686016,9396957100,13650,13850,13500,3883442640600,0.23,281408887,40313600.0,14.33,69.0,2019-01-25
42892,005940,NH투자증권,13650,-150,-1.1,634079,8680230600,13750,13800,13600,3841231307550,0.23,281408887,40228051.0,14.3,70.0,2019-01-28
45271,005940,NH투자증권,13700,50,0.4,598847,8112763200,13600,13700,13400,3855301751900,0.23,281408887,40350796.0,14.34,69.0,2019-01-29
47649,005940,NH투자증권,13850,150,1.1,623208,8551668200,13800,13850,13550,3897513084950,0.23,281408887,40450797.0,14.37,68.0,2019-01-30
50029,005940,NH투자증권,13950,100,0.7,1635746,22993896250,14100,14350,13750,3925653973650,0.23,281408887,40555623.0,14.41,68.0,2019-01-31
52408,005940,NH투자증권,13950,0,0.0,469209,6566921850,14100,14100,13900,3925653973650,0.23,281408887,40586857.0,14.42,67.0,2019-02-01
54789,005940,NH투자증권,14050,100,0.7,638859,8950563200,14100,14100,13900,3953794862350,0.23,281408887,40751104.0,14.48,67.0,2019-02-07
57173,005940,NH투자증권,13550,-500,-3.6,854426,11669646950,13900,14000,13500,3813090418850,0.23,281408887,40659017.0,14.45,70.0,2019-02-08
59555,005940,NH투자증권,13550,0,0.0,471009,6394150950,13500,13750,13500,3813090418850,0.23,281408887,40638114.0,14.44,71.0,2019-02-11
61937,005940,NH투자증권,13550,0,0.0,522906,7102263500,13650,13700,13500,3813090418850,0.22,281408887,40531210.0,14.4,71.0,2019-02-12
64319,005940,NH투자증권,13300,-250,-1.8,1204778,16073359978,13700,13700,13250,3742738197100,0.22,281408887,40208767.0,14.29,71.0,2019-02-13
66701,005940,NH투자증권,13400,100,0.8,672584,8957748750,13250,13400,13200,3770879085800,0.22,281408887,40236975.0,14.3,71.0,2019-02-14
69083,005940,NH투자증권,13200,-200,-1.5,514386,6794316500,13350,13350,13150,3714597308400,0.22,281408887,40306265.0,14.32,71.0,2019-02-15
71465,005940,NH투자증권,13300,100,0.8,479848,6410682550,13350,13500,13250,3742738197100,0.22,281408887,40325024.0,14.33,71.0,2019-02-18
73849,005940,NH투자증권,13250,0,0.0,845440,11184822200,13300,13400,13050,3728667752750,0.22,281408887,40221827.0,14.29,73.0,2019-02-20
76231,005940,NH투자증권,13200,-50,-0.4,705672,9294008200,13250,13300,13100,3714597308400,0.21,281408887,40344715.0,14.34,73.0,2019-02-21
78613,005940,NH투자증권,13250,50,0.4,390620,5152049800,13150,13300,13100,3728667752750,0.22,281408887,40417849.0,14.36,73.0,2019-02-22
