,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
132,006120,SK케미칼,84200,0,0.0,0,0,0,0,0,1883060167000,0.1,22364135,1875607.0,8.39,133,2018-01-02
2444,006120,SK케미칼,84200,0,0.0,0,0,0,0,0,1883060167000,0.1,22364135,1875607.0,8.39,134,2018-01-03
4752,006120,SK케미칼,84200,0,0.0,0,0,0,0,0,1883060167000,0.1,22364135,930290.0,4.16,131,2018-01-04
7241,006120,SK디스커버리,55500,3500,6.7,2741900,158152088600,52000,64900,52000,598527706500,0.03,10784283,939246.0,8.71,310,2018-01-05
9565,006120,SK디스커버리,50600,-4900,-8.8,873119,45661731900,56400,56600,50300,545684719800,0.03,10784283,944118.0,8.75,322,2018-01-08
11891,006120,SK디스커버리,49350,-1250,-2.5,547402,27575781850,51200,51700,49350,532204366050,0.03,10784283,997984.0,9.25,336,2018-01-09
14199,006120,SK디스커버리,50300,950,1.9,374571,18891071900,49250,51300,49200,542449434900,0.03,10784283,1041570.0,9.66,332,2018-01-10
16517,006120,SK디스커버리,50100,-200,-0.4,246178,12242091300,49800,50500,49450,540292578300,0.03,10784283,1058059.0,9.81,338,2018-01-11
18841,006120,SK디스커버리,48350,-1750,-3.5,369218,18098835450,50000,50400,48350,521420083050,0.03,10784283,1059688.0,9.83,349,2018-01-12
21177,006120,SK디스커버리,45900,-2450,-5.1,597933,27684601250,48400,48400,45800,494998589700,0.03,10784283,1056270.0,9.79,372,2018-01-15
23490,006120,SK디스커버리,46650,750,1.6,294771,13672528100,45900,46950,45800,503086801950,0.03,10784283,1108675.0,10.28,372,2018-01-16
25809,006120,SK디스커버리,45750,-900,-1.9,187996,8654822300,46750,46750,45700,493380947250,0.03,10784283,1124433.0,10.43,378,2018-01-17
28126,006120,SK디스커버리,45950,200,0.4,130753,6010834550,45600,46300,45600,495537803850,0.03,10784283,1123267.0,10.42,382,2018-01-18
30421,006120,SK디스커버리,48000,2050,4.5,457682,21990596850,46050,49150,46050,517645584000,0.03,10784283,1148954.0,10.65,364,2018-01-19
32729,006120,SK디스커버리,48750,750,1.6,171464,8342272050,48250,49300,47950,525733796250,0.03,10784283,1146303.0,10.63,360,2018-01-22
35041,006120,SK디스커버리,49300,550,1.1,139477,6818001750,48200,49400,48150,531665151900,0.03,10784283,1166859.0,10.82,360,2018-01-23
37354,006120,SK디스커버리,49400,100,0.2,135022,6589290300,49200,49450,48200,532743580200,0.03,10784283,1164973.0,10.8,361,2018-01-24
39670,006120,SK디스커버리,48850,-550,-1.1,118477,5813131750,49450,49500,48750,526812224550,0.03,10784283,1150669.0,10.67,365,2018-01-25
