,account_nm,thstrm_amount
0,유동자산,5977496000000.0
1,현금및현금성자산,826539000000.0
2,금융기관예치금,124086000000.0
3,유동당기손익인식지정금융자산,89299000000.0
4,유동파생상품자산,34482000000.0
5,유동확정계약자산,58685000000.0
6,유동 당기손익-공정가치 의무 측정 금융자산,62897000000.0
7,유동 상각후원가 측정 금융자산,29286000000.0
8,유동매도가능금융자산,
9,유동만기보유금융자산,
10,매출채권,2454295000000.0
11,기타채권,110689000000.0
12,당기법인세자산,670000000.0
13,기타유동자산,535014000000.0
14,재고자산,1539923000000.0
15,매각예정자산,111631000000.0
16,비유동자산,4512793000000.0
17,장기금융기관예치금,8714000000.0
18,비유동파생상품자산,4521000000.0
19,비유동확정계약자산,3623000000.0
20,비유동 당기손익-공정가치 측정 금융자산,194275000000.0
21,비유동 기타포괄손익-공정가치 측정 금융자산,4194000000.0
22,비유동 상각후원가 측정 금융자산,73689000000.0
23,비유동매도가능금융자산,
24,비유동만기보유금융자산,
25,장기매출채권,37618000000.0
26,장기기타채권,47122000000.0
27,관계기업 투자,2904000000.0
28,공동기업 투자,1066659000000.0
29,이연법인세자산,94880000000.0
30,기타비유동자산,50173000000.0
31,유형자산,2247103000000.0
32,투자부동산,23042000000.0
33,무형자산,654276000000.0
34,자산총계,10490289000000.0
35,유동부채,3956639000000.0
36,유동파생상품부채,77189000000.0
37,유동확정계약부채,20722000000.0
38,단기매입채무,1036955000000.0
39,기타채무,349554000000.0
40,단기차입금,1189327000000.0
41,유동성장기차입금,775093000000.0
42,유동금융부채,569000000.0
43,당기법인세부채,126411000000.0
44,유동성충당부채,78157000000.0
45,기타유동부채,283951000000.0
46,매각예정자산 관련 부채,18711000000.0
47,비유동부채,2174089000000.0
48,비유동파생상품부채,22868000000.0
49,비유동확정계약부채,203000000.0
50,장기기타채무,2653000000.0
51,장기차입금,1879763000000.0
52,퇴직급여채무,84550000000.0
53,이연법인세부채,161989000000.0
54,충당부채,17195000000.0
55,기타비유동부채,4868000000.0
56,부채총계,6130728000000.0
57,지배기업의 소유주에게 귀속되는 자본,3163608000000.0
58,자본금,161000000000.0
59,자본잉여금,296155000000.0
60,기타자본항목,-78137000000.0
61,기타포괄손익누계액,-47189000000.0
62,이익잉여금,2831779000000.0
63,비지배지분,1195953000000.0
64,자본총계,4359561000000.0
65,자본과부채총계,10490289000000.0
66,매출,10110159000000.0
67,매출원가,8855027000000.0
68,매출총이익,1255132000000.0
69,지분법손익,154787000000.0
70,판매비와관리비,900831000000.0
71,영업이익,509088000000.0
72,기타이익,532108000000.0
73,기타비용,598948000000.0
74,금융수익,32250000000.0
75,금융비용,132247000000.0
76,기타영업외손익,-67169000000.0
77,법인세비용차감전순이익,275082000000.0
78,법인세비용,47355000000.0
79,계속영업이익(손실),227727000000.0
80,중단영업이익(손실),259932000000.0
81,당기순이익,487659000000.0
82,기타포괄손익,-15179000000.0
83,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-13848000000.0
84,확정급여제도의 보험수리적손익의 세후기타포괄손익,-11532000000.0
85,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-2254000000.0
86,기타포괄손익-공정가치측정지분상품 평가손익,-62000000.0
87,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-1331000000.0
88,매도가능금융자산평가손익(세후기타포괄손익),
89,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-6351000000.0
90,현금흐름위험회피,-8545000000.0
91,해외사업장환산외환차이(세후기타포괄손익),13565000000.0
92,총포괄손익,472480000000.0
93,지배기업의 소유주에게 귀속되는 당기순이익(손실),404149000000.0
