,account_nm,thstrm_amount
0,유동자산,227496067589.0
1,현금및현금성자산,79969006679.0
2,매출채권 및 기타유동채권,98760975429.0
3,당기법인세자산,82403676.0
4,재고자산,31348987484.0
5,기타유동금융자산,16137902732.0
6,기타유동자산,1196791589.0
7,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,
8,비유동자산,247057618988.0
9,장기매출채권 및 기타비유동채권,8896177973.0
10,유형자산,222522194861.0
11,투자부동산,5178669264.0
12,영업권,2409952579.0
13,영업권 이외의 무형자산,3934157558.0
14,기타비유동금융자산,3333783128.0
15,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",782683625.0
16,자산총계,474553686577.0
17,유동부채,121767150682.0
18,매입채무 및 기타유동채무,77541923167.0
19,차입금,43167215306.0
20,당기법인세부채,
21,기타유동부채,1058012209.0
22,비유동부채,57086363348.0
23,장기매입채무 및 기타비유동채무,2768516400.0
24,비유동충당부채,1134615410.0
25,퇴직급여부채,12530035061.0
26,이연법인세부채,3026373405.0
27,차입금,37625000000.0
28,기타비유동부채,1823072.0
29,부채총계,178853514030.0
30,지배기업의 소유주에게 귀속되는 자본,237421784754.0
31,자본금,34280000000.0
32,자본잉여금,41935106105.0
33,기타자본구성요소,-23330254101.0
34,이익잉여금(결손금),184536932750.0
35,비지배지분,58278387793.0
36,자본총계,295700172547.0
37,자본과부채총계,474553686577.0
38,수익(매출액),432398854100.0
39,매출원가,357256426520.0
40,매출총이익,75142427580.0
41,판매비와관리비,65259566570.0
42,영업이익(손실),9882861010.0
43,지분법손익,-222816375.0
44,기타이익,8812990167.0
45,기타손실,6796367218.0
46,금융수익,2089103437.0
47,금융원가,1851881301.0
48,법인세비용차감전순이익(손실),11913889720.0
49,법인세비용,3484533872.0
50,당기순이익(손실),8429355848.0
51,기타포괄손익,-1378674450.0
52,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-1378674450.0
53,확정급여제도의 재측정손익(세후기타포괄손익),-1378674450.0
54,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),
55,매도가능금융자산평가손익(세후기타포괄손익),
56,총포괄손익,7050681398.0
57,지배기업의 소유주에게 귀속되는 당기순이익(손실),7913542541.0
58,비지배지분에 귀속되는 당기순이익(손실),515813307.0
59,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",6426979664.0
60,"총 포괄손익, 비지배지분",623701734.0
61,기본주당이익(손실),136.0
62,희석주당이익(손실),136.0
63,영업활동현금흐름,-4945419969.0
64,당기순이익(손실),8429355848.0
65,당기순이익조정을 위한 가감,17026724014.0
66,영업활동으로인한자산ㆍ부채의변동,-27284902555.0
67,배당금수취(영업),53002150.0
68,이자지급(영업),1766287292.0
