,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
516,007690,국도화학,45750,100,0.2,7441,340653550,45700,46100,45000,265835682000,0.02,5810616,1797529.0,30.94,517.0,2019-01-02
2903,007690,국도화학,44100,-1650,-3.6,9385,417599950,46150,46150,43950,256248165600,0.02,5810616,1792747.0,30.85,525.0,2019-01-03
5287,007690,국도화학,43550,-550,-1.2,8029,350479150,44200,44200,43400,253052326800,0.02,5810616,1793342.0,30.86,530.0,2019-01-04
7667,007690,국도화학,44100,550,1.3,6082,267361300,43800,44250,43650,256248165600,0.02,5810616,1788795.0,30.78,531.0,2019-01-07
10049,007690,국도화학,43600,-500,-1.1,4314,188948000,44100,44200,43550,253342857600,0.02,5810616,1786495.0,30.75,534.0,2019-01-08
12430,007690,국도화학,44050,450,1.0,6880,301771400,43550,44050,43550,255957634800,0.02,5810616,1783805.0,30.7,536.0,2019-01-09
14805,007690,국도화학,44550,500,1.1,6773,301022750,44000,44900,43950,258862942800,0.02,5810616,1782147.0,30.67,532.0,2019-01-10
17182,007690,국도화학,44750,200,0.4,2405,107470500,44500,44900,44500,260025066000,0.02,5810616,1781385.0,30.66,530.0,2019-01-11
19562,007690,국도화학,44750,0,0.0,2695,120883250,45000,45050,44600,260025066000,0.02,5810616,1782564.0,30.68,531.0,2019-01-14
21952,007690,국도화학,44750,0,0.0,4938,221725100,44950,45150,44650,260025066000,0.02,5810616,1780799.0,30.65,542.0,2019-01-15
24340,007690,국도화학,44150,-600,-1.3,10752,476180650,44550,44950,44050,256538696400,0.02,5810616,1776152.0,30.57,551.0,2019-01-16
26711,007690,국도화학,44600,450,1.0,4053,180229000,44500,44850,44200,259153473600,0.02,5810616,1775753.0,30.56,543.0,2019-01-17
29066,007690,국도화학,48800,4200,9.4,26838,1273630600,44600,49100,44600,283558060800,0.02,5810616,1775474.0,30.56,519.0,2019-01-18
31438,007690,국도화학,49000,200,0.4,12051,588802700,48750,49200,48100,284720184000,0.02,5810616,1776562.0,30.57,512.0,2019-01-21
33814,007690,국도화학,49450,450,0.9,12237,602187800,49050,49600,48650,287334961200,0.02,5810616,1774945.0,30.55,509.0,2019-01-22
36191,007690,국도화학,49650,200,0.4,9582,471210850,49400,49700,48650,288497084400,0.02,5810616,1773124.0,30.52,507.0,2019-01-23
38571,007690,국도화학,50500,850,1.7,9646,485990350,49900,51000,49850,293436108000,0.02,5810616,1772966.0,30.51,508.0,2019-01-24
40962,007690,국도화학,49050,-1450,-2.9,19186,943250050,50900,50900,48500,285010714800,0.02,5810616,1764202.0,30.36,520.0,2019-01-25
43330,007690,국도화학,50700,1650,3.4,20870,1055798250,49200,50900,49200,294598231200,0.02,5810616,1765260.0,30.38,508.0,2019-01-28
45713,007690,국도화학,49750,-950,-1.9,9070,451579050,51000,51000,49200,289078146000,0.02,5810616,1765614.0,30.39,511.0,2019-01-29
48090,007690,국도화학,50400,650,1.3,6502,325598150,49750,50500,49500,292855046400,0.02,5810616,1765469.0,30.38,509.0,2019-01-30
50475,007690,국도화학,50000,-400,-0.8,13214,659462800,50800,50800,49100,290530800000,0.02,5810616,1766021.0,30.39,514.0,2019-01-31
52861,007690,국도화학,49400,-600,-1.2,9616,471320650,50000,50100,48550,287044430400,0.02,5810616,1764577.0,30.37,520.0,2019-02-01
55256,007690,국도화학,48250,-1150,-2.3,11248,543880200,49400,49400,48150,280362222000,0.02,5810616,1764809.0,30.37,534.0,2019-02-07
57639,007690,국도화학,48050,-200,-0.4,4802,231056850,48250,48550,47950,279200098800,0.02,5810616,1764880.0,30.37,536.0,2019-02-08
60011,007690,국도화학,49950,1900,4.0,15339,761055600,48350,50300,48050,290240269200,0.02,5810616,1764884.0,30.37,527.0,2019-02-11
62388,007690,국도화학,50200,250,0.5,11446,573376250,49950,50500,49450,291692923200,0.02,5810616,1765739.0,30.39,522.0,2019-02-12
64784,007690,국도화학,49750,-450,-0.9,16118,801551050,50400,50400,49450,289078146000,0.02,5810616,1764461.0,30.37,536.0,2019-02-13
67168,007690,국도화학,49700,-50,-0.1,12046,589900850,49750,49750,48650,288787615200,0.02,5810616,1767702.0,30.42,538.0,2019-02-14
69551,007690,국도화학,49250,-450,-0.9,5921,288866250,49700,49700,48550,286172838000,0.02,5810616,1768245.0,30.43,539.0,2019-02-15
71933,007690,국도화학,49500,250,0.5,8295,406286350,48800,49550,48650,287625492000,0.02,5810616,1769511.0,30.45,539.0,2019-02-18
74325,007690,국도화학,48800,-200,-0.4,5013,245509300,49050,49300,48500,283558060800,0.02,5810616,1762910.0,30.34,549.0,2019-02-20
76697,007690,국도화학,49250,450,0.9,5492,269712100,48900,49250,48750,286172838000,0.02,5810616,1762764.0,30.34,539.0,2019-02-21
79077,007690,국도화학,49500,250,0.5,4803,236427350,48800,49550,48750,287625492000,0.02,5810616,1762393.0,30.33,537.0,2019-02-22
81462,007690,국도화학,49400,-100,-0.2,2586,128058450,49850,49900,49400,287044430400,0.02,5810616,1761874.0,30.32,540.0,2019-02-25
83842,007690,국도화학,49500,100,0.2,3220,158874500,49300,49600,48750,287625492000,0.02,5810616,1762717.0,30.34,538.0,2019-02-26
86221,007690,국도화학,50000,500,1.0,4389,219127700,49500,50100,49500,290530800000,0.02,5810616,1762961.0,30.34,535.0,2019-02-27
88588,007690,국도화학,50600,600,1.2,15520,790840400,50300,51500,49600,294017169600,0.02,5810616,1762536.0,30.33,521.0,2019-02-28
90979,007690,국도화학,50400,-200,-0.4,7429,372399550,50600,51100,49800,292855046400,0.02,5810616,1759727.0,30.28,531.0,2019-03-04
93352,007690,국도화학,51300,900,1.8,12420,634129300,50400,51600,50100,298084600800,0.02,5810616,1759581.0,30.28,524.0,2019-03-05
95732,007690,국도화학,51000,-300,-0.6,8391,428195800,51600,52000,50400,296341416000,0.02,5810616,1756711.0,30.23,523.0,2019-03-06
98096,007690,국도화학,52600,1600,3.1,16547,855810700,51000,52700,50500,305638401600,0.02,5810616,1756870.0,30.24,506.0,2019-03-07
100491,007690,국도화학,51500,-1100,-2.1,9783,505765200,52600,52800,51100,299246724000,0.02,5810616,1751639.0,30.15,520.0,2019-03-08
102880,007690,국도화학,50100,-1400,-2.7,8543,431477500,51400,51900,49950,291111861600,0.02,5810616,1750343.0,30.12,528.0,2019-03-11
105263,007690,국도화학,51000,900,1.8,4959,252615500,50100,51200,50100,296341416000,0.02,5810616,1748666.0,30.09,530.0,2019-03-12
107642,007690,국도화학,52300,1300,2.6,7814,403955600,51000,52500,50600,303895216800,0.02,5810616,1747349.0,30.07,528.0,2019-03-13
110026,007690,국도화학,52300,0,0.0,7509,391646000,51700,52700,51500,303895216800,0.02,5810616,1745096.0,30.03,531.0,2019-03-14
112397,007690,국도화학,53000,700,1.3,12071,639300900,52300,53600,52100,307962648000,0.02,5810616,1745977.0,30.05,520.0,2019-03-15
114787,007690,국도화학,52500,-500,-0.9,5788,305920400,53100,53200,52500,305057340000,0.02,5810616,1744511.0,30.02,527.0,2019-03-18
117170,007690,국도화학,53000,500,1.0,6107,322428800,52500,53200,52000,307962648000,0.02,5810616,1743247.0,30.0,527.0,2019-03-19
119560,007690,국도화학,51800,-1200,-2.3,10770,560183900,53300,53300,51600,300989908800,0.02,5810616,1742103.0,29.98,534.0,2019-03-20
