,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
803,007860,서연,7340,-20,-0.3,9099,66497830,7370,7380,7280,172342054960,0.01,23479844,1316941.0,5.61,804,2018-01-02
3116,007860,서연,7370,30,0.4,13461,98619770,7340,7370,7300,173046450280,0.01,23479844,1318392.0,5.61,806,2018-01-03
5444,007860,서연,7270,-100,-1.4,21662,158085380,7330,7370,7260,170698465880,0.01,23479844,1322484.0,5.63,823,2018-01-04
7755,007860,서연,7330,60,0.8,9156,66627070,7270,7330,7250,172107256520,0.01,23479844,1320819.0,5.63,824,2018-01-05
10069,007860,서연,7320,-10,-0.1,15909,115480790,7280,7330,7230,171872458080,0.01,23479844,1313857.0,5.6,826,2018-01-08
12386,007860,서연,7180,-140,-1.9,15451,111557630,7320,7330,7180,168585279920,0.01,23479844,1310805.0,5.58,831,2018-01-09
14704,007860,서연,7250,70,1.0,18028,129832670,7180,7250,7160,170228869000,0.01,23479844,1305944.0,5.56,837,2018-01-10
17023,007860,서연,7210,-40,-0.6,19202,137845440,7230,7230,7130,169289675240,0.01,23479844,1307419.0,5.57,844,2018-01-11
19338,007860,서연,7170,-40,-0.6,11861,85283040,7180,7260,7170,168350481480,0.01,23479844,1305275.0,5.56,846,2018-01-12
21659,007860,서연,7150,-20,-0.3,36066,255445220,7130,7180,7020,167880884600,0.01,23479844,1293774.0,5.51,854,2018-01-15
23975,007860,서연,7140,-10,-0.1,22286,158259460,7100,7170,7020,167646086160,0.01,23479844,1292073.0,5.5,857,2018-01-16
26305,007860,서연,7010,-130,-1.8,58577,410534010,7100,7150,6920,164593706440,0.01,23479844,1291261.0,5.5,874,2018-01-17
28617,007860,서연,7100,90,1.3,25410,178308930,6980,7120,6900,166706892400,0.01,23479844,1290220.0,5.5,873,2018-01-18
30904,007860,서연,7410,310,4.4,25807,186927630,7020,7420,7020,173985644040,0.01,23479844,1292887.0,5.51,847,2018-01-19
33197,007860,서연,7640,230,3.1,58836,441301750,7430,7660,7350,179386008160,0.01,23479844,1296206.0,5.52,828,2018-01-22
35524,007860,서연,7600,-40,-0.5,16273,123996600,7670,7670,7550,178446814400,0.01,23479844,1289752.0,5.49,843,2018-01-23
37824,007860,서연,7690,90,1.2,44592,341810480,7540,7730,7540,180560000360,0.01,23479844,1285966.0,5.48,831,2018-01-24
40147,007860,서연,7750,60,0.8,59557,460195510,7700,7780,7660,181968791000,0.01,23479844,1282053.0,5.46,842,2018-01-25
42471,007860,서연,7720,-30,-0.4,23905,182994060,7750,7790,7590,181264395680,0.01,23479844,1282422.0,5.46,853,2018-01-26
44791,007860,서연,7710,-10,-0.1,63870,491199050,7720,7780,7600,181029597240,0.01,23479844,1271403.0,5.41,859,2018-01-29
47112,007860,서연,7650,-60,-0.8,66250,506817920,7670,7720,7610,179620806600,0.01,23479844,1261888.0,5.37,866,2018-01-30
49401,007860,서연,7810,160,2.1,103975,807568600,7650,7860,7600,183377581640,0.01,23479844,1254071.0,5.34,841,2018-01-31
51717,007860,서연,7910,100,1.3,99176,783361930,7850,8020,7790,185725566040,0.01,23479844,1264420.0,5.39,843,2018-02-01
54013,007860,서연,7960,50,0.6,32191,256191710,7980,8000,7870,186899558240,0.01,23479844,1271715.0,5.42,824,2018-02-02
56312,007860,서연,7930,-30,-0.4,40045,315310370,7870,7990,7810,186195162920,0.01,23479844,1278063.0,5.44,808,2018-02-05
58626,007860,서연,7790,-140,-1.8,54952,425914370,7890,7900,7590,182907984760,0.01,23479844,1284249.0,5.47,807,2018-02-06
60929,007860,서연,7820,30,0.4,42986,340342880,7820,7990,7820,183612380080,0.01,23479844,1291811.0,5.5,795,2018-02-07
63252,007860,서연,7860,40,0.5,15729,123866180,7850,7910,7810,184551573840,0.01,23479844,1289902.0,5.49,804,2018-02-08
65571,007860,서연,7740,-120,-1.5,24521,188172550,7820,7820,7500,181733992560,0.01,23479844,1285626.0,5.48,808,2018-02-09
67905,007860,서연,7510,-230,-3.0,31256,235470310,7650,7650,7450,176333628440,0.01,23479844,1280441.0,5.45,827,2018-02-12
70236,007860,서연,7290,-220,-2.9,44890,328587630,7510,7530,7200,171168062760,0.01,23479844,1279450.0,5.45,842,2018-02-13
72577,007860,서연,7080,-210,-2.9,73648,519192370,7310,7310,6940,166237295520,0.01,23479844,1263198.0,5.38,867,2018-02-14
74909,007860,서연,7070,-10,-0.1,24219,170986370,7060,7100,7020,166002497080,0.01,23479844,1268810.0,5.4,884,2018-02-19
77222,007860,서연,7080,10,0.1,24167,171192780,7100,7120,7050,166237295520,0.01,23479844,1268191.0,5.4,882,2018-02-20
79541,007860,서연,7100,20,0.3,36604,258169100,7060,7110,7020,166706892400,0.01,23479844,1250778.0,5.33,886,2018-02-21
81860,007860,서연,7050,-50,-0.7,18226,128539670,7120,7130,7020,165532900200,0.01,23479844,1243356.0,5.3,890,2018-02-22
84165,007860,서연,7120,70,1.0,18187,128681610,7080,7120,7040,167176489280,0.01,23479844,1238423.0,5.27,880,2018-02-23
86485,007860,서연,7100,-20,-0.3,32505,229921910,7120,7150,7030,166706892400,0.01,23479844,1283415.0,5.47,886,2018-02-26
88797,007860,서연,7080,-20,-0.3,13952,98288460,7130,7130,7020,166237295520,0.01,23479844,1277552.0,5.44,884,2018-02-27
91102,007860,서연,7090,10,0.1,29483,207168690,7030,7100,6990,166472093960,0.01,23479844,1273943.0,5.43,875,2018-02-28
93431,007860,서연,6970,-120,-1.7,71360,493559600,6990,7050,6880,163654512680,0.01,23479844,1236109.0,5.26,890,2018-03-02
95739,007860,서연,6900,-70,-1.0,13821,95068560,6970,6970,6820,162010923600,0.01,23479844,1246843.0,5.31,885,2018-03-05
98061,007860,서연,6880,-20,-0.3,21670,147968250,6770,6930,6710,161541326720,0.01,23479844,1236939.0,5.27,894,2018-03-06
100383,007860,서연,6780,-100,-1.4,21199,143893380,6910,6910,6740,159193342320,0.01,23479844,1234575.0,5.26,903,2018-03-07
