,account_nm,thstrm_amount
0,유동자산,244457071009.0
1,현금및현금성자산,26857833849.0
2,매출채권및기타채권,101417103261.0
3,재고자산,102818772297.0
4,유동당기손익인식지정금융자산,0.0
5,기타유동자산,13363361602.0
6,비유동자산,672088885266.0
7,관계기업에 대한 투자자산,599312296930.0
8,비유동매도가능금융자산,0.0
9,비유동 기타포괄손익-공정가치 측정 금융자산,231592480.0
10,기타비유동금융자산,646179269.0
11,유형자산,25717837480.0
12,투자부동산,26381060160.0
13,영업권 이외의 무형자산,11180968064.0
14,이연법인세자산,3880557968.0
15,기타비유동자산,4738392915.0
16,자산총계,916545956275.0
17,유동부채,227222088603.0
18,매입채무 및 기타유동채무,156611778294.0
19,단기차입금,20000000000.0
20,당기법인세부채,848557695.0
21,기타유동금융부채,12956964808.0
22,유동확정계약부채,5470139074.0
23,기타유동부채,31334648732.0
24,비유동부채,36229942617.0
25,확정급여채무의현재가치,12425570769.0
26,이연법인세부채,4488366217.0
27,비유동충당부채,0.0
28,기타비유동금융부채,7173374179.0
29,비유동확정계약부채,11849237982.0
30,기타비유동부채,293393470.0
31,부채총계,263452031220.0
32,지배기업의 소유주에게 귀속되는 자본,653093476438.0
33,자본금,31749633500.0
34,기타불입자본,274065767689.0
35,이익잉여금(결손금),342864783041.0
36,기타자본구성요소,4413292208.0
37,비지배지분,448617.0
38,자본총계,653093925055.0
39,자본과부채총계,916545956275.0
40,수익,707995356123.0
41,기술수출수익,5735660512.0
42,임대수익,2529178521.0
43,수수료수익,26711401606.0
44,특허권수익,8381125566.0
45,상표권수익,1646011819.0
46,제품매출액,2367876251.0
47,상품매출액,660624101848.0
48,비용,696998474752.0
49,제품매출원가,1452670453.0
50,상품매출원가,614132717922.0
51,종업원급여비용,35459708792.0
52,감가상각비와 기타상각비,4605574880.0
53,지급수수료,28322051683.0
54,수선비와 소모품비,1463901061.0
55,여비교통 및 출장비,3590509919.0
56,대손상각비(대손충당금환입),-219227161.0
57,수도광열비,617937529.0
58,세금과공과,940042609.0
59,기타,6632587065.0
60,지분법투자이익,15158130100.0
61,영업이익(손실),26155011471.0
62,금융수익,327610545.0
63,이자수익,321781147.0
64,당기손익-공정가치금융자산평가이익,5829398.0
65,금융원가,1098225506.0
66,이자비용,1098225506.0
67,기타이익,567832633.0
68,외환차익,158490830.0
69,외화환산이익,264601380.0
70,유형자산처분이익,362637.0
71,기타,144377786.0
72,매도가능금융자산처분이익,0.0
73,기타손실,7132314547.0
74,외환차손,207404643.0
75,외화환산손실,110128214.0
76,유형자산폐기손실,2349827.0
77,유형자산처분손실,0.0
78,기부금,1172676707.0
79,주식보상비용,0.0
80,관계기업투자주식손상차손,5614672638.0
81,기타,25082518.0
82,법인세비용차감전순이익(손실),18819914596.0
83,법인세비용,798289931.0
84,당기순이익(손실),18021624665.0
85,지배기업의 소유주에게 귀속되는 당기순이익(손실),18019525567.0
86,비지배지분에 귀속되는 당기순이익(손실),2099098.0
87,기타포괄손익,-5908985041.0
88,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-5849891340.0
89,확정급여제도의 재측정손익(세후기타포괄손익),-2965920314.0
90,기타포괄손익-공정가치금융상품평가손익,-1268447260.0
91,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),419842306.0
92,지분법이익잉여금변동,-2966926938.0
93,법인세효과,931560866.0
94,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-59093701.0
95,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),0.0
96,해외사업환산손익,-59093701.0
97,매도가능금융자산평가손익(세후기타포괄손익),0.0
98,관계기업기타포괄손익지분,0.0
99,법인세효과,0.0
100,총포괄손익,12112639624.0
101,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",12110269058.0
102,"총 포괄손익, 비지배지분",2370566.0
103,기본주당이익(손실),290.0
104,영업활동현금흐름,2701370433.0
105,당기순이익(손실),18021624665.0
106,당기순이익조정을 위한 가감,-2043522362.0
107,퇴직급여,2794114943.0
108,감가상각비,2013842809.0
109,무형자산상각비,2591732071.0
110,금융비용,1098225506.0
111,외화환산손실,110128214.0
112,유형자산폐기손실,1987190.0
113,재고자산평가손실,-656706515.0
114,지급수수료,59241260.0
115,잡손실,0.0
116,관계기업투자주식손상차손,5614672638.0
117,주식보상비용(환입),0.0
118,법인세비용,798289931.0
119,대손상각비,0.0
120,이자수익,321781147.0
121,매도가능증권처분이익,0.0
122,대손충당금환입,219227161.0
123,임대료수익,499481223.0
124,유형자산처분이익,0.0
125,당기손익인식금융자산평가이익,0.0
126,당기손익-공정가치금융자산평가이익,5829398.0
127,지분법이익,15158130100.0
128,외화환산이익,264601380.0
129,영업활동으로인한자산ㆍ부채의변동,-11682495687.0
130,매출채권 및 기타유동채권의 감소(증가),6335327634.0
131,미수금의 감소(증가),33659264.0
132,재고자산의 감소(증가),5546496466.0
133,선급금의 감소(증가),-681707926.0
134,부가가치세 선급금의 감소(증가),0.0
135,보증금의 감소(증가),-600000.0
136,선급비용의 감소(증가),1660609.0
137,계약자산의 증가,-10953453580.0
