,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
34,009540,현대중공업,125500,-3000,-2.3,143838,18273395000,129500,131500,125000,8882026058000,0.57,70773116,11432806.0,16.15,35.0,2019-01-02
2411,009540,현대중공업,131500,6000,4.8,334941,44048387000,126500,133000,126000,9306664754000,0.6,70773116,11492888.0,16.24,33.0,2019-01-03
4790,009540,현대중공업,138500,7000,5.3,369927,50352861000,132000,139500,130500,9802076566000,0.63,70773116,11567873.0,16.35,33.0,2019-01-04
7168,009540,현대중공업,139000,500,0.4,247943,34604080500,140500,143000,137500,9837463124000,0.62,70773116,11582190.0,16.37,32.0,2019-01-07
9548,009540,현대중공업,134000,-5000,-3.6,247213,33448196500,140000,140000,133500,9483597544000,0.61,70773116,11571405.0,16.35,33.0,2019-01-08
11927,009540,현대중공업,135500,1500,1.1,199575,27252235000,135500,139000,135000,9589757218000,0.6,70773116,11602703.0,16.39,33.0,2019-01-09
14307,009540,현대중공업,135000,-500,-0.4,329292,45244425000,138000,141500,135000,9554370660000,0.6,70773116,11637022.0,16.44,34.0,2019-01-10
16686,009540,현대중공업,134000,-1000,-0.7,199943,26833529500,136500,137500,133000,9483597544000,0.59,70773116,11619296.0,16.42,34.0,2019-01-11
19065,009540,현대중공업,135000,1000,0.8,137851,18570062500,134000,136000,133500,9554370660000,0.6,70773116,11631855.0,16.44,34.0,2019-01-14
21442,009540,현대중공업,138500,3500,2.6,206859,28499406000,136500,139000,135500,9802076566000,0.6,70773116,11663640.0,16.48,32.0,2019-01-15
23821,009540,현대중공업,136500,-2000,-1.4,122625,16815614500,138500,138500,136000,9660530334000,0.59,70773116,11664984.0,16.48,32.0,2019-01-16
26201,009540,현대중공업,135500,-1000,-0.7,206768,28307628500,136500,140000,135000,9589757218000,0.59,70773116,11666703.0,16.48,33.0,2019-01-17
28579,009540,현대중공업,139500,4000,3.0,249883,34609144500,136500,140000,135500,9872849682000,0.6,70773116,11732561.0,16.58,32.0,2019-01-18
30957,009540,현대중공업,142000,2500,1.8,340359,48473127500,140000,144000,140000,10049782472000,0.61,70773116,11767960.0,16.63,31.0,2019-01-21
33336,009540,현대중공업,142500,500,0.4,180670,25694505500,142500,143500,140000,10085169030000,0.62,70773116,11817719.0,16.7,31.0,2019-01-22
35716,009540,현대중공업,141000,-1500,-1.0,189100,26542238000,140500,141500,139000,9979009356000,0.61,70773116,11775909.0,16.64,32.0,2019-01-23
38097,009540,현대중공업,137500,-3500,-2.5,253162,35117933000,141000,142500,137500,9731303450000,0.59,70773116,11764661.0,16.62,34.0,2019-01-24
40476,009540,현대중공업,139000,1500,1.1,164830,22839877000,136500,140000,136500,9837463124000,0.58,70773116,11791088.0,16.66,34.0,2019-01-25
42855,009540,현대중공업,142500,3500,2.5,376549,53739534500,140500,143500,140500,10085169030000,0.6,70773116,11852706.0,16.75,33.0,2019-01-28
45235,009540,현대중공업,143500,1000,0.7,455368,65637327000,144000,146000,141500,10155942146000,0.6,70773116,11886832.0,16.8,33.0,2019-01-29
47614,009540,현대중공업,144500,1000,0.7,260143,37305765500,145000,145000,141500,10226715262000,0.6,70773116,11903924.0,16.82,33.0,2019-01-30
49995,009540,현대중공업,138500,-6000,-4.2,1538515,213985391500,138000,143500,135500,9802076566000,0.58,70773116,11758641.0,16.61,34.0,2019-01-31
52376,009540,현대중공업,128000,-10500,-7.6,1709513,221940648500,137000,137000,127000,9058958848000,0.53,70773116,11358012.0,16.05,35.0,2019-02-01
54757,009540,현대중공업,128000,0,0.0,599216,77218430000,129000,130500,127500,9058958848000,0.53,70773116,11306401.0,15.98,35.0,2019-02-07
57138,009540,현대중공업,128000,0,0.0,507579,65473090500,128000,131000,127000,9058958848000,0.54,70773116,11085861.0,15.66,35.0,2019-02-08
59519,009540,현대중공업,131500,3500,2.7,509864,66842517000,128500,132500,128500,9306664754000,0.55,70773116,11043822.0,15.6,35.0,2019-02-11
61901,009540,현대중공업,130500,-1000,-0.8,299199,39424287500,132000,134000,130500,9235891638000,0.54,70773116,11032025.0,15.59,35.0,2019-02-12
64283,009540,현대중공업,127000,-3500,-2.7,518252,66319828500,131500,131500,126500,8988185732000,0.53,70773116,10887177.0,15.38,35.0,2019-02-13
66665,009540,현대중공업,124500,-2500,-2.0,537322,66668357000,127000,127500,123000,8811252942000,0.51,70773116,10861258.0,15.35,35.0,2019-02-14
69047,009540,현대중공업,126000,1500,1.2,306373,38745376500,124500,128500,124500,8917412616000,0.52,70773116,10901165.0,15.4,35.0,2019-02-15
71429,009540,현대중공업,128500,2500,2.0,256443,32598422000,127000,128500,125000,9094345406000,0.53,70773116,10909362.0,15.41,35.0,2019-02-18
73811,009540,현대중공업,129000,1000,0.8,268845,34622141000,127500,130000,127000,9129731964000,0.53,70773116,10943163.0,15.46,35.0,2019-02-20
