,account_nm,thstrm_amount
0,유동자산,5854506000000.0
1,현금및현금성자산,664506000000.0
2,매출채권,1641468000000.0
3,기타채권,189509000000.0
4,기타금융자산,46254000000.0
5,파생상품자산,4590000000.0
6,재고자산,3139082000000.0
7,기타유동자산,125767000000.0
8,당기법인세자산,43330000000.0
9,비유동자산,10100538000000.0
10,기타채권,66394000000.0
11,기타금융자산,47684000000.0
12,공동기업 및 관계기업 투자,31552000000.0
13,유형자산,9740727000000.0
14,무형자산,104447000000.0
15,기타비유동자산,73171000000.0
16,순확정급여자산,36394000000.0
17,이연법인세자산,169000000.0
18,자산총계,15955044000000.0
19,유동부채,5789047000000.0
20,매입채무,1437254000000.0
21,기타채무,756609000000.0
22,차입금,2934770000000.0
23,파생상품부채,9768000000.0
24,당기법인세부채,13124000000.0
25,충당부채,2768000000.0
26,계약부채,23080000000.0
27,이연수익,
28,기타유동부채,611674000000.0
29,비유동부채,3696763000000.0
30,기타채무,99039000000.0
31,차입금,3400627000000.0
32,이연법인세부채,197097000000.0
33,부채총계,9485810000000.0
34,지배기업의 소유주에게 귀속되는 자본,6469234000000.0
35,자본금,291512000000.0
36,주식발행초과금,379190000000.0
37,적립금,977351000000.0
38,자기주식,1876000000.0
39,이익잉여금,4823057000000.0
40,자본총계,6469234000000.0
41,자본과부채총계,15955044000000.0
42,매출액,25463295000000.0
43,매출원가,24200246000000.0
44,매출총이익,1263049000000.0
45,판매비와관리비,623589000000.0
46,영업이익(손실),639460000000.0
47,기타수익,261777000000.0
48,기타비용,452899000000.0
49,금융수익,116667000000.0
50,금융비용,237336000000.0
51,공동기업및관계기업투자주식지분법손익,4120000000.0
52,법인세비용차감전순이익(손실),331789000000.0
53,법인세비용,73754000000.0
54,당기순이익(손실),258035000000.0
55,기타포괄손익(법인세효과 차감 후),-14296000000.0
56,당기손익으로 재분류되지 않는 항목,-15553000000.0
57,순확정급여자산부채의 재측정요소,-15977000000.0
58,기타포괄손익-공정가치 금융자산 평가손익,432000000.0
59,기타포괄손익-공정가지 금융자산 처분손익,-8000000.0
60,후속적으로 당기손익으로 재분류되는 항목,1257000000.0
61,매도가능금융자산평가손익(세후기타포괄손익),
62,현금흐름위험회피,1234000000.0
63,공동기업 및 관계기업 기타포괄손익에 대한 지분해당액,-15000000.0
64,해외사업환산손익,38000000.0
65,총포괄이익(손실),243739000000.0
66,보통주 기본 및 희석주당이익,2216.0
67,우선주 기본 및 희석주당이익,2241.0
68,영업활동현금흐름,-288185000000.0
69,영업으로부터 창출된 현금흐름,174707000000.0
70,이자의 수취,30644000000.0
71,이자의 지급,153465000000.0
72,법인세의 납부,346008000000.0
73,배당금의 수취,5937000000.0
74,투자활동현금흐름,-415203000000.0
75,유형자산의 처분,462000000.0
76,무형자산의 처분,330000000.0
77,기타채권의 감소,19856000000.0
78,기타금융자산의 감소,1673099000000.0
79,기타투자활동 현금유입,2373000000.0
80,유형자산의 취득,2041370000000.0
81,무형자산의 취득,339000000.0
82,종속기업의 취득(보유 현금 차감 후),
83,관계기업투자주식의 취득,
84,기타채권의 증가,27545000000.0
85,파생상품자산·부채의 정산,-36597000000.0
86,기타금융자산의 증가,5472000000.0
87,기타투자활동 현금유출,
88,재무활동현금흐름,887788000000.0
89,차입금의 증가,1520510000000.0
90,차입금의 상환,14183000000.0
91,기타채무의 감소,1430000000.0
92,배당금의 지급,617109000000.0
93,현금및현금성자산의 증가,184400000000.0
94,기초현금및현금성자산,480052000000.0
95,현금및현금성자산에 대한 환율변동효과,54000000.0
96,분기말의 현금및현금성자산,664506000000.0
97,기초자본,6842620000000.0
98,기초자본,6842620000000.0
99,기초자본,5198132000000.0
100,기초자본,-1876000000.0
101,기초자본,291512000000.0
102,기초자본,975662000000.0
103,기초자본,379190000000.0
104,당기순이익(손실),258035000000.0
105,당기순이익(손실),258035000000.0
106,당기순이익(손실),258035000000.0
107,매도가능금융자산평가손익,
108,매도가능금융자산평가손익,
109,매도가능금융자산평가손익,
110,기타포괄손익-공정가지지분상품평가손익,432000000.0
111,기타포괄손익-공정가지지분상품평가손익,432000000.0
112,기타포괄손익-공정가지지분상품평가손익,432000000.0
113,기타포괄손익-공정가지지분상품처분손익,-8000000.0
114,기타포괄손익-공정가지지분상품처분손익,-8000000.0
115,기타포괄손익-공정가지지분상품처분손익,-8000000.0
116,현금흐름위험회피,1234000000.0
117,현금흐름위험회피,1234000000.0
118,현금흐름위험회피,1234000000.0
119,공동기업 및 관계기업 기타포괄손익에 대한 지분해당액,-15000000.0
120,공동기업 및 관계기업 기타포괄손익에 대한 지분해당액,-15000000.0
121,공동기업 및 관계기업 기타포괄손익에 대한 지분해당액,-15000000.0
122,해외사업환산손익,38000000.0
123,해외사업환산손익,38000000.0
124,해외사업환산손익,38000000.0
125,순확정급여자산부채의 재측정요소,-15977000000.0
126,순확정급여자산부채의 재측정요소,-15977000000.0
127,순확정급여자산부채의 재측정요소,-15977000000.0
128,총포괄이익,243739000000.0
129,총포괄이익,243739000000.0
130,총포괄이익,242050000000.0
131,총포괄이익,1689000000.0
132,배당금,-547273000000.0
133,배당금,-547273000000.0
134,배당금,-547273000000.0
135,중간배당금,-69852000000.0
136,중간배당금,-69852000000.0
137,중간배당금,-69852000000.0
138,기말자본,6469234000000.0
139,기말자본,6469234000000.0
140,기말자본,4823057000000.0
141,기말자본,-1876000000.0
142,기말자본,291512000000.0
143,기말자본,977351000000.0
144,기말자본,379190000000.0
