,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
162,011200,현대상선,5010,-10,-0.2,34200664,153136371290,5110,5190,5000,1562147193270,0.08,311805827,53331032.0,17.1,163,2018-01-02
2476,011200,현대상선,4790,-220,-4.4,9789137,47026271295,5030,5040,4730,1493549911330,0.08,311805827,47995251.0,15.39,166,2018-01-03
4786,011200,현대상선,4625,-165,-3.4,7564802,35308735015,4770,4770,4615,1442101949875,0.08,311805827,43823788.0,14.05,165,2018-01-04
7097,011200,현대상선,4635,10,0.2,5455001,25128216495,4635,4670,4550,1445220008145,0.08,311805827,40965566.0,13.14,166,2018-01-05
9411,011200,현대상선,4520,-115,-2.5,5185456,23797197295,4680,4685,4500,1409362338040,0.07,311805827,39095728.0,12.54,168,2018-01-08
11727,011200,현대상선,4425,-95,-2.1,8108948,35752903075,4540,4545,4335,1379740784475,0.07,311805827,36768736.0,11.79,172,2018-01-09
14037,011200,현대상선,4585,160,3.6,5714907,25797535500,4405,4605,4345,1429629716795,0.07,311805827,35673069.0,11.44,170,2018-01-10
16350,011200,현대상선,4510,-75,-1.6,2256464,10209534635,4575,4595,4480,1406244279770,0.07,311805827,34907355.0,11.2,171,2018-01-11
18657,011200,현대상선,4660,150,3.3,3596327,16649042440,4595,4665,4540,1453015153820,0.08,311805827,33901446.0,10.87,165,2018-01-12
20972,011200,현대상선,4665,5,0.1,2563452,12015611015,4690,4770,4620,1454574182955,0.07,311805827,33502402.0,10.74,167,2018-01-15
23287,011200,현대상선,4620,-45,-1.0,656211,3039384505,4620,4690,4590,1440542920740,0.07,311805827,33298581.0,10.68,169,2018-01-16
25604,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,33292399.0,10.68,173,2018-01-17
27917,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,33256399.0,10.67,173,2018-01-18
30230,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,33043714.0,10.6,173,2018-01-19
32541,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,33018865.0,10.59,172,2018-01-22
34853,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32981265.0,10.58,172,2018-01-23
37166,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32918965.0,10.56,173,2018-01-24
39479,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32890700.0,10.55,174,2018-01-25
41793,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32890700.0,10.55,175,2018-01-26
44108,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32772500.0,10.51,176,2018-01-29
46420,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32772500.0,10.51,174,2018-01-30
48732,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32772500.0,10.51,172,2018-01-31
51051,011200,현대상선,4620,0,0.0,0,0,0,0,0,1440542920740,0.07,311805827,32772500.0,10.51,177,2018-02-01
53357,011200,현대상선,4800,180,3.9,13958231,67821605765,4780,5040,4745,1496667969600,0.08,311805827,30127489.0,9.66,168,2018-02-02
55677,011200,현대상선,4510,-290,-6.0,4672756,21297225105,4730,4730,4500,1406244279770,0.07,311805827,29469934.0,9.45,173,2018-02-05
57996,011200,현대상선,4350,-160,-3.6,4018346,17168901905,4300,4350,4225,1356355347450,0.07,311805827,28673272.0,9.2,177,2018-02-06
60311,011200,현대상선,4235,-115,-2.6,2396670,10387902590,4400,4450,4235,1320497677345,0.07,311805827,28434742.0,9.12,177,2018-02-07
62629,011200,현대상선,4200,-35,-0.8,2404295,10107827020,4235,4300,4145,1309584473400,0.07,311805827,28434377.0,9.12,181,2018-02-08
64951,011200,현대상선,4040,-160,-3.8,2873330,11619480800,4070,4095,4010,1259695541080,0.07,311805827,28324140.0,9.08,188,2018-02-09
67266,011200,현대상선,4080,40,1.0,2662687,10830248695,4115,4160,4005,1272167774160,0.07,311805827,26974672.0,8.65,188,2018-02-12
69574,011200,현대상선,4155,75,1.8,2145965,8961725800,4100,4270,4070,1295553211185,0.07,311805827,26705693.0,8.56,180,2018-02-13
71885,011200,현대상선,4300,145,3.5,2208771,9440762525,4135,4365,4130,1340765056100,0.07,311805827,26420111.0,8.47,175,2018-02-14
74199,011200,현대상선,4470,170,4.0,2288209,10147362330,4350,4485,4325,1393772046690,0.07,311805827,26903241.0,8.63,174,2018-02-19
76513,011200,현대상선,4365,-105,-2.4,1927429,8542077220,4450,4545,4345,1361032434855,0.07,311805827,26994279.0,8.66,173,2018-02-20
78829,011200,현대상선,4390,25,0.6,923917,4048928720,4350,4435,4350,1368827580530,0.07,311805827,27099285.0,8.69,174,2018-02-21
81144,011200,현대상선,4280,-110,-2.5,1251889,5386237425,4390,4390,4260,1334528939560,0.07,311805827,26997374.0,8.66,174,2018-02-22
83459,011200,현대상선,4365,85,2.0,1235911,5277263310,4280,4370,4180,1361032434855,0.07,311805827,27215450.0,8.73,174,2018-02-23
85772,011200,현대상선,4370,5,0.1,1154044,5084544690,4420,4455,4360,1362591463990,0.07,311805827,27143563.0,8.71,173,2018-02-26
88088,011200,현대상선,4300,-70,-1.6,857599,3717859505,4425,4425,4300,1340765056100,0.07,311805827,27167084.0,8.71,175,2018-02-27
90400,011200,현대상선,4365,65,1.5,761695,3260695425,4315,4365,4245,1361032434855,0.07,311805827,27466523.0,8.81,173,2018-02-28
92716,011200,현대상선,4215,-150,-3.4,1309044,5549325350,4300,4305,4210,1314261560805,0.07,311805827,27176318.0,8.72,175,2018-03-02
95028,011200,현대상선,4235,20,0.5,1441272,6140175015,4240,4370,4160,1320497677345,0.07,311805827,27246660.0,8.74,174,2018-03-05
97339,011200,현대상선,4355,120,2.8,1487589,6406608565,4275,4360,4220,1357914376585,0.07,311805827,27284964.0,8.75,172,2018-03-06
99650,011200,현대상선,4390,35,0.8,6103146,27573337765,4655,4690,4375,1368827580530,0.07,311805827,26212295.0,8.41,170,2018-03-07
101967,011200,현대상선,4275,-115,-2.6,2204603,9451346930,4395,4415,4240,1332969910425,0.07,311805827,26170019.0,8.39,174,2018-03-08
104281,011200,현대상선,4380,105,2.5,7678223,34082557770,4350,4535,4290,1365709522260,0.07,311805827,25949369.0,8.32,175,2018-03-09
106594,011200,현대상선,4380,0,0.0,2033013,8926419100,4445,4475,4315,1365709522260,0.07,311805827,26349425.0,8.45,176,2018-03-12
108903,011200,현대상선,4440,60,1.4,2233267,9891076240,4380,4480,4355,1384417871880,0.07,311805827,26648638.0,8.55,173,2018-03-13
111216,011200,현대상선,4355,-85,-1.9,1576017,6911526125,4400,4460,4340,1357914376585,0.07,311805827,26410977.0,8.47,175,2018-03-14
