,account_nm,thstrm_amount
0,유동자산,3890796337846.0
1,현금및현금성자산,335766489610.0
2,기타유동금융자산,864728390746.0
3,매출채권,1669987383189.0
4,대여금및기타채권,66939959235.0
5,기타유동자산,38237205566.0
6,당기법인세자산,
7,재고자산,803082587915.0
8,미청구공사,95226407159.0
9,매각예정비유동자산,16827914426.0
10,비유동자산,3216651039657.0
11,기타비유동금융자산,61207697604.0
12,비유동대여금및기타채권,44086732230.0
13,유형자산,2569455983157.0
14,투자부동산,4565944045.0
15,무형자산,213184565971.0
16,관계기업투자,292095044864.0
17,공동기업투자,18007931206.0
18,이연법인세자산,13706419402.0
19,기타비유동자산,340721178.0
20,자산총계,7107447377503.0
21,유동부채,1862772476318.0
22,매입채무,1191029357529.0
23,기타채무,129871977406.0
24,단기차입금,51996041885.0
25,유동성장기부채,304846572690.0
26,당기법인세부채,784649608.0
27,기타유동금융부채,1040442657.0
28,충당부채,26256584488.0
29,기타유동부채,45271210878.0
30,초과청구공사,111675639177.0
31,비유동부채,2207743698961.0
32,비유동기타채무,9608665451.0
33,장기차입금,775235732685.0
34,사채,1147390665424.0
35,종업원급여부채,9436905798.0
36,기타비유동금융부채,62914997.0
37,비유동충당부채,196185605966.0
38,이연법인세부채,53494266643.0
39,순확정급여부채,16328941997.0
40,부채총계,4070516175279.0
41,지배기업의 소유주에게 귀속되는 자본,3036931202224.0
42,자본금,135975415000.0
43,기타불입자본,387327701240.0
44,기타자본구성요소,-6724935133.0
45,이익잉여금,2520353021117.0
46,비지배지분,0.0
47,자본총계,3036931202224.0
48,자본과부채총계,7107447377503.0
49,매출액,7880481391244.0
50,매출원가,7578404207209.0
51,매출총이익,302077184035.0
52,판매비,110120726986.0
53,관리비,186925874162.0
54,영업이익(손실),5030582887.0
55,기타영업외수익,119041818635.0
56,기타영업외비용,131107207478.0
57,금융수익,20417834286.0
58,금융비용,67077805807.0
59,지분법손익,-16937678972.0
60,사업결합손익,
61,법인세비용차감전순이익(손실),-70632456449.0
62,법인세비용(수익),15071208073.0
63,당기순이익(손실),-55561248376.0
64,기타포괄손익,-31668505911.0
65,후속적으로 당기손익으로 재분류될 수 있는 항목,-7591775142.0
66,해외사업환산손익,3861621530.0
67,매도가능금융자산평가이익(손실),
68,지분법자본변동,-15110021995.0
69,당기손익으로 재분류되는 항목의 법인세,3656625323.0
70,후속적으로 당기손익으로 재분류되지 않는항목,-24076730769.0
71,확정급여제도의 재측정요소,-19518572925.0
72,기타포괄손익-공정가치 측정 금융자산평가이익(손실),-8526379002.0
73,기타포괄손익-공정가치 측정 금융자산처분이익(손실),-2787805864.0
74,당기손익으로 재분류되지 않는 항목의 법인세,6756027022.0
75,총포괄손익,-87229754287.0
76,지배기업소유주지분,-55561248376.0
77,지배기업소유주지분,-87229754287.0
78,기본 및 희석주당이익(손실),-2092.0
79,영업활동현금흐름,-113336962971.0
80,당기순이익(손실),-55561248376.0
81,현금의 유출이 없는 비용등의 가산,430561203864.0
82,현금의 유입이 없는 수익등의 차감,43818027491.0
83,영업활동으로 인한 자산 부채의 변동,-407755428518.0
84,이자의 수취,21912512553.0
85,이자의 지급,63878811118.0
86,배당금의 수취,3251921991.0
