,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
195,011210,현대위아,35600,-650,-1.8,72079,2576547800,36100,36500,35250,968144954800,0.06,27195083,2307396.0,8.48,196.0,2019-01-02
2569,011210,현대위아,35950,350,1.0,69893,2534471250,35600,36800,35550,977663233850,0.06,27195083,2324903.0,8.55,191.0,2019-01-03
4946,011210,현대위아,38000,2050,5.7,180810,6819675500,35850,38350,35700,1033413154000,0.07,27195083,2347230.0,8.63,189.0,2019-01-04
7327,011210,현대위아,37850,-150,-0.4,74049,2818463050,38550,38900,37650,1029333891550,0.07,27195083,2335234.0,8.59,191.0,2019-01-07
9704,011210,현대위아,38350,500,1.3,73195,2787422700,37700,38450,37350,1042931433050,0.07,27195083,2356308.0,8.66,189.0,2019-01-08
12079,011210,현대위아,39300,950,2.5,106772,4201323200,38600,39750,38300,1068766761900,0.07,27195083,2364506.0,8.69,185.0,2019-01-09
14460,011210,현대위아,38650,-650,-1.6,83549,3232939400,38850,39400,38500,1051089957950,0.07,27195083,2361708.0,8.68,187.0,2019-01-10
16840,011210,현대위아,38700,50,0.1,76232,2922051200,38700,38850,37650,1052449712100,0.07,27195083,2347187.0,8.63,188.0,2019-01-11
19218,011210,현대위아,38650,-50,-0.1,58026,2229194200,38300,39000,38100,1051089957950,0.07,27195083,2414028.0,8.88,187.0,2019-01-14
21597,011210,현대위아,39250,600,1.6,127733,5059487100,38650,40250,38600,1067407007750,0.07,27195083,2458069.0,9.04,187.0,2019-01-15
23978,011210,현대위아,38900,-350,-0.9,91111,3535354600,39300,39300,38550,1057888728700,0.06,27195083,2445238.0,8.99,189.0,2019-01-16
26349,011210,현대위아,39350,450,1.2,86157,3378226050,38950,39550,38400,1070126516050,0.07,27195083,2464830.0,9.06,181.0,2019-01-17
28724,011210,현대위아,41300,1950,5.0,214611,8810271500,39650,41600,39650,1123156927900,0.07,27195083,2495676.0,9.18,177.0,2019-01-18
31106,011210,현대위아,40100,-1200,-2.9,159808,6503236600,41600,41850,40050,1090522828300,0.07,27195083,2472437.0,9.09,180.0,2019-01-21
33484,011210,현대위아,40900,800,2.0,246445,10243174000,40900,42400,40850,1112278894700,0.07,27195083,2461333.0,9.05,179.0,2019-01-22
35855,011210,현대위아,42900,2000,4.9,223871,9512737700,41300,43150,41000,1166669060700,0.07,27195083,2497262.0,9.18,171.0,2019-01-23
38233,011210,현대위아,42750,-150,-0.4,213147,9172778050,43000,43650,42400,1162589798250,0.07,27195083,2452261.0,9.02,170.0,2019-01-24
40619,011210,현대위아,41450,-1300,-3.0,316927,13293912700,42750,42750,41400,1127236190350,0.07,27195083,2401387.0,8.83,177.0,2019-01-25
43003,011210,현대위아,40700,-750,-1.8,228471,9367548750,41300,42200,40300,1106839878100,0.07,27195083,2473353.0,9.09,181.0,2019-01-28
45379,011210,현대위아,41800,1100,2.7,229136,9581508850,40850,42400,40850,1136754469400,0.07,27195083,2522842.0,9.28,177.0,2019-01-29
47754,011210,현대위아,43350,1550,3.7,225133,9667163350,41750,43350,41700,1178906848050,0.07,27195083,2527263.0,9.29,173.0,2019-01-30
50132,011210,현대위아,43650,300,0.7,161499,7006175000,43700,43900,42800,1187065372950,0.07,27195083,2525237.0,9.29,171.0,2019-01-31
52518,011210,현대위아,43150,-500,-1.2,125962,5402968850,43500,43500,42500,1173467831450,0.07,27195083,2479418.0,9.12,177.0,2019-02-01
54901,011210,현대위아,42550,-600,-1.4,108743,4601970450,43100,43100,41750,1157150781650,0.07,27195083,2462081.0,9.05,179.0,2019-02-07
57279,011210,현대위아,42800,250,0.6,86278,3659520650,42350,42900,41850,1163949552400,0.07,27195083,2470940.0,9.09,176.0,2019-02-08
59664,011210,현대위아,42300,-500,-1.2,65145,2750738300,43000,43000,41950,1150352010900,0.07,27195083,2465816.0,9.07,180.0,2019-02-11
62045,011210,현대위아,42650,350,0.8,83031,3546513900,42100,43100,42100,1159870289950,0.07,27195083,2485608.0,9.14,179.0,2019-02-12
64430,011210,현대위아,42350,-300,-0.7,92279,3894390150,42600,43000,41900,1151711765050,0.07,27195083,2511752.0,9.24,182.0,2019-02-13
66811,011210,현대위아,41250,-1100,-2.6,225021,9213857300,42050,42250,40300,1121797173750,0.06,27195083,2501774.0,9.2,181.0,2019-02-14
69195,011210,현대위아,40750,-500,-1.2,135341,5504839500,41250,41350,40400,1108199632250,0.06,27195083,2577215.0,9.48,183.0,2019-02-15
71578,011210,현대위아,40650,-100,-0.2,137262,5541647850,40750,40750,40050,1105480123950,0.06,27195083,2599277.0,9.56,184.0,2019-02-18
73968,011210,현대위아,40400,400,1.0,127232,5153694600,40350,40850,40100,1098681353200,0.06,27195083,2664495.0,9.8,192.0,2019-02-20
76351,011210,현대위아,40600,200,0.5,113635,4626948550,39900,41300,39900,1104120369800,0.06,27195083,2683839.0,9.87,193.0,2019-02-21
78732,011210,현대위아,40800,200,0.5,64785,2646557850,40600,41200,40600,1109559386400,0.06,27195083,2691514.0,9.9,192.0,2019-02-22
81104,011210,현대위아,44050,3250,8.0,705201,31277898250,43500,46300,42700,1197943406150,0.07,27195083,2750860.0,10.12,182.0,2019-02-25
83484,011210,현대위아,44150,100,0.2,243391,10752313650,44500,44850,43150,1200662914450,0.07,27195083,2782267.0,10.23,180.0,2019-02-26
85862,011210,현대위아,44600,450,1.0,136286,6063466150,44500,44750,44200,1212900701800,0.07,27195083,2781300.0,10.23,176.0,2019-02-27
88245,011210,현대위아,43450,-1150,-2.6,128127,5628677050,44500,44550,43450,1181626356350,0.07,27195083,2791192.0,10.26,178.0,2019-02-28
90629,011210,현대위아,43100,-350,-0.8,132532,5782627650,43100,44350,42900,1172108077300,0.07,27195083,2790108.0,10.26,181.0,2019-03-04
93006,011210,현대위아,44450,1350,3.1,152264,6692395100,43100,44600,42900,1208821439350,0.07,27195083,2783142.0,10.23,178.0,2019-03-05
95383,011210,현대위아,45100,650,1.5,215058,9687585150,44350,45400,43850,1226498243300,0.07,27195083,2769467.0,10.18,174.0,2019-03-06
97766,011210,현대위아,44700,-400,-0.9,148186,6590198450,45200,45200,43700,1215620210100,0.07,27195083,2686050.0,9.88,176.0,2019-03-07
