,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
192,012630,HDC,16550,-700,-4.1,460342,7746406350,17300,17500,16400,988725482550,0.06,59741721,15630667.0,26.16,193.0,2019-01-02
2571,012630,HDC,15950,-600,-3.6,719536,11524212650,16550,16750,15850,952880449950,0.06,59741721,15575521.0,26.07,193.0,2019-01-03
4953,012630,HDC,15700,-250,-1.6,428853,6685823200,15900,15950,15400,937945019700,0.06,59741721,15601853.0,26.12,196.0,2019-01-04
7333,012630,HDC,15850,150,1.0,264835,4213665150,16000,16100,15750,946906277850,0.06,59741721,15614292.0,26.14,197.0,2019-01-07
9711,012630,HDC,15950,100,0.6,306616,4903927600,15750,16150,15750,952880449950,0.06,59741721,15721319.0,26.32,196.0,2019-01-08
12092,012630,HDC,16300,350,2.2,343424,5541842000,16100,16400,15900,973790052300,0.06,59741721,15781008.0,26.42,198.0,2019-01-09
14472,012630,HDC,16050,-250,-1.5,237343,3825810800,16250,16450,16000,958854622050,0.06,59741721,15775233.0,26.41,199.0,2019-01-10
16851,012630,HDC,16250,200,1.2,228483,3707537950,16150,16350,16050,970802966250,0.06,59741721,15849812.0,26.53,199.0,2019-01-11
19230,012630,HDC,16000,-250,-1.5,344899,5530811850,16250,16400,15850,955867536000,0.06,59741721,15846327.0,26.52,199.0,2019-01-14
21609,012630,HDC,16300,300,1.9,360951,5869859600,16100,16450,16000,973790052300,0.06,59741721,16004928.0,26.79,199.0,2019-01-15
23986,012630,HDC,16450,150,0.9,262055,4299040700,16350,16550,16250,982751310450,0.06,59741721,16059171.0,26.88,197.0,2019-01-16
26367,012630,HDC,16000,-450,-2.7,340890,5483150250,16450,16450,16000,955867536000,0.06,59741721,16025341.0,26.82,199.0,2019-01-17
28747,012630,HDC,16150,150,0.9,205758,3302474250,16150,16200,15950,964828794150,0.06,59741721,16060451.0,26.88,200.0,2019-01-18
31127,012630,HDC,16050,-100,-0.6,234129,3770363750,16200,16350,15950,958854622050,0.06,59741721,16050010.0,26.87,201.0,2019-01-21
33505,012630,HDC,16050,0,0.0,188531,3028396050,16050,16150,15950,958854622050,0.06,59741721,16071129.0,26.9,200.0,2019-01-22
35881,012630,HDC,16700,650,4.0,407876,6682867350,16050,16700,15950,997686740700,0.06,59741721,16209045.0,27.13,197.0,2019-01-23
38259,012630,HDC,16750,50,0.3,343025,5763602650,16700,16950,16600,1000673826750,0.06,59741721,16296646.0,27.28,196.0,2019-01-24
40636,012630,HDC,17250,500,3.0,452698,7716452900,16750,17350,16500,1030544687250,0.06,59741721,16317104.0,27.31,194.0,2019-01-25
43017,012630,HDC,17350,100,0.6,386351,6732473950,17300,17650,17200,1036518859350,0.06,59741721,16275694.0,27.24,195.0,2019-01-28
45391,012630,HDC,17900,550,3.2,752360,13362055850,17250,18050,17250,1069376805900,0.06,59741721,16388794.0,27.43,189.0,2019-01-29
47760,012630,HDC,18900,1000,5.6,1421064,26910742300,18200,19400,18000,1129118526900,0.07,59741721,16449264.0,27.53,179.0,2019-01-30
50145,012630,HDC,18650,-250,-1.3,459937,8640667500,19100,19200,18600,1114183096650,0.07,59741721,16383001.0,27.42,184.0,2019-01-31
52521,012630,HDC,19050,400,2.1,604937,11531733350,18750,19350,18350,1138079785050,0.07,59741721,16271914.0,27.24,180.0,2019-02-01
54907,012630,HDC,18550,-500,-2.6,621453,11522724850,19050,19100,18300,1108208924550,0.06,59741721,16025245.0,26.82,185.0,2019-02-07
57291,012630,HDC,18250,-300,-1.6,466013,8495643000,18350,18500,17950,1090286408250,0.06,59741721,15874346.0,26.57,188.0,2019-02-08
59670,012630,HDC,18400,150,0.8,341821,6269587150,18450,18600,18000,1099247666400,0.06,59741721,15729191.0,26.33,186.0,2019-02-11
62051,012630,HDC,18600,200,1.1,601395,11088046550,18300,18900,18050,1111196010600,0.07,59741721,15514786.0,25.97,185.0,2019-02-12
64433,012630,HDC,18950,350,1.9,495702,9415269050,19000,19300,18750,1132105612950,0.07,59741721,15444109.0,25.85,185.0,2019-02-13
66812,012630,HDC,18650,-300,-1.6,413934,7678178550,18950,18950,18350,1114183096650,0.06,59741721,15346833.0,25.69,182.0,2019-02-14
69193,012630,HDC,18700,50,0.3,239685,4480351750,18650,18900,18400,1117170182700,0.07,59741721,15309618.0,25.63,181.0,2019-02-15
71575,012630,HDC,19350,650,3.5,620873,12004068200,18850,19600,18800,1156002301350,0.07,59741721,15300798.0,25.61,181.0,2019-02-18
73962,012630,HDC,19200,100,0.5,420977,8005819300,19050,19300,18600,1147041043200,0.07,59741721,15171123.0,25.39,186.0,2019-02-20
76347,012630,HDC,18800,-400,-2.1,364522,6901541650,19250,19250,18800,1123144354800,0.06,59741721,15082177.0,25.25,189.0,2019-02-21
