,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
7,017670,SK텔레콤,272500,3000,1.1,129645,35162518500,267500,273500,267500,22003206247500,1.41,80745711,33774351.0,41.83,8.0,2019-01-02
2387,017670,SK텔레콤,275500,3000,1.1,290477,80514768000,273000,281000,269500,22245443380500,1.44,80745711,33720632.0,41.76,9.0,2019-01-03
4765,017670,SK텔레콤,279500,4000,1.4,224142,62751299000,278000,281500,274500,22568426224500,1.45,80745711,33703503.0,41.74,8.0,2019-01-04
7144,017670,SK텔레콤,276500,-3000,-1.1,120116,33381445500,281000,281000,276500,22326189091500,1.42,80745711,33684160.0,41.72,8.0,2019-01-07
9524,017670,SK텔레콤,276000,-500,-0.2,101033,27858406500,279000,279000,272000,22285816236000,1.42,80745711,33675489.0,41.71,9.0,2019-01-08
11904,017670,SK텔레콤,269500,-6500,-2.4,253453,68711746000,275500,277000,268000,21760969114500,1.36,80745711,33647916.0,41.67,10.0,2019-01-09
14283,017670,SK텔레콤,271000,1500,0.6,182475,49218921500,270000,271500,267000,21882087681000,1.37,80745711,33653416.0,41.68,10.0,2019-01-10
16663,017670,SK텔레콤,263500,-7500,-2.8,222926,59075188000,269000,269000,263500,21276494848500,1.32,80745711,33581055.0,41.59,11.0,2019-01-11
19041,017670,SK텔레콤,267000,3500,1.3,132809,35288798500,264500,268000,264000,21559104837000,1.35,80745711,33615722.0,41.63,10.0,2019-01-14
21421,017670,SK텔레콤,268500,1500,0.6,104085,27973904000,267500,270000,265500,21680223403500,1.34,80745711,33633986.0,41.65,11.0,2019-01-15
23800,017670,SK텔레콤,267500,-1000,-0.4,93191,24868619000,267000,268500,265500,21599477692500,1.33,80745711,33631589.0,41.65,11.0,2019-01-16
26179,017670,SK텔레콤,268500,1000,0.4,112878,30209641500,265500,270000,264500,21680223403500,1.33,80745711,33639540.0,41.66,11.0,2019-01-17
28558,017670,SK텔레콤,269500,1000,0.4,71712,19308358500,270000,271000,267000,21760969114500,1.32,80745711,33648378.0,41.67,11.0,2019-01-18
30937,017670,SK텔레콤,263500,-6000,-2.2,185444,48756403500,269500,270000,261000,21276494848500,1.29,80745711,33614358.0,41.63,11.0,2019-01-21
33316,017670,SK텔레콤,264000,500,0.2,109329,28833485000,263500,265000,261000,21316867704000,1.3,80745711,33630964.0,41.65,11.0,2019-01-22
35695,017670,SK텔레콤,269000,5000,1.9,169747,45685342500,264000,270500,263500,21720596259000,1.32,80745711,33638279.0,41.66,11.0,2019-01-23
38073,017670,SK텔레콤,271000,2000,0.7,139070,37560995500,268000,271500,266500,21882087681000,1.32,80745711,33640393.0,41.66,10.0,2019-01-24
40452,017670,SK텔레콤,269000,-2000,-0.7,135959,36725832500,268500,271500,268500,21720596259000,1.29,80745711,33624175.0,41.64,10.0,2019-01-25
42832,017670,SK텔레콤,272500,3500,1.3,151843,41251882000,267500,274500,266500,22003206247500,1.31,80745711,33631999.0,41.65,10.0,2019-01-28
45213,017670,SK텔레콤,267500,-5000,-1.8,155034,41806932500,272000,275000,267500,21599477692500,1.28,80745711,33616331.0,41.63,11.0,2019-01-29
47594,017670,SK텔레콤,258500,-9000,-3.4,451714,117267976000,269000,269000,257500,20872766293500,1.22,80745711,33478811.0,41.46,13.0,2019-01-30
49974,017670,SK텔레콤,258000,-500,-0.2,234773,60570279500,259000,259500,256000,20832393438000,1.22,80745711,33424282.0,41.39,13.0,2019-01-31
52354,017670,SK텔레콤,260000,2000,0.8,261731,68031143500,258500,262000,258000,20993884860000,1.23,80745711,33331552.0,41.28,13.0,2019-02-01
54735,017670,SK텔레콤,259500,-500,-0.2,186254,48235996000,260500,261000,258000,20953512004500,1.23,80745711,33311341.0,41.25,13.0,2019-02-07
57115,017670,SK텔레콤,261000,1500,0.6,237479,61848744000,258500,262500,258000,21074630571000,1.25,80745711,33274686.0,41.21,12.0,2019-02-08
59496,017670,SK텔레콤,261000,0,0.0,169710,44373230000,262000,262500,260000,21074630571000,1.24,80745711,33287253.0,41.22,12.0,2019-02-11
61878,017670,SK텔레콤,259500,-1500,-0.6,221733,57893146000,261500,264500,259500,20953512004500,1.23,80745711,33275389.0,41.21,12.0,2019-02-12
64260,017670,SK텔레콤,259500,0,0.0,146018,37820767500,260500,260500,258000,20953512004500,1.22,80745711,33237695.0,41.16,12.0,2019-02-13
66643,017670,SK텔레콤,260000,500,0.2,249584,64450008860,259000,260000,256500,20993884860000,1.22,80745711,33200076.0,41.12,13.0,2019-02-14
69026,017670,SK텔레콤,255000,-5000,-1.9,355512,90588699500,258000,259500,253000,20590156305000,1.21,80745711,33097986.0,40.99,14.0,2019-02-15
71405,017670,SK텔레콤,259500,4500,1.8,195513,50558528500,256000,260000,255500,20953512004500,1.22,80745711,33119605.0,41.02,11.0,2019-02-18
73787,017670,SK텔레콤,260000,0,0.0,136969,35606737000,259000,261500,258000,20993884860000,1.21,80745711,33123432.0,41.02,11.0,2019-02-20
76170,017670,SK텔레콤,259000,-1000,-0.4,131648,34123351500,259500,261500,258000,20913139149000,1.21,80745711,33143319.0,41.05,12.0,2019-02-21
78551,017670,SK텔레콤,261000,2000,0.8,125679,32654205500,259500,261000,258000,21074630571000,1.22,80745711,33111555.0,41.01,11.0,2019-02-22
80933,017670,SK텔레콤,260000,-1000,-0.4,191293,50066553000,263500,264500,259000,20993884860000,1.21,80745711,33094607.0,40.99,11.0,2019-02-25
83316,017670,SK텔레콤,259500,-500,-0.2,104634,27160122000,260000,261000,258500,20953512004500,1.21,80745711,33082674.0,40.97,12.0,2019-02-26
85699,017670,SK텔레콤,263000,3500,1.4,177733,46555024500,259500,263500,258500,21236121993000,1.22,80745711,33062621.0,40.95,13.0,2019-02-27
88080,017670,SK텔레콤,260500,-2500,-1.0,281128,73498501413,262000,264000,260500,21034257715500,1.23,80745711,32932991.0,40.79,13.0,2019-02-28
90460,017670,SK텔레콤,261000,500,0.2,184973,48373322500,260000,263500,258500,21074630571000,1.23,80745711,32903136.0,40.75,12.0,2019-03-04
92840,017670,SK텔레콤,261000,0,0.0,166007,43376474500,260500,263000,259000,21074630571000,1.24,80745711,32845406.0,40.68,12.0,2019-03-05
95221,017670,SK텔레콤,258000,-3000,-1.2,149494,38730765500,261500,261500,258000,20832393438000,1.23,80745711,32815058.0,40.64,12.0,2019-03-06
97602,017670,SK텔레콤,254000,-4000,-1.6,160518,40915969000,255000,258000,253000,20509410594000,1.21,80745711,32824138.0,40.65,12.0,2019-03-07
99983,017670,SK텔레콤,252000,-2000,-0.8,96589,24481257000,253500,256000,251500,20347919172000,1.22,80745711,32822801.0,40.65,12.0,2019-03-08
102365,017670,SK텔레콤,249000,-3000,-1.2,159827,39835163000,252000,253000,248000,20105682039000,1.2,80745711,32788726.0,40.61,13.0,2019-03-11
104747,017670,SK텔레콤,248000,-1000,-0.4,130843,32611528000,250500,251000,248000,20024936328000,1.19,80745711,32788049.0,40.61,14.0,2019-03-12
107129,017670,SK텔레콤,245500,-2500,-1.0,226633,55572419500,248000,248500,244000,19823072050500,1.18,80745711,32763395.0,40.58,15.0,2019-03-13
109509,017670,SK텔레콤,246500,1000,0.4,239756,59123138500,246000,249000,244500,19903817761500,1.18,80745711,32786552.0,40.6,14.0,2019-03-14
111891,017670,SK텔레콤,253500,7000,2.8,217149,54831836000,247500,254000,247500,20469037738500,1.2,80745711,32796940.0,40.62,14.0,2019-03-15
114275,017670,SK텔레콤,252000,-1500,-0.6,118358,29923280000,253500,255500,250000,20347919172000,1.19,80745711,32769080.0,40.58,15.0,2019-03-18
116658,017670,SK텔레콤,253000,1000,0.4,157773,39602562500,250500,253500,249500,20428664883000,1.2,80745711,32717473.0,40.52,15.0,2019-03-19
119041,017670,SK텔레콤,251000,-2000,-0.8,118856,29778024000,251500,254500,249500,20267173461000,1.19,80745711,32672351.0,40.46,15.0,2019-03-20
121424,017670,SK텔레콤,249500,-1500,-0.6,126455,31617670000,250000,251500,248500,20146054894500,1.18,80745711,32667707.0,40.46,15.0,2019-03-21
123808,017670,SK텔레콤,252000,2500,1.0,234327,58925052352,248000,253500,247000,20347919172000,1.19,80745711,32680409.0,40.47,15.0,2019-03-22
126189,017670,SK텔레콤,253000,1000,0.4,286873,72919966684,253500,256500,251000,20428664883000,1.22,80745711,32668364.0,40.46,11.0,2019-03-25
128577,017670,SK텔레콤,250500,-2500,-1.0,145145,36526368100,253000,253500,250500,20226800605500,1.2,80745711,32623127.0,40.4,14.0,2019-03-26
130959,017670,SK텔레콤,253000,2500,1.0,144738,36570719500,250000,255000,249500,20428664883000,1.22,80745711,32607602.0,40.38,11.0,2019-03-27
