,account_nm,thstrm_amount
0,유동자산,5881776287021.0
1,현금및현금성자산,1161683996643.0
2,단기금융상품,2510284469888.0
3,매출채권,1291751923940.0
4,미수금,705745458041.0
5,선급금,44176075255.0
6,선급비용,67265138198.0
7,재고자산,18774414708.0
8,기타유동자산,82094810348.0
9,비유동자산,2132073103693.0
10,장기매도가능금융자산,0.0
11,당기손익-공정가치측정금융자산,3643123202.0
12,기타포괄손익-공정가치측정금융자산,22934357054.0
13,관계기업투자주식,43993605770.0
14,유형자산,1068725507567.0
15,무형자산,844969106310.0
16,보증금,69754328207.0
17,장기선급비용,239673339.0
18,이연법인세자산,34928672689.0
19,순확정급여자산,0.0
20,기타비유동자산,42884729555.0
21,자산총계,8013849390714.0
22,유동부채,1574796377567.0
23,매입채무,553320727257.0
24,미지급금,86246212056.0
25,단기차입금,774724000.0
26,유동성사채,0.0
27,선수금,136026841259.0
28,예수금,13638047892.0
29,미지급비용,530638197561.0
30,당기법인세부채,144206747497.0
31,유동성장기차입금,0.0
32,유동성충당부채,18630738697.0
33,기타유동부채,91314141348.0
34,비유동부채,290500828777.0
35,순확정급여부채,40822200125.0
36,이연법인세부채,175950146216.0
37,장기차입금,0.0
38,사채,10000000.0
39,장기미지급비용,51418608045.0
40,충당부채,17195182991.0
41,장기예수보증금,5104691400.0
42,부채총계,1865297206344.0
43,지배기업 소유지분,5982455009648.0
44,자본금,38688900000.0
45,보통주납입자본,38688900000.0
46,주식발행초과금,1297466852618.0
47,이익잉여금,4821746821634.0
48,기타자본항목,-175447564604.0
49,비지배지분,166097174722.0
50,자본총계,6148552184370.0
51,자본과부채총계,8013849390714.0
52,매출액,10034218901478.0
53,매출원가,8369829634622.0
54,매출총이익,1664389266856.0
55,판매비와관리비,787033453660.0
56,영업이익,877355813196.0
57,기타수익,29243729251.0
58,기타비용,28111462915.0
59,금융수익,135575773191.0
60,이자수익,66358435182.0
61,외환차익,57595346881.0
62,외화환산이익,11621991128.0
63,금융비용,60559477429.0
64,이자비용,1667001406.0
65,외환차손,51578624582.0
66,외화환산손실,7313851441.0
67,지분법관련손익,3026371038.0
68,법인세비용차감전순이익,956530746332.0
69,법인세비용,317738487919.0
70,계속영업이익,638792258413.0
71,당기순이익,638792258413.0
72,지배기업소유지분,629399570767.0
73,비지배지분,9392687646.0
74,보통주 기본주당이익,8137.0
75,보통주 희석주당이익,8137.0
76,당기순이익,638792258413.0
77,기타포괄손익,-52772937952.0
78,후속적으로 당기손익으로 재분류되지 않는 항목,-60056199419.0
79,확정급여제도의 재측정요소,-67590731350.0
80,기타포괄손익-공정가치측정금융자산 평가손익,7534531931.0
81,후속적으로 당기손익으로 재분류될 수 있는 항목,7283261467.0
82,장기매도가능금융자산 평가손익,0.0
83,지분법자본변동,590356315.0
84,해외사업장환산손익,6692905152.0
85,당기포괄이익,586019320461.0
86,지배기업소유지분,579565395281.0
87,비지배지분,6453925180.0
88,영업활동 현금흐름,1196531554170.0
89,영업에서 창출된 현금흐름,1330749415211.0
90,이자의 수취,61863057751.0
91,이자의 지급,38569693.0
92,배당금의 수취,15900000.0
93,법인세의 납부,196058249099.0
94,투자활동 현금흐름,-818556277028.0
95,단기금융상품의 증감,516486544740.0
96,기타유동자산의 증감,-7004809295.0
97,장기금융상품의 증감,-18097027818.0
98,유형자산의 처분,1509595861.0
99,무형자산의 처분,5888893.0
100,장기매도가능금융자산의 처분,0.0
101,관계기업에 대한 투자자산의 처분,0.0
102,보증금의 감소,8174848980.0
103,유형자산의 취득,251434878395.0
104,무형자산의 취득,26121127847.0
105,보증금의 증가,8187779534.0
106,매도가능금융자산의 취득,0.0
107,기타포괄손익-공정가치측정금융자산의 취득,-2139000000.0
108,기타비유동자산의 증감,1224556867.0
109,사업결합으로 인한 순현금유출입,0.0
