,account_nm,thstrm_amount
0,유동자산,285206043988.0
1,현금및현금성자산,58507873463.0
2,금융기관예치금,23128149103.0
3,매출채권,15998207201.0
4,기타수취채권,34769959057.0
5,계약자산,2570078302.0
6,당기손익-공정가치금융자산,131226354939.0
7,당기손익인식금융자산,0.0
8,매도가능금융자산,0.0
9,파생금융자산,0.0
10,재고자산,14805379860.0
11,기타자산,4200042063.0
12,매각예정비유동자산,0.0
13,비유동자산,545122338214.0
14,금융기관예치금,0.0
15,기타수취채권,14666265682.0
16,계약자산,3152913647.0
17,당기손익-공정가치금융자산,28734503435.0
18,기타포괄손익-공정가치금융자산,82204430525.0
19,매도가능금융자산,0.0
20,관계기업투자,34123900787.0
21,유형자산,190952897625.0
22,투자부동산,123593476346.0
23,무형자산,66032749796.0
24,이연법인세자산,1608992365.0
25,기타자산,52208006.0
26,자산총계,830328382202.0
27,유동부채,152176172818.0
28,매입채무,6568628076.0
29,기타지급채무,66839545794.0
30,파생금융부채,195488182.0
31,계약부채,1545712343.0
32,차입금,21572029240.0
33,당기법인세부채,3672423518.0
34,충당부채,0.0
35,기타부채,51782345665.0
36,비유동부채,61326295564.0
37,기타지급채무,39604045881.0
38,계약부채,208954675.0
39,차입금,8341742361.0
40,순확정급여부채,13171552647.0
41,이연법인세부채,0.0
42,부채총계,213502468382.0
43,지배기업의소유주지분,612660952697.0
44,자본금,52064920000.0
45,자본잉여금,73072275962.0
46,기타자본구성요소,-121996794805.0
47,기타포괄손익누계액,33853963242.0
48,매각예정관련 기타포괄손익누계액,0.0
49,이익잉여금,575666588298.0
50,비지배지분,4164961123.0
51,자본총계,616825913820.0
52,부채와자본총계,830328382202.0
53,매출액,763142133236.0
54,매출원가,626714040973.0
55,매출총이익,136428092263.0
56,판매비와관리비,109343412083.0
57,대손상각비,1478122665.0
58,영업이익,25606557515.0
59,기타수익,19907605903.0
60,기타비용,24311057747.0
61,기타의대손상각비,60985817.0
62,관계기업에 대한 지분법손익,4307537123.0
63,이자수익,3782784353.0
64,기타금융수익,286459178.0
65,금융비용,1401591055.0
66,법인세비용차감전순이익,28117309453.0
67,법인세비용,8892792261.0
68,당기순이익,19224517192.0
69,지배기업의 소유주지분,18849339314.0
70,비지배지분,375177878.0
71,보통주기본주당손익,205.0
72,우선주기본주당손익,250.0
73,보통주희석주당손익,205.0
74,우선주희석주당손익,247.0
75,당기순이익,19224517192.0
76,기타포괄손익(세후),-13937642430.0
77,후속적으로 당기손익으로 재분류 될 수 없는 항목:,-14261401733.0
78,기타포괄손익-공정가치지분상품 평가손익,-12176575243.0
79,관계기업 기타포괄손익에 대한 지분해당액,36592550.0
80,순확정급여부채의 재측정요소,-2121419040.0
81,후속적으로 당기손익으로 재분류될 수 있는 항목:,323759303.0
82,기타포괄손익-공정가치채무상품 평가손익,161651080.0
83,매도가능금융자산평가손익,0.0
84,매각예정관련 기타포괄손익,0.0
85,해외사업장환산외환차이,72745485.0
86,관계기업 기타포괄손익에 대한 지분해당액,89362738.0
87,총포괄이익,5286874762.0
88,지배기업의 소유주지분,4807599603.0
89,비지배지분,479275159.0
90,영업활동으로 인한 현금흐름,64180905992.0
91,영업으로부터 창출된 현금,68132790014.0
92,배당금의 수취,5264889629.0
93,이자의 수취,2578193287.0
94,이자의 지급,1050233119.0
95,법인세 납부,10744733819.0
96,투자활동으로 인한 현금흐름,-24962872171.0
97,투자활동으로 인한 현금유입액,173986497337.0
98,금융기관예치금의 감소,16111772238.0
99,당기손익-공정가치금융자산의 처분,134897398968.0
100,기타포괄손익-공정가치금융자산의 처분,2062782816.0
101,매도가능금융자산의 처분,0.0
102,매각예정비유동자산의 처분,0.0
103,기타수취채권의 감소,15520291826.0
104,종속기업 및 관계기업투자의 회수,5121850000.0
105,유형자산의 처분,182678149.0
106,무형자산의 처분,89723340.0
107,정부보조금의 수취,0.0
108,투자활동으로 인한 현금유출액,-198949369508.0
109,금융기관예치금의 증가,18360628564.0
110,매도가능금융자산의 취득,0.0
111,당기손익-공정가치금융자산의 취득,97777693335.0
112,기타수취채권의 증가,14031228209.0
113,관계기업 투자,10159865271.0
114,유형자산의 취득,22238245780.0
115,무형자산의 취득,19451618311.0
116,사업양수로 인한 현금감소,0.0
117,사업의 취득,-16930090038.0
118,재무활동으로 인한 현금흐름,-41396997456.0
119,재무활동으로 인한 현금유입액,7970106539.0
120,자기주식의 처분,226300000.0
121,종속기업의 유상증자,1268271381.0
122,차입금의 차입,6475535158.0
123,재무활동으로 인한 현금유출액,-49367103995.0
124,자기주식의 취득,15923491215.0
125,종속기업의 배당 등,-5515005048.0
126,배당금의 지급,21529674390.0
127,차입금의 상환,6398933342.0
128,현금및현금성자산의 감소,-2178963635.0
129,기초 현금및현금성자산,60251798959.0
130,현금및현금성자산에 대한 환율변동효과,435038139.0
131,기말 현금및현금성자산,58507873463.0
132,기초자본,676932464187.0
133,기초자본,6342598712.0
134,기초자본,670589865475.0
135,기초자본,-79861427413.0
136,기초자본,53452808387.0
137,기초자본,
138,기초자본,572213321630.0
139,기초자본,52064920000.0
140,기초자본,72720242871.0
141,회계정책변경의 효과,588913904.0
142,회계정책변경의 효과,588913904.0
143,회계정책변경의 효과,-6692790718.0
144,회계정책변경의 효과,7281704622.0
145,당기순이익,19224517192.0
146,당기순이익,375177878.0
147,당기순이익,18849339314.0
148,당기순이익,18849339314.0
149,매도가능금융자산평가손익,
150,매도가능금융자산평가손익,
151,매도가능금융자산평가손익,
152,매도가능금융자산평가손익,
153,기타포괄손익-공정가치 지분상품 평가손익,-12176575243.0
154,기타포괄손익-공정가치 지분상품 평가손익,-12176575243.0
155,기타포괄손익-공정가치 지분상품 평가손익,-12176575243.0
156,기타포괄손익-공정가치 채무상품 평가손익,161651080.0
157,기타포괄손익-공정가치 채무상품 평가손익,161651080.0
158,기타포괄손익-공정가치 채무상품 평가손익,161651080.0
